year, CNRM-ESM2-1, UKESM1-0-LL, TaiESM1, NorESM2-MM, CanESM5, ACCESS-ESM1-5, INM-CM4-8, EC-Earth3-Veg, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM5-0, NorESM2-LM, GFDL-ESM4, MIROC-ES2L
1.878000000000000000e+03, 1.130286491148367656e+00, 1.703486007869762453e+00, 1.069038474807485484e+00, 1.022800246577147298e+00, 1.957817734487129924e+00, 1.289371396121712365e+00, 1.904052478446199625e+00, 5.338641149505041206e+00, 1.363124224130537465e+00, 1.046090859598210354e+00, 1.046579095816910110e+00, 2.531079725114174561e+00, 2.272261857281371533e+00, 1.223103642018097403e+00, 1.217883225179890561e+00, 1.253275279369582940e+00
1.879000000000000000e+03, 1.074822277266426873e+00, 1.504824010196540884e+00, 1.044134329088390434e+00, 9.125807567701738066e-01, 2.045445570989248729e+00, 1.219316919666895815e+00, 2.031955234340518945e+00, 4.635918232229177427e+00, 1.414359588606393769e+00, 9.372765133782720026e-01, 9.659108129862075121e-01, 2.721535778035262254e+00, 2.422501468991303142e+00, 8.776299487827845525e-01, 1.208066855399718031e+00, 1.285199824193711260e+00
1.880000000000000000e+03, 1.172109144028936401e+00, 1.511083470201795231e+00, 1.015395692205735001e+00, 1.053458402687733164e+00, 1.980792361241400457e+00, 1.121961765873197736e+00, 1.916688695733992809e+00, 4.842529530080242672e+00, 1.374004578891104389e+00, 9.969736392021230076e-01, 1.003052131456725560e+00, 2.808721411761370579e+00, 2.317139996907979782e+00, 1.117445376612898222e+00, 1.206559132820726798e+00, 1.296359949926578992e+00
1.881000000000000000e+03, 1.183521385854599872e+00, 1.230561675566846702e+00, 9.613943068766920286e-01, 1.078091732125824542e+00, 2.116302095605600897e+00, 1.264098630298752912e+00, 1.796851940170172357e+00, 5.502007277693593323e+00, 1.258706875234021805e+00, 9.045022623871171730e-01, 1.163308927017574490e+00, 2.511388334393549915e+00, 2.391537711008894007e+00, 9.427002189019205725e-01, 1.173286728064014905e+00, 1.260379751451139452e+00
1.882000000000000000e+03, 1.185738139527002799e+00, 1.421427983673300588e+00, 1.094639969478624630e+00, 1.124450215062435809e+00, 1.977688191760651026e+00, 1.409028201656426837e+00, 2.095922342970277352e+00, 4.951701652943580889e+00, 1.248051535199169892e+00, 9.376095649786340136e-01, 1.037893685464784888e+00, 2.387429806405656496e+00, 2.364431454377625919e+00, 8.641651782919763658e-01, 1.114983106088789144e+00, 1.265000482908901658e+00
1.883000000000000000e+03, 1.077828816399968526e+00, 1.822323190645288582e+00, 1.049580572356899610e+00, 7.041678860072435597e-01, 2.011109050203650384e+00, 1.507859811406848438e+00, 1.894594802261099886e+00, 4.538545616631924240e+00, 1.331622149897632390e+00, 8.851097974542883051e-01, 9.772698810299106364e-01, 2.410111768259512122e+00, 2.513045102136520548e+00, 8.161049749232569539e-01, 1.199859948266598586e+00, 1.178872368596411313e+00
1.884000000000000000e+03, 9.837349416575893457e-01, 1.565021434483665486e+00, 1.060409739927593131e+00, 8.415869379528329031e-01, 2.038893764303640666e+00, 1.457730470331567663e+00, 2.266416530784951089e+00, 3.753236751901693591e+00, 1.189120961053603764e+00, 9.047964768561502780e-01, 9.976616360940139261e-01, 2.282925063869950755e+00, 2.485189961283585713e+00, 8.717612723482585091e-01, 1.144032183996940955e+00, 1.120559220858328375e+00
1.885000000000000000e+03, 1.149792041926569253e+00, 1.560899261418710493e+00, 1.061022087580891116e+00, 1.085205344206123135e+00, 2.092990934096737199e+00, 1.420506980848234679e+00, 2.212211068875804099e+00, 4.206577384297399469e+00, 1.373044295913320223e+00, 1.009831552237069552e+00, 9.928321004759838031e-01, 2.716684912547037811e+00, 2.446221868762635587e+00, 1.029245913876543517e+00, 1.125535952226770942e+00, 1.127654848659856324e+00
1.886000000000000000e+03, 1.007780584800403556e+00, 1.705255802506260299e+00, 1.024807571727483824e+00, 1.073408675073601826e+00, 2.024559260579479769e+00, 1.461091641241347494e+00, 2.173012853165821490e+00, 4.541126375861914255e+00, 1.112256857734535309e+00, 1.014451271892403028e+00, 1.148254197421317846e+00, 2.511639303219375119e+00, 2.499844934659493756e+00, 1.013039243045051441e+00, 1.207534031322339940e+00, 1.154571588505190149e+00
1.887000000000000000e+03, 1.047201281104078285e+00, 1.827111170932262052e+00, 1.017084406776076699e+00, 1.079617851156521979e+00, 2.042315756028024509e+00, 1.561004308829378351e+00, 2.243614430254393444e+00, 4.499207413829007685e+00, 1.274713635931659539e+00, 9.522237805479463191e-01, 1.101105955217352994e+00, 2.700067403634213381e+00, 2.311356476640969770e+00, 1.065320896444553966e+00, 1.185905469842212456e+00, 1.142115211649777695e+00
1.888000000000000000e+03, 1.084156503339081201e+00, 1.788117957649685730e+00, 1.114317345834822559e+00, 9.728016535794862252e-01, 2.060754353231094349e+00, 1.486891406795453507e+00, 2.160610429841740565e+00, 4.270301988466368215e+00, 1.133288045091756624e+00, 9.110396097572996954e-01, 1.044803363579829281e+00, 2.709947665505339831e+00, 2.312327203181254287e+00, 9.915983024824469583e-01, 1.272658308963917628e+00, 1.232673459966927121e+00
1.889000000000000000e+03, 1.030365156152958539e+00, 1.940016027445521374e+00, 1.007707357800667447e+00, 1.042585523916368828e+00, 2.009913231501422537e+00, 1.473996230052178724e+00, 1.987566460437445892e+00, 4.210652428482864806e+00, 1.032767702874421767e+00, 9.096422254146635522e-01, 1.154352135121759160e+00, 2.403211767444240810e+00, 2.295376592584580155e+00, 9.997029964041632688e-01, 1.314891066648064211e+00, 1.102976720771478680e+00
1.890000000000000000e+03, 1.150862874619979603e+00, 1.476081356716849369e+00, 1.064720027295997573e+00, 7.787355459464918583e-01, 2.048658783799315319e+00, 1.409892117040977277e+00, 2.058033599445654005e+00, 4.493783339762608797e+00, 1.092912954312949658e+00, 1.048791649980401308e+00, 1.016817080442552479e+00, 2.711871831842915803e+00, 2.716709978338372355e+00, 9.346665708923295179e-01, 1.283393141603419885e+00, 9.844875904454567506e-01
1.891000000000000000e+03, 1.202429599531302351e+00, 1.902526011784314131e+00, 1.138827544538145720e+00, 8.829686619813789106e-01, 2.024167261297614484e+00, 1.544083237473858672e+00, 2.161702213994786348e+00, 4.544034042364734738e+00, 1.215835158871760191e+00, 8.817543691174581921e-01, 1.106011609864629319e+00, 2.204672529030433203e+00, 2.489010585538273368e+00, 1.021388835512787585e+00, 1.196231819515637174e+00, 1.178911608809151135e+00
1.892000000000000000e+03, 1.076605795903135876e+00, 1.874136828371087526e+00, 1.000205876242565184e+00, 1.127908210757579965e+00, 2.017328861409180440e+00, 1.448631967969155498e+00, 1.907473289178784670e+00, 4.327390051755311440e+00, 1.061586368594699792e+00, 8.796826624669150663e-01, 1.126698488752137406e+00, 2.511550168053991339e+00, 2.251115478598773034e+00, 1.030648622269225934e+00, 1.214588112947087017e+00, 1.347795498259369174e+00
1.893000000000000000e+03, 1.201627465378669379e+00, 1.301857393346502523e+00, 9.116157257626362753e-01, 1.003087327468902279e+00, 2.122840790089952190e+00, 1.366710674722765084e+00, 1.962697931914413774e+00, 4.702542471510641420e+00, 1.035836776443537222e+00, 8.679958451967657584e-01, 1.156101893581667595e+00, 2.428816500268209388e+00, 2.166588998195961402e+00, 1.039460661833376820e+00, 1.217237284393111629e+00, 1.196349297467425243e+00
1.894000000000000000e+03, 1.187790119242935427e+00, 1.480362728151983553e+00, 1.036574690192276771e+00, 8.955946080846682866e-01, 2.052437400400588086e+00, 1.308667457849711724e+00, 2.143730693891319650e+00, 4.167513265438207881e+00, 1.130409188383646235e+00, 1.077845366159637441e+00, 1.026232672748323971e+00, 2.690578480483687418e+00, 2.035656357603370825e+00, 9.646578745461481530e-01, 1.305453286605889440e+00, 1.262978124376225031e+00
1.895000000000000000e+03, 1.020977062179218020e+00, 1.587298957020805146e+00, 1.131845543180328928e+00, 8.925983763938194482e-01, 2.105490305289759778e+00, 1.309026880237844415e+00, 1.821869875526370031e+00, 4.908218850854820126e+00, 1.198974791996507916e+00, 1.095597578640761460e+00, 1.144914158509736435e+00, 2.361750312448217759e+00, 2.436599975944199858e+00, 9.971090852421198303e-01, 1.256312404762694346e+00, 1.050851896280425857e+00
1.896000000000000000e+03, 1.149995556016406573e+00, 1.217403848370243624e+00, 1.027181165040781163e+00, 8.630768743901422457e-01, 2.070202433453804503e+00, 1.304459294863804075e+00, 1.922127956676939364e+00, 5.632991163429325709e+00, 1.248379602728091786e+00, 9.752074605960477927e-01, 8.775105520177367557e-01, 2.610142731642957958e+00, 2.444769736798436899e+00, 1.085360445102754978e+00, 1.148196678053365671e+00, 1.074291379806132429e+00
1.897000000000000000e+03, 1.171215351998332377e+00, 1.656878862088118964e+00, 9.690535818404447665e-01, 9.730829893397267005e-01, 2.114747534418108810e+00, 1.471453686666300831e+00, 1.924935039956633620e+00, 4.867762269362079230e+00, 1.314071665344179296e+00, 8.255996512840809709e-01, 9.150574139248075500e-01, 3.225945403721164340e+00, 2.602220396691234061e+00, 9.133725818619550241e-01, 1.203111554895911706e+00, 1.147290225971592914e+00
1.898000000000000000e+03, 1.280581236609139140e+00, 1.609513331685356263e+00, 1.044248034026328931e+00, 1.028684764804319363e+00, 2.050611981940210882e+00, 1.483660822483354069e+00, 2.053379609805116690e+00, 4.220249961128460292e+00, 1.469458718020299370e+00, 9.931636140197269702e-01, 1.064721486569119691e+00, 2.586774930679976769e+00, 2.519556754371296226e+00, 1.145386402122777980e+00, 1.225990082658348967e+00, 1.291268704307556581e+00
1.899000000000000000e+03, 1.135545318901213685e+00, 1.702382301543202026e+00, 1.110059973729260019e+00, 9.866707514125581113e-01, 2.053032888696846303e+00, 1.562623890265773863e+00, 1.964460037878848153e+00, 4.165132019559900201e+00, 1.493113014415424322e+00, 1.046133996452288439e+00, 1.019278239327032320e+00, 2.715390925808205846e+00, 2.131054764216345099e+00, 1.103432558917958994e+00, 1.209827144613450089e+00, 1.114788035779849862e+00
1.900000000000000000e+03, 1.199174419491748633e+00, 1.703984541478448467e+00, 1.017063223123883864e+00, 1.005309694527582787e+00, 2.046824074703949226e+00, 1.591749176616102934e+00, 1.804494523878428458e+00, 4.997552180239074993e+00, 1.237528492194862162e+00, 9.364678714348045885e-01, 1.114508529306557527e+00, 2.398137632961185428e+00, 2.226598241621278174e+00, 1.022173550504968942e+00, 1.163047379922418578e+00, 1.052101827403794765e+00
1.901000000000000000e+03, 1.236228296746583855e+00, 1.693482483520212023e+00, 1.023486530299970054e+00, 1.114649056345592637e+00, 2.162630880662438582e+00, 1.571344624631393572e+00, 2.096991675569189084e+00, 4.508449996001837157e+00, 1.257877924671563230e+00, 8.989500953928801774e-01, 1.067038333187847465e+00, 2.705991183705355407e+00, 2.518971610556472118e+00, 1.014419110272365421e+00, 1.183784640463710902e+00, 1.261898411759555971e+00
1.902000000000000000e+03, 1.150917865460379552e+00, 1.456008536104102413e+00, 1.036941092539368947e+00, 8.892246543348112375e-01, 2.157447278307706995e+00, 1.545065469772154643e+00, 2.182516225087784978e+00, 4.822224252080003382e+00, 1.128467343787718402e+00, 9.131185148653491179e-01, 9.708987184193941244e-01, 2.382146852466934028e+00, 2.750594757754015074e+00, 1.058908810025777747e+00, 1.086595767392388945e+00, 1.265812092529505994e+00
