year, UKESM1-0-LL, IPSL-CM6A-LR, MIROC-ES2L, CNRM-ESM2-1, ACCESS-ESM1-5, MPI-ESM1-2-LR, CMCC-ESM2, CESM2-WACCM
1.882000000000000000e+03, 3.266369557399381210e-14, 1.988106102788599936e-10, 1.118413966819634367e-10, 9.010477449172886368e-12, 4.142140637566124288e-12, 8.499222182973889285e-11, 4.112965902385754130e-12, 1.795598119265157814e-11
1.883000000000000000e+03, 4.737006586764582466e-14, 1.844090846908012260e-10, 1.117185374252282901e-10, 9.094975673494280883e-12, 4.162043788651883809e-12, 8.049551328065038237e-11, 4.097758489520968273e-12, 2.045303474253025863e-11
1.884000000000000000e+03, 5.656107602228266643e-14, 2.010642173990980240e-10, 1.109691137573620751e-10, 9.146681592612077630e-12, 4.186466672724374973e-12, 7.579801948818209309e-11, 4.084541109367864573e-12, 1.998968465086415571e-11
1.885000000000000000e+03, 4.991399828543849389e-14, 2.034249118993525653e-10, 1.098575152080333805e-10, 9.151856770340352970e-12, 4.211566195872504679e-12, 7.824859016290965594e-11, 4.071736649333194138e-12, 1.804480047434572223e-11
1.886000000000000000e+03, 5.205535318455236001e-14, 2.260240127379070168e-10, 1.100712592611699845e-10, 9.164462060675920425e-12, 4.236761181736140557e-12, 8.713740259950684743e-11, 4.067369370961342669e-12, 1.734176310508540784e-11
1.887000000000000000e+03, 5.417532044200468413e-14, 2.161984875136268924e-10, 1.104207121442687151e-10, 9.169303551077087048e-12, 4.261452694896962985e-12, 9.327643524636898934e-11, 4.065640807842130316e-12, 1.674945728386670211e-11
1.888000000000000000e+03, 5.139957901578369374e-14, 1.985371575301727804e-10, 1.115038419699491075e-10, 9.153477852626858912e-12, 4.286241748346015935e-12, 9.580226000950121034e-11, 4.063535149743802108e-12, 1.637564691822212027e-11
1.889000000000000000e+03, 5.455562134542092529e-14, 2.348941163123356191e-10, 1.116960456019636536e-10, 9.120330525568669782e-12, 4.311571714052112082e-12, 9.776331753524677262e-11, 4.060000647448956047e-12, 1.599803381461467756e-11
1.890000000000000000e+03, 4.765694960346469202e-14, 2.103143388458192200e-10, 1.101375408767365721e-10, 9.038876039412943708e-12, 4.336344591340500934e-12, 9.270417732434867339e-11, 4.051435026827117883e-12, 1.395398383551461514e-11
1.891000000000000000e+03, 4.306729699504066545e-14, 2.086697705639335602e-10, 1.096813048065629349e-10, 8.827223034374858493e-12, 4.177443117011412969e-12, 9.493437035075773593e-11, 4.032740937509047062e-12, 2.058649069215025335e-11
1.892000000000000000e+03, 4.980879532394160383e-14, 2.215599775009092898e-10, 1.109329277148129487e-10, 8.498257306892944751e-12, 4.139513081330507494e-12, 8.500974299140382208e-11, 4.012325210201357360e-12, 1.928642659329598295e-11
1.893000000000000000e+03, 3.792890210420545012e-14, 2.160918050258374277e-10, 1.123635202802250131e-10, 8.219262584408559213e-12, 4.209974443854735307e-12, 7.852630899038188743e-11, 3.990433793591296797e-12, 1.846944033963823836e-11
