year, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, MIROC-ES2L, TaiESM1, ACCESS-ESM1-5, INM-CM5-0, CanESM5, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, IPSL-CM6A-LR, CMCC-CM2-SR5, INM-CM4-8, CESM2-WACCM
1.870000000000000000e+03, 2.879955941321836690e+02, 2.883465506419536268e+02, 2.883278535141432144e+02, 2.911874268595490207e+02, 2.896990084543383546e+02, 2.874243287336688581e+02, 2.877062969339621077e+02, 2.860354035847256569e+02, 2.884871360069548700e+02, 2.865779107644258943e+02, 2.867967059086843733e+02, 2.893874759726372190e+02, 2.854808466133447951e+02, 2.879973118393745608e+02, 2.878428783561368505e+02, 2.896170907997792483e+02
1.871000000000000000e+03, 2.872416675572191025e+02, 2.886638044095665805e+02, 2.877681068149615271e+02, 2.906124503170207163e+02, 2.896406269757188170e+02, 2.876864190388990323e+02, 2.873273248025029716e+02, 2.863462472703598110e+02, 2.887636058502928904e+02, 2.864317287283586211e+02, 2.874231496947491564e+02, 2.896872668243954649e+02, 2.860260537679162098e+02, 2.890658557871014978e+02, 2.879938858610891543e+02, 2.895243109437355997e+02
1.872000000000000000e+03, 2.877212189617438867e+02, 2.887239554091164564e+02, 2.885268677643341562e+02, 2.915524013365373435e+02, 2.903970228153856965e+02, 2.877026236403493726e+02, 2.883659393725583868e+02, 2.863288355490864774e+02, 2.886559851210160446e+02, 2.862610816765254640e+02, 2.877381995561150347e+02, 2.896773753927532766e+02, 2.862312180275728224e+02, 2.888444348489175013e+02, 2.881253893288957215e+02, 2.890902368941896725e+02
1.873000000000000000e+03, 2.880851682601580137e+02, 2.882913746466661564e+02, 2.878502150521143221e+02, 2.920940355191965523e+02, 2.900800013520587299e+02, 2.873203567727617838e+02, 2.879886749085022188e+02, 2.864064318262005031e+02, 2.884185834159689534e+02, 2.871953497996497617e+02, 2.884093039161435286e+02, 2.893403558196569065e+02, 2.861407724227222502e+02, 2.885339985020927429e+02, 2.878371509784254840e+02, 2.890783966174375337e+02
1.874000000000000000e+03, 2.880047795312780750e+02, 2.885058843418610763e+02, 2.887412158297462952e+02, 2.911785204443000339e+02, 2.896988569188770839e+02, 2.879028776479236171e+02, 2.879010235494399694e+02, 2.865299273667691864e+02, 2.891760819671616787e+02, 2.866672840314424775e+02, 2.874426548846244600e+02, 2.890507264931478062e+02, 2.859634845240843219e+02, 2.893811919703637159e+02, 2.879825161531364870e+02, 2.895622521678122325e+02
1.875000000000000000e+03, 2.874503472890575608e+02, 2.887305063634058229e+02, 2.874977155211364561e+02, 2.916656774346311067e+02, 2.902943069266356133e+02, 2.877616252683747007e+02, 2.879819003735148044e+02, 2.865070934741315227e+02, 2.888375066853578232e+02, 2.865037983784100106e+02, 2.873686283236294798e+02, 2.894979983262134624e+02, 2.855616515444634160e+02, 2.887800958705076937e+02, 2.882150376928660762e+02, 2.893866863421378071e+02
1.876000000000000000e+03, 2.879152741651441829e+02, 2.884884369611148145e+02, 2.869003994347426669e+02, 2.917127654781106116e+02, 2.903383407724789436e+02, 2.877247100885409168e+02, 2.877948297482486169e+02, 2.866003597275845891e+02, 2.885041161263625327e+02, 2.864835337565828581e+02, 2.880037431134731492e+02, 2.896306145092877955e+02, 2.864666224733788340e+02, 2.885000277890584357e+02, 2.878876441726155235e+02, 2.897242596280394196e+02
1.877000000000000000e+03, 2.878576105175303042e+02, 2.882826635635682919e+02, 2.884351387736609240e+02, 2.918117032685004233e+02, 2.897610209446100953e+02, 2.875306320606244981e+02, 2.881913281575715473e+02, 2.866891042912185981e+02, 2.892559336485433619e+02, 2.864284790174300497e+02, 2.881839705315376818e+02, 2.889152448230537971e+02, 2.865287174120583700e+02, 2.879598237908515443e+02, 2.882284860921851646e+02, 2.889481090347834993e+02
1.878000000000000000e+03, 2.882383045936741155e+02, 2.886357429961996104e+02, 2.883112180099827242e+02, 2.911729137087961590e+02, 2.897541699926783849e+02, 2.877692822803857098e+02, 2.879015722504273072e+02, 2.863950949224991973e+02, 2.888909174258507733e+02, 2.867736761340067915e+02, 2.884909795280532876e+02, 2.894346065550093954e+02, 2.858783911933643367e+02, 2.884991626664428850e+02, 2.874383986714889261e+02, 2.895203722691916255e+02
1.879000000000000000e+03, 2.884899802762495256e+02, 2.888813703981871299e+02, 2.880095008356200879e+02, 2.915103372065414078e+02, 2.900934846974694779e+02, 2.881011615485688253e+02, 2.876232725764224369e+02, 2.861552505381810079e+02, 2.887423473660579702e+02, 2.866268939465028325e+02, 2.876278607072386535e+02, 2.896837615204680674e+02, 2.861272614536351284e+02, 2.882939323551980237e+02, 2.875415117899148072e+02, 2.893144233782344372e+02
