year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, NorESM2-LM, NorESM2-MM, TaiESM1, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg, TaiESM1, CESM2-WACCM
1.874000000000000000e+03, 5.472040133472881785e-11, 1.099675859002077791e-10, 5.971970164901294313e-11, 3.370968553933549917e-10, 1.018553667510463642e-10, 5.971970164901294313e-11, 3.024768167375338628e-11, 5.542307848770173482e-11, 1.099675859002077791e-10, 3.010392341090146359e-10, 3.024768167375338628e-11, 1.025439448044005925e-10
1.875000000000000000e+03, 8.630984436800148516e-11, 1.301464749979956107e-10, 7.621591678180288401e-11, 4.260055737110747577e-10, 9.412043059626286604e-11, 7.621591678180288401e-11, 2.453780927572973124e-11, 8.698146303638470665e-11, 1.301464749979956107e-10, 3.698896930876030787e-10, 2.453780927572973124e-11, 1.063941457486612835e-10
1.876000000000000000e+03, 1.062491848414765834e-10, 1.027605949638244096e-10, 7.639049765270821714e-11, 4.151736858689129607e-10, 1.554886797464264243e-10, 7.639049765270821714e-11, 2.356847480886077890e-11, 1.069694289435555279e-10, 1.027605949638244096e-10, 3.097494472633237849e-10, 2.356847480886077890e-11, 1.187049181264148561e-10
1.877000000000000000e+03, 8.265571394064991676e-11, 1.032430093708214454e-10, 8.710700407254136097e-11, 3.868186763865857026e-10, 1.642789875093231922e-10, 8.710700407254136097e-11, 2.386379630138121678e-11, 8.340858765797796635e-11, 1.032430093708214454e-10, 3.197007192866231487e-10, 2.386379630138121678e-11, 8.056372171227288251e-11
1.878000000000000000e+03, 4.045616331971401483e-11, 1.131528275607219834e-10, 9.072974651269878508e-11, 3.735306202918934500e-10, 7.988259193134612553e-11, 9.072974651269878508e-11, 2.579148184031337872e-11, 4.114735955109979218e-11, 1.131528275607219834e-10, 2.261599977622145604e-10, 2.579148184031337872e-11, 7.734501987746834398e-11
1.879000000000000000e+03, 6.590644070552750401e-11, 1.096649710187154326e-10, 1.008531562569178058e-10, 2.969137930404745396e-10, 8.928678001297795828e-11, 1.008531562569178058e-10, 2.491547193592628905e-11, 6.663780168002982723e-11, 1.096649710187154326e-10, 3.184954924378483026e-10, 2.491547193592628905e-11, 8.015295909488374057e-11
1.880000000000000000e+03, 5.592967774378613276e-11, 8.699047872666090677e-11, 6.024261304517363181e-11, 2.876360705619681238e-10, 8.625940261457797793e-11, 6.024261304517363181e-11, 3.105371176958780247e-11, 5.666066896543077133e-11, 8.699047872666090677e-11, 3.250255730141633593e-10, 3.105371176958780247e-11, 1.146355550621363639e-10
1.881000000000000000e+03, 7.896034813554941343e-11, 9.769757502090887553e-11, 6.374529702590023232e-11, 3.300088101515582590e-10, 9.548614228607173636e-11, 6.374529702590023232e-11, 2.668137902971864110e-11, 7.970362011985463456e-11, 9.769757502090887553e-11, 2.531796839185819017e-10, 2.668137902971864110e-11, 1.500206159049303061e-10
1.882000000000000000e+03, 1.097436691256625181e-10, 9.540929744940478209e-11, 5.803224734903664369e-11, 4.123628237935041699e-10, 7.785907144390565171e-11, 5.803224734903664369e-11, 2.267562631124677884e-11, 1.105226230738358786e-10, 9.540929744940478209e-11, 1.735815358175067069e-10, 2.267562631124677884e-11, 1.051855368083435345e-10
1.883000000000000000e+03, 5.555727340956064678e-11, 1.296710935145237189e-10, 9.306558714808316589e-11, 3.788000504314594654e-10, 1.005894165435017460e-10, 9.306558714808316589e-11, 3.063039531845337249e-11, 5.631813030598891268e-11, 1.296710935145237189e-10, 3.419907056521529298e-10, 3.063039531845337249e-11, 8.311448177051652366e-11
1.884000000000000000e+03, 9.000610433683449284e-11, 1.031643355239804257e-10, 9.273318837102019705e-11, 3.729662330633632716e-10, 1.038906307995106371e-10, 9.273318837102019705e-11, 2.809824021971972786e-11, 9.076555609077094295e-11, 1.031643355239804257e-10, 8.804016400106641627e-10, 2.809824021971972786e-11, 8.321457467649030924e-11
1.885000000000000000e+03, 6.949100409534750184e-11, 1.213518371116970613e-10, 7.023866067600673485e-11, 3.610404455547489812e-10, 8.259408077806435867e-11, 7.023866067600673485e-11, 2.664418721083357942e-11, 7.029033851905404917e-11, 1.213518371116970613e-10, 4.720947364854672499e-10, 2.664418721083357942e-11, 9.547308123367315518e-11
1.886000000000000000e+03, 7.987351077901117272e-11, 1.080539193826131790e-10, 6.390950528026187851e-11, 3.487542244661545514e-10, 1.012680210807573761e-10, 6.390950528026187851e-11, 3.391279371754462625e-11, 8.065182682720942956e-11, 1.080539193826131790e-10, 1.838335003010447626e-10, 3.391279371754462625e-11, 1.204109311005229191e-10
1.887000000000000000e+03, 5.836206144708096226e-11, 1.040781565799762125e-10, 7.749746111973513544e-11, 3.392495978263223979e-10, 9.562638791204982031e-11, 7.749746111973513544e-11, 3.018633940224741221e-11, 5.915340481741544598e-11, 1.040781565799762125e-10, 2.006206557162345454e-10, 3.018633940224741221e-11, 8.733638011500221929e-11
1.888000000000000000e+03, 4.952907956542234568e-11, 1.114750733540236523e-10, 8.583054064315725450e-11, 3.559617856158096198e-10, 9.094095551039166051e-11, 8.583054064315725450e-11, 2.564304147588863129e-11, 5.031615812687267074e-11, 1.114750733540236523e-10, 4.131387628898201864e-10, 2.564304147588863129e-11, 9.881983455053920301e-11
1.889000000000000000e+03, 8.734920911741913106e-11, 9.954193005178592873e-11, 9.576974898307262740e-11, 4.546641340770719126e-10, 1.083988644115271097e-10, 9.576974898307262740e-11, 3.222895714201414835e-11, 8.810928155989984020e-11, 9.954193005178592873e-11, 5.708108883338111789e-10, 3.222895714201414835e-11, 8.565474308933173287e-11
1.890000000000000000e+03, 4.748288628675730623e-11, 8.858791818549587405e-11, 1.010036794341250887e-10, 3.872550988113884064e-10, 9.782535464505221113e-11, 1.010036794341250887e-10, 2.042132973478559837e-11, 4.824525950699018192e-11, 8.858791818549587405e-11, 5.036179696066518561e-10, 2.042132973478559837e-11, 8.889866800260208216e-11
1.891000000000000000e+03, 9.494025031923174533e-11, 1.101656700413853201e-10, 6.835791581388873972e-11, 4.952905909387950857e-10, 6.696106403901972601e-11, 6.835791581388873972e-11, 2.589780361619126020e-11, 9.575326070764126576e-11, 1.101656700413853201e-10, 2.338948355709145130e-10, 2.589780361619126020e-11, 6.128088479134709710e-11
1.892000000000000000e+03, 1.104989947089264398e-10, 1.047202349050980866e-10, 5.893297946778985967e-11, 4.488259803984440819e-10, 8.886269727540689313e-11, 5.893297946778985967e-11, 3.100482997208987850e-11, 1.113400780451565069e-10, 1.047202349050980866e-10, 2.327410598938552082e-10, 3.100482997208987850e-11, 9.618435242165649597e-11
1.893000000000000000e+03, 8.248492790003938196e-11, 1.060223877309847685e-10, 8.009161179204581637e-11, 3.909656299500338118e-10, 9.458902415546407114e-11, 8.009161179204581637e-11, 3.564657417774795057e-11, 8.331916750214359055e-11, 1.060223877309847685e-10, 2.654800099927590578e-10, 3.564657417774795057e-11, 7.629354591900630729e-11
1.894000000000000000e+03, 1.032928238473834980e-10, 1.100032354692234576e-10, 1.044765116901634881e-10, 3.059732838086950318e-10, 7.534549354236479489e-11, 1.044765116901634881e-10, 2.630651415171993783e-11, 1.041348701081595262e-10, 1.100032354692234576e-10, 5.101493202023246675e-10, 2.630651415171993783e-11, 7.314647127110764362e-11
1.895000000000000000e+03, 1.117220442222485869e-10, 1.236817570075980992e-10, 9.645222984767172567e-11, 3.280715441232025524e-10, 9.199795078676924474e-11, 9.645222984767172567e-11, 2.550490897059053283e-11, 1.126036813325749863e-10, 1.236817570075980992e-10, 1.956956361539182477e-10, 2.550490897059053283e-11, 9.501272464221255754e-11
1.896000000000000000e+03, 9.492892618863781733e-11, 8.480009646492800219e-11, 8.412924482893293104e-11, 3.970891664346568570e-10, 1.014643380468352259e-10, 8.412924482893293104e-11, 2.856347458305557219e-11, 9.578486955962425220e-11, 8.480009646492800219e-11, 1.911483738294326035e-10, 2.856347458305557219e-11, 8.525358734234485149e-11
