year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-LM, NorESM2-MM, TaiESM1
1.889000000000000000e+03, 8.734920911741913106e-11, 9.954193005178592873e-11, 1.083988644115271097e-10, 9.576974898307262740e-11, 3.222895714201414835e-11
1.890000000000000000e+03, 4.748288628675730623e-11, 8.858791818549587405e-11, 9.782535464505221113e-11, 1.010036794341250887e-10, 2.042132973478559837e-11
1.891000000000000000e+03, 9.494025031923174533e-11, 1.101656700413853201e-10, 6.696106403901972601e-11, 6.835791581388873972e-11, 2.589780361619126020e-11
1.892000000000000000e+03, 1.104989947089264398e-10, 1.047202349050980866e-10, 8.886269727540689313e-11, 5.893297946778985967e-11, 3.100482997208987850e-11
1.893000000000000000e+03, 8.248492790003938196e-11, 1.060223877309847685e-10, 9.458902415546407114e-11, 8.009161179204581637e-11, 3.564657417774795057e-11
1.894000000000000000e+03, 1.032928238473834980e-10, 1.100032354692234576e-10, 7.534549354236479489e-11, 1.044765116901634881e-10, 2.630651415171993783e-11
1.895000000000000000e+03, 1.117220442222485869e-10, 1.236817570075980992e-10, 9.199795078676924474e-11, 9.645222984767172567e-11, 2.550490897059053283e-11
1.896000000000000000e+03, 9.492892618863781733e-11, 8.480009646492800219e-11, 1.014643380468352259e-10, 8.412924482893293104e-11, 2.856347458305557219e-11
1.897000000000000000e+03, 7.059020175036637685e-11, 9.080825229978322399e-11, 8.907849407223275931e-11, 7.682425689651509886e-11, 3.144785573043391182e-11
1.898000000000000000e+03, 7.905269417980406109e-11, 1.004258326796859927e-10, 8.410798056566086185e-11, 6.807431117318934246e-11, 2.302718418076404737e-11
1.899000000000000000e+03, 1.060984436518586608e-10, 1.521569232203586231e-10, 9.723031614294186154e-11, 9.199264501268487179e-11, 2.011880341570162135e-11
1.900000000000000000e+03, 9.564074576508605332e-11, 9.055731307253678795e-11, 1.155544486421418733e-10, 8.544462724449992589e-11, 3.083053599055017653e-11
1.901000000000000000e+03, 8.156109743715515093e-11, 1.396397525260109315e-10, 1.088529672099320202e-10, 6.665617365586881938e-11, 2.257314660675668898e-11
1.902000000000000000e+03, 9.908915794245218759e-11, 9.902268164442199764e-11, 1.080552547354492035e-10, 1.005946352010384724e-10, 2.816788171367189956e-11
1.903000000000000000e+03, 4.596816913315046211e-11, 1.139882172552639532e-10, 7.657372217724503385e-11, 6.342065174801491090e-11, 2.486517975133078652e-11
1.904000000000000000e+03, 6.553971884111280855e-11, 1.451448495546865909e-10, 7.878857038116744532e-11, 7.698297926391915676e-11, 1.723361259373177032e-11
1.905000000000000000e+03, 7.443844817050476158e-11, 1.007348639531249161e-10, 8.530536355781558488e-11, 1.237189693655360044e-10, 2.662647609600444706e-11
1.906000000000000000e+03, 1.240311957442661561e-10, 1.159235098970014305e-10, 9.084502439715646192e-11, 9.430565755392666924e-11, 3.087198203769428390e-11
1.907000000000000000e+03, 7.541186642952953946e-11, 8.362362752983130727e-11, 1.159987278635551517e-10, 8.448843170165938234e-11, 1.822305642262724742e-11
1.908000000000000000e+03, 5.668063978071205389e-11, 9.144201736832890009e-11, 1.052411819611135678e-10, 8.075767184240619703e-11, 2.760347212013107328e-11
1.909000000000000000e+03, 7.910683224638830061e-11, 1.503541435173981615e-10, 9.801172663017262867e-11, 7.558358411219935991e-11, 2.191854921630383295e-11
1.910000000000000000e+03, 4.824528442898084135e-11, 9.786315642585546707e-11, 8.972858798564134244e-11, 8.671986540467662584e-11, 2.256586511367617152e-11
1.911000000000000000e+03, 8.257360278105914509e-11, 1.367833263674164244e-10, 8.502487159402292405e-11, 7.276737908962047341e-11, 2.535325679852722544e-11
1.912000000000000000e+03, 7.862906036455375133e-11, 1.184583547588489188e-10, 7.000276765973602290e-11, 7.242578708375183669e-11, 3.188662267011635356e-11
1.913000000000000000e+03, 8.123348589877197232e-11, 1.112257274335261559e-10, 6.314259113249734221e-11, 6.402890463697164382e-11, 3.602121792144473883e-11
1.914000000000000000e+03, 6.805089527624716951e-11, 8.556298075878627029e-11, 8.517870956811434746e-11, 7.698569137512437647e-11, 3.905658407688708847e-11
1.915000000000000000e+03, 9.847365882418836618e-11, 1.275150736382967974e-10, 9.133972536208916987e-11, 1.009855163423344106e-10, 4.885437495796258759e-11
1.916000000000000000e+03, 6.090663045018445926e-11, 9.857397122751229229e-11, 7.451817965610331908e-11, 8.663644369241475021e-11, 5.284110052008623998e-11
1.917000000000000000e+03, 5.668719934247854428e-11, 1.074453636662930462e-10, 8.365201355495826028e-11, 1.068409170363272479e-10, 4.135264111090868425e-11
1.918000000000000000e+03, 6.866632360337491410e-11, 1.007736898204613291e-10, 9.353091008676683344e-11, 8.382116124135640625e-11, 4.374904607724687157e-11
1.919000000000000000e+03, 6.574320610312807062e-11, 1.101678136678935215e-10, 9.168766603246522885e-11, 9.795748536119724770e-11, 4.366842559245747499e-11
1.920000000000000000e+03, 5.458851223195415152e-11, 9.193014666835392782e-11, 1.139775331343481752e-10, 7.615534631052387371e-11, 3.074488138733549218e-11
1.921000000000000000e+03, 1.018931131868457834e-10, 1.027120573438222922e-10, 9.470180243454931793e-11, 8.592282383782452077e-11, 3.430622800801768333e-11
1.922000000000000000e+03, 8.243625670366233174e-11, 1.038330518883624081e-10, 9.272596105236408768e-11, 9.085977619602307418e-11, 2.699009792355112155e-11
1.923000000000000000e+03, 6.814112648689120119e-11, 1.008163234972782861e-10, 9.524492421532935437e-11, 9.473632339684094989e-11, 2.213392945044225452e-11
1.924000000000000000e+03, 6.244837882003688265e-11, 1.129375658975587124e-10, 1.017412213499847340e-10, 8.855197975310907581e-11, 2.127110408509864707e-11
1.925000000000000000e+03, 1.070532989708695221e-10, 1.072647878793584326e-10, 1.229167890212111614e-10, 7.676579903801940052e-11, 3.439485875383447207e-11
1.926000000000000000e+03, 7.708500723743156630e-11, 1.108133157428714538e-10, 8.661998336949044212e-11, 7.795688424688415700e-11, 3.262229142068877337e-11
1.927000000000000000e+03, 4.803784868502857878e-11, 1.036887502767416831e-10, 8.712292811734380523e-11, 1.010839957995184268e-10, 2.477130461176156391e-11
1.928000000000000000e+03, 8.033579362826974298e-11, 9.766246022305736914e-11, 1.016141096103699813e-10, 9.721503483013862728e-11, 2.331346743224603971e-11
1.929000000000000000e+03, 4.231342987667927085e-11, 1.289987205097725462e-10, 9.260349687978050818e-11, 9.003332268811444237e-11, 3.813020796406830716e-11
1.930000000000000000e+03, 7.163603310086613426e-11, 1.036308630714226861e-10, 9.493710375296148187e-11, 6.688667126234498290e-11, 2.913568732255999803e-11
1.931000000000000000e+03, 7.818234117041372953e-11, 1.038563582932238384e-10, 9.717327362802124898e-11, 8.881766089728978183e-11, 1.648724265116329609e-11
1.932000000000000000e+03, 6.977502302492732667e-11, 1.183610674332166342e-10, 1.039185421157579813e-10, 9.865684102898942716e-11, 3.312039452940580162e-11
1.933000000000000000e+03, 1.173213580367351787e-10, 1.192999109401901093e-10, 1.099067102560509014e-10, 9.390457573047298001e-11, 2.910589757131948371e-11
1.934000000000000000e+03, 8.529187740125245645e-11, 9.768234825179821541e-11, 1.202795481049031176e-10, 5.737851175488732095e-11, 1.773547890059129443e-11
1.935000000000000000e+03, 6.449882483263141280e-11, 9.290163981409774928e-11, 8.081633065844016161e-11, 8.422959061914586339e-11, 3.096242229616226462e-11
1.936000000000000000e+03, 6.183944805087647489e-11, 1.033441126008040239e-10, 1.086153381929513607e-10, 9.969581761722204718e-11, 2.243019683450627633e-11
1.937000000000000000e+03, 8.510266857861937613e-11, 8.728971625311675760e-11, 1.055755841301434623e-10, 7.910788603951911578e-11, 2.154426190074562458e-11
1.938000000000000000e+03, 4.755108461919690312e-11, 1.342582858572017069e-10, 9.006844658302523969e-11, 6.128744728512966971e-11, 3.435179621979778534e-11
1.939000000000000000e+03, 5.196917136145164749e-11, 1.097064878508494258e-10, 7.984432108347672702e-11, 6.117817372297274890e-11, 2.989779724864862732e-11
1.940000000000000000e+03, 7.220702749271780735e-11, 9.587334844393923466e-11, 8.208237006662123049e-11, 7.104384944889423252e-11, 2.288543730619211647e-11
1.941000000000000000e+03, 1.052281646884746713e-10, 1.097386189784887528e-10, 8.525542913491137691e-11, 1.310368780033744718e-10, 2.480537557496312558e-11
1.942000000000000000e+03, 8.787794161808097788e-11, 1.067876464010238545e-10, 1.150030972021758935e-10, 8.815667776108527262e-11, 2.974541946850179875e-11
1.943000000000000000e+03, 5.047548006627026434e-11, 1.325336208115719754e-10, 8.180946909079627824e-11, 8.219332095503485001e-11, 2.206781578247078303e-11
1.944000000000000000e+03, 9.748676851239032200e-11, 1.038957707196230143e-10, 9.946329466955665502e-11, 1.101984361847039572e-10, 2.318034894703603786e-11
1.945000000000000000e+03, 1.073099376638854642e-10, 1.056381677952750849e-10, 1.021796664506666520e-10, 6.047821063657340485e-11, 2.836168405859744456e-11
1.946000000000000000e+03, 4.655559182294399350e-11, 1.053251132989725702e-10, 1.064986888511408806e-10, 7.288962093740265553e-11, 2.534413585704690786e-11
1.947000000000000000e+03, 7.244239173507056292e-11, 1.096874462454322656e-10, 8.416200817727442692e-11, 6.290999545534837023e-11, 1.832334515704885018e-11
1.948000000000000000e+03, 8.474197865456230133e-11, 1.131396311539589495e-10, 6.519506545813709019e-11, 7.665121529951859575e-11, 2.320364208952852703e-11
1.949000000000000000e+03, 5.656701301754835823e-11, 1.235151075044167310e-10, 6.820933574023210426e-11, 1.001766620757552771e-10, 2.930054183683847010e-11
1.950000000000000000e+03, 4.365610871276526479e-11, 9.789182774592324765e-11, 7.961005258808131765e-11, 9.180076661989172158e-11, 3.044017582203541787e-11
1.951000000000000000e+03, 8.624767263431627925e-11, 9.363252559630114695e-11, 8.160707558924964566e-11, 5.989172481051332334e-11, 1.976804129158504659e-11
1.952000000000000000e+03, 6.055892956296252086e-11, 1.100543174086764413e-10, 1.071915986613153758e-10, 6.804536710852103753e-11, 2.787839066912178386e-11
1.953000000000000000e+03, 7.009927100555583110e-11, 9.590933404533918939e-11, 1.047186512421490897e-10, 8.650371631914635056e-11, 3.326811824274627510e-11
1.954000000000000000e+03, 5.782504199237801179e-11, 9.278555323726603960e-11, 9.547402573696961125e-11, 9.079200816891042309e-11, 2.230849106973095382e-11
1.955000000000000000e+03, 6.027496486296269957e-11, 1.108149457881722818e-10, 6.773795019679207997e-11, 1.096190016717565326e-10, 2.151014194287082573e-11
1.956000000000000000e+03, 8.199119210078242817e-11, 9.023552729519173135e-11, 9.215110958049095221e-11, 8.805571107026192645e-11, 2.078729222032698858e-11
1.957000000000000000e+03, 6.331939313114812840e-11, 1.149123855905531720e-10, 9.180292713061361401e-11, 9.331378619122735560e-11, 2.277260907923922361e-11
1.958000000000000000e+03, 3.453057098591691012e-11, 1.076207309935937198e-10, 8.324644945103852592e-11, 7.863315758672848602e-11, 2.628370692630512817e-11
1.959000000000000000e+03, 2.822114020081033606e-11, 8.930415071204541670e-11, 7.957675885140152146e-11, 7.213805310738459003e-11, 1.815949149903045936e-11
1.960000000000000000e+03, 4.898447260231926447e-11, 9.041044955051972518e-11, 8.259574490219465275e-11, 7.396955756024834360e-11, 3.097214041379549083e-11
1.961000000000000000e+03, 5.358877400409797146e-11, 9.048167561744695014e-11, 8.727660689685461731e-11, 7.098567071557867091e-11, 1.998460410264966653e-11
1.962000000000000000e+03, 4.120397758079466202e-11, 9.417006999291317981e-11, 6.911050545768804959e-11, 6.805033865975704793e-11, 1.891551529813153175e-11
