year, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, GFDL-ESM4, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-MM, TaiESM1, CanESM5, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5
1.870000000000000000e+03, 5.341211290816595403e-01, 1.489828338861915569e+00, 7.060539085274876392e+00, 6.207266699908138285e-01, 1.032852121075159779e+00, 1.197641222319941079e+00, 1.508622102417219280e+00, 5.277403880410881376e-01, 2.015606312369094544e-01, 3.934877538963403421e+00, 6.597681461737624709e+00, 3.640791462379281196e+00, 7.018206323665791002e-01
1.871000000000000000e+03, 5.338724276238259181e-01, 1.487206655317025117e+00, 7.082677152383437758e+00, 6.360638402287895898e-01, 1.026374402295739952e+00, 1.203688601078866771e+00, 1.621204830717030809e+00, 5.339931123336136842e-01, 1.394256448141169280e-01, 3.966069573005239324e+00, 6.616899408811890204e+00, 3.622981467592844229e+00, 7.282455630714981254e-01
1.872000000000000000e+03, 5.271777496723232259e-01, 1.470049155528326601e+00, 7.078577012588218587e+00, 6.720109672295534464e-01, 1.018584282336731484e+00, 1.196564508616753564e+00, 1.552885334565254905e+00, 4.957259629269777368e-01, 1.553683557321835218e-01, 4.016246894089305464e+00, 6.619844906124669137e+00, 3.615344855846886585e+00, 7.588861913869276998e-01
1.873000000000000000e+03, 5.636461553683292935e-01, 1.482622144938874564e+00, 7.104581945720321201e+00, 6.446239320704009179e-01, 1.017434626706642531e+00, 1.196649377812624593e+00, 1.487090114928489637e+00, 5.174522536563493924e-01, 1.783806942328327039e-01, 3.997132607672305493e+00, 6.606506203177820780e+00, 3.607557538560083987e+00, 7.191675961219922142e-01
1.874000000000000000e+03, 5.718355492664445316e-01, 1.501581840654338418e+00, 7.107058147297763639e+00, 6.585713678082629752e-01, 1.030355349397201747e+00, 1.200101944776689411e+00, 1.583942549120304522e+00, 4.909891481226016374e-01, 1.738390065504347715e-01, 3.967032353273496792e+00, 6.613792975492821746e+00, 3.630266332726158840e+00, 7.173762174178683892e-01
1.875000000000000000e+03, 5.536385887714385667e-01, 1.492218220628843239e+00, 7.082160796508722100e+00, 6.261419102634753209e-01, 1.023881917170762934e+00, 1.179796572845059899e+00, 1.630626379515973667e+00, 4.843002510085002710e-01, 1.565255610883218296e-01, 4.027927468298903690e+00, 6.614431944715421174e+00, 3.620028535879273424e+00, 7.462474833190090306e-01
1.876000000000000000e+03, 5.460477547001744147e-01, 1.496350945062102200e+00, 7.069097532682964591e+00, 6.185317666878135112e-01, 1.050022305545597501e+00, 1.159832007391217168e+00, 1.587882984579341850e+00, 5.146225298766997636e-01, 1.414890478151266395e-01, 4.045706668901776659e+00, 6.614754625081143757e+00, 3.590893261470498032e+00, 7.638531386676389312e-01
1.877000000000000000e+03, 5.518593738935327897e-01, 1.495763841301707142e+00, 7.057386601439061380e+00, 5.896842391340849643e-01, 1.070594054623930313e+00, 1.143747882264409599e+00, 1.506040520569559060e+00, 5.123402056871017018e-01, 1.592730060371660983e-01, 4.121587529924638282e+00, 6.621393422581115296e+00, 3.575522169665100947e+00, 7.453099113180314816e-01
1.878000000000000000e+03, 5.439086273011684014e-01, 1.492702377648770451e+00, 7.031713029123677572e+00, 5.666471060895902356e-01, 1.026378643286314674e+00, 1.126135535103381713e+00, 1.427903225704308054e+00, 5.568027807590939515e-01, 1.803291676389166265e-01, 4.166750001687464788e+00, 6.633088900604080962e+00, 3.577977055236601700e+00, 7.158945895120493175e-01
1.879000000000000000e+03, 5.527740787825626834e-01, 1.498843873712361274e+00, 7.012113280503767143e+00, 5.819070780983440772e-01, 1.026178945269165643e+00, 1.084457555215991187e+00, 1.424133004027743787e+00, 5.644580821942889459e-01, 1.794473004731956811e-01, 4.142842289070906681e+00, 6.655023679006872861e+00, 3.614664963951538912e+00, 7.914209669713981876e-01
