year, GFDL-ESM4, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, TaiESM1, NorESM2-MM, NorESM2-LM, INM-CM5-0, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, MIROC-ES2L, CMCC-ESM2, CanESM5, INM-CM4-8, ACCESS-ESM1-5
1.870000000000000000e+03, 3.529339942661365859e-01, 5.668873623692449737e-01, 5.955087674802032049e-01, 8.986718249551337578e-01, 2.021308993842400870e-01, 1.605308976789435182e-01, 1.834156250897580054e-01, 5.371187048727913416e-01, 2.820417997687535983e-01, 2.495248328041970443e-01, 1.695821724368915817e-01, 1.639676233923643422e-01, 1.707519174641863036e-01, 1.453832357974946254e-01, 4.619896058477261369e-01, 2.441014166044368217e-01
1.871000000000000000e+03, 3.444437949134850907e-01, 5.595897248824298620e-01, 5.664024161499755516e-01, 9.208596545212597295e-01, 2.162742118147832904e-01, 1.678241500228029870e-01, 2.088298386062074907e-01, 5.914621684377663335e-01, 2.767202968622498593e-01, 2.539907115877911847e-01, 1.684412677534917746e-01, 1.848692903244077701e-01, 1.987062068541682880e-01, 1.388851257807127149e-01, 5.046949799559722338e-01, 2.321864588036881005e-01
1.872000000000000000e+03, 3.533056775763281920e-01, 5.612890682040559964e-01, 6.447187809132798320e-01, 9.355712566920479922e-01, 2.457752535399437832e-01, 1.956462029231574862e-01, 2.079624571694433932e-01, 5.733495325305156820e-01, 2.701470520212198578e-01, 2.358229885942312309e-01, 1.801227850804693609e-01, 1.729424539761126589e-01, 2.444953388677148509e-01, 1.417714454333029450e-01, 4.687959127243702673e-01, 2.357820290438650268e-01
1.873000000000000000e+03, 3.528973082707647091e-01, 5.809731837640237373e-01, 6.920698140105079332e-01, 9.876528321429427493e-01, 2.398009604079565926e-01, 1.674551180163387776e-01, 2.100173186801633507e-01, 5.622500128157794652e-01, 2.755808976304840452e-01, 2.519103378297275486e-01, 1.830817317325773019e-01, 1.930955316710981917e-01, 2.371570922687324112e-01, 1.496768304564525809e-01, 4.784432510205871569e-01, 2.535717816803760294e-01
1.874000000000000000e+03, 3.567417080516645522e-01, 5.502239965210240502e-01, 6.496021032133932893e-01, 9.437236317160664356e-01, 2.293594345969125481e-01, 2.069560610260032796e-01, 1.799951145622757098e-01, 5.496201391289800009e-01, 2.634501202759835792e-01, 2.194053986925345590e-01, 1.759424876318435860e-01, 1.792930039511275164e-01, 2.024950417198195518e-01, 1.526722511715577213e-01, 4.492321935295198188e-01, 2.446671481856677322e-01
1.875000000000000000e+03, 3.620399622159024000e-01, 5.386524848865493764e-01, 5.418340324499014704e-01, 9.080548154973684394e-01, 2.293975929720452334e-01, 2.024035087977349434e-01, 1.701457555027852120e-01, 5.943741720020823127e-01, 2.545854116846240633e-01, 2.123294986303270182e-01, 1.780784332259041647e-01, 1.671734438213608176e-01, 1.782236485680581128e-01, 1.477939595049413135e-01, 5.146302226806955815e-01, 2.313216916720489957e-01
1.876000000000000000e+03, 3.516351986893298531e-01, 5.322468914718698763e-01, 5.430038112587750598e-01, 9.026356536729907010e-01, 2.480767397276697483e-01, 1.691578296664281722e-01, 2.086150570364808665e-01, 5.791472358778609886e-01, 2.632469073587802022e-01, 1.972909690257479975e-01, 1.803033999460413872e-01, 1.646411488617424423e-01, 1.717924883015646553e-01, 1.478391607323289725e-01, 5.045148350050070452e-01, 2.323951643107614318e-01
1.877000000000000000e+03, 3.394810185608646558e-01, 5.261126464036932626e-01, 5.359953136397764828e-01, 9.406625795938599044e-01, 2.663858337736196846e-01, 2.088759430005628637e-01, 2.334573030922233172e-01, 5.910536723418488014e-01, 2.733130160807566433e-01, 2.267097882787381113e-01, 1.766755329965088717e-01, 1.693817984210793381e-01, 1.843077237083021458e-01, 1.479072952201044289e-01, 4.577707848279682912e-01, 2.367099428224477276e-01
1.878000000000000000e+03, 3.533067017880716087e-01, 5.607950706973141575e-01, 6.763849963671481058e-01, 9.638870580387756126e-01, 2.674300074239412961e-01, 2.076682388245554567e-01, 2.475389148516541349e-01, 5.247699447461799949e-01, 2.869091278260853528e-01, 2.639832184834040030e-01, 1.761348168070248077e-01, 1.845388120276915123e-01, 2.266115757251088714e-01, 1.470602138235870826e-01, 4.535848342754987828e-01, 2.282081858759653081e-01
1.879000000000000000e+03, 3.532503942725507828e-01, 5.770478247434804864e-01, 7.300867444754962632e-01, 9.384578572139772312e-01, 2.478695815866447383e-01, 1.895612273115140911e-01, 1.901835442425952594e-01, 5.561428947065856221e-01, 2.789336035407850023e-01, 2.845851111841064540e-01, 1.653278918623826144e-01, 1.913326100603862934e-01, 2.214003915096600661e-01, 1.523045888679185889e-01, 4.695493884154121611e-01, 2.144302260134690608e-01
1.880000000000000000e+03, 3.530291672933175695e-01, 5.687804124840205588e-01, 6.151763932659872758e-01, 9.400887530471914166e-01, 2.344229344620833988e-01, 2.125872307284875362e-01, 2.314260821667361856e-01, 5.434905053631026162e-01, 2.932922598102870593e-01, 2.759168990811681210e-01, 1.659490680604935320e-01, 1.826331459204686425e-01, 1.935892839303301471e-01, 1.466490738606477662e-01, 4.684755249198659932e-01, 1.989385351107326450e-01
1.881000000000000000e+03, 3.548355128326902697e-01, 5.571702119890847849e-01, 6.930565288013750269e-01, 9.103681840144427495e-01, 2.120209072674746342e-01, 2.164973189319932545e-01, 2.082759165119869860e-01, 5.572686148631365022e-01, 2.941496781962465445e-01, 2.579203459488030870e-01, 1.845432547957886471e-01, 1.755208788413895327e-01, 1.754749047297838871e-01, 1.565761501029238612e-01, 4.307073665689661324e-01, 2.142708005067662791e-01
1.882000000000000000e+03, 3.408315610469535573e-01, 5.509196831114888671e-01, 7.503982952451292432e-01, 9.205016861160993935e-01, 2.323366452563039586e-01, 2.134301208364116076e-01, 1.770455130653062481e-01, 5.399264318479489733e-01, 2.986128505848720804e-01, 2.538345334784845031e-01, 1.810532957857116376e-01, 1.761526986894982882e-01, 1.949562661084116022e-01, 1.469692780581388636e-01, 4.942306349420597655e-01, 2.398800115514469755e-01
1.883000000000000000e+03, 3.429759015287079937e-01, 5.581336769748442839e-01, 6.066630450506271810e-01, 9.788233234493666224e-01, 2.443338844831191292e-01, 1.419868369403212427e-01, 1.529984562961247407e-01, 5.841882967233056334e-01, 2.786743649703149472e-01, 2.691883106440228213e-01, 1.707320323363606118e-01, 1.855531509526772427e-01, 1.900127961532936394e-01, 1.487745610606561464e-01, 4.668348020223171968e-01, 2.602422895396912517e-01
1.884000000000000000e+03, 3.395315474670891898e-01, 5.353194011130342211e-01, 5.253247705006053314e-01, 9.653116447518430565e-01, 2.470291196933674660e-01, 1.639895340660539602e-01, 1.828293161764200092e-01, 5.338539544136475801e-01, 2.598523077597805764e-01, 2.485517995915986489e-01, 1.642327419972053337e-01, 1.653875670525090658e-01, 1.735600641785073617e-01, 1.519745133650126367e-01, 4.908956422869896752e-01, 2.637717769115482391e-01
1.885000000000000000e+03, 3.356813007669964266e-01, 5.549699577795402794e-01, 5.039717589444123735e-01, 9.497987224957836760e-01, 2.583060249565407585e-01, 2.003281600999409495e-01, 2.103939426086965103e-01, 5.416260031986689372e-01, 2.910961801697863338e-01, 2.789312826523858702e-01, 1.636403636840377540e-01, 1.670652539769850176e-01, 1.573481678404586859e-01, 1.539863673943192013e-01, 5.006655407915978628e-01, 2.561782800956780015e-01
1.886000000000000000e+03, 3.505033933962822812e-01, 5.501791058802489864e-01, 5.978454499079876028e-01, 9.550023639413579568e-01, 2.481525731891585096e-01, 2.078654538094799054e-01, 2.128051443682132948e-01, 5.798967061180102522e-01, 2.663928822741452596e-01, 2.442892693651954883e-01, 1.817893956951025514e-01, 1.757746896743637433e-01, 1.641586099392743081e-01, 1.506214947859134679e-01, 5.013853291694154724e-01, 2.595370647272566833e-01
1.887000000000000000e+03, 3.448580556950442411e-01, 5.569023977300996409e-01, 6.256512772114005694e-01, 9.784076540999708804e-01, 2.269741442315764135e-01, 2.183552204436096933e-01, 2.224872019500073184e-01, 5.329039621664444226e-01, 2.750905645445422820e-01, 2.702953700975370688e-01, 1.843713906615505049e-01, 1.784239686284868065e-01, 1.940144061011319920e-01, 1.511256988519951439e-01, 5.229951420744312074e-01, 2.770711469175083930e-01
1.888000000000000000e+03, 3.623055068720213434e-01, 5.605601903828001387e-01, 6.181216007672749591e-01, 9.772146649897657245e-01, 2.436241556596725755e-01, 1.936997872653737629e-01, 2.043727820961922792e-01, 5.218957958101331229e-01, 2.814601404692580466e-01, 2.325200863408571905e-01, 1.802903565476768333e-01, 1.658612232131479181e-01, 1.871854498358064001e-01, 1.531323375727350056e-01, 5.108603167186989147e-01, 2.637045893378366368e-01
1.889000000000000000e+03, 3.674823114458810602e-01, 5.537052835513494031e-01, 5.370554634167894470e-01, 9.898377048165941661e-01, 2.462730722644509707e-01, 2.028137612190619998e-01, 2.101849611105795768e-01, 5.458696570758689859e-01, 2.749317524640874089e-01, 2.029351254115940861e-01, 1.905072391233228191e-01, 1.688930503932148108e-01, 1.862825392871496344e-01, 1.507031442917780573e-01, 4.716863653253494104e-01, 2.560980166011936898e-01
1.890000000000000000e+03, 3.670357748429557976e-01, 5.570099920330735532e-01, 6.152286517806913047e-01, 9.535702316519177879e-01, 2.394013665318557582e-01, 1.604782874739971443e-01, 1.971542403352207484e-01, 5.808241496522313918e-01, 2.919486193342665792e-01, 2.102074022409248788e-01, 1.758269921018844884e-01, 1.539218181842715860e-01, 1.578368796229111803e-01, 1.520067095359509401e-01, 4.886447128032261888e-01, 2.512521572728102504e-01
1.891000000000000000e+03, 3.550046412843101407e-01, 5.198207708953845874e-01, 6.158802407733260376e-01, 9.961031721155523266e-01, 2.720676689975861096e-01, 1.620873630214156869e-01, 1.986180232441371873e-01, 5.605727459736264962e-01, 2.980148309085697278e-01, 2.276530333185966259e-01, 1.815526943577398800e-01, 1.688115283001786482e-01, 1.571138153371882396e-01, 1.491034730235678840e-01, 4.976022828751912042e-01, 2.619430364899647534e-01
1.892000000000000000e+03, 3.533632791620538449e-01, 5.328413588090897823e-01, 5.812969092485391620e-01, 9.938514977850643195e-01, 2.558261148271595009e-01, 2.030274872140307996e-01, 2.123103424324617461e-01, 5.391784608856463601e-01, 2.771017047293765079e-01, 2.087427719487495170e-01, 1.882954137840040232e-01, 1.723547003804350997e-01, 1.776936557480963130e-01, 1.477803854946672935e-01, 4.664909233280165601e-01, 2.615108513095764087e-01
1.893000000000000000e+03, 3.530222844457950315e-01, 5.326314725218160850e-01, 6.428332583905101982e-01, 9.279238005266909894e-01, 2.053553422008083662e-01, 1.982387056699200789e-01, 2.153355397491523993e-01, 5.194220454000281206e-01, 2.999361898779752678e-01, 1.928058508569063245e-01, 1.900298229297813779e-01, 1.495066965047344987e-01, 1.692392675039469940e-01, 1.574798432160826323e-01, 4.902476101977734646e-01, 2.478269391788299469e-01
1.894000000000000000e+03, 3.635493976030260699e-01, 5.477407885828983192e-01, 5.810606868082571763e-01, 9.341872013232175309e-01, 2.109756425658747270e-01, 1.792567389385209264e-01, 1.928216472046350161e-01, 4.913204647888277932e-01, 2.947355819333699611e-01, 2.153346608515017691e-01, 1.796508048805267044e-01, 1.790130249138663365e-01, 1.890636738324904531e-01, 1.516232584965042651e-01, 4.992622102667093609e-01, 2.372493952437642328e-01
1.895000000000000000e+03, 3.626435543794070404e-01, 5.328117948206805288e-01, 5.819181562330094648e-01, 9.623245831330083933e-01, 2.432040444145420477e-01, 1.830659896678002996e-01, 2.101128612767919346e-01, 5.643080886673709218e-01, 2.738286726389644876e-01, 2.293314860079476158e-01, 1.841519415383597313e-01, 1.611336535947854032e-01, 1.914908684704060282e-01, 1.544278667419902995e-01, 4.461206040536753181e-01, 2.276053246603193247e-01
1.896000000000000000e+03, 3.436550583878648646e-01, 5.583658991245777914e-01, 7.651114794992355250e-01, 9.099669596272603744e-01, 2.498794061074964268e-01, 1.700330565629834534e-01, 2.225173528116247412e-01, 5.571687606081076050e-01, 2.896498352332568249e-01, 2.552970852935260160e-01, 1.610238251410698873e-01, 1.739520141897639982e-01, 2.001350474353985887e-01, 1.523206227305412830e-01, 4.684958084321437788e-01, 2.293095260587679485e-01
1.897000000000000000e+03, 3.536401206958349475e-01, 5.787726377839885750e-01, 7.686608876921421363e-01, 9.653333819190936804e-01, 2.270010297295943502e-01, 1.947865319006436835e-01, 1.899278205337460723e-01, 5.762608209376023360e-01, 2.927928359605916353e-01, 2.574316370305044788e-01, 1.536053410065790770e-01, 1.533769036750999848e-01, 2.042900442380659876e-01, 1.561111137158797124e-01, 4.595090855182616396e-01, 2.540042523751968595e-01
1.898000000000000000e+03, 3.623059264388348577e-01, 5.441185765759165571e-01, 5.862404072813783840e-01, 9.622120960544423562e-01, 2.293054176744561135e-01, 2.044581329468132258e-01, 2.258254435784210201e-01, 5.875420450057597943e-01, 3.121529196513244675e-01, 2.932372469593883535e-01, 1.690218436014291892e-01, 1.747572854029912914e-01, 2.208000539469707479e-01, 1.499348341730542267e-01, 4.568524007917386665e-01, 2.611020802770283589e-01
1.899000000000000000e+03, 3.538582542342442183e-01, 5.637744964159689953e-01, 5.404938753740209378e-01, 9.640089217198828386e-01, 2.589672462602496394e-01, 2.034860179274510794e-01, 2.179134364683277258e-01, 5.030935709245737408e-01, 2.874343927135191712e-01, 3.119223059690215405e-01, 1.724060305562431228e-01, 1.649609961312322737e-01, 2.066581749198319051e-01, 1.512039461527560913e-01, 4.564592173639235306e-01, 2.749434013213669092e-01
1.900000000000000000e+03, 3.451760367378602368e-01, 5.337621972105545121e-01, 6.156877671381925099e-01, 9.639905299204325484e-01, 2.434562183348641384e-01, 2.017404948460102543e-01, 2.129236203369219149e-01, 5.242950408346872537e-01, 2.979232776969865659e-01, 2.602001446821511355e-01, 1.791213245637219564e-01, 1.713751260850076008e-01, 1.869732166491005765e-01, 1.512502829886780420e-01, 4.457532404564745199e-01, 2.824870618661770028e-01
1.901000000000000000e+03, 3.499523341033216051e-01, 5.410665071881811672e-01, 6.508028303159992811e-01, 9.769035301987949449e-01, 2.236412686009520701e-01, 2.125126039180959547e-01, 2.115470929814770584e-01, 5.684079793180482065e-01, 3.040528546080293881e-01, 2.538833534838607631e-01, 1.773099170276345726e-01, 1.639552815221418935e-01, 1.735278344577790843e-01, 1.566985779862642147e-01, 4.833101717641490325e-01, 2.800881383364824395e-01
1.902000000000000000e+03, 3.393099702261327955e-01, 5.296538600305809030e-01, 6.145553303116371158e-01, 9.557861436977089786e-01, 2.317670661674108012e-01, 1.856224706091459398e-01, 2.110011892069565687e-01, 5.936124989842596067e-01, 2.919792589967559193e-01, 2.260302991475285905e-01, 1.682780617944863999e-01, 1.661030505034013227e-01, 1.856975659585325400e-01, 1.571695248271900436e-01, 5.133233722718786307e-01, 2.726354112541047869e-01
1.903000000000000000e+03, 3.435050215867342382e-01, 5.449157318848668607e-01, 6.006565389501904439e-01, 9.637464260440342656e-01, 2.305151741117131003e-01, 2.009455110688071755e-01, 2.057222640180026707e-01, 5.807516006938651110e-01, 2.898912963546747545e-01, 2.302016069794735331e-01, 1.574685056748608147e-01, 1.702875638855063933e-01, 2.020261061071285391e-01, 1.522012379342437272e-01, 4.366720352138014904e-01, 2.781296550034465520e-01
1.904000000000000000e+03, 3.487400045451224395e-01, 5.417922119205309528e-01, 5.725171169876303034e-01, 9.191884604082671828e-01, 2.430557083139224528e-01, 2.176710429222062648e-01, 2.106538204500799927e-01, 5.620829472266325455e-01, 2.898018392783015540e-01, 2.628051948459150799e-01, 1.621208126202181021e-01, 1.690358519744835919e-01, 2.333904598621850401e-01, 1.545239742709078601e-01, 4.758231813756916839e-01, 2.806040699066384425e-01
1.905000000000000000e+03, 3.369556500838709057e-01, 5.524060155082169965e-01, 5.942731441972142203e-01, 9.425283908714403580e-01, 2.776419605704648075e-01, 1.571508147243021736e-01, 2.003235484488876950e-01, 5.594132095155662787e-01, 2.818443635933670088e-01, 2.025934486800727297e-01, 1.697259623971791309e-01, 1.803079985854768308e-01, 2.466615776463561838e-01, 1.536907088510716390e-01, 5.206183726637497733e-01, 2.588891881900132752e-01
1.906000000000000000e+03, 3.218290980314049698e-01, 5.388648365284021136e-01, 6.503370855258892025e-01, 9.157497792248019408e-01, 2.479907055310837383e-01, 1.727410848744808658e-01, 1.860283794652855816e-01, 6.277713380677719668e-01, 2.980969011456496842e-01, 2.573761840931559353e-01, 1.711853959495175659e-01, 1.642578515899515701e-01, 2.177794040277561960e-01, 1.507958245115536278e-01, 4.568673717894473074e-01, 2.577350421509160272e-01
1.907000000000000000e+03, 3.254156755001794132e-01, 5.460384676403049475e-01, 6.916011441692313522e-01, 9.597453193627172308e-01, 2.192665471715292969e-01, 1.787580793032383097e-01, 2.177828769683471111e-01, 5.963752735423841767e-01, 2.899741730068762791e-01, 2.721066461901187061e-01, 1.778743873526870967e-01, 1.651298086725389858e-01, 1.971423744212196794e-01, 1.495426819320390122e-01, 4.895473534676935135e-01, 2.628455435654739603e-01
1.908000000000000000e+03, 3.301895220664098352e-01, 5.256067899906093910e-01, 6.224565801457085934e-01, 9.752619767080517033e-01, 2.283419772892697208e-01, 1.947740205309368422e-01, 2.047839835568301403e-01, 5.768563897856938683e-01, 2.853155997986013825e-01, 2.062219260034681145e-01, 1.792627473253959325e-01, 1.737275411914962209e-01, 1.898888970062815040e-01, 1.522517980720188846e-01, 4.564974645717087554e-01, 2.555136831184909862e-01
1.909000000000000000e+03, 3.394072626914350077e-01, 5.413454779205060241e-01, 5.472188408014887484e-01, 9.612697930880305108e-01, 2.581334506617450897e-01, 1.922798388148279081e-01, 2.388564498827150107e-01, 5.355454100152724495e-01, 3.052552677538039050e-01, 2.347146226086136711e-01, 1.665932792768752280e-01, 1.779697156534141289e-01, 1.748555454701150591e-01, 1.550509423266664133e-01, 5.191639124090566826e-01, 2.667890048968557526e-01
