year, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1, CESM2-WACCM
1.970000000000000000e+03, -4.565587200723717467e-10, 1.695126264632452041e-10, 4.237643290636544467e-11, 1.072700608150622960e-12
1.971000000000000000e+03, -4.430803690848122592e-10, 1.785717757150727795e-10, 3.386311138426419372e-11, -7.086125948308957175e-12
1.972000000000000000e+03, -4.561185272509235395e-10, 1.744637993781283109e-10, 3.316727894028226420e-11, -7.294780763877019621e-12
1.973000000000000000e+03, -4.874667580147053331e-10, 1.680844113685086233e-10, 3.171126221903329461e-11, -7.194097152060432369e-12
1.974000000000000000e+03, -4.006621759500690050e-10, 1.694366005258052796e-10, 3.107381411842795916e-11, -7.084914514492622488e-12
1.975000000000000000e+03, -4.295220289534236135e-10, 1.727068119335635274e-10, 3.049537531661045936e-11, -7.235251383348611420e-12
1.976000000000000000e+03, -4.968840410295298251e-10, 1.665527550314626967e-10, 2.974829043950087529e-11, -7.306036586264528496e-12
1.977000000000000000e+03, -4.246828563321215154e-10, 1.417701822137100022e-10, 2.909922352036780967e-11, -7.247368774255838499e-12
1.978000000000000000e+03, -4.414210486502923263e-10, 1.647744221761396556e-10, 2.884125066083785659e-11, -7.116788786664615555e-12
1.979000000000000000e+03, -4.848042221043960772e-10, 1.430184506365384465e-10, 2.857209527118947608e-11, -7.108488183778891158e-12
1.980000000000000000e+03, -4.877367906780079811e-10, 1.563758126823512068e-10, 2.851627234083182470e-11, -7.191972081463173379e-12
1.981000000000000000e+03, -4.497808312766229405e-10, 1.676717685365453929e-10, 3.638549718408816795e-11, -4.596837728023558325e-12
1.982000000000000000e+03, -4.241062702262097300e-10, 1.696155669471461944e-10, 3.677443012569164266e-11, -4.602764930254380179e-12
1.983000000000000000e+03, -4.461491621921580626e-10, 1.926894250190196029e-10, 3.766643438411373865e-11, -4.475222544064403397e-12
1.984000000000000000e+03, -4.755138784445068770e-10, 2.250595116072527312e-10, 3.819970696748349144e-11, -4.436173328581955362e-12
1.985000000000000000e+03, -4.142586072986161334e-10, 1.696458572070795576e-10, 3.823878769136551068e-11, -4.686342073366091692e-12
1.986000000000000000e+03, -4.085595792843000427e-10, 1.600077715001278848e-10, 3.863471795621386277e-11, -4.239121848440990801e-12
1.987000000000000000e+03, -4.888721532637669945e-10, 1.882781756588961790e-10, 3.899006449507134220e-11, -4.542483088553584563e-12
1.988000000000000000e+03, -4.084724306029535648e-10, 1.631197024219429924e-10, 3.865456516125019006e-11, -4.549945406030192492e-12
1.989000000000000000e+03, -4.676695943525347714e-10, 1.736021091024410160e-10, 3.803242537822228722e-11, -4.637234220565513855e-12
1.990000000000000000e+03, -4.544652730096987318e-10, 1.836949175022062453e-10, 3.849341223473434761e-11, -5.116796873625834879e-12
1.991000000000000000e+03, -4.517615854772342835e-10, 1.630714510211780237e-10, 3.693625735917131663e-11, -5.047106451043381572e-12
1.992000000000000000e+03, -4.833498529393074603e-10, 1.351048333372097625e-10, 3.587958380611542568e-11, -5.050783774392422683e-12
1.993000000000000000e+03, -4.238469160042737761e-10, 1.396632561467503496e-10, 3.580254065766595429e-11, -4.983680324514801431e-12
1.994000000000000000e+03, -4.859017232863577172e-10, 1.785700078792677309e-10, 3.541795802122609704e-11, -4.973044026530324001e-12
1.995000000000000000e+03, -5.442475785291734347e-10, 1.884851807871739669e-10, 3.546651844309914207e-11, -5.007789039711655039e-12
1.996000000000000000e+03, -5.034034333746398696e-10, 1.531206679988256181e-10, 3.423930131721414237e-11, -4.988301440178811571e-12
1.997000000000000000e+03, -4.697861755820097681e-10, 1.422204703765333913e-10, 3.357550650324431483e-11, -4.961276264679496820e-12
1.998000000000000000e+03, -4.613936202230772131e-10, 1.781111418197306093e-10, 3.279941237389070561e-11, -4.940714259337031272e-12
