year, INM-CM4-8, CMCC-CM2-SR5, TaiESM1, CESM2-WACCM, GFDL-ESM4, NorESM2-LM, INM-CM5-0, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-MM, EC-Earth3-Veg, CanESM5, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR, ACCESS-ESM1-5
2.041000000000000000e+03, 1.037785516020269938e+01, 1.263349042801066879e+01, 6.537349700331740898e+00, 1.131560014121665070e+01, 1.277218402664557395e+01, 9.727252370286937122e+00, 1.098697372613380097e+01, 1.204542256394072020e+01, 1.186289717083940864e+01, 8.824631022935573554e+00, 8.650033744060934282e+00, 9.410510223039636912e+00, 1.158316395501218210e+01, 1.510903526278013764e+01, 1.085530797782591428e+01, 6.446133032051709399e+00
2.042000000000000000e+03, 1.042270002369132875e+01, 1.240609135669622098e+01, 6.850087968730782961e+00, 1.131622402078371081e+01, 1.349144834268325610e+01, 9.241278429945820605e+00, 1.127042323101679067e+01, 1.239255749778813076e+01, 1.236680319173093601e+01, 9.046976118540198897e+00, 8.113052788873281074e+00, 9.639492355041166860e+00, 1.100325382109065053e+01, 1.493883350049447678e+01, 1.055056879253225155e+01, 6.384956028393153460e+00
2.043000000000000000e+03, 1.081737807552955921e+01, 1.219523823589382872e+01, 6.759238366156095523e+00, 1.150052457622606461e+01, 1.403286144414682823e+01, 8.878086297862420651e+00, 1.106250056915019009e+01, 1.249572119000039372e+01, 1.258590955135796463e+01, 1.026355659672523224e+01, 8.142943388767868385e+00, 9.416909415316318643e+00, 1.240436351059632436e+01, 1.515877168361060612e+01, 1.106534385358918016e+01, 6.356558722769902303e+00
2.044000000000000000e+03, 1.079789131572445093e+01, 1.258285874825918427e+01, 6.641211362475054614e+00, 1.100729180409703289e+01, 1.376841787551751572e+01, 8.928869112601850233e+00, 1.121133247752746698e+01, 1.235662068667170388e+01, 1.293366569284542322e+01, 9.689260750807440203e+00, 8.583768081969880726e+00, 9.433499753917484298e+00, 1.233046479657611982e+01, 1.516580085451318993e+01, 1.099018632929443839e+01, 6.470457858061317680e+00
2.045000000000000000e+03, 1.087471966602193341e+01, 1.268962198586154777e+01, 6.900296697470912122e+00, 1.142596186010425008e+01, 1.436175981598339213e+01, 9.690637312761326783e+00, 1.135626104469750253e+01, 1.265659008748199632e+01, 1.219074027999912069e+01, 9.667685044840297337e+00, 9.263012173481071088e+00, 9.850675166462769639e+00, 1.178994808248749493e+01, 1.548517610662713651e+01, 1.106834228425255517e+01, 6.473305224000395874e+00
2.046000000000000000e+03, 1.091555950837384614e+01, 1.286083756866971584e+01, 6.927376324352473524e+00, 1.181046162242093622e+01, 1.442994723857552053e+01, 9.002917699927134976e+00, 1.148124052850300103e+01, 1.311498711046816545e+01, 1.287669845212778874e+01, 1.067836929703049798e+01, 9.195044487543304612e+00, 9.982337778278756346e+00, 1.133994151087980384e+01, 1.558030348655532649e+01, 1.174978514207517222e+01, 6.482907808250165438e+00
2.047000000000000000e+03, 1.160431025859950083e+01, 1.288283390987782795e+01, 6.966159129410878670e+00, 1.121644049402040544e+01, 1.425387188303127672e+01, 9.101747570970974976e+00, 1.142347075732928730e+01, 1.215090404922708167e+01, 1.251732501270745601e+01, 1.026159305751811601e+01, 9.515940896215177247e+00, 1.031680313801531135e+01, 1.193805270396805440e+01, 1.538967489071721140e+01, 1.170036993733909547e+01, 6.638937176562080822e+00
2.048000000000000000e+03, 1.084130336673694472e+01, 1.267424590914948013e+01, 6.794513707949423775e+00, 1.171080908591810577e+01, 1.377546193310665856e+01, 8.917373239370911975e+00, 1.125317462100294641e+01, 1.290976939094307419e+01, 1.291397912535189185e+01, 1.046134310555292757e+01, 1.040744403699363652e+01, 1.056501798371516720e+01, 1.236927995622530396e+01, 1.572221775668708332e+01, 1.104027409259579606e+01, 6.561053319130162542e+00
2.049000000000000000e+03, 1.109128437029743530e+01, 1.275551427828676765e+01, 6.960438713284085921e+00, 1.140411902402691702e+01, 1.498896785577659507e+01, 8.567605693721063176e+00, 1.104510638535588285e+01, 1.282074655008974950e+01, 1.264499252805080864e+01, 1.092981939788839618e+01, 9.155840927454695688e+00, 1.054061797588886051e+01, 1.210324620387062566e+01, 1.598913249877312914e+01, 1.172868237723245066e+01, 6.624625958214002353e+00
2.050000000000000000e+03, 1.100121578886718865e+01, 1.230678631430577852e+01, 7.159882396181802555e+00, 1.177850665940471941e+01, 1.392521292649439246e+01, 9.390147254677891908e+00, 1.096113195210437929e+01, 1.216664060502945333e+01, 1.260300618213346802e+01, 1.131811405038011564e+01, 9.194631793641029560e+00, 1.056912778582347912e+01, 1.273100325134102562e+01, 1.648094284628099260e+01, 1.168598134444872727e+01, 6.864767226307799675e+00
