year, EC-Earth3-Veg, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1, CESM2-WACCM, CMCC-CM2-SR5, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, NorESM2-LM, NorESM2-MM, TaiESM1, ACCESS-ESM1-5
2.041000000000000000e+03, 1.923827089957736192e+01, 6.957035119588722694e+01, 1.664475168759856061e+01, 7.376133276292874541e+01, 9.050512520719184550e+00, 1.031690334214873062e+01, 1.189810568973108573e+01, 6.320784542853294852e+01, 8.334503918009770018e+01, 7.109159449990463564e+00, 8.926853502772088333e+00, 1.422133887563170829e+00, 1.052017033173373761e+01
2.042000000000000000e+03, 1.946021094045698518e+01, 6.996739167355461575e+01, 1.679039981989107133e+01, 7.417264588623164911e+01, 9.210316336228750345e+00, 1.027795668051792966e+01, 1.183637992395673777e+01, 6.333208514479320428e+01, 8.358022864576057032e+01, 7.177929518478006088e+00, 8.865621572744959877e+00, 1.387148528863159092e+00, 1.051854222893679669e+01
2.043000000000000000e+03, 1.989292894110286269e+01, 7.033579904598200017e+01, 1.688839331716977554e+01, 7.425442285709027601e+01, 9.219933886633800313e+00, 1.042213842274924573e+01, 1.192322210730779908e+01, 6.342787300434049769e+01, 8.369389433240716869e+01, 7.269589718140619716e+00, 8.784391800399406591e+00, 1.389973352293753406e+00, 1.052400667474852547e+01
2.044000000000000000e+03, 1.978550011016445609e+01, 7.063971418061940710e+01, 1.705589721367522316e+01, 7.457379091376749614e+01, 9.320400120621119555e+00, 1.044982044840587321e+01, 1.201953460158468801e+01, 6.361895901831370992e+01, 8.391329661183438304e+01, 7.291721099480569457e+00, 8.754846010189174521e+00, 1.407499044266368404e+00, 1.050484624090828234e+01
2.045000000000000000e+03, 1.935291786819882276e+01, 7.083064010347843009e+01, 1.718829577370680184e+01, 7.500491637996684346e+01, 9.393568720683022732e+00, 1.040016406142173189e+01, 1.204093221599801566e+01, 6.372565875325857832e+01, 8.413212934709844149e+01, 7.380006302879769997e+00, 8.878124995374141903e+00, 1.391349946816787808e+00, 1.049825016061243055e+01
2.046000000000000000e+03, 1.907897847486814413e+01, 7.095270429552526537e+01, 1.723783230955965706e+01, 7.528840440144711010e+01, 9.281442177450664133e+00, 1.031750257558353567e+01, 1.196093391381642945e+01, 6.370994500802913052e+01, 8.432592716058194071e+01, 7.477166333203894233e+00, 9.019856630789039542e+00, 1.350163865439397481e+00, 1.053315020817055725e+01
2.047000000000000000e+03, 1.921965218207746062e+01, 7.119624553034455516e+01, 1.734613478192974867e+01, 7.554586438850105878e+01, 9.370900390932213497e+00, 1.021886773994321018e+01, 1.192523786400128039e+01, 6.376342633309497643e+01, 8.459168065208315568e+01, 7.546001346728990811e+00, 9.133761169056802132e+00, 1.348887174445124959e+00, 1.052975651846035987e+01
2.048000000000000000e+03, 1.931500305379558569e+01, 7.148300044556624755e+01, 1.745240446503588672e+01, 7.585975695034390753e+01, 9.391014773775726354e+00, 1.032226750017705719e+01, 1.195223915615691901e+01, 6.383798739276281964e+01, 8.477906781556687577e+01, 7.522063307334025950e+00, 9.210024248201360564e+00, 1.369462232863908113e+00, 1.048021046255639455e+01
2.049000000000000000e+03, 1.959731393009644762e+01, 7.186170969807430708e+01, 1.750526379591210002e+01, 7.611995321569638406e+01, 9.327357346546243377e+00, 1.041014450027063631e+01, 1.187559152552766584e+01, 6.390522210593743324e+01, 8.494212491635009599e+01, 7.480415935883394596e+00, 9.367614948010601239e+00, 1.390218055751975879e+00, 1.044962685658308210e+01
2.050000000000000000e+03, 2.023107066154941336e+01, 7.223690720833151602e+01, 1.759912052659012005e+01, 7.641215232383623857e+01, 9.271678888948445163e+00, 1.038400781331505662e+01, 1.201011456030127000e+01, 6.399039422407619071e+01, 8.523517223174042101e+01, 7.300228917186566413e+00, 9.534589276174312289e+00, 1.376240716288369414e+00, 1.043595553639846862e+01
2.051000000000000000e+03, 2.015496007206626672e+01, 7.247623120858219181e+01, 1.766848935703465884e+01, 7.677874729006207133e+01, 9.241601226133601799e+00, 1.022066203540765272e+01, 1.200191617271535272e+01, 6.400704245196305919e+01, 8.546581384107923895e+01, 7.291147225153068234e+00, 9.677094985995688958e+00, 1.376471631117305972e+00, 1.042465980030124406e+01
2.052000000000000000e+03, 1.979371159096199051e+01, 7.274187904903364199e+01, 1.770858075049508429e+01, 7.719469225592678185e+01, 9.278337837434712299e+00, 1.019382546414209934e+01, 1.205414107165689863e+01, 6.406300321344026827e+01, 8.567739160225033856e+01, 7.377875749361110458e+00, 9.731179539294092962e+00, 1.375242485427581762e+00, 1.040967398770517427e+01
2.053000000000000000e+03, 1.963879069340161365e+01, 7.299093629396318761e+01, 1.779367585316872891e+01, 7.751344782571732139e+01, 9.311834931649164204e+00, 1.005853397241422087e+01, 1.210593120290408642e+01, 6.410285798837384164e+01, 8.602307837919433098e+01, 7.535195070215543467e+00, 9.795330120187111689e+00, 1.437933926390733141e+00, 1.040822855057502672e+01
2.054000000000000000e+03, 1.957692655900758183e+01, 7.320474913410264151e+01, 1.788676374171315331e+01, 7.784338108831097713e+01, 9.481724891590582516e+00, 1.010545818773271876e+01, 1.226096243923792706e+01, 6.416592039026046734e+01, 8.633891134310105997e+01, 7.514354345875473129e+00, 9.816746041479497364e+00, 1.388788672415868231e+00, 1.039879627191777445e+01
2.055000000000000000e+03, 2.023890829945481329e+01, 7.339243166162356147e+01, 1.798509019766548178e+01, 7.808491248902507209e+01, 9.544209549849099972e+00, 1.023733514727728888e+01, 1.238355322819394111e+01, 6.427688684861151103e+01, 8.657908675140276955e+01, 7.289806004774547432e+00, 9.817893165082368867e+00, 1.358505120539788447e+00, 1.034246500744586683e+01
2.056000000000000000e+03, 2.066720509301296360e+01, 7.347665101066057503e+01, 1.808176020471253409e+01, 7.861585159669674283e+01, 9.653694341390199440e+00, 1.040720112732564218e+01, 1.235861289371000815e+01, 6.438893819201217639e+01, 8.688402131710297738e+01, 7.325296030997768604e+00, 9.908054989327750306e+00, 1.355095108253578040e+00, 1.032488574240339219e+01
2.057000000000000000e+03, 2.101392779707676084e+01, 7.352188605175535940e+01, 1.815220564497197131e+01, 7.880428294352766727e+01, 9.687459935131183641e+00, 1.036738624030222944e+01, 1.235239512369370374e+01, 6.456205604578573798e+01, 8.714287620081984187e+01, 7.639321170247416859e+00, 1.011618349275311246e+01, 1.354396115724092464e+00, 1.031065401456812403e+01
2.058000000000000000e+03, 2.066989299598593277e+01, 7.372935132768490973e+01, 1.824907706185812017e+01, 7.930356704344863772e+01, 9.804022844144387960e+00, 1.049926700728802409e+01, 1.236541348339302182e+01, 6.474592238435988634e+01, 8.746126087656398340e+01, 7.862010583693610499e+00, 1.032912128699651966e+01, 1.386500519408815579e+00, 1.033180842788106268e+01
2.059000000000000000e+03, 2.052866281557140127e+01, 7.399975768642221396e+01, 1.829675925342846199e+01, 7.971636251702651066e+01, 9.811745158132934463e+00, 1.058465625845630065e+01, 1.235778636630634075e+01, 6.477086580186690412e+01, 8.781664863994245707e+01, 7.913576396274051739e+00, 1.031456290023969480e+01, 1.364490471670700922e+00, 1.037047917775356076e+01
2.060000000000000000e+03, 2.043197415562084984e+01, 7.432063808832263874e+01, 1.838052738932765351e+01, 8.008928302301475810e+01, 9.837306320979854135e+00, 1.030728084729765293e+01, 1.231580529667836998e+01, 6.485743718171411842e+01, 8.798042391310686128e+01, 7.925451477703091996e+00, 1.023911434107983709e+01, 1.287420123470800037e+00, 1.043709242497524237e+01
2.061000000000000000e+03, 2.014940928071121462e+01, 7.469937800967863950e+01, 1.845315993484310368e+01, 8.024273062380028421e+01, 9.859182161613956552e+00, 1.026177883879506858e+01, 1.233941643186362391e+01, 6.493404974838527721e+01, 8.831422354551666842e+01, 8.005911472084338953e+00, 1.008285728561012817e+01, 1.296133692688646644e+00, 1.047179291944194723e+01
2.062000000000000000e+03, 1.997951672244852261e+01, 7.490177518247001842e+01, 1.853916297993249884e+01, 8.043574446152445034e+01, 9.766948058363940532e+00, 1.023743648425898733e+01, 1.243825971153879983e+01, 6.495515899169313911e+01, 8.861597150506227649e+01, 8.047033861264361931e+00, 1.007633437564365586e+01, 1.321348518517621473e+00, 1.045110454671282874e+01
2.063000000000000000e+03, 2.023287235962117592e+01, 7.516792521646959813e+01, 1.851700323207740340e+01, 8.057984185533744892e+01, 9.791585252982301313e+00, 1.044162259385054980e+01, 1.252956742500255771e+01, 6.498642006679244787e+01, 8.897989196434532744e+01, 8.134708335280656399e+00, 1.007648800185071281e+01, 1.321570811375038623e+00, 1.040447999779224908e+01
2.064000000000000000e+03, 2.037671837047826884e+01, 7.553485137972857899e+01, 1.860756274404127453e+01, 8.093236342203070421e+01, 9.874499273165422863e+00, 1.060415734164934420e+01, 1.260146051915518406e+01, 6.506936801312934904e+01, 8.930365178495493694e+01, 8.194099027611652986e+00, 1.024675292164557128e+01, 1.311691833208935565e+00, 1.041751816343168358e+01
2.065000000000000000e+03, 2.005754693710409242e+01, 7.587208385429818236e+01, 1.863359355258905481e+01, 8.121971111058070392e+01, 1.002185058424951691e+01, 1.047582019327346181e+01, 1.257213589878855764e+01, 6.514957486707216106e+01, 8.963512130342157036e+01, 8.123011512098479159e+00, 1.029048124924863217e+01, 1.317734161803220783e+00, 1.041151795413323811e+01
2.066000000000000000e+03, 2.021217064101711713e+01, 7.608768308708079076e+01, 1.865775730512038777e+01, 8.149404323032315745e+01, 1.019567041386196493e+01, 1.046304516741405521e+01, 1.259601283871983135e+01, 6.528007669248201239e+01, 8.991563892178498918e+01, 7.798655061581256653e+00, 1.040206367828627165e+01, 1.327431400440126419e+00, 1.038545339722117511e+01
2.067000000000000000e+03, 1.995187014559333605e+01, 7.628744504706128282e+01, 1.871180917189836279e+01, 8.211686890368129355e+01, 1.014266047432355755e+01, 1.058659930149179118e+01, 1.267307366668853952e+01, 6.534485809562691827e+01, 9.019407786607040123e+01, 7.910394466847329831e+00, 1.059378148009066045e+01, 1.334849761458438699e+00, 1.038032576964670284e+01
2.068000000000000000e+03, 2.001946617890359192e+01, 7.649170318444713246e+01, 1.877527429376699075e+01, 8.231083143065696106e+01, 1.025705445263403881e+01, 1.044011818432739958e+01, 1.286711120956386623e+01, 6.547949102073810934e+01, 9.049345786235028299e+01, 8.106368840340858029e+00, 1.067265552793830174e+01, 1.263888649652959772e+00, 1.038065970370955071e+01
2.069000000000000000e+03, 2.033358126022431733e+01, 7.657761742667395310e+01, 1.885101497632313183e+01, 8.243414537696222055e+01, 1.021926628015531158e+01, 1.036715020872226489e+01, 1.298830633195058226e+01, 6.560785312021708648e+01, 9.085270873232200017e+01, 8.253455198202345855e+00, 1.064467913777007091e+01, 1.280070920077811092e+00, 1.039184323626627382e+01
2.070000000000000000e+03, 2.036824666481876278e+01, 7.674822033621009609e+01, 1.896364245638407908e+01, 8.286655595790981010e+01, 1.026926034344098149e+01, 1.053615109268650585e+01, 1.305220164798200777e+01, 6.575079429300107847e+01, 9.122707891209243769e+01, 8.189279379579279095e+00, 1.053356546468679511e+01, 1.333640686625551242e+00, 1.040336607417565773e+01
2.071000000000000000e+03, 2.031089140818288641e+01, 7.685824122581624351e+01, 1.897039042405606324e+01, 8.301935394837207127e+01, 1.035009163119273090e+01, 1.037470778328308540e+01, 1.324003603458464795e+01, 6.582373280850190156e+01, 9.173530572034077579e+01, 8.173595575423956205e+00, 1.050021286416137833e+01, 1.341292514296908989e+00, 1.039823417398306837e+01
2.072000000000000000e+03, 2.038700068963686363e+01, 7.710728180975921475e+01, 1.894477153335191488e+01, 8.338496104705575362e+01, 1.054451223909034496e+01, 1.024059498603813623e+01, 1.338279766979577978e+01, 6.591134098018090981e+01, 9.205525548473583797e+01, 8.129584041909573955e+00, 1.044769797968520209e+01, 1.272911922693924947e+00, 1.036372929344605254e+01
2.073000000000000000e+03, 2.029212532407831659e+01, 7.742689995768913036e+01, 1.895314364156547171e+01, 8.372755944596127620e+01, 1.055537126546381899e+01, 1.029345915482984175e+01, 1.337939174304034040e+01, 6.599626062541729254e+01, 9.233019506713610269e+01, 8.146080293423823449e+00, 1.055428164407052272e+01, 1.239623610509631213e+00, 1.034482338878620489e+01
2.074000000000000000e+03, 2.021558708623046741e+01, 7.765272049217321637e+01, 1.900940812467838370e+01, 8.383970745261207469e+01, 1.054375342554954464e+01, 1.033122953546566691e+01, 1.348391212627010383e+01, 6.612357860335040982e+01, 9.269661838140864063e+01, 8.218814863100815771e+00, 1.070445513981866803e+01, 1.208595658233929226e+00, 1.036611611106654074e+01
2.075000000000000000e+03, 2.045822336254940410e+01, 7.774204092713378600e+01, 1.906048678318546408e+01, 8.406788955542421604e+01, 1.058239707020879550e+01, 1.033330874451359271e+01, 1.329963719177573545e+01, 6.615662816605991736e+01, 9.314180257511905836e+01, 8.313727604432640916e+00, 1.073634940389268344e+01, 1.249529876696311881e+00, 1.040881557390134304e+01
2.076000000000000000e+03, 2.022287218572973444e+01, 7.769179059343004212e+01, 1.904430513860522467e+01, 8.433852352573717326e+01, 1.058720263057043276e+01, 1.028348168380227001e+01, 1.325872999700625599e+01, 6.615509977778606299e+01, 9.356876510699557059e+01, 8.450696724208754063e+00, 1.083173957187529979e+01, 1.296398383010014310e+00, 1.045746359550044247e+01
2.077000000000000000e+03, 2.000595989553855603e+01, 7.783226732702812001e+01, 1.912175098327523770e+01, 8.440122398949375793e+01, 1.074006819862441020e+01, 1.011114204717557463e+01, 1.311852912283021055e+01, 6.624884439228191013e+01, 9.396543761606223200e+01, 8.370087539833120260e+00, 1.090759786166124279e+01, 1.272969542992952618e+00, 1.046905766921154424e+01
2.078000000000000000e+03, 2.011147629689313376e+01, 7.814353268045192635e+01, 1.914001058190196147e+01, 8.490526340830406582e+01, 1.070682382246393338e+01, 1.010647036884016714e+01, 1.316902766297955019e+01, 6.623342963074027523e+01, 9.438450866864380373e+01, 8.435647532393769410e+00, 1.085771636040548849e+01, 1.253228357594197595e+00, 1.044445125285320231e+01
2.079000000000000000e+03, 2.053280271654626077e+01, 7.843505107842599955e+01, 1.914706256897448355e+01, 8.493080600023903060e+01, 1.078921613533063528e+01, 1.011323121399345126e+01, 1.320576814517303355e+01, 6.630124876191645455e+01, 9.464544100253201009e+01, 8.430452891894759659e+00, 1.083305077782350168e+01, 1.315293891975122254e+00, 1.040278453337474041e+01
2.080000000000000000e+03, 2.061603732669097155e+01, 7.870279724216570116e+01, 1.919691564837267705e+01, 8.497401851955304153e+01, 1.080177945406618711e+01, 1.010828768710692493e+01, 1.336470809647994429e+01, 6.639565896016598856e+01, 9.500196522810182387e+01, 8.322382179307107108e+00, 1.085672116932962261e+01, 1.292301657005326954e+00, 1.039428478487873875e+01
2.081000000000000000e+03, 2.075619164442360542e+01, 7.884981117357901326e+01, 1.926735294115072961e+01, 8.504949292419978235e+01, 1.069866198765658716e+01, 1.008053040224617725e+01, 1.360736668664148752e+01, 6.650549028466669199e+01, 9.539368357935438780e+01, 8.396854447029033608e+00, 1.094639559807825613e+01, 1.255691785359613455e+00, 1.045107742099390435e+01
2.082000000000000000e+03, 2.025414198902187479e+01, 7.905261424965797801e+01, 1.927729442735758880e+01, 8.517616562742755093e+01, 1.074109043528455310e+01, 1.020874631913982178e+01, 1.381006127269799855e+01, 6.659970937228479215e+01, 9.567313143715490753e+01, 8.527820285529990940e+00, 1.094011173312799379e+01, 1.250412512887129513e+00, 1.047010595889254603e+01
2.083000000000000000e+03, 1.999207315235593541e+01, 7.927442048776546812e+01, 1.922236099286639899e+01, 8.542009142813212463e+01, 1.097657772267341691e+01, 1.022712770218420175e+01, 1.372763297824474016e+01, 6.662020731898515180e+01, 9.589994597875033833e+01, 8.445367442886592357e+00, 1.092807915017765374e+01, 1.332773523566522123e+00, 1.048275927098493732e+01
2.084000000000000000e+03, 1.981056960654803589e+01, 7.949241007420995686e+01, 1.931561058167326195e+01, 8.532739351492492119e+01, 1.105730048961472178e+01, 1.010737188809324216e+01, 1.370419273163426688e+01, 6.666920208768071632e+01, 9.629272562404533176e+01, 8.434565779091727222e+00, 1.090207615651876694e+01, 1.277763959704129038e+00, 1.044365881207421509e+01
2.085000000000000000e+03, 1.992391489060016596e+01, 7.972115214013301454e+01, 1.934492320419694522e+01, 8.537846110564690605e+01, 1.110352068178633900e+01, 1.030918408386114038e+01, 1.368066996171049254e+01, 6.668004888898374816e+01, 9.681625174305381165e+01, 8.554844850065391526e+00, 1.100468026400544908e+01, 1.265897259934174013e+00, 1.041872504262598476e+01
2.086000000000000000e+03, 2.010330594669658311e+01, 7.984452080612332736e+01, 1.936663175226372502e+01, 8.566969712587111019e+01, 1.103194688045586069e+01, 1.026477971204966622e+01, 1.377659468058078573e+01, 6.674070295247814499e+01, 9.727343652222427295e+01, 8.801611760481062419e+00, 1.092050626593496965e+01, 1.243044098178441415e+00, 1.042228583527741570e+01
2.087000000000000000e+03, 1.987799160829819911e+01, 8.007160278003030385e+01, 1.940642551822461570e+01, 8.576860138475663575e+01, 1.119157097703659609e+01, 1.002200412432643084e+01, 1.366717547449122172e+01, 6.677242012301564955e+01, 9.762735955677119648e+01, 9.084205772229866582e+00, 1.093874446727642891e+01, 1.243053113145165200e+00, 1.041157079026352683e+01
2.088000000000000000e+03, 1.956875538810393422e+01, 8.024980850156958923e+01, 1.944912808666084558e+01, 8.604391299000596405e+01, 1.124275474581084033e+01, 1.012224156375433459e+01, 1.380405539855538777e+01, 6.694214815345040392e+01, 9.795969573844018896e+01, 9.175623315742349462e+00, 1.102657080091407238e+01, 1.225893148096105945e+00, 1.042116928914713370e+01
2.089000000000000000e+03, 1.950248809056937560e+01, 8.012488196951562713e+01, 1.949785545663879915e+01, 8.631117209498889054e+01, 1.127725656753187877e+01, 1.004864478328168254e+01, 1.390815655575193865e+01, 6.706016667004637100e+01, 9.831048058795325062e+01, 9.114852847445186868e+00, 1.106232077729112717e+01, 1.210178979513833797e+00, 1.043758745413417088e+01
