year, EC-Earth3-Veg, TaiESM1, CESM2-WACCM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, CNRM-ESM2-1, NorESM2-MM, CMCC-CM2-SR5, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, UKESM1-0-LL
2.051000000000000000e+03, 3.151278590160518434e+02, 6.150922291512029005e+01, 9.316885405083820615e+02, 2.154553330883262277e+02, 3.624573994579969280e+02, 1.543457807942846500e+02, 4.419350379386876284e+02, 7.335050151664763689e+02, 1.005958622213346871e+03, 1.980677154749106137e+02, 7.014377599477026592e+01, 1.330172610900311383e+03, 2.575412952037867171e+02
2.052000000000000000e+03, 3.151996201306096168e+02, 6.148437918138974823e+01, 9.315863819837617257e+02, 2.155463987369587358e+02, 3.627771892117412449e+02, 1.543955454878658600e+02, 4.423429303758488231e+02, 7.335314862998388890e+02, 1.005775346408361884e+03, 1.981324186305685657e+02, 7.035668458681152515e+01, 1.330082599293625890e+03, 2.577282095183932142e+02
2.053000000000000000e+03, 3.152284705532100588e+02, 6.148374398453538703e+01, 9.314882922833868406e+02, 2.156381070696802738e+02, 3.631083816135383131e+02, 1.544415320338378592e+02, 4.427475257330401064e+02, 7.335433048364843671e+02, 1.005574731229079589e+03, 1.981995404705265855e+02, 7.056076378033048968e+01, 1.330023558012164585e+03, 2.580203790745688366e+02
2.054000000000000000e+03, 3.152243311588343317e+02, 6.149355736521380322e+01, 9.314009618804695947e+02, 2.157133460469674446e+02, 3.634646591967018594e+02, 1.545097071798258810e+02, 4.431472101569808046e+02, 7.335409560089241268e+02, 1.005321980621911507e+03, 1.982674446635413403e+02, 7.079083969926794850e+01, 1.329998860899585679e+03, 2.582429520568786643e+02
2.055000000000000000e+03, 3.152957107037545939e+02, 6.147131934162364786e+01, 9.313064822191685153e+02, 2.158189502054082993e+02, 3.637946632750055755e+02, 1.546024502409997865e+02, 4.435749403978114742e+02, 7.335175852383416668e+02, 1.005106272109597057e+03, 1.983258394635444404e+02, 7.101615398475752272e+01, 1.329918698497782316e+03, 2.584350063261077821e+02
2.056000000000000000e+03, 3.154168285800267881e+02, 6.144955478576580532e+01, 9.312041854301309058e+02, 2.159556316709165458e+02, 3.641613627926035974e+02, 1.547669115264176298e+02, 4.439921423219637404e+02, 7.335029037733421546e+02, 1.004921805057838128e+03, 1.983596412682929895e+02, 7.123343689061051975e+01, 1.329751728005259565e+03, 2.587837676321648814e+02
2.057000000000000000e+03, 3.155968903267227574e+02, 6.142048278410513973e+01, 9.310872447311824089e+02, 2.160864257851529260e+02, 3.646430313660496836e+02, 1.549526461005662838e+02, 4.444628662002775172e+02, 7.334913517790758988e+02, 1.004765727869718376e+03, 1.983941294739306329e+02, 7.145090090855488540e+01, 1.329615723888309503e+03, 2.590073258882338791e+02
2.058000000000000000e+03, 3.157133631560550953e+02, 6.141368852597819483e+01, 9.309846171473453751e+02, 2.162087428794593791e+02, 3.650775871397715946e+02, 1.551217356828595655e+02, 4.448859121038715898e+02, 7.335201886122745236e+02, 1.004603879984120340e+03, 1.984488737796129385e+02, 7.167343785955549151e+01, 1.329569271856315254e+03, 2.592979414257708868e+02
2.059000000000000000e+03, 3.157575332596730959e+02, 6.141426843020122561e+01, 9.309168850615653810e+02, 2.163506401363085843e+02, 3.654415620996424536e+02, 1.551523314331932113e+02, 4.453791059396938863e+02, 7.335788229856455018e+02, 1.004487580486390016e+03, 1.985135473006897655e+02, 7.188437091926391531e+01, 1.329521739406196730e+03, 2.595687076742191266e+02
2.060000000000000000e+03, 3.157813134220958204e+02, 6.136551277337848376e+01, 9.308567007899499686e+02, 2.164877968723900210e+02, 3.657825439450565455e+02, 1.552246572444367416e+02, 4.458528190074140980e+02, 7.336095016561760076e+02, 1.004338304663567783e+03, 1.985791198503815167e+02, 7.208881846118642045e+01, 1.329465023176878503e+03, 2.597933765765259864e+02
2.061000000000000000e+03, 3.157651597141309594e+02, 6.130895115689179420e+01, 9.307879752155600954e+02, 2.166230120108978383e+02, 3.661483458206018895e+02, 1.553112624637946908e+02, 4.463138194209956282e+02, 7.336105628797661211e+02, 1.004116662378645628e+03, 1.986496962574633756e+02, 7.231229186474688220e+01, 1.329401210100461185e+03, 2.601334864912601006e+02
2.062000000000000000e+03, 3.157630075261747606e+02, 6.128172018156516287e+01, 9.306649774572688329e+02, 2.167704529651068128e+02, 3.665280505391810948e+02, 1.553543066194578444e+02, 4.467778068520665329e+02, 7.335916494182505403e+02, 1.003887386615433911e+03, 1.987144646468296401e+02, 7.253760108173214860e+01, 1.329346350082241315e+03, 2.604025182230774362e+02
2.063000000000000000e+03, 3.157920745267421694e+02, 6.125838028851448058e+01, 9.305164555783543392e+02, 2.169131532031097152e+02, 3.669220610145699766e+02, 1.554096768619513398e+02, 4.472167210516462887e+02, 7.335505737479010122e+02, 1.003685459728236196e+03, 1.987696229521886835e+02, 7.274246714735754438e+01, 1.329289886854966426e+03, 2.606728978787351707e+02
2.064000000000000000e+03, 3.158595342215245978e+02, 6.123607269449119883e+01, 9.303770189282654428e+02, 2.170684155698174891e+02, 3.673421482128402431e+02, 1.555056915630559899e+02, 4.476254721676651798e+02, 7.335140081912879850e+02, 1.003539534948906976e+03, 1.988227260687270075e+02, 7.295027276369336278e+01, 1.329283327988734527e+03, 2.608962961792011583e+02
2.065000000000000000e+03, 3.158857625905013151e+02, 6.120167489231864266e+01, 9.302546527080512533e+02, 2.172542950009361959e+02, 3.678127615291585926e+02, 1.556032567097744845e+02, 4.480761129564937164e+02, 7.335003043947197057e+02, 1.003364690713759956e+03, 1.988835545919273500e+02, 7.316043529123732014e+01, 1.329284872251525485e+03, 2.610747498777145097e+02
2.066000000000000000e+03, 3.159007463395120681e+02, 6.117606869236322353e+01, 9.301705385116690650e+02, 2.174460351533068661e+02, 3.682994580324799472e+02, 1.557715842480605204e+02, 4.485382146400983174e+02, 7.334729982599263849e+02, 1.003156959917265453e+03, 1.989316505567471438e+02, 7.336525386027750528e+01, 1.329197130502482196e+03, 2.613444282738676634e+02
2.067000000000000000e+03, 3.158949852378516425e+02, 6.116153387042080425e+01, 9.300751770395585254e+02, 2.176364708489677184e+02, 3.687218507887987471e+02, 1.558871824438679425e+02, 4.490088252697950679e+02, 7.334795269170277834e+02, 1.002968506727801355e+03, 1.989788130224867473e+02, 7.354698547134685782e+01, 1.329009973154585168e+03, 2.616108795800955704e+02
2.068000000000000000e+03, 3.158627710518660479e+02, 6.112530062428560029e+01, 9.299597485048552699e+02, 2.178086465488028409e+02, 3.691691520805695745e+02, 1.560258788609966984e+02, 4.495524365618690581e+02, 7.335158587131425065e+02, 1.002786614973716382e+03, 1.990236978156433167e+02, 7.373756009707732062e+01, 1.328870284883958220e+03, 2.619547809035083787e+02
2.069000000000000000e+03, 3.159138759574541950e+02, 6.107499431381984323e+01, 9.298382263642488397e+02, 2.180149303590764589e+02, 3.696502280673523728e+02, 1.562319306990451651e+02, 4.500138878141555097e+02, 7.335325925770298454e+02, 1.002578827615994214e+03, 1.990689285282801393e+02, 7.393028010932832217e+01, 1.328805321014876881e+03, 2.621117404024162170e+02
2.070000000000000000e+03, 3.159710901348024095e+02, 6.105035262458310541e+01, 9.296816871380017346e+02, 2.182462859017439314e+02, 3.701140072924893616e+02, 1.564354209480660245e+02, 4.504467308945834247e+02, 7.335171510114389548e+02, 1.002402112509278368e+03, 1.991276697621583196e+02, 7.414217568270342440e+01, 1.328721520878993942e+03, 2.623268893519449421e+02
2.071000000000000000e+03, 3.159924536493769551e+02, 6.105561970987781706e+01, 9.295240374509287449e+02, 2.184762749078320496e+02, 3.706125182733637189e+02, 1.565167410580030776e+02, 4.509344114370545640e+02, 7.334709781609167294e+02, 1.002248080601481433e+03, 1.991878882515720477e+02, 7.434008267486821353e+01, 1.328601375336048022e+03, 2.624754138729839497e+02
2.072000000000000000e+03, 3.160546037348617006e+02, 6.102822314494607525e+01, 9.293599618868747712e+02, 2.187221288934706251e+02, 3.710663558142793477e+02, 1.566543211481813955e+02, 4.513556521852753463e+02, 7.334395211024079799e+02, 1.002027686481486398e+03, 1.992340587372398488e+02, 7.451431466754198141e+01, 1.328430217167483988e+03, 2.627391993945714148e+02
2.073000000000000000e+03, 3.161093635399989807e+02, 6.096898772920616949e+01, 9.292224681967052220e+02, 2.189964169314820026e+02, 3.714943456771329693e+02, 1.568170720670158858e+02, 4.518160334370406872e+02, 7.333924363608543899e+02, 1.001816613107385251e+03, 1.992644685666130044e+02, 7.469376625059794605e+01, 1.328220529881701623e+03, 2.629786624059900646e+02
2.074000000000000000e+03, 3.161282437462290318e+02, 6.088730800680039579e+01, 9.290510213224034715e+02, 2.192700793499473662e+02, 3.719132475261110358e+02, 1.570549482444111788e+02, 4.522652622862280509e+02, 7.333801036595863252e+02, 1.001614130533873777e+03, 1.993003887495115407e+02, 7.488477494285443470e+01, 1.328002061538692715e+03, 2.631552415088175962e+02
2.075000000000000000e+03, 3.161738257828780547e+02, 6.082710400914410087e+01, 9.288642101205524568e+02, 2.195878499104063053e+02, 3.723952660359453262e+02, 1.571572107310521176e+02, 4.526882348128827971e+02, 7.333929680483912534e+02, 1.001422453564334091e+03, 1.993525702691935066e+02, 7.506023959668202394e+01, 1.327765710633827894e+03, 2.632750200381212835e+02
2.076000000000000000e+03, 3.162057947614228510e+02, 6.079312540220165317e+01, 9.286581424110687522e+02, 2.198681433097029867e+02, 3.728939539081466705e+02, 1.571357289575404650e+02, 4.531522925346386046e+02, 7.333689742945808803e+02, 1.001218768168846736e+03, 1.994149871834406440e+02, 7.523088218927949811e+01, 1.327556866218952564e+03, 2.634297363293736112e+02
2.077000000000000000e+03, 3.161664714748010283e+02, 6.075576656497891292e+01, 9.285095777756148436e+02, 2.201602438332996883e+02, 3.733451546047197667e+02, 1.572190412325527120e+02, 4.536184754989343446e+02, 7.333470714949165767e+02, 1.000995472096747676e+03, 1.994768728349755520e+02, 7.540428224085114550e+01, 1.327396794292635832e+03, 2.637218943897548229e+02
