year, NorESM2-LM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, CMCC-CM2-SR5, IPSL-CM6A-LR, UKESM1-0-LL, TaiESM1, NorESM2-MM
2.042000000000000000e+03, 4.046338672450000118e+00, 4.495798089155395694e+00, 6.541256200252815844e+00, 6.131254948026105822e+00, 3.317100175347036384e+00, 3.178887364700651919e+00, 6.307869957511090142e+00, 5.083776545828103011e+00, 6.175877982226600338e+00, 5.667561756744979640e+00, 3.691103546632109378e+00, 6.680996750287924613e+00, 2.144770704091574665e+00, 4.164166456130587335e+00
2.043000000000000000e+03, 4.111725918350645159e+00, 4.402685904715212040e+00, 6.654702026715154872e+00, 6.268837052382516539e+00, 3.318067921710286861e+00, 3.460366228842918002e+00, 6.475101398639652395e+00, 5.132161096960730973e+00, 6.544277476729856602e+00, 5.628095239438591690e+00, 3.733863746371652415e+00, 6.799008080450466451e+00, 2.127210462314529593e+00, 4.428151349270574855e+00
2.044000000000000000e+03, 3.930477818071171914e+00, 4.425698715963046759e+00, 6.700551748263872121e+00, 6.167288889041660838e+00, 3.386823199525866190e+00, 3.984881998653916568e+00, 6.233635104670320004e+00, 4.841259166223201404e+00, 6.515790427964039289e+00, 5.830180748988052386e+00, 3.763505667280125699e+00, 6.935174424214174849e+00, 2.108832931026936031e+00, 4.253459714138873693e+00
2.045000000000000000e+03, 4.055130343815873672e+00, 4.633124508936541375e+00, 6.857221317782546066e+00, 6.481856729773515013e+00, 3.334710430965661221e+00, 4.077926158967320802e+00, 6.641123538542659688e+00, 5.165462569572119911e+00, 6.553482820134289177e+00, 5.861673755586448209e+00, 3.828247673259243200e+00, 6.929186531934408144e+00, 2.198648443797353469e+00, 4.195423579069547770e+00
2.046000000000000000e+03, 3.893021977131550404e+00, 4.617032892185930493e+00, 6.996570310551662786e+00, 6.530031960152856918e+00, 3.311756240328481038e+00, 3.855763329911106485e+00, 6.464424404683351000e+00, 5.147550631067900895e+00, 6.332595470853047637e+00, 5.906821340122517583e+00, 3.917084072167473341e+00, 6.879771133198174127e+00, 2.171090704346787525e+00, 4.408452056639307948e+00
2.047000000000000000e+03, 4.065158878193020797e+00, 4.726067632037236343e+00, 6.748513859846663188e+00, 6.551626828147051107e+00, 3.403637710326003596e+00, 3.740901935256931488e+00, 6.517441020228651460e+00, 4.999390469183957464e+00, 6.363390593974012077e+00, 5.921815101292287054e+00, 3.981666375847962680e+00, 6.888654705824995617e+00, 2.177777212226018388e+00, 4.285600632134867638e+00
2.048000000000000000e+03, 4.005885153679135335e+00, 4.805985047890668049e+00, 6.828489429424382529e+00, 6.588100567393735396e+00, 3.435724949095017688e+00, 4.267601594352865568e+00, 6.399315087995738338e+00, 5.300131450537350908e+00, 6.761957974799341464e+00, 5.880453117337260061e+00, 3.818782599229245900e+00, 7.019275189004224202e+00, 2.120382147901020975e+00, 4.427312333603214078e+00
2.049000000000000000e+03, 4.094138947827593356e+00, 4.825567733169464191e+00, 6.834574273716397030e+00, 6.525526963752292353e+00, 3.429500064994824182e+00, 3.516616950785273144e+00, 6.697087578293939636e+00, 5.153108486917734155e+00, 6.619956686824175485e+00, 5.925654046212829762e+00, 3.966733867769691280e+00, 7.037113339538234591e+00, 2.179960126938434328e+00, 4.366366576115641607e+00
2.050000000000000000e+03, 4.113081707194866432e+00, 4.798298096970306403e+00, 6.838821166419283060e+00, 6.592203569879233171e+00, 3.445489394824132745e+00, 3.717506788609282520e+00, 6.407204426539462538e+00, 5.279316476347521103e+00, 6.766459967870046555e+00, 6.013047615311025496e+00, 3.995913152563240089e+00, 6.985222167052141273e+00, 2.173485496796316863e+00, 4.486046449825789928e+00
2.051000000000000000e+03, 4.087048332967895270e+00, 4.914202085117012508e+00, 6.972147619943847907e+00, 6.674482738424200257e+00, 3.473352253809717904e+00, 4.522269022368361036e+00, 6.759486744047380924e+00, 5.276966337669962925e+00, 6.713953220668410715e+00, 5.959812851327366268e+00, 4.024517419468698343e+00, 7.060814448545204236e+00, 2.279817482533251560e+00, 4.670391998396147493e+00
