year, CNRM-ESM2-1, CMCC-CM2-SR5, TaiESM1, CESM2-WACCM, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, INM-CM5-0, MIROC-ES2L, CanESM5, NorESM2-MM, INM-CM4-8
2.035000000000000000e+03, 1.810241199901117648e+00, 1.735301908458850351e+00, 1.449868905143267606e+00, 1.641433630423183132e+00, 2.037047170897933412e+00, 1.928675212304057140e+00, 1.797390451253822352e+00, 1.691876628017111805e+00, 1.641107067865203328e+00, 1.773558316532617862e+00, 1.868542834428649657e+00, 1.881426189892298373e+00, 1.849726135206853028e+00, 1.682469682982928871e+00, 1.605035160269249195e+00, 1.781000854094276997e+00
2.036000000000000000e+03, 1.777432837312070468e+00, 1.700077524420751107e+00, 1.575486880617557039e+00, 1.611250115133533889e+00, 2.033764506891898360e+00, 1.814655388288942905e+00, 1.767609774722366467e+00, 1.580959412244317130e+00, 1.534162546828301332e+00, 1.786187094952711440e+00, 1.810065022603140283e+00, 1.852293803185992127e+00, 1.757640053193579188e+00, 1.706444692492676385e+00, 1.534690137740077231e+00, 1.904713175022916927e+00
2.037000000000000000e+03, 1.762868212293847936e+00, 1.782206905480712367e+00, 1.476478783382361382e+00, 1.630681741905113391e+00, 2.082620273204443428e+00, 1.846885293815547779e+00, 1.857931262433221153e+00, 1.696619878178926344e+00, 1.562965780179637942e+00, 1.859077993813306184e+00, 1.860889173510876571e+00, 1.876115348805444949e+00, 1.847824236097124873e+00, 1.685370200213598402e+00, 1.590748857736617561e+00, 1.844032201792159986e+00
2.038000000000000000e+03, 1.799131721020386543e+00, 1.803070729195607402e+00, 1.478811252444856450e+00, 1.593990273804240854e+00, 1.918663184405835276e+00, 1.847193093462664581e+00, 1.772576241738324843e+00, 1.694030351101791121e+00, 1.641873851699956477e+00, 1.849123282694722592e+00, 1.889776368725491151e+00, 1.866334012535970199e+00, 1.782007287071286639e+00, 1.672794041733880910e+00, 1.502162316267801501e+00, 1.833015737335368156e+00
2.039000000000000000e+03, 1.766665459626357570e+00, 1.673982158109275087e+00, 1.526311590010134944e+00, 1.629684938602562916e+00, 1.983707910493018423e+00, 1.816603093997259499e+00, 1.885797108166023861e+00, 1.713268404726639549e+00, 1.626731152789940849e+00, 1.860220048936167991e+00, 1.941435060609485008e+00, 1.814292350137709509e+00, 1.868687636622961667e+00, 1.716891556254098061e+00, 1.549132584399899093e+00, 1.749834851623234933e+00
2.040000000000000000e+03, 1.771780297096427592e+00, 1.646737213881253270e+00, 1.478372085889100296e+00, 1.643039570766578583e+00, 2.049391772318648108e+00, 1.855484873816650726e+00, 1.917902959042731226e+00, 1.670516694579479822e+00, 1.526473374637889791e+00, 1.862243820738723299e+00, 1.916742038674221771e+00, 1.874678949797021321e+00, 1.855321696040854285e+00, 1.729740396697281524e+00, 1.631858730807532742e+00, 1.824658840834022966e+00
2.041000000000000000e+03, 1.779499680588246591e+00, 1.732296156327590708e+00, 1.455392784412587348e+00, 1.706291553961709395e+00, 2.008845518309925637e+00, 1.838801562446585658e+00, 1.799107923830095102e+00, 1.691185736404828832e+00, 1.634079615641746974e+00, 1.831595852035981853e+00, 1.897416334349332212e+00, 1.863627221050768723e+00, 1.810034798699820646e+00, 1.729515499982267279e+00, 1.613646244189758328e+00, 1.862040449685734567e+00
2.042000000000000000e+03, 1.766202639675080510e+00, 1.745678719695146430e+00, 1.588280500877070844e+00, 1.682230612533637482e+00, 1.956110323555654062e+00, 1.754794227788236682e+00, 1.760543295638287598e+00, 1.687016042165013996e+00, 1.630034778241444604e+00, 1.849846627394954979e+00, 1.884830716931764405e+00, 1.818591813290744597e+00, 1.831722483317842265e+00, 1.723909845605815283e+00, 1.579361958607053085e+00, 1.840440459548869256e+00
2.043000000000000000e+03, 1.772508545535779634e+00, 1.811452809535115005e+00, 1.523351451811232549e+00, 1.639186892612239488e+00, 2.011542683927074027e+00, 1.866465031524805029e+00, 1.785464324567065608e+00, 1.619955761232564795e+00, 1.646918211274265298e+00, 1.865149598142028964e+00, 1.919142874871998306e+00, 1.906475855177370393e+00, 1.838103955380430810e+00, 1.793678865763193464e+00, 1.550897695125897702e+00, 1.858342368098477859e+00
2.044000000000000000e+03, 1.844957886526100932e+00, 1.726880610164048147e+00, 1.504917337970494540e+00, 1.672617571016177251e+00, 2.029670964478832662e+00, 1.740233865671385383e+00, 1.904548631505528222e+00, 1.650711624432796620e+00, 1.662600212672808997e+00, 1.888330025663414569e+00, 1.911098986165813418e+00, 1.882779332309881815e+00, 1.904417583166082339e+00, 1.755875941423276521e+00, 1.583530526094107049e+00, 1.773251220529092231e+00
2.045000000000000000e+03, 1.861840297539922195e+00, 1.772051880190134598e+00, 1.492947103481008897e+00, 1.678854213121080852e+00, 1.950643628391370177e+00, 1.883036219663394073e+00, 1.904242063878823332e+00, 1.669712610957690302e+00, 1.595787751072804461e+00, 1.777014539437813179e+00, 1.864239889875054956e+00, 1.853085888836267792e+00, 1.790704615954212819e+00, 1.815844449328628540e+00, 1.596944394032876691e+00, 1.790317223433183003e+00
2.046000000000000000e+03, 1.792443382469020463e+00, 1.794058452711033258e+00, 1.552509284255796373e+00, 1.652976169201380019e+00, 2.002441709014390891e+00, 1.836217561752099714e+00, 1.815146173953958719e+00, 1.757081747986245057e+00, 1.612721073678970773e+00, 1.893880137777598893e+00, 1.912419798909216873e+00, 1.858856978635605284e+00, 1.845349175645819351e+00, 1.870539336116371798e+00, 1.623504809110588143e+00, 1.785075643549805413e+00
2.047000000000000000e+03, 1.842526626855051308e+00, 1.790042907349330470e+00, 1.615241767880560619e+00, 1.707021989937926421e+00, 2.045436651575108566e+00, 1.885403765362535289e+00, 1.839347371881658866e+00, 1.767259691640595154e+00, 1.634140227790160216e+00, 1.852231276201255827e+00, 1.969159089579259003e+00, 1.866364832116771399e+00, 1.871584882286055018e+00, 1.823202452528543738e+00, 1.505174476549959506e+00, 1.811757068271005355e+00
2.048000000000000000e+03, 1.894572423394960570e+00, 1.817578976047728778e+00, 1.549922884466239603e+00, 1.746345505602027615e+00, 2.090546522171499610e+00, 1.888061103943510455e+00, 1.817995763837252809e+00, 1.733941054491109357e+00, 1.654851898506396468e+00, 1.943812210509848093e+00, 1.916086998409333164e+00, 1.836532167758493372e+00, 1.917012443470024863e+00, 1.854770042742724723e+00, 1.593279741049729248e+00, 1.854560133407526346e+00
2.049000000000000000e+03, 1.835509626682812589e+00, 1.755158173689417733e+00, 1.485279716493256963e+00, 1.683969721372472916e+00, 2.106773643220153591e+00, 1.869698654619657674e+00, 1.887424012276020191e+00, 1.682336127939900283e+00, 1.541601549504469482e+00, 1.968720330931805318e+00, 2.018504405782874045e+00, 1.790894084254643914e+00, 1.839364272727025851e+00, 1.798963477161287461e+00, 1.591069129692635142e+00, 1.842277482891268026e+00
2.050000000000000000e+03, 1.806935161846459081e+00, 1.845738722883431659e+00, 1.542897550632323478e+00, 1.730151604007479804e+00, 2.009555483424453115e+00, 1.984127106259502948e+00, 1.828393935730693309e+00, 1.655410780305108576e+00, 1.590441126906429359e+00, 1.915369552080629090e+00, 1.972193806208245137e+00, 1.861861230268530454e+00, 1.824504027860338606e+00, 1.788198458907077626e+00, 1.557719613403515835e+00, 1.835517013111660045e+00
