year, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, CESM2-WACCM, CMCC-ESM2
1.881000000000000000e+03, 6.419215167033493624e-10, 1.031626414981876170e-11, 4.126007993146582687e-10, 3.012637772275955507e-13, 7.737275721523216786e-12, 3.942758849932976952e-10, 2.606790756237229142e-10, 7.977967225771067834e-11
1.882000000000000000e+03, 6.752847466058013924e-10, 1.159080909036942436e-11, 4.197408376572880816e-10, 2.949160904635804134e-13, 8.787760146352337663e-12, 3.982437684076296072e-10, 2.529627764655586241e-10, 7.918425548916940993e-11
1.883000000000000000e+03, 7.115403778499701724e-10, 1.233417279199514475e-11, 4.238040098228592727e-10, 2.633077259623167672e-13, 9.948758559098061895e-12, 3.986142167289219323e-10, 2.433529934552382370e-10, 7.874756567116091643e-11
1.884000000000000000e+03, 6.710599508699966612e-10, 1.289991637776702553e-11, 4.223378795303510204e-10, 2.865378523674963602e-13, 1.114681190521228125e-11, 3.965654625066290850e-10, 2.544282173479964011e-10, 7.845291936641889350e-11
1.885000000000000000e+03, 6.026878527503215129e-10, 1.330833294388099704e-11, 4.211782016821952659e-10, 2.779449203409541124e-13, 1.229339257222793183e-11, 3.969019555243003323e-10, 2.401871888985125636e-10, 7.826440396347596193e-11
1.886000000000000000e+03, 6.533033681197208884e-10, 1.366320033153012844e-11, 4.247814527571531986e-10, 3.042397436482835202e-13, 1.345958685106927493e-11, 4.004720908343321761e-10, 2.394718329246609258e-10, 7.815523890385050583e-11
1.887000000000000000e+03, 6.568948623031461022e-10, 1.398914048936987266e-11, 4.363032296569148454e-10, 3.200400802317517872e-13, 1.463843569567068442e-11, 4.038311825025831143e-10, 2.401843899717382425e-10, 7.810966860636309809e-11
1.888000000000000000e+03, 7.003755164969265160e-10, 1.429473686489913108e-11, 4.407479794963241418e-10, 2.982833063925472993e-13, 1.584612836835339771e-11, 4.059584533272727864e-10, 2.622558724510963063e-10, 7.812387543958707272e-11
1.889000000000000000e+03, 6.784664951428597109e-10, 1.454854915026770941e-11, 4.342146870440043706e-10, 3.036064371218371660e-13, 1.701494912762569847e-11, 4.069723293034339257e-10, 2.632351483364406998e-10, 7.817793386829918968e-11
1.890000000000000000e+03, 6.933600282830203770e-10, 1.481602894132124729e-11, 4.140981050473937607e-10, 3.403748178766293449e-13, 1.820193246832593603e-11, 4.210842252288515729e-10, 2.507793257531383611e-10, 7.889734785664232416e-11
1.891000000000000000e+03, 6.701119047313706996e-10, 1.867740312499933089e-11, 4.146469227136310268e-10, 3.832809447640453256e-13, 1.850738667845889174e-11, 4.247356821379714000e-10, 2.515405899620213813e-10, 7.941666130409898097e-11
1.892000000000000000e+03, 6.423500974309435811e-10, 2.061079568522438061e-11, 4.267153804121334825e-10, 3.638093509860252104e-13, 1.984781523454912426e-11, 4.252180305925677565e-10, 2.751710589686270706e-10, 7.924543430334911413e-11
1.893000000000000000e+03, 6.911670701469092200e-10, 2.177143093989057660e-11, 4.345301467522792703e-10, 4.236618336485896487e-13, 2.117173652177383691e-11, 4.266462302689705228e-10, 2.694911583549381095e-10, 7.922066967923115661e-11
1.894000000000000000e+03, 6.598010801507454873e-10, 2.260500761533863977e-11, 4.325997548327363043e-10, 5.126191991327378151e-13, 2.263609332514095496e-11, 4.273024103702793320e-10, 2.485818528225530982e-10, 7.932521667212193939e-11
