year, NorESM2-LM, INM-CM4-8, CESM2-WACCM, UKESM1-0-LL, NorESM2-MM, CanESM5, INM-CM5-0, IPSL-CM6A-LR, GFDL-ESM4, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CMCC-ESM2, EC-Earth3-Veg, CNRM-ESM2-1
1.870000000000000000e+03, 1.574763185024512735e+00, 1.078356315112011021e+00, 1.716378778944183336e+00, 2.174856646588162690e+00, 1.535463141056014891e+00, 7.942096009918845345e-01, 1.052794813661015239e+00, 7.441436749253660388e-01, 1.940166256100691822e+00, 1.096664010977395076e+00, 1.232976007634966287e+00, 7.858934589429836803e-01, 2.367058903644936763e+00, 2.319904064184814541e+00, 1.194808289257546230e+00, 8.875470323865062294e-01
1.871000000000000000e+03, 1.538839476173449627e+00, 1.081826773194089597e+00, 1.741177600366727640e+00, 2.182047680657498656e+00, 1.575560798118505357e+00, 7.937768114988842383e-01, 1.070121027382484824e+00, 7.445473070646154712e-01, 1.956581946830298069e+00, 1.078501796729959494e+00, 1.229011676145945309e+00, 7.521066634967924491e-01, 2.529216677313646855e+00, 2.154457186733619523e+00, 1.213825298718714363e+00, 9.228710558274214604e-01
1.872000000000000000e+03, 1.555643883546880435e+00, 1.099180455389447308e+00, 1.810186884412762431e+00, 2.180227443942961862e+00, 1.582715511009342935e+00, 8.102887906981368626e-01, 1.070776582872083660e+00, 7.477636670501248695e-01, 1.962741110030864045e+00, 1.074500238883412173e+00, 1.242899318770903427e+00, 7.738446569282664278e-01, 2.623741754128830372e+00, 2.005080173612027394e+00, 1.224789309506266077e+00, 9.116280904998159684e-01
1.873000000000000000e+03, 1.594940700102176478e+00, 1.114632521932223730e+00, 1.811150222491875850e+00, 2.180163303274925024e+00, 1.579858353614351563e+00, 7.908858583907353301e-01, 1.050283570479024986e+00, 7.402691579647510123e-01, 1.947993456841117688e+00, 1.076774588811752587e+00, 1.230882446822226139e+00, 7.713571126566542979e-01, 2.333254420927257211e+00, 1.971160146763748289e+00, 1.239165589271880252e+00, 8.948431362358275631e-01
1.874000000000000000e+03, 1.604227369812596615e+00, 1.072041768662296946e+00, 1.838232211428223239e+00, 2.139758044267578097e+00, 1.542473545209052110e+00, 8.118252745380751811e-01, 1.045506140649234750e+00, 7.471476204585342229e-01, 1.922297609508524907e+00, 1.085643216918612319e+00, 1.223115294554510069e+00, 7.637039995254101266e-01, 2.388983683789098311e+00, 2.063952872548366013e+00, 1.226594501372396895e+00, 9.375898849830452964e-01
1.875000000000000000e+03, 1.634432032087933528e+00, 1.067165153639674680e+00, 1.830678962976541868e+00, 2.181761111735925240e+00, 1.517352918805045192e+00, 8.480323595523304725e-01, 1.077129786590997673e+00, 7.584463838999861984e-01, 1.962366689104425577e+00, 1.083116277133403971e+00, 1.209599172796503641e+00, 7.781890509256444988e-01, 2.496030698805453252e+00, 2.241801232553812362e+00, 1.213411662120243983e+00, 9.137762891437521962e-01
1.876000000000000000e+03, 1.668128675852707410e+00, 1.087369575802021204e+00, 1.823671491916084797e+00, 2.163561248829226180e+00, 1.559808885932468137e+00, 8.174945843517771316e-01, 1.061888830262167849e+00, 7.403335658417736775e-01, 1.924624807531180704e+00, 1.084053764294766076e+00, 1.202673797441282666e+00, 7.454243352702810688e-01, 2.418980018696494039e+00, 2.089586727047705317e+00, 1.242895221093727409e+00, 8.634940205099069788e-01
1.877000000000000000e+03, 1.708787954835088829e+00, 1.090288516323243417e+00, 1.807754577507103777e+00, 2.152776861447581958e+00, 1.569182852255365246e+00, 8.589513199546475741e-01, 1.060353783084302171e+00, 7.374720048531495653e-01, 1.896306359917951712e+00, 1.090658879239094770e+00, 1.202635630305582293e+00, 7.612242971270805070e-01, 2.420446507003258141e+00, 1.934321881670175935e+00, 1.205738948207865313e+00, 9.314113021964406380e-01
1.878000000000000000e+03, 1.733628662091007300e+00, 1.080284401601430577e+00, 1.846995895734301785e+00, 2.132785448881066248e+00, 1.580018066912806329e+00, 8.059639217360273777e-01, 1.078447375386477614e+00, 7.333302089759844433e-01, 1.965510026140303346e+00, 1.103316687191350010e+00, 1.213090339012874885e+00, 7.688673705559373461e-01, 2.497263998864043266e+00, 2.037165956045105641e+00, 1.211863012728205957e+00, 9.296582812573978005e-01
1.879000000000000000e+03, 1.686185212616471585e+00, 1.076306853895934834e+00, 1.765194366154142491e+00, 2.118675149591648044e+00, 1.541504378824561261e+00, 7.884953435301572666e-01, 1.058583530644655823e+00, 7.285189769128337378e-01, 1.955963010491402088e+00, 1.098042616283380513e+00, 1.209302069407546254e+00, 7.628208699805796300e-01, 2.540361150686364589e+00, 2.154678848784871814e+00, 1.186338117704320183e+00, 9.193341609809787540e-01
