year, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1, CNRM-ESM2-1, NorESM2-LM, TaiESM1, EC-Earth3-Veg, GFDL-ESM4
1.904000000000000000e+03, 2.148945339149008871e-10, 1.934650632286799790e-10, 1.344347110271832037e-10, 2.393281349891518930e-10, 2.148945339149008871e-10, 6.741748776801291489e-10, 2.901837530722759027e-10, 2.901837530722759027e-10, 3.111307871591924707e-10, 1.934650632286799790e-10, 2.266145447065230006e-10, 6.727370968281231062e-10
1.905000000000000000e+03, 2.709439674167135005e-10, 1.054545014381788853e-10, 1.643902241287798598e-10, 1.378402392778070333e-10, 2.709439674167135005e-10, 3.584047584692509194e-10, 3.186237975991603880e-10, 3.186237975991603880e-10, 2.095331355181867578e-10, 1.054545014381788853e-10, 6.381124883652300406e-10, 3.569681809887008803e-10
1.906000000000000000e+03, 1.963028213738919215e-10, 1.852271498738112315e-10, 1.544532571735600249e-10, 2.932565345823632299e-10, 1.963028213738919215e-10, 4.765922191458334158e-10, 1.708030565020676908e-10, 1.708030565020676908e-10, 2.170684849376247957e-10, 1.852271498738112315e-10, 3.146831287367616439e-10, 4.751041770443456893e-10
1.907000000000000000e+03, 2.432657159076679926e-10, 1.672933840166885369e-10, 1.247119404716126676e-10, 1.646822587596546199e-10, 2.432657159076679926e-10, 2.599258889388650966e-10, 2.371776495301219942e-10, 2.371776495301219942e-10, 1.600168826389816721e-10, 1.672933840166885369e-10, 2.234933509803452298e-10, 2.584182517381329422e-10
1.908000000000000000e+03, 1.757017863576135547e-10, 2.036118144034626514e-10, 1.965632877794084071e-10, 2.125371255898043190e-10, 1.757017863576135547e-10, 2.362428227968429788e-10, 2.269378456475195009e-10, 2.269378456475195009e-10, 1.931079279038920418e-10, 2.036118144034626514e-10, 2.456176447176657617e-10, 2.347249720548114099e-10
1.909000000000000000e+03, 3.035592265240825485e-10, 1.596325869895135433e-10, 2.537862947585183174e-10, 1.751972978262681130e-10, 3.035592265240825485e-10, 4.833016852673065534e-10, 2.648885198611740979e-10, 2.648885198611740979e-10, 3.549386761201870707e-10, 1.596325869895135433e-10, 2.662364632836785247e-10, 4.817106704786621967e-10
1.910000000000000000e+03, 1.832037213267902838e-10, 2.225837174983226708e-10, 2.277696355129238233e-10, 3.542363592928437872e-10, 1.832037213267902838e-10, 5.891851583211003143e-10, 2.408427376276768388e-10, 2.408427376276768388e-10, 4.730962316725934311e-10, 2.225837174983226708e-10, 2.116516965197130139e-10, 5.876422342724390011e-10
1.911000000000000000e+03, 2.956530314688619007e-10, 1.243996050459845499e-10, 2.551976908298542728e-10, 2.599658707989806704e-10, 2.956530314688619007e-10, 3.005448941543010545e-10, 2.572202540988592721e-10, 2.572202540988592721e-10, 5.416685826505322872e-10, 1.243996050459845499e-10, 3.345924295994399584e-10, 2.989334298633843990e-10
1.912000000000000000e+03, 5.375085371212937478e-10, 1.264893154705537046e-10, 1.418406515815823579e-10, 2.057372172332758100e-10, 5.375085371212937478e-10, 2.422506575483115340e-10, 2.467311548933814970e-10, 2.467311548933814970e-10, 5.096612738700718715e-10, 1.264893154705537046e-10, 2.985047564402669155e-10, 2.405240738828428165e-10
1.913000000000000000e+03, 2.070950641051331903e-10, 1.958882876499932600e-10, 1.511031195423517715e-10, 1.621307843408989668e-10, 2.070950641051331903e-10, 3.844690643013040478e-10, 2.342884751959715510e-10, 2.342884751959715510e-10, 4.060418770018262003e-10, 1.958882876499932600e-10, 1.736393482110684903e-10, 3.827340187879204095e-10
1.914000000000000000e+03, 1.729108436060071500e-10, 1.212561685167375456e-10, 1.823496075107340953e-10, 3.000950437644716279e-10, 1.729108436060071500e-10, 3.932346223820285979e-10, 2.923843621138219655e-10, 2.923843621138219655e-10, 4.355525188214321505e-10, 1.212561685167375456e-10, 1.559900060888364183e-10, 3.914595706562788508e-10
1.915000000000000000e+03, 2.153600183342250834e-10, 2.452306775448128290e-10, 1.731596575677904488e-10, 2.436024701355208854e-10, 2.153600183342250834e-10, 2.658053216200815912e-10, 1.931014042668829941e-10, 1.931014042668829941e-10, 2.963034360748671802e-10, 2.452306775448128290e-10, 2.127077627427438464e-10, 2.639571631389233645e-10
1.916000000000000000e+03, 1.812873735085563571e-10, 1.566022211134499569e-10, 2.027409076940344960e-10, 3.152744542339777424e-10, 1.812873735085563571e-10, 2.085493462584207265e-10, 2.389281140572419898e-10, 2.389281140572419898e-10, 3.114562600393299719e-10, 1.566022211134499569e-10, 3.227994354874609241e-10, 2.065543641887256373e-10
