year, EC-Earth3-Veg, MPI-ESM1-2-LR
1.981000000000000000e+03, 3.912557918344266709e-10, 6.519313223451345110e-10
1.982000000000000000e+03, 3.809487349418931084e-10, 6.013273860850809118e-10
1.983000000000000000e+03, 4.070735698740622192e-10, 6.204853493873599095e-10
1.984000000000000000e+03, 4.323252787737824555e-10, 6.217162208806375880e-10
1.985000000000000000e+03, 3.977822342458448302e-10, 6.210595391937691240e-10
1.986000000000000000e+03, 4.202596802306478633e-10, 6.305108294115489887e-10
1.987000000000000000e+03, 4.297333652654906189e-10, 6.581624905812181033e-10
1.988000000000000000e+03, 4.618353859672722797e-10, 6.730224705953069560e-10
1.989000000000000000e+03, 4.681760658496135204e-10, 6.682145874060000489e-10
1.990000000000000000e+03, 4.925795004541518466e-10, 6.406312545746093381e-10
1.991000000000000000e+03, 5.447741029087694939e-10, 6.053027353059533791e-10
1.992000000000000000e+03, 5.015163108881277386e-10, 6.618171790823441777e-10
1.993000000000000000e+03, 4.894977588034207552e-10, 6.624679457823921272e-10
1.994000000000000000e+03, 4.847243116916199482e-10, 6.851509686502814699e-10
1.995000000000000000e+03, 4.980581726189350386e-10, 6.486201844932890885e-10
1.996000000000000000e+03, 5.026524978329961618e-10, 6.687198731771346437e-10
1.997000000000000000e+03, 5.684410070978157328e-10, 6.717400548963781908e-10
1.998000000000000000e+03, 5.315447852600622986e-10, 6.451489168051868728e-10
1.999000000000000000e+03, 5.158941393968710795e-10, 6.931619981585271388e-10
2.000000000000000000e+03, 5.612643140464925440e-10, 6.718548947879512163e-10
2.001000000000000000e+03, 5.126916944884735950e-10, 6.719565996108047757e-10
2.002000000000000000e+03, 5.481795138539109386e-10, 6.882917633231674958e-10
2.003000000000000000e+03, 5.384818452637308575e-10, 6.685308097025930589e-10
2.004000000000000000e+03, 5.239744672207615045e-10, 6.975913641868243287e-10
2.005000000000000000e+03, 5.468495450277909611e-10, 6.857790410481172948e-10
2.006000000000000000e+03, 5.112988279733510873e-10, 6.857996789789445586e-10
2.007000000000000000e+03, 5.908305623651777174e-10, 7.137769077943957687e-10
2.008000000000000000e+03, 5.681512810861730979e-10, 7.223674946687874386e-10
2.009000000000000000e+03, 5.458818033269672998e-10, 7.123833417550525402e-10
2.010000000000000000e+03, 5.416189855433128688e-10, 7.278772719985599820e-10
2.011000000000000000e+03, 5.190821183248872576e-10, 6.864288042340711069e-10
2.012000000000000000e+03, 5.064560019177872241e-10, 6.680848040836922627e-10
2.013000000000000000e+03, 5.808650993845605330e-10, 7.045475660612323194e-10
2.014000000000000000e+03, 6.136018386152975432e-10, 6.847984020200726215e-10
