year, IPSL-CM6A-LR, CanESM5, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1, NorESM2-LM, EC-Earth3-Veg, TaiESM1, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM, CMCC-CM2-SR5
1.914000000000000000e+03, 3.609962169295483392e+01, 1.232948196829054694e+02, 9.666457388416606022e+01, 2.000975010417472504e+02, 1.343736339083353641e+02, 9.711994833812497063e+01, 1.342655133241086673e+02, 6.657012924844251245e+01, 5.628831319809546585e+01, 9.122541125079031588e+01, 4.057273688472839268e+01, 9.094857503477898319e+01, 1.091867638477278604e+02, 2.694801858297484500e+02
1.915000000000000000e+03, 3.610976796411274137e+01, 1.232905498768993056e+02, 9.665026693430276339e+01, 2.000353010565736156e+02, 1.344219800564131901e+02, 9.713296520968381742e+01, 1.342718602320386196e+02, 6.657376033493090972e+01, 5.633458544158000336e+01, 9.119540467651184201e+01, 4.057212857689290786e+01, 9.097518088782472034e+01, 1.091934988759601595e+02, 2.695144281158835611e+02
1.916000000000000000e+03, 3.611472930745534882e+01, 1.232954003257949012e+02, 9.662438161579189000e+01, 2.000009299724524681e+02, 1.344771938856052600e+02, 9.713390319628611280e+01, 1.342575864060897572e+02, 6.658554005700929679e+01, 5.631591104476000709e+01, 9.119382144519623523e+01, 4.054566418042781351e+01, 9.099198374579023607e+01, 1.092132244278905517e+02, 2.695497138531865744e+02
1.917000000000000000e+03, 3.610760877329978058e+01, 1.233104832708483372e+02, 9.661391301664275488e+01, 2.000285601915357745e+02, 1.345453015938662986e+02, 9.713037589931612104e+01, 1.342543814413089365e+02, 6.653067220758767064e+01, 5.636464783233535769e+01, 9.119427140729004577e+01, 4.049067335591720251e+01, 9.099851813837189241e+01, 1.092217405110297506e+02, 2.696210902257716384e+02
1.918000000000000000e+03, 3.611300825635078127e+01, 1.233117046060139046e+02, 9.663410270973410832e+01, 2.002498957739599064e+02, 1.346122591254787153e+02, 9.707786518237472251e+01, 1.342452475227602804e+02, 6.656303620538514565e+01, 5.632232367295612363e+01, 9.119752121674800094e+01, 4.048329831557075664e+01, 9.102131560844152602e+01, 1.092283058464257692e+02, 2.696065597099770912e+02
1.919000000000000000e+03, 3.612672184909391859e+01, 1.233341833906865332e+02, 9.668705170171050156e+01, 2.001952902642088929e+02, 1.346720010752771657e+02, 9.706679036472357325e+01, 1.342248493469928690e+02, 6.659459227353146105e+01, 5.637774742405226647e+01, 9.122646590941999989e+01, 4.047580261651021516e+01, 9.105423709511936181e+01, 1.092346250770272889e+02, 2.696565499100639727e+02
1.920000000000000000e+03, 3.615115216583514268e+01, 1.233445304588397846e+02, 9.671882081431373024e+01, 2.000885384083330507e+02, 1.347281312907653614e+02, 9.710144396644679432e+01, 1.342039362039255650e+02, 6.662310810262307825e+01, 5.633206337634947403e+01, 9.124655117536535442e+01, 4.044809098124668623e+01, 9.109089438553070295e+01, 1.092155200318091204e+02, 2.696734130955398427e+02
1.921000000000000000e+03, 3.616500260753031881e+01, 1.233251665273945861e+02, 9.675161033694151058e+01, 1.999328710840079850e+02, 1.347776573244320559e+02, 9.715507342715815753e+01, 1.341874996317796729e+02, 6.653794498448193906e+01, 5.638329587592276226e+01, 9.125788142273630399e+01, 4.045657837103605914e+01, 9.110679349583563180e+01, 1.092184734895979688e+02, 2.696805517480987646e+02
1.922000000000000000e+03, 3.618001649869003700e+01, 1.233131188937826721e+02, 9.679207121687051085e+01, 2.000121619852026527e+02, 1.347965326661914105e+02, 9.714868952000900038e+01, 1.341843008857230473e+02, 6.653120959049327610e+01, 5.637783250382063471e+01, 9.123524723754533738e+01, 4.045623063254067375e+01, 9.111060332311927823e+01, 1.092360714824784367e+02, 2.697479790071258776e+02
1.923000000000000000e+03, 3.619388126860497579e+01, 1.233301474775155810e+02, 9.678907479204337960e+01, 2.000050479711556761e+02, 1.348390275503464011e+02, 9.710071610458095392e+01, 1.341851757599056896e+02, 6.659117612902223016e+01, 5.634700808551249906e+01, 9.120056350731715611e+01, 4.044981685110228398e+01, 9.111406997703696220e+01, 1.092078326027522763e+02, 2.697130935900701729e+02
