year, ACCESS-ESM1-5, NorESM2-MM, CESM2-WACCM, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, TaiESM1, GFDL-ESM4, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, CNRM-ESM2-1, CanESM5
1.916000000000000000e+03, 3.557586206493227987e+00, 3.289009483980359416e+00, 3.582890485800359848e+00, 4.381147502829397133e+00, 5.420886945797811052e+00, 3.287251718341139828e+00, 4.002187092093929088e+00, 3.109200000266412189e+00, 3.444735856295602527e+00, 1.863930947228694457e+00, 2.234844220622328237e+00, 3.275678468167905866e+00, 2.589718249859058741e+00, 3.703552987293284193e+00
1.917000000000000000e+03, 3.471538971330161427e+00, 3.336728998174612659e+00, 3.633264548727042076e+00, 4.701692267860221541e+00, 4.973501599524714933e+00, 3.210107379019133678e+00, 4.048967493071526036e+00, 3.181972942541309912e+00, 3.637138778333206091e+00, 1.853525827915589508e+00, 2.183771549111022559e+00, 3.497013603862476838e+00, 2.488820097024349032e+00, 3.756010118937673337e+00
1.918000000000000000e+03, 3.503733957353723838e+00, 3.257137397755430985e+00, 3.621837008478023812e+00, 4.431191249041578573e+00, 5.176896067228358156e+00, 3.165193675023970865e+00, 4.157419052913707169e+00, 3.149509834595207280e+00, 3.308716231018373310e+00, 1.849848018903580638e+00, 2.289043288724330605e+00, 3.273997152849713821e+00, 2.564105915126577706e+00, 3.752870611278255275e+00
1.919000000000000000e+03, 3.498552915870863256e+00, 3.373636386337155901e+00, 3.769088261452539612e+00, 4.735982309750317754e+00, 5.393013426176334946e+00, 3.140409401488140961e+00, 3.987490603485823737e+00, 3.211820448281080154e+00, 3.518720223466366370e+00, 1.887574313584221342e+00, 2.312431461846591763e+00, 3.221837985243616753e+00, 2.453662085872793330e+00, 3.856798012145743471e+00
1.920000000000000000e+03, 3.533378100612684758e+00, 3.288398748723598608e+00, 3.630943817014581576e+00, 4.377024842001804750e+00, 5.576445450003476800e+00, 3.105330013132089562e+00, 4.123642330883580343e+00, 3.104855997257747635e+00, 3.451166484148183056e+00, 1.885163149424651907e+00, 2.295846844236382189e+00, 2.978998315241140560e+00, 2.443520920056579726e+00, 3.872636895638415400e+00
1.921000000000000000e+03, 3.485819460019252247e+00, 3.205429658854718422e+00, 3.612295611305849530e+00, 4.561616226903065119e+00, 5.523283016446581151e+00, 3.176775943400287794e+00, 3.947823220561735624e+00, 3.174472154146880332e+00, 3.335579562322172009e+00, 1.886805511482393838e+00, 2.320956476933899282e+00, 3.239108960958315464e+00, 2.640162112340383338e+00, 3.613705446387052156e+00
1.922000000000000000e+03, 3.476802908380971058e+00, 3.387195012205430622e+00, 3.863854974623855743e+00, 4.754399322446173137e+00, 5.405938069634346199e+00, 3.134799126569209893e+00, 4.095931627475970949e+00, 3.099789900491186856e+00, 3.584527464292686982e+00, 1.925575747492563217e+00, 2.249895086799623467e+00, 3.323115139686263930e+00, 2.695623863632436557e+00, 3.754153042451899402e+00
1.923000000000000000e+03, 3.452600884353682176e+00, 3.118377889293619365e+00, 3.682823955180983155e+00, 4.652190523862139493e+00, 5.116767756383453936e+00, 3.140122284423750187e+00, 4.047370765929132475e+00, 3.120503823744425365e+00, 3.431393899020654725e+00, 1.911979679310298774e+00, 2.421725240107006183e+00, 3.467026934208159439e+00, 2.730093231277494148e+00, 3.523607534771485028e+00
1.924000000000000000e+03, 3.484661188892842265e+00, 3.236942911924810318e+00, 3.717039137519556835e+00, 4.580505909826745992e+00, 5.466546154289223303e+00, 3.174499934760178999e+00, 3.951891869134928292e+00, 3.192049637032092324e+00, 3.555924877487415703e+00, 1.903508690458185937e+00, 2.201449593984540876e+00, 3.456643808405607921e+00, 2.715636169217809925e+00, 3.945080489137125834e+00
1.925000000000000000e+03, 3.494940419305136547e+00, 3.223400376136816181e+00, 3.816342965406864352e+00, 4.525213943875033173e+00, 5.237495849168621653e+00, 3.221155814197446787e+00, 4.026504494964350478e+00, 3.153185796352394821e+00, 3.599008280822336481e+00, 1.913883862129801772e+00, 2.351621037710065476e+00, 3.376227438096182976e+00, 2.717080604370845975e+00, 3.687759498762302801e+00
1.926000000000000000e+03, 3.444336897247705309e+00, 3.288045839349300614e+00, 3.759534361914052436e+00, 4.514187428893976950e+00, 5.472187903816420729e+00, 3.227820357405076113e+00, 4.059228120868050738e+00, 3.133710587298644601e+00, 3.553022376763851131e+00, 1.930366302606278284e+00, 2.231426109882518549e+00, 3.442581396301275465e+00, 2.574660177453201637e+00, 3.980340190398850009e+00
1.927000000000000000e+03, 3.545042748907186958e+00, 3.303024483000369216e+00, 3.766999650659432763e+00, 4.720841745155085256e+00, 5.159159647925751990e+00, 3.287109592508989930e+00, 3.916147697321621379e+00, 3.137124902242416358e+00, 3.504901530060078763e+00, 1.936171211809153414e+00, 2.355424456711372461e+00, 3.383269309967157579e+00, 2.680847689989056981e+00, 4.021263072901273716e+00
1.928000000000000000e+03, 3.489120690411949166e+00, 3.250254072302412478e+00, 3.705061105894517315e+00, 4.595481169663073295e+00, 5.195792295833999042e+00, 3.253426666457798877e+00, 4.132491398177550401e+00, 3.117617887742209604e+00, 3.687305189126524496e+00, 1.944971860279822495e+00, 2.363986836186266149e+00, 3.524416733952168368e+00, 2.625992301098255322e+00, 3.557545127676483787e+00
1.929000000000000000e+03, 3.556725253893931793e+00, 3.197719657460140752e+00, 3.677794089732340233e+00, 4.514589646503866405e+00, 5.054087899506193970e+00, 3.238980780752426902e+00, 3.911570560596937529e+00, 3.067365970166726630e+00, 3.290636109174935875e+00, 1.892316156883273370e+00, 2.235515790384746460e+00, 3.375893639659846013e+00, 2.628984687417323940e+00, 3.835550240202439731e+00
1.930000000000000000e+03, 3.555871022703962048e+00, 3.212804616504892241e+00, 3.461986093684385146e+00, 4.566785910021408768e+00, 5.152152716679504252e+00, 3.253424839112065925e+00, 4.033845098719850419e+00, 3.102186837083869886e+00, 3.592042446436134018e+00, 1.876395072482473170e+00, 2.100614812923240482e+00, 3.460772889933559693e+00, 2.658451929794974689e+00, 3.894799636179560931e+00
1.931000000000000000e+03, 3.565239140866657941e+00, 3.353014723525751695e+00, 3.770685023549216641e+00, 4.749491446190231336e+00, 5.233341487174449469e+00, 3.126914538028930490e+00, 4.027944671525161446e+00, 3.131962479086643825e+00, 3.332551113419557787e+00, 1.918225497863985440e+00, 2.242427133465942468e+00, 3.309884267696301396e+00, 2.747086830116650447e+00, 3.979403328013999541e+00
1.932000000000000000e+03, 3.548160485163052602e+00, 3.155242249381585928e+00, 3.749579138258659849e+00, 4.697716575432695052e+00, 5.368378838777892348e+00, 3.186975135834996919e+00, 3.925922007498122923e+00, 3.055922397496141141e+00, 3.620071423354457529e+00, 1.935395725176605630e+00, 2.195286765152392405e+00, 3.518708364269829136e+00, 2.646179996826814484e+00, 3.798273073110478570e+00
1.933000000000000000e+03, 3.529696096000233929e+00, 3.301655447553434097e+00, 3.713996065506987243e+00, 4.707935783064610469e+00, 5.347124690969448757e+00, 3.205174962304090158e+00, 4.026210781273397821e+00, 3.096393235969892466e+00, 3.409799092820706257e+00, 1.871616800213730114e+00, 2.309268865402486437e+00, 3.591201455983325630e+00, 2.713154062528107424e+00, 3.860932666759924192e+00
