year, CESM2-WACCM, MPI-ESM1-2-LR, IPSL-CM6A-LR, NorESM2-LM, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, CMCC-ESM2, NorESM2-MM, TaiESM1
2.035000000000000000e+03, 3.683144918972586628e-10, 2.489768995221964762e-09, 1.766611224653756662e-10, 1.391151818201751059e-09, 1.117816842692814890e-09, 3.240974098597405428e-11, 1.757313056964521556e-10, 5.860003638356442489e-10, 2.159270562721689474e-09, 7.524835133197176379e-10
2.036000000000000000e+03, 3.866129749279352382e-10, 2.505613348479370954e-09, 1.480010921664436444e-10, 1.703530657429341294e-09, 1.063981479012271754e-09, 2.502433595618747745e-11, 1.507108934424858002e-10, 5.820111768572809352e-10, 2.034663229240912274e-09, 7.399573419931988437e-10
2.037000000000000000e+03, 3.751199820969030669e-10, 2.512409252960257915e-09, 1.460296530931953494e-10, 1.613373950036206316e-09, 1.063263322410149544e-09, 2.106100722611062422e-11, 1.507116267581653771e-10, 5.798226678957256989e-10, 1.784097617161197220e-09, 7.295371780762970795e-10
2.038000000000000000e+03, 3.699785303478875210e-10, 2.486890652403533414e-09, 1.457986522467938599e-10, 1.687066772823244907e-09, 1.094675731317068189e-09, 1.920682013478898100e-11, 1.497724394769433805e-10, 5.800252983763411993e-10, 2.035305685198903214e-09, 7.228966908988209627e-10
2.039000000000000000e+03, 3.667426777473990223e-10, 2.465045175036424066e-09, 1.443350447512651534e-10, 1.705387363736066772e-09, 1.094659366303798345e-09, 1.817255045819962897e-11, 1.469988182030121322e-10, 5.784139898296708574e-10, 2.290254109161685054e-09, 7.153832096901439270e-10
2.040000000000000000e+03, 3.628917966442581015e-10, 2.457876435959905605e-09, 1.433203429523783075e-10, 1.544568629059157192e-09, 1.088552470283502683e-09, 1.739696412872883385e-11, 1.445434410961702040e-10, 5.245226561050334783e-10, 2.212233882207883025e-09, 6.626401008246000466e-10
2.041000000000000000e+03, 3.529137432043056707e-10, 2.462495877375305020e-09, 1.211611466745264474e-10, 1.422378407310558675e-09, 1.026748746844326447e-09, 1.635562286736496116e-11, 1.070075241616624788e-10, 5.180712367200925860e-10, 2.102262614283445595e-09, 6.553463497993664025e-10
2.042000000000000000e+03, 3.518151382246435436e-10, 2.453286579211377149e-09, 1.209185593850319307e-10, 1.350675696810037326e-09, 1.059682464205698498e-09, 1.572920176127015153e-11, 1.034789294728034325e-10, 5.139661701575098025e-10, 1.875272537668565823e-09, 6.484188754525779896e-10
2.043000000000000000e+03, 3.497695935045436116e-10, 2.441240734567902981e-09, 1.206615610994896810e-10, 1.377120904938839812e-09, 1.082085830003314893e-09, 1.642443230141774176e-11, 9.903713609723220114e-11, 5.067827288353121645e-10, 2.066498212748099484e-09, 6.425300125488985306e-10
2.044000000000000000e+03, 3.489535293980656085e-10, 2.422396798031188178e-09, 1.207122774902343595e-10, 1.557340283216087245e-09, 1.066108228185433874e-09, 1.705114120661464173e-11, 9.333781290010816533e-11, 5.044113345730484210e-10, 2.102232277634749738e-09, 6.379377128476661479e-10
