year, IPSL-CM6A-LR, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, CESM2-WACCM, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-LM, CanESM5, MIROC-ES2L
2.028000000000000000e+03, 4.208645071679366190e+00, 1.372256545596446831e+00, 1.011422370715948915e+01, 8.819989022173562176e+00, 4.975242577898040253e-01, 1.589797685782694536e+00, 7.847017074564608841e+00, 1.245766313001555936e+00, 1.989693209389482798e+00, 1.217289438259694156e+00, 1.193657834610318158e+00, 3.559737762751012280e+00, 6.813843140800527109e+00
2.029000000000000000e+03, 4.183022508371075254e+00, 1.370953305037623249e+00, 1.020462670628091928e+01, 8.857486811427451201e+00, 9.585568957187278194e-01, 1.556717459172539675e+00, 7.804515698992608996e+00, 1.232546961852550860e+00, 2.502353094348391149e+00, 1.194585713426101758e+00, 1.164677467774379416e+00, 3.434198282660640533e+00, 6.800679012069855922e+00
2.030000000000000000e+03, 4.161343765350956403e+00, 1.370199678005355359e+00, 1.020873832280604709e+01, 8.689453994295472938e+00, 5.729861510029901073e-01, 1.602107577036140817e+00, 7.805485405554255962e+00, 1.233234661467507598e+00, 2.462678249034690570e+00, 1.222435656647970825e+00, 1.186732125163000307e+00, 3.389489982314520145e+00, 6.840037636767089424e+00
2.031000000000000000e+03, 4.169486821115123476e+00, 1.395461358291717691e+00, 1.026056635668515327e+01, 8.597055710786076332e+00, 4.064616046992651777e-01, 1.562299460480643720e+00, 7.735387771200001872e+00, 1.270970013360759543e+00, 2.586813487300383851e+00, 1.253674632196377425e+00, 1.203836077956101480e+00, 3.430634989831307990e+00, 6.987058172120319988e+00
2.032000000000000000e+03, 4.212129649052345215e+00, 1.413798072058851218e+00, 1.046571604861714810e+01, 8.683522344960650230e+00, 5.900637687211811588e-01, 1.437504039563774150e+00, 7.750849453478740436e+00, 1.253489995973599447e+00, 2.790950538654624058e+00, 1.231318166338863485e+00, 1.201900535261535952e+00, 3.486480513933048808e+00, 6.985298763822059165e+00
2.033000000000000000e+03, 4.239986002216531880e+00, 1.376455213310380010e+00, 1.041731068536467752e+01, 8.854977288155913229e+00, 6.793630001641296490e-01, 1.523944415385151574e+00, 7.751099159948443784e+00, 1.226538101569265793e+00, 2.666926852972923090e+00, 1.207386949490263151e+00, 1.221240128949529380e+00, 3.439859012530053661e+00, 6.886366390791876846e+00
2.034000000000000000e+03, 4.255198735712065528e+00, 1.400753018575234599e+00, 1.040821429868179315e+01, 8.885452597551200427e+00, 5.420391026864315176e-01, 1.604815856075936020e+00, 7.766400922547625818e+00, 1.244406915102594047e+00, 2.312980750321659063e+00, 1.205203761074677304e+00, 1.239217256009059298e+00, 3.406592054041134521e+00, 6.913343969793187327e+00
2.035000000000000000e+03, 4.267053768664651692e+00, 1.444802851299487045e+00, 1.041877396628986574e+01, 8.796882118963649688e+00, 5.327329541156738957e-01, 1.590616595680574896e+00, 7.739324328486910431e+00, 1.266810468773298615e+00, 1.989367579377123496e+00, 1.202173650867566446e+00, 1.204754612150777726e+00, 3.516192522088680050e+00, 7.098989034112314300e+00
2.036000000000000000e+03, 4.236518385075379811e+00, 1.420165527782429660e+00, 1.052117752896869440e+01, 8.784611313111437170e+00, 6.515459264344430901e-01, 1.502157856543683501e+00, 7.754565505830091077e+00, 1.316315374779299940e+00, 2.409727353487506107e+00, 1.215699432872251240e+00, 1.206196090758929085e+00, 3.452690943145077185e+00, 7.140312765330808276e+00
2.037000000000000000e+03, 4.224452786016348327e+00, 1.433459059143430858e+00, 1.049657831184077672e+01, 8.887114132090619734e+00, 4.969851513984371860e-01, 1.541430948144393076e+00, 7.716396622869006627e+00, 1.302414750974208335e+00, 2.906416671346135239e+00, 1.187981253831558615e+00, 1.206582819225655578e+00, 3.578279812133526416e+00, 7.072729947318455501e+00
