year, MPI-ESM1-2-LR, TaiESM1, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, CESM2-WACCM, UKESM1-0-LL, MIROC-ES2L, NorESM2-LM, CanESM5, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5
2.026000000000000000e+03, 2.239231774827361576e+01, 2.900397880684034391e+01, 7.523923828190690699e+01, 2.342689933146727554e+01, 4.702942150776910779e+01, 3.721660906246599154e+01, 6.580587935684417289e+01, 2.386211854444356817e+01, 3.275706024692816953e+01, 4.893709166049186621e+01, 4.345123916825680510e+01, 3.989030038147927115e+01, 1.612643992296391460e+01
2.027000000000000000e+03, 2.244677959329763084e+01, 2.894829595905708786e+01, 7.538779084242335671e+01, 2.344880641563066348e+01, 4.705748839475937473e+01, 3.722168316211851646e+01, 6.575015121326698875e+01, 2.389634384763300190e+01, 3.278895102190252686e+01, 4.890185833803412407e+01, 4.345750711616371120e+01, 3.992381405129946614e+01, 1.615123773963501463e+01
2.028000000000000000e+03, 2.255346377737346941e+01, 2.890258515366115333e+01, 7.520591205026171622e+01, 2.346224140765977140e+01, 4.708309474831736452e+01, 3.723821361639706140e+01, 6.577309808956508164e+01, 2.390132781999274414e+01, 3.282021349211641592e+01, 4.888114582664591268e+01, 4.349248829711880404e+01, 3.995832027533656827e+01, 1.613992319156611543e+01
2.029000000000000000e+03, 2.257456412596849304e+01, 2.904994470617478797e+01, 7.519914819689658714e+01, 2.345705391787042160e+01, 4.708942095606809630e+01, 3.723773592415139433e+01, 6.560171316352014514e+01, 2.393147671683488298e+01, 3.282037975545562603e+01, 4.886869395307889619e+01, 4.350085034824844143e+01, 3.996145091809368921e+01, 1.611358721895068769e+01
2.030000000000000000e+03, 2.239785993212367998e+01, 2.918661310816466781e+01, 7.534913119848326346e+01, 2.345484177821377969e+01, 4.710499680067170658e+01, 3.723190638979807687e+01, 6.560883781845480200e+01, 2.397639324934218052e+01, 3.282064705932161530e+01, 4.882663082763959750e+01, 4.349265206057143729e+01, 3.996141391994781600e+01, 1.610882623865484220e+01
2.031000000000000000e+03, 2.230460514951338880e+01, 2.885669394487393191e+01, 7.545607243856851198e+01, 2.346501684739494209e+01, 4.712458493259054393e+01, 3.724762326842250815e+01, 6.576662692774539209e+01, 2.398747598705103456e+01, 3.284774806541675929e+01, 4.878181727642749621e+01, 4.346896989297757585e+01, 3.998261673317687581e+01, 1.614253297951722388e+01
2.032000000000000000e+03, 2.239967666734505158e+01, 2.881068664294981119e+01, 7.561023163461497631e+01, 2.349109751517401179e+01, 4.706994316252501420e+01, 3.727343377628871934e+01, 6.567635979084290909e+01, 2.401284087235157472e+01, 3.287310429583484250e+01, 4.874915421987753206e+01, 4.346603858160811029e+01, 4.002270888314622255e+01, 1.614794772466554562e+01
2.033000000000000000e+03, 2.256194578289602859e+01, 2.895146706508032253e+01, 7.576592038195440182e+01, 2.351516905152767833e+01, 4.705860413683623023e+01, 3.726948283988397037e+01, 6.561877325785714277e+01, 2.404591227899370409e+01, 3.290890680347455088e+01, 4.873641243497007736e+01, 4.347025233943898570e+01, 4.003854897251244438e+01, 1.612690799383676676e+01
2.034000000000000000e+03, 2.259296525546377055e+01, 2.895328587539240317e+01, 7.582582902051676399e+01, 2.353551540385132768e+01, 4.709826591224051384e+01, 3.725995002037291215e+01, 6.575207645308772442e+01, 2.408451017597190713e+01, 3.294953802043682600e+01, 4.871549283022957155e+01, 4.346922573644376797e+01, 4.005108043937062234e+01, 1.611290001790911930e+01
2.035000000000000000e+03, 2.250612176349629934e+01, 2.890304335502844424e+01, 7.564031994451620733e+01, 2.354643568388330266e+01, 4.711621549420540589e+01, 3.726756449014152395e+01, 6.582342859959497616e+01, 2.410194086484138865e+01, 3.298416525443099090e+01, 4.870679242497941885e+01, 4.347605446084008207e+01, 4.009371455646135729e+01, 1.609988518972678051e+01
2.036000000000000000e+03, 2.249446500333946020e+01, 2.895001379427379717e+01, 7.561036258996288950e+01, 2.354496026993433588e+01, 4.709255309805922707e+01, 3.730543278364960003e+01, 6.585192195645768720e+01, 2.410355225033679716e+01, 3.299425230118620078e+01, 4.870145092940529707e+01, 4.348094274683647598e+01, 4.013955745746527271e+01, 1.610258562866721732e+01
2.037000000000000000e+03, 2.260568564946330383e+01, 2.893438598844280918e+01, 7.576166372917873559e+01, 2.355020472761183825e+01, 4.708401881863029104e+01, 3.736265293770673424e+01, 6.584119125031793374e+01, 2.412679064395502593e+01, 3.301893672707463878e+01, 4.868142219970629014e+01, 4.346197194335975666e+01, 4.017733275250237313e+01, 1.608727923506394220e+01
2.038000000000000000e+03, 2.270266557063629165e+01, 2.880605452503099073e+01, 7.602004837291127615e+01, 2.355795730825016676e+01, 4.711047501549882099e+01, 3.739103910199764158e+01, 6.576209246335713487e+01, 2.416116849956249624e+01, 3.302748941277212680e+01, 4.867918412482431023e+01, 4.345697662315343734e+01, 4.019489702681900667e+01, 1.604438586201142058e+01
2.039000000000000000e+03, 2.272578139893023064e+01, 2.894468967010510596e+01, 7.612712618038484891e+01, 2.354380931784235642e+01, 4.709815890776553005e+01, 3.742876176356922002e+01, 6.570783322596756193e+01, 2.420746546750924466e+01, 3.305529724594031649e+01, 4.866971425928321082e+01, 4.350411266334685934e+01, 4.018975509701894566e+01, 1.603555446860748646e+01
2.040000000000000000e+03, 2.253395228210409229e+01, 2.909007298660288399e+01, 7.596443435630867214e+01, 2.353117351550782033e+01, 4.706908042942963277e+01, 3.745608325575312136e+01, 6.586437440612614580e+01, 2.427077809170238254e+01, 3.309216201222324116e+01, 4.866124991250800491e+01, 4.347730083137071944e+01, 4.022311545411913869e+01, 1.604989133296471238e+01
2.041000000000000000e+03, 2.252860368271036151e+01, 2.882251519564676556e+01, 7.592911659310126993e+01, 2.353015653432963461e+01, 4.707412218391934289e+01, 3.748251725913184629e+01, 6.568903508846928219e+01, 2.435082887915433503e+01, 3.313183889308920982e+01, 4.866643376919691377e+01, 4.347165272034912675e+01, 4.028210475462764606e+01, 1.607080469516963461e+01
2.042000000000000000e+03, 2.256029704809243697e+01, 2.873806641317779409e+01, 7.608527135727848645e+01, 2.352482537075728075e+01, 4.709630297653829700e+01, 3.748895712447946948e+01, 6.559619234095720230e+01, 2.443187403603112884e+01, 3.317519374427781287e+01, 4.867705459768586707e+01, 4.344398618108942856e+01, 4.034430251399395218e+01, 1.609779205489420661e+01
2.043000000000000000e+03, 2.262600152460705516e+01, 2.886967530068751131e+01, 7.629043332758435270e+01, 2.352978334852051390e+01, 4.708434150063443724e+01, 3.749873271721224910e+01, 6.583358720474697634e+01, 2.451409451689227126e+01, 3.321930696145757622e+01, 4.868063975751807959e+01, 4.343962312552746141e+01, 4.037122326508890779e+01, 1.609895041582426245e+01
2.044000000000000000e+03, 2.264121891417769561e+01, 2.908895641776988228e+01, 7.654905044267397329e+01, 2.353357103815818618e+01, 4.707691100324751687e+01, 3.751177134605197239e+01, 6.595197025180276285e+01, 2.459538031682479087e+01, 3.325095673613248692e+01, 4.870729124014487610e+01, 4.343200476178313352e+01, 4.038774691436397291e+01, 1.608618530665067681e+01
2.045000000000000000e+03, 2.259754206112762986e+01, 2.886239899125405017e+01, 7.644422486810611872e+01, 2.353156212645009049e+01, 4.709817872207731426e+01, 3.754475870632881396e+01, 6.598497917995216255e+01, 2.466379398566954606e+01, 3.328610614313473803e+01, 4.871836594816965516e+01, 4.339888674407145430e+01, 4.041866614968024862e+01, 1.608651414014711989e+01
2.046000000000000000e+03, 2.264702287569051009e+01, 2.878203610924219547e+01, 7.626691057317941613e+01, 2.353841365488610649e+01, 4.712199823330989545e+01, 3.759961924759900853e+01, 6.605483066816142923e+01, 2.473642306666405588e+01, 3.331149879111859491e+01, 4.875522630774924693e+01, 4.338410035074721804e+01, 4.046430837993202090e+01, 1.611043699514323180e+01
2.047000000000000000e+03, 2.258135789369929114e+01, 2.893517640264545676e+01, 7.636890073226896902e+01, 2.352397611802214072e+01, 4.709553681667154734e+01, 3.760384362301323335e+01, 6.601640186002819632e+01, 2.480115396769955183e+01, 3.335024717582726339e+01, 4.879662249627738646e+01, 4.333214414470687359e+01, 4.052743969768809507e+01, 1.612126243707683315e+01
2.048000000000000000e+03, 2.252477144957172683e+01, 2.902922422543435843e+01, 7.656409374995223516e+01, 2.352156567277337018e+01, 4.710680210753589137e+01, 3.763109925377027309e+01, 6.604874000579934545e+01, 2.488454881038529720e+01, 3.338809631507102438e+01, 4.878998598044969270e+01, 4.328147909056491471e+01, 4.054043078959591639e+01, 1.611423753221935229e+01
2.049000000000000000e+03, 2.258969412821453560e+01, 2.872248409132624047e+01, 7.681581552148730907e+01, 2.352088796705383089e+01, 4.713273917269074076e+01, 3.769130339711986011e+01, 6.604344092523703580e+01, 2.496252627849522554e+01, 3.343585346133737346e+01, 4.881504908393959141e+01, 4.326801876900079691e+01, 4.056951170580681776e+01, 1.610664518858350291e+01
2.050000000000000000e+03, 2.261429479844655077e+01, 2.867295463333497452e+01, 7.680954813709284679e+01, 2.351543008814516256e+01, 4.713087694019047547e+01, 3.772787058956767936e+01, 6.605115212221708987e+01, 2.503066016000019545e+01, 3.349024921784261011e+01, 4.884631900038646535e+01, 4.324627164930220147e+01, 4.062845715019409454e+01, 1.610801513585499833e+01
2.051000000000000000e+03, 2.260563352497482015e+01, 2.880785720764409064e+01, 7.677104500557932454e+01, 2.351611623502357062e+01, 4.714141482899200497e+01, 3.777069643572615121e+01, 6.593528474913345860e+01, 2.505623635109162706e+01, 3.350884420621105875e+01, 4.891349496507882577e+01, 4.320131462316862070e+01, 4.070072912347883687e+01, 1.612575698319044903e+01
2.052000000000000000e+03, 2.256455408955260467e+01, 2.898692466405374546e+01, 7.691549695501255712e+01, 2.350549232743812311e+01, 4.717219923936141868e+01, 3.783047445737454950e+01, 6.603478305650396862e+01, 2.506568663119903206e+01, 3.355286758438847983e+01, 4.898589547784776954e+01, 4.316275372274988342e+01, 4.075853982581430301e+01, 1.614048777688345027e+01
2.053000000000000000e+03, 2.263020597132663170e+01, 2.899859597313637849e+01, 7.712441165283927091e+01, 2.348380626105842239e+01, 4.713062564396845744e+01, 3.783240876085867654e+01, 6.596053119864708947e+01, 2.512894238409721481e+01, 3.361629352497116230e+01, 4.903597602584665793e+01, 4.312247564310595749e+01, 4.080086056693443197e+01, 1.611085783424044138e+01
2.054000000000000000e+03, 2.266396292045735095e+01, 2.887145570738614708e+01, 7.726294454427576852e+01, 2.348066227301303499e+01, 4.714073580586022416e+01, 3.784303214857813202e+01, 6.562854797779492344e+01, 2.522669210744402690e+01, 3.368505643995980847e+01, 4.907159859963189064e+01, 4.308457221786522240e+01, 4.082294417787549889e+01, 1.607493477859412678e+01
2.055000000000000000e+03, 2.281532106062237730e+01, 2.881843286154152750e+01, 7.710050923109641019e+01, 2.349346677823266916e+01, 4.719161061669394286e+01, 3.791310947503306039e+01, 6.560640203738256560e+01, 2.529780824933429173e+01, 3.371161332312395587e+01, 4.909869604703175128e+01, 4.309627207773532831e+01, 4.087244293813463258e+01, 1.604164153753928090e+01
2.056000000000000000e+03, 2.283094279473380084e+01, 2.882313593720814282e+01, 7.704232143682850165e+01, 2.348723136108436904e+01, 4.721184979841722651e+01, 3.798536595740321076e+01, 6.560426965660214194e+01, 2.532252058770531278e+01, 3.374918304117463208e+01, 4.914295374930957649e+01, 4.306587936518699422e+01, 4.093525275027555210e+01, 1.601396400401778308e+01
2.057000000000000000e+03, 2.280396723690220639e+01, 2.896068143267700634e+01, 7.719432222689462719e+01, 2.348949327551840938e+01, 4.721155009241851985e+01, 3.799587549348503046e+01, 6.578506317309471285e+01, 2.536803630936960730e+01, 3.379747606142291971e+01, 4.921134604433418502e+01, 4.305846204275052713e+01, 4.099964405147901658e+01, 1.598287472215022831e+01
2.058000000000000000e+03, 2.270510375376820633e+01, 2.904955237247451194e+01, 7.733533406494498763e+01, 2.349546879563914459e+01, 4.722567032735607029e+01, 3.804812401193971994e+01, 6.584884983693456206e+01, 2.542098735551149602e+01, 3.383985682384857085e+01, 4.929621557469428694e+01, 4.306182444982195534e+01, 4.098953601320720708e+01, 1.593134314784808403e+01
2.059000000000000000e+03, 2.273623279657635976e+01, 2.900685533613519596e+01, 7.739970411200056333e+01, 2.349210221571488688e+01, 4.722822068567326426e+01, 3.813308174010855822e+01, 6.574555975179278278e+01, 2.551343266387340947e+01, 3.387208343270604161e+01, 4.939852719102467660e+01, 4.302418500950165736e+01, 4.100432554898991810e+01, 1.587677218022317405e+01
2.060000000000000000e+03, 2.283691940064282733e+01, 2.874792981169326467e+01, 7.756639051516799555e+01, 2.350492679829785558e+01, 4.718719432094630406e+01, 3.814467635194364448e+01, 6.572854331645319803e+01, 2.557252269137888234e+01, 3.389142266385913871e+01, 4.948276386505860813e+01, 4.299870739141383069e+01, 4.107086231434387713e+01, 1.584166322403476101e+01
2.061000000000000000e+03, 2.316622960590148850e+01, 2.875431735783942244e+01, 7.772990451503167719e+01, 2.351063243276344039e+01, 4.715291698556438149e+01, 3.817952748660859186e+01, 6.585747366407436232e+01, 2.565590624212467930e+01, 3.395060217526323498e+01, 4.954868958367718079e+01, 4.294530319447481048e+01, 4.111934962496586365e+01, 1.581268284012298686e+01
2.062000000000000000e+03, 2.316416478004658330e+01, 2.893500547677784951e+01, 7.767773116669222588e+01, 2.351266744941670339e+01, 4.718411672346027785e+01, 3.825661116212925350e+01, 6.583691916087435914e+01, 2.570046288283999303e+01, 3.403654631840903733e+01, 4.963000042826487856e+01, 4.290108160560499329e+01, 4.115076481776211637e+01, 1.578986089917312086e+01
2.063000000000000000e+03, 2.293592368492886280e+01, 2.906709553293957882e+01, 7.762156864355101504e+01, 2.350653177250692139e+01, 4.721538566958974315e+01, 3.828609470733432119e+01, 6.584806880262658524e+01, 2.571707292759246144e+01, 3.406165072378775704e+01, 4.972922504304327163e+01, 4.286502662190595458e+01, 4.119955771242064202e+01, 1.577458049284118502e+01
2.064000000000000000e+03, 2.288116121476119247e+01, 2.875475937242671165e+01, 7.767525501381470576e+01, 2.349644676339776339e+01, 4.722327663476406912e+01, 3.829343045035800941e+01, 6.595243283219154762e+01, 2.577160073668067852e+01, 3.408187079805114195e+01, 4.980207781733633965e+01, 4.278644516652451557e+01, 4.126128027670227283e+01, 1.578773090587839789e+01
2.065000000000000000e+03, 2.291242740986904280e+01, 2.862645778934427909e+01, 7.778115323568779615e+01, 2.350540118692694946e+01, 4.723908947143071657e+01, 3.832674767945794514e+01, 6.595160972174116409e+01, 2.584257523849872484e+01, 3.414709717275820111e+01, 4.989837107432671104e+01, 4.276121914015624981e+01, 4.133958868863363989e+01, 1.578383211317263424e+01
2.066000000000000000e+03, 2.298387744207764172e+01, 2.880029632810711249e+01, 7.788384670219214456e+01, 2.349887853650238867e+01, 4.727394982465790463e+01, 3.839419031204244703e+01, 6.592734452706278603e+01, 2.591954473107864132e+01, 3.420172050558243626e+01, 5.001298466643772400e+01, 4.274690439590026614e+01, 4.139372520696729651e+01, 1.576017415831533519e+01
2.067000000000000000e+03, 2.297083171952367664e+01, 2.899474466993849830e+01, 7.801555837794502679e+01, 2.348637266251111910e+01, 4.724937676333104264e+01, 3.845452576280273860e+01, 6.592287446002478646e+01, 2.598882330471710489e+01, 3.424316030654244969e+01, 5.007974311535632950e+01, 4.272511570798141634e+01, 4.143465865919684887e+01, 1.571215562639563679e+01
2.068000000000000000e+03, 2.293068931733039051e+01, 2.872339515018590461e+01, 7.811985703411656345e+01, 2.348088374666453149e+01, 4.718371457430311722e+01, 3.848618463461011885e+01, 6.601634595294504493e+01, 2.604802729181421483e+01, 3.426602239983764520e+01, 5.018576486998924224e+01, 4.267220364292912649e+01, 4.149427657040831008e+01, 1.567234088815318671e+01
2.069000000000000000e+03, 2.300100529323854559e+01, 2.871828229585065984e+01, 7.831548318994227031e+01, 2.347693068275522776e+01, 4.718246857628473379e+01, 3.853778897543162429e+01, 6.619478740657741866e+01, 2.611765890705432724e+01, 3.433289458739099587e+01, 5.027764539049934456e+01, 4.262996056571742542e+01, 4.155369134592167057e+01, 1.562744210844677184e+01
2.070000000000000000e+03, 2.320051575710219183e+01, 2.891756618587248084e+01, 7.812700948145341329e+01, 2.347594936276472666e+01, 4.720663759065864440e+01, 3.857979657227183168e+01, 6.614854735231592997e+01, 2.620970297065893462e+01, 3.440198560195023703e+01, 5.035811661052160559e+01, 4.256775104881479876e+01, 4.159337797693532224e+01, 1.560108417156328464e+01
2.071000000000000000e+03, 2.322063814748761601e+01, 2.888000637772149304e+01, 7.809577271198909898e+01, 2.347126016504220658e+01, 4.725186228624696838e+01, 3.862659688371252287e+01, 6.613390008076655135e+01, 2.629874057305158175e+01, 3.444848406784527128e+01, 5.042890494529544299e+01, 4.255944593531961573e+01, 4.163054208452938809e+01, 1.556376811190658671e+01
2.072000000000000000e+03, 2.310197087509573066e+01, 2.883215658148776228e+01, 7.822478349930726438e+01, 2.347068430051440657e+01, 4.723982511728743106e+01, 3.866432512298129609e+01, 6.626709151525744801e+01, 2.636539299042692974e+01, 3.451104575889165460e+01, 5.049646638450682445e+01, 4.253437626790266535e+01, 4.171014055733984094e+01, 1.552109312535278818e+01
2.073000000000000000e+03, 2.304349833306895690e+01, 2.888702807407322126e+01, 7.836616128457981745e+01, 2.346428355445944902e+01, 4.721372897042127903e+01, 3.870052485954786903e+01, 6.604341949700706493e+01, 2.643189418866075968e+01, 3.455026117803957675e+01, 5.059237619337483238e+01, 4.255589219351059427e+01, 4.176683923241277796e+01, 1.551129302111203323e+01
2.074000000000000000e+03, 2.320706640661823172e+01, 2.870861671833630169e+01, 7.850834062672835501e+01, 2.346476174338870280e+01, 4.723414025658203030e+01, 3.874695385133928482e+01, 6.586902397408925935e+01, 2.653158163955745508e+01, 3.457796163340010764e+01, 5.069961095805539486e+01, 4.254412811866644972e+01, 4.178805759157020816e+01, 1.545950173824993001e+01
2.075000000000000000e+03, 2.325935485435547534e+01, 2.875756687178371962e+01, 7.873856355718000088e+01, 2.346727657670329492e+01, 4.724141999597966191e+01, 3.879843202611102271e+01, 6.596413038508970317e+01, 2.660808647874625166e+01, 3.464356112831339374e+01, 5.082969642520544085e+01, 4.252093009189803752e+01, 4.184943031441985539e+01, 1.542515328678833875e+01
2.076000000000000000e+03, 2.307584724000524190e+01, 2.889017559059217177e+01, 7.874270911487121793e+01, 2.345445385869927080e+01, 4.717967491103378563e+01, 3.881476891714997635e+01, 6.594790228281289046e+01, 2.665469263064193228e+01, 3.471620528064303812e+01, 5.096874823161721224e+01, 4.250351911484810330e+01, 4.190957365575574300e+01, 1.541517797888002050e+01
2.077000000000000000e+03, 2.302582431796854578e+01, 2.884469871945510633e+01, 7.856343888985477975e+01, 2.344195825476677797e+01, 4.719589314098240607e+01, 3.886332601317238300e+01, 6.587521834153270106e+01, 2.671163012590868391e+01, 3.472331919693402114e+01, 5.108651109079419683e+01, 4.248668437623449989e+01, 4.192189323943460977e+01, 1.539841603866421771e+01
2.078000000000000000e+03, 2.298210947265310722e+01, 2.881842543652416566e+01, 7.861534250534562318e+01, 2.343621689882875003e+01, 4.724660568953267870e+01, 3.892322109710113409e+01, 6.599857123073039133e+01, 2.678886624509576109e+01, 3.475170332672912110e+01, 5.123034899326119529e+01, 4.246511157154109384e+01, 4.193975112670987215e+01, 1.535594020216331579e+01
2.079000000000000000e+03, 2.309411704148736177e+01, 2.883726749600156580e+01, 7.884453581174443570e+01, 2.342273147325983018e+01, 4.725381847562588433e+01, 3.893418167928249574e+01, 6.595069726503500362e+01, 2.690280526203675393e+01, 3.482976558652863019e+01, 5.133535599277400507e+01, 4.242374063627440250e+01, 4.202059964196686792e+01, 1.530678226878013959e+01
2.080000000000000000e+03, 2.313804345287192632e+01, 2.884571877409560159e+01, 7.902250806231289459e+01, 2.340638952540637874e+01, 4.720140517253535251e+01, 3.895738742968367063e+01, 6.610041315351041646e+01, 2.698630961886033930e+01, 3.491703621321045858e+01, 5.144974102521490522e+01, 4.237281827544960322e+01, 4.211876150823270137e+01, 1.528513716210538753e+01
2.081000000000000000e+03, 2.312818096854558547e+01, 2.876892334833361531e+01, 7.921399423044584864e+01, 2.339833036713303471e+01, 4.721520250243836614e+01, 3.902332253994745059e+01, 6.604607872796097467e+01, 2.704321773040218702e+01, 3.495609785160967675e+01, 5.158020265907740765e+01, 4.235361121138814866e+01, 4.215748510387496140e+01, 1.526937220499988257e+01
2.082000000000000000e+03, 2.322073306276349314e+01, 2.881735690354016910e+01, 7.910429117408138211e+01, 2.339192756782466631e+01, 4.725707440324600839e+01, 3.906037078948469343e+01, 6.591118594540874653e+01, 2.710628084474639365e+01, 3.498996075513972670e+01, 5.171411981067487318e+01, 4.229196528669431387e+01, 4.221528890019902036e+01, 1.526086365525852351e+01
2.083000000000000000e+03, 2.321608935975628185e+01, 2.888638954195209863e+01, 7.896756964120729094e+01, 2.337436158171708200e+01, 4.728581793237057695e+01, 3.910647693586506790e+01, 6.593902998388902859e+01, 2.715229628485786151e+01, 3.504786219156884641e+01, 5.185010528140740860e+01, 4.224020506156627874e+01, 4.228555191991943474e+01, 1.527783446529808487e+01
2.084000000000000000e+03, 2.325508696011910104e+01, 2.862526120741508606e+01, 7.911372359344063909e+01, 2.335256999446487569e+01, 4.726490816676569295e+01, 3.915262856981897244e+01, 6.597734134253943239e+01, 2.723291801680121083e+01, 3.511696427796596964e+01, 5.196073264143291226e+01, 4.222582796649052028e+01, 4.231948844488599093e+01, 1.525677818961310095e+01
2.085000000000000000e+03, 2.342987455418273512e+01, 2.868258722538327987e+01, 7.937704590572825225e+01, 2.332479568642899181e+01, 4.725621028271173429e+01, 3.920498261148517827e+01, 6.590319674007969297e+01, 2.729951647600648457e+01, 3.514839912606841921e+01, 5.208251576039084085e+01, 4.217395470581420369e+01, 4.235942854041623917e+01, 1.521060615987520492e+01
2.086000000000000000e+03, 2.352267629298904339e+01, 2.897343472657379948e+01, 7.956668657004570377e+01, 2.329718134794864071e+01, 4.728873036305630961e+01, 3.921269323848825650e+01, 6.567699226352888786e+01, 2.735965263717390172e+01, 3.515336798590569600e+01, 5.220023809089506273e+01, 4.214042194896681082e+01, 4.241313316368525221e+01, 1.517205259402289563e+01
2.087000000000000000e+03, 2.347872827461493372e+01, 2.889964446682332522e+01, 7.939127598377642414e+01, 2.328871597590634934e+01, 4.728682902721106984e+01, 3.924938875867152177e+01, 6.554366649818163637e+01, 2.741432917870124797e+01, 3.520265104552762381e+01, 5.232978626967879876e+01, 4.209018188294295726e+01, 4.246772587668062471e+01, 1.513211151892560125e+01
2.088000000000000000e+03, 2.343414649394870253e+01, 2.872440238362980836e+01, 7.927559286681024275e+01, 2.329139565563940195e+01, 4.725569711134670570e+01, 3.928469494167734410e+01, 6.565966596274387257e+01, 2.745345140827894426e+01, 3.528900247865132656e+01, 5.249922231783379090e+01, 4.203937584342688183e+01, 4.254717630610958423e+01, 1.511552507339288987e+01
2.089000000000000000e+03, 2.359523676344084819e+01, 2.873262425342755932e+01, 7.941895926717219822e+01, 2.328439421247436769e+01, 4.718793923240900767e+01, 3.931710842652092452e+01, 6.585439744927087702e+01, 2.749609831080426403e+01, 3.536349181503497618e+01, 5.264735225503317650e+01, 4.197054729443076582e+01, 4.261956084148766166e+01, 1.506527633434370728e+01
