year, EC-Earth3-Veg, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, ACCESS-ESM1-5, MPI-ESM1-2-LR, CMCC-CM2-SR5, MIROC-ES2L, CNRM-ESM2-1
2.032000000000000000e+03, 1.071199408953230348e-01, 3.470822137008544028e-01, 1.234245573989120465e-01, 7.276866029822388893e-02, 1.884045935570695329e+00, 9.259837561979665788e-01, 3.793104547822682693e-01, 1.815663229678746715e+00, 9.959583599469890025e-02
2.033000000000000000e+03, 1.069219484240507972e-01, 3.650085954902672625e-01, 1.226582433062247263e-01, 7.235243683252473579e-02, 1.866638734277547895e+00, 9.312556515355134845e-01, 3.756163781579388572e-01, 1.821813866087894640e+00, 9.423926258971988823e-02
2.034000000000000000e+03, 1.069599466997983028e-01, 3.673476474506937595e-01, 1.222911438615376517e-01, 7.190658159931967441e-02, 1.850236528574436212e+00, 9.276570733680011838e-01, 3.725162131510000307e-01, 1.830269588909795075e+00, 8.967256731881527443e-02
2.035000000000000000e+03, 1.070605412130141987e-01, 3.702445874919230717e-01, 1.222654412301514837e-01, 7.105045162886036714e-02, 1.834809577915014644e+00, 9.289631301769064597e-01, 3.699690535064428798e-01, 1.832964232433723639e+00, 8.685202210154595315e-02
2.036000000000000000e+03, 1.062727205688986237e-01, 3.590120008671470742e-01, 1.209295651468590554e-01, 6.841189641659850551e-02, 1.814125554335005441e+00, 9.363361115644930344e-01, 3.679397421550637537e-01, 1.834352624109585106e+00, 8.432400652767074734e-02
2.037000000000000000e+03, 1.056659499265712454e-01, 3.493354956458695759e-01, 1.197546905791826294e-01, 6.630210634805883130e-02, 1.795113418335311462e+00, 9.374915798665314215e-01, 3.664269033014219690e-01, 1.842202291228857147e+00, 8.178753545170348860e-02
2.038000000000000000e+03, 1.052480462703374170e-01, 3.498817133021133174e-01, 1.188817502317055935e-01, 6.463322964668623272e-02, 1.777315232387087107e+00, 9.387977765658048757e-01, 3.653521817828946916e-01, 1.852991187648082017e+00, 7.917143052900600664e-02
2.039000000000000000e+03, 1.050378505994502831e-01, 3.410036477613961337e-01, 1.179401431084634438e-01, 6.319995027818592348e-02, 1.760551681296195214e+00, 9.352671671320970104e-01, 3.644974332447299958e-01, 1.865734581237845857e+00, 7.653902248414530540e-02
2.040000000000000000e+03, 1.048959678163402659e-01, 3.442345753336989445e-01, 1.171147971011402000e-01, 6.189429406273451451e-02, 1.744571095574123154e+00, 9.291259481129295894e-01, 3.613043292924155159e-01, 1.870057260019860168e+00, 7.402197115903089153e-02
2.041000000000000000e+03, 1.038977436483570077e-01, 3.327342397020442433e-01, 1.161529983355518714e-01, 6.058120086985024910e-02, 1.725665954500875454e+00, 9.312478408090257842e-01, 3.565403787528529933e-01, 1.872257572318939634e+00, 6.848585182058483656e-02
2.042000000000000000e+03, 1.031179700805189559e-01, 3.373657576189552643e-01, 1.150096254342268948e-01, 5.941962806018676740e-02, 1.707817481669468895e+00, 9.338045194712897290e-01, 3.529032733984424630e-01, 1.880179152712430968e+00, 6.308163510548810138e-02
2.043000000000000000e+03, 1.025180345325128334e-01, 3.377722644632106808e-01, 1.143382599849715603e-01, 5.869391985036514353e-02, 1.691076923420736344e+00, 9.322055413977810012e-01, 3.501211515604253921e-01, 1.890018085548520910e+00, 5.801773308816108449e-02
2.044000000000000000e+03, 1.017814817485715034e-01, 3.478681342291335965e-01, 1.138799262460383904e-01, 5.808866715239990874e-02, 1.674791936384605329e+00, 9.325834775945669453e-01, 3.479162743427028914e-01, 1.895404022483145434e+00, 5.346242569871993700e-02
2.045000000000000000e+03, 1.011885796203271931e-01, 3.445618097565205096e-01, 1.136184047406126885e-01, 5.725130064764816923e-02, 1.659107621264127141e+00, 9.303546679650901430e-01, 3.459418462372499947e-01, 1.899919486571214344e+00, 4.920065272119084759e-02
2.046000000000000000e+03, 1.003933182752306391e-01, 3.337145165035317884e-01, 1.134921121567165625e-01, 5.542635499737241095e-02, 1.642331855747288794e+00, 9.322915779894626054e-01, 3.441955910342299751e-01, 1.907871338197549838e+00, 4.663438793494980444e-02
2.047000000000000000e+03, 9.964989262384181534e-02, 3.518713106422836634e-01, 1.131234167697177107e-01, 5.390643930202773659e-02, 1.626354649375766348e+00, 9.294295308742167583e-01, 3.428797187796485679e-01, 1.916987361408255541e+00, 4.421368176010240236e-02
2.048000000000000000e+03, 9.909680074394162930e-02, 3.575455907172642722e-01, 1.131190369895847397e-01, 5.263637059168319726e-02, 1.611034134542669305e+00, 9.299966434486517386e-01, 3.419098800431994434e-01, 1.924908844491592941e+00, 4.213002662741045790e-02
2.049000000000000000e+03, 9.890276565954649046e-02, 3.390395746866990412e-01, 1.128508685104108594e-01, 5.150503910182797906e-02, 1.596162386365414187e+00, 9.310257030185635774e-01, 3.418402694136911668e-01, 1.930463311226150447e+00, 4.018250562606158482e-02
2.050000000000000000e+03, 9.861060622271272669e-02, 3.427595374927784877e-01, 1.124254758956319405e-01, 5.044533173985203678e-02, 1.582185755681591255e+00, 9.314938985623237855e-01, 3.442066864085682742e-01, 1.939708675504826729e+00, 3.908119239954294805e-02
2.051000000000000000e+03, 9.812079744157697903e-02, 3.399357353319501507e-01, 1.121390387027026009e-01, 4.937021562232779548e-02, 1.571309803405037897e+00, 9.351261801745428537e-01, 3.475179078130821719e-01, 1.947731094503312388e+00, 3.825437655774927698e-02
2.052000000000000000e+03, 9.760140327371559510e-02, 3.294529749425293974e-01, 1.121380687170226154e-01, 4.837834146093585724e-02, 1.560416200016397470e+00, 9.318183065199969750e-01, 3.500163806513379439e-01, 1.954066186614229927e+00, 3.719286303690372969e-02
2.053000000000000000e+03, 9.725858273234948281e-02, 3.480308750677368335e-01, 1.123021271393653819e-01, 4.745704131515959129e-02, 1.549732191068386333e+00, 9.325895362102246677e-01, 3.521207216485635061e-01, 1.959426895511451772e+00, 3.618058938496188787e-02
2.054000000000000000e+03, 9.687679191769574261e-02, 3.604344588581478437e-01, 1.122200677205646702e-01, 4.659525816116916880e-02, 1.539232412966819785e+00, 9.343814384387220118e-01, 3.537480032516866491e-01, 1.964111558233814891e+00, 3.509895319031208077e-02
2.055000000000000000e+03, 9.620354401608251227e-02, 3.304539495090378365e-01, 1.123411852334466471e-01, 4.577699018465816727e-02, 1.529280633725239369e+00, 9.358146246370178112e-01, 3.538961936727109125e-01, 1.970176167471006767e+00, 3.392253834114850736e-02
2.056000000000000000e+03, 9.604386688677314654e-02, 3.253170485526714617e-01, 1.122189877515812340e-01, 4.530602771319504340e-02, 1.515746269806853341e+00, 9.356416832605459755e-01, 3.530383004587335782e-01, 1.977476491192599717e+00, 3.445714434679905680e-02
2.057000000000000000e+03, 9.565048152131333525e-02, 3.548058418483711063e-01, 1.118528284963037633e-01, 4.663748844716256864e-02, 1.503197689544391258e+00, 9.348470589403331532e-01, 3.524825128653619188e-01, 1.981978398725225521e+00, 3.482132660907054367e-02
2.058000000000000000e+03, 9.548932397697999785e-02, 3.396316386683876920e-01, 1.117808378550349674e-01, 4.710631264672306140e-02, 1.491553407882332261e+00, 9.334454641746061654e-01, 3.522735070333953833e-01, 1.983133083576873457e+00, 3.524599708119088154e-02
2.059000000000000000e+03, 9.542541448967488404e-02, 3.249783097778378149e-01, 1.112912796661821024e-01, 4.562320983160796095e-02, 1.480652200423687725e+00, 9.297734322303434773e-01, 3.522425026659418701e-01, 1.986952667580853760e+00, 3.635627869144718999e-02
2.060000000000000000e+03, 9.519731139458242897e-02, 3.503251815468640951e-01, 1.107891349404134529e-01, 4.445144897494166664e-02, 1.469939906111617622e+00, 9.313141244580407374e-01, 3.502084850971486918e-01, 1.993727296362321821e+00, 3.828220097806678962e-02
2.061000000000000000e+03, 9.471230681627573755e-02, 3.370291255414721854e-01, 1.101365539821845124e-01, 4.358059736587426708e-02, 1.456543135269263711e+00, 9.327561227003403621e-01, 3.463918100842036663e-01, 2.000688982237690539e+00, 4.076609714939610773e-02
2.062000000000000000e+03, 9.434725101889059051e-02, 3.219568481316379960e-01, 1.094930827995974354e-01, 4.284017967039276120e-02, 1.443814884768908069e+00, 9.317427432726628211e-01, 3.432138603652758468e-01, 2.003187048629833100e+00, 4.286121668541299085e-02
2.063000000000000000e+03, 9.415799106277601693e-02, 3.315321579458767598e-01, 1.089379362131323720e-01, 4.215983382435339877e-02, 1.431421143242863403e+00, 9.247191721586719426e-01, 3.406351354371633389e-01, 2.003282955354940054e+00, 4.459824200151986384e-02
2.064000000000000000e+03, 9.399889160246825692e-02, 3.425585931911640514e-01, 1.085013617417383697e-01, 4.150115543710560656e-02, 1.419397222216886911e+00, 9.231513993673975405e-01, 3.385873610020466162e-01, 2.003609657449520576e+00, 4.599929441869865521e-02
2.065000000000000000e+03, 9.390160139005027107e-02, 3.397134271146646789e-01, 1.083224649300254527e-01, 4.086368694111047750e-02, 1.407614835195741376e+00, 9.235868679535403913e-01, 3.363537385812250813e-01, 2.006829345774159279e+00, 4.705422551984732998e-02
2.066000000000000000e+03, 9.351832136169145604e-02, 3.295149837408347104e-01, 1.078185235412286030e-01, 4.022361785682776469e-02, 1.394591951445447897e+00, 9.227876581738178041e-01, 3.338704957083237224e-01, 2.008308323641250226e+00, 4.379261146761408846e-02
2.067000000000000000e+03, 9.316836579947312957e-02, 3.325607633290558196e-01, 1.071738332614522032e-01, 3.963205405524004160e-02, 1.382299272051416450e+00, 9.211537919128018892e-01, 3.317912419049514061e-01, 2.011554501073299139e+00, 4.069084514933030139e-02
2.068000000000000000e+03, 9.276121733328807073e-02, 3.497441970120832022e-01, 1.064875568235305187e-01, 3.907224555435831470e-02, 1.370308190163326945e+00, 9.193614436351916774e-01, 3.300732362022013588e-01, 2.015261793553875247e+00, 3.771169283651516768e-02
2.069000000000000000e+03, 9.255406122492917942e-02, 3.297691736518820749e-01, 1.060826544009114275e-01, 3.853561892991477777e-02, 1.358572139465241246e+00, 9.180032599712437680e-01, 3.285819274927680445e-01, 2.019234094918242572e+00, 3.492555882014929114e-02
2.070000000000000000e+03, 9.241904223052530010e-02, 3.392277494110754743e-01, 1.055369044438666942e-01, 3.802483288292542868e-02, 1.347179526029956831e+00, 9.207806524415581562e-01, 3.286599597372819592e-01, 2.027410661622250032e+00, 3.240218260150688756e-02
2.071000000000000000e+03, 9.215854320873788363e-02, 3.317533439348774871e-01, 1.055174392639447317e-01, 3.754245717222364637e-02, 1.342736505590815366e+00, 9.207132976721121853e-01, 3.298318759574083159e-01, 2.034115499414186345e+00, 2.904833719215429294e-02
2.072000000000000000e+03, 9.183730934354651654e-02, 3.363461053227020936e-01, 1.053647967068967461e-01, 3.706780738167998746e-02, 1.335602559509272425e+00, 9.207726267930566033e-01, 3.307166926408556251e-01, 2.041524414388561581e+00, 2.613663174365425668e-02
2.073000000000000000e+03, 9.123988877986387303e-02, 3.345936651793933736e-01, 1.052806957774703039e-01, 3.660556606007234898e-02, 1.330449919468231990e+00, 9.204552559031526915e-01, 3.314516418780247831e-01, 2.049810128499915507e+00, 2.778158385766688401e-02
2.074000000000000000e+03, 9.086347600071008335e-02, 3.327203638791257911e-01, 1.051521786073041642e-01, 3.616077351215078034e-02, 1.323311924581032528e+00, 9.208037393031225371e-01, 3.319640047403748517e-01, 2.056005384650759549e+00, 3.019106397709259496e-02
2.075000000000000000e+03, 9.032218766226413065e-02, 3.270489725442391471e-01, 1.049929134705129274e-01, 3.573522180194162873e-02, 1.317864167984265311e+00, 9.206440910738313832e-01, 3.322674373844923257e-01, 2.055551527189152683e+00, 3.285622366827537638e-02
2.076000000000000000e+03, 8.997827773116592875e-02, 3.470418771574926842e-01, 1.050922123673262293e-01, 3.533104771932916305e-02, 1.310389949596339365e+00, 9.186517644141406480e-01, 3.327078277009363760e-01, 2.054483636046464667e+00, 3.165939069311508175e-02
2.077000000000000000e+03, 8.975895171389336458e-02, 3.448913569574075244e-01, 1.050901806603954103e-01, 3.494220129197857933e-02, 1.304141658466558829e+00, 9.183705130890903456e-01, 3.331108616175758041e-01, 2.054555709432000832e+00, 3.084129492742578027e-02
2.078000000000000000e+03, 8.950107680996942372e-02, 3.371534909895266274e-01, 1.050765984943647646e-01, 3.453856879344084641e-02, 1.297313379936122280e+00, 9.167774220699373977e-01, 3.335589551541516262e-01, 2.056433333770148586e+00, 3.189713900858399953e-02
2.079000000000000000e+03, 8.943293673069796501e-02, 3.671750544119293802e-01, 1.046978886374840406e-01, 3.414785902732600520e-02, 1.290649429583622831e+00, 9.170874015730841045e-01, 3.340712012314529522e-01, 2.057501310612243284e+00, 3.273294742318750422e-02
2.080000000000000000e+03, 8.914244274033517046e-02, 3.674863699009464635e-01, 1.043909783846405925e-01, 3.377674524877894574e-02, 1.284054784525456849e+00, 9.222827790428618222e-01, 3.363179494636581723e-01, 2.055389617801701263e+00, 3.348419046977250263e-02
2.081000000000000000e+03, 8.949840512684358040e-02, 3.553467714076384287e-01, 1.045412781962225812e-01, 3.344152414737776996e-02, 1.282978005933262944e+00, 9.246932046416412865e-01, 3.393498897874586695e-01, 2.056121819130159789e+00, 3.446968103918195137e-02
2.082000000000000000e+03, 8.994346873080501237e-02, 3.689667336378819607e-01, 1.048763369858211891e-01, 3.322172292220196277e-02, 1.281624939584880885e+00, 9.262571714599326933e-01, 3.415321524953470189e-01, 2.061383288547380843e+00, 3.441559924681893839e-02
2.083000000000000000e+03, 9.058246406231797165e-02, 3.586287918554998955e-01, 1.050565102820797680e-01, 3.541469072963787657e-02, 1.279877754124523870e+00, 9.277205563833035296e-01, 3.432103261628969837e-01, 2.062710972929080011e+00, 3.393704177653550369e-02
2.084000000000000000e+03, 9.112292610769721912e-02, 3.553686513167312322e-01, 1.052558145730675965e-01, 3.842673670562127275e-02, 1.277378905287092969e+00, 9.267863022874427426e-01, 3.446294314322964070e-01, 2.063795452123723617e+00, 3.316912171291180877e-02
2.085000000000000000e+03, 9.172308791473607337e-02, 3.493866668615522308e-01, 1.055874194190301735e-01, 4.013137525812825873e-02, 1.274593596552342500e+00, 9.293208142282346484e-01, 3.461470864561331240e-01, 2.064696657742055574e+00, 3.245861010828677423e-02
2.086000000000000000e+03, 9.196712293951657402e-02, 3.644239119314093278e-01, 1.055849799231523417e-01, 3.806650849015646293e-02, 1.269672946472686359e+00, 9.298970944411619755e-01, 3.475202215337169775e-01, 2.067544406292664227e+00, 3.173411305974395413e-02
2.087000000000000000e+03, 9.234020979433585352e-02, 3.487262388833332616e-01, 1.054589413752086702e-01, 3.661833299517497364e-02, 1.265024622256515574e+00, 9.235146810179477583e-01, 3.485025901251340708e-01, 2.072561465063011532e+00, 3.080295023334273311e-02
2.088000000000000000e+03, 9.270213992442266626e-02, 3.341202241386012073e-01, 1.053582726113793805e-01, 3.571963185185375589e-02, 1.260720423691187309e+00, 9.206390478443050585e-01, 3.492571056174836874e-01, 2.071268322803516693e+00, 2.995154412480438913e-02
2.089000000000000000e+03, 9.282353676327079195e-02, 3.350527891840444639e-01, 1.051157959779227824e-01, 3.501346154572269193e-02, 1.256181193546561881e+00, 9.183303255703698653e-01, 3.498979128569519315e-01, 2.066034030790672826e+00, 2.917374578442159458e-02
2.090000000000000000e+03, 9.340213872905971104e-02, 3.443289111328930452e-01, 1.047737952854793653e-01, 3.439421250023967647e-02, 1.251727456708490172e+00, 9.185466275141735970e-01, 3.495237889015471167e-01, 2.069432945574285032e+00, 2.854426613593664605e-02
2.091000000000000000e+03, 9.308077794952315798e-02, 3.238505995623346956e-01, 1.050456503185691198e-01, 3.382548438778339162e-02, 1.251190055770310838e+00, 9.122972020932017534e-01, 3.482030917534995051e-01, 2.074666287025841882e+00, 3.134549974987631965e-02
2.092000000000000000e+03, 9.298965809684145434e-02, 3.409188223078170599e-01, 1.056681787991804455e-01, 3.331358548529748942e-02, 1.249915097546703491e+00, 9.084306422789557578e-01, 3.469861493076840109e-01, 2.076620424967853928e+00, 3.392443843172990303e-02
2.093000000000000000e+03, 9.295092117906243734e-02, 3.211947234539767049e-01, 1.061896846419459750e-01, 3.281117050816625969e-02, 1.248580754309589258e+00, 9.048686816170291580e-01, 3.460393653904846323e-01, 2.079060226201740580e+00, 3.615536331685155480e-02
2.094000000000000000e+03, 9.284239750679566805e-02, 3.144901043263398921e-01, 1.066046172110843016e-01, 3.233441874473325095e-02, 1.246963474602823752e+00, 9.011810065821355131e-01, 3.453853861707311124e-01, 2.082926696677726230e+00, 3.812377134086802899e-02
2.095000000000000000e+03, 9.287476351624932014e-02, 3.138054254134262644e-01, 1.069859985866591229e-01, 3.191490296466017312e-02, 1.245108337377276886e+00, 9.019564957350389989e-01, 3.451917482602093190e-01, 2.085390301640972499e+00, 3.982857156300352586e-02
2.096000000000000000e+03, 9.403573400311208974e-02, 3.079395238296661064e-01, 1.077491456017979077e-01, 3.345146087272269503e-02, 1.244073685688514175e+00, 9.001067582410344770e-01, 3.452509533877210490e-01, 2.080645942960678507e+00, 4.027896351551042697e-02
2.097000000000000000e+03, 9.488512497760070996e-02, 3.158844883340923282e-01, 1.083049444578788462e-01, 3.531407608157643291e-02, 1.242704994316505163e+00, 8.976127395183882696e-01, 3.451301891610333850e-01, 2.075921170662920812e+00, 4.028383412903575878e-02
2.098000000000000000e+03, 9.607214397812025020e-02, 3.004112158633741592e-01, 1.087659760149589511e-01, 3.659130361302698892e-02, 1.241021848331520072e+00, 8.971983320979572962e-01, 3.450158537776858436e-01, 2.073981173299985326e+00, 3.991859951136836338e-02
2.099000000000000000e+03, 9.692311322376735705e-02, 3.173938015370173504e-01, 1.094061008260732715e-01, 3.759456443747743321e-02, 1.239026904587254396e+00, 8.958905215223963436e-01, 3.450064175883321704e-01, 2.074949216688120046e+00, 3.929437641056130609e-02
2.100000000000000000e+03, 9.779518601862559335e-02, 3.127029122124891924e-01, 1.094552172279569940e-01, 3.865039021804016900e-02, 1.237333835446258412e+00, 8.107466132068081865e-01, 3.139531643529545613e-01, 2.077169184997457840e+00, 3.812566574491148969e-02
