year, TaiESM1, CESM2-WACCM, GFDL-ESM4, INM-CM5-0, CNRM-ESM2-1, NorESM2-MM, CanESM5, ACCESS-ESM1-5, INM-CM4-8, CMCC-ESM2, MPI-ESM1-2-LR, EC-Earth3-Veg, IPSL-CM6A-LR, NorESM2-LM, UKESM1-0-LL, MIROC-ES2L
2.025000000000000000e+03, 4.201132961747104488e+00, 3.460784753580146145e+00, 3.306483430075142671e+00, 2.564997573220209492e+00, 3.034904101970255397e+00, 3.591312977179803578e+00, 3.163153452964077239e+00, 2.006247866659500279e+00, 2.573471815263700613e+00, 5.416252168216650453e+00, 3.661323778047943733e+00, 3.612608895494713313e+00, 2.798371725414928068e+00, 3.183134674399483721e+00, 3.970736170292985090e+00, 2.486134289573931788e+00
2.026000000000000000e+03, 4.425161486779705555e+00, 3.568606702972970890e+00, 3.249291677286436641e+00, 2.545992049323831274e+00, 3.052642466740204785e+00, 3.631263494628295341e+00, 3.188210588445966831e+00, 2.147444843001217851e+00, 2.587302548732244301e+00, 5.190390637237666915e+00, 3.808865576867080271e+00, 3.730652798308818685e+00, 2.883715290381451801e+00, 3.270709505741086431e+00, 3.973669332503766416e+00, 2.506120095791709801e+00
2.027000000000000000e+03, 4.711962834944912082e+00, 3.553788629060185222e+00, 3.409806966293811747e+00, 2.533947563470698494e+00, 2.963135009910894624e+00, 3.635500084155888434e+00, 3.099028994584146712e+00, 2.038090822302793814e+00, 2.567582064465685932e+00, 3.901566653751775249e+00, 3.765641022744491195e+00, 3.793975739711437534e+00, 2.948689654540549654e+00, 3.223481979750326243e+00, 3.967305952101624289e+00, 2.513080451687624617e+00
2.028000000000000000e+03, 5.265648004258314252e+00, 3.563247859665089834e+00, 3.382504629075401503e+00, 2.566425381802808658e+00, 2.912411325753279989e+00, 3.507964646910469053e+00, 3.074457674048469702e+00, 1.958558157239972397e+00, 2.578949688180755206e+00, 3.349110218035541209e+00, 3.531442928143536442e+00, 3.766238222538259350e+00, 2.835754846079866276e+00, 3.174147868487014357e+00, 3.965027863940263408e+00, 2.549886175493728313e+00
2.029000000000000000e+03, 4.414024290648111304e+00, 3.613900985674086908e+00, 3.347837342559824680e+00, 2.550363813516390188e+00, 2.951159723656265665e+00, 3.557810708485912521e+00, 3.140868223442840890e+00, 1.916349564096554881e+00, 2.595431812282475992e+00, 4.384564133577823597e+00, 3.571786782710185904e+00, 3.732986307674309501e+00, 2.780847596698549751e+00, 3.264367572306481335e+00, 3.983819346246793902e+00, 2.546777470360465756e+00
2.030000000000000000e+03, 3.761558166687592575e+00, 3.728452577486028208e+00, 3.304853273706402916e+00, 2.569656060258627583e+00, 2.925004652247595427e+00, 3.679109813372935189e+00, 3.191523297155468342e+00, 2.111803882503382024e+00, 2.590154577873390540e+00, 5.459002837165155775e+00, 3.885293332880313422e+00, 3.783148320652716556e+00, 2.849089741793376707e+00, 3.384908143584700380e+00, 3.977579592471649939e+00, 2.567362259268719971e+00
2.031000000000000000e+03, 4.648813881340618792e+00, 3.741829616528922209e+00, 3.488791963178031530e+00, 2.531779693747221227e+00, 3.035768382004858434e+00, 3.730753537725607583e+00, 3.225072064300521735e+00, 2.119336101546697826e+00, 2.585601153975120692e+00, 4.046430384978712880e+00, 4.002390983754916753e+00, 3.713855441057722029e+00, 3.029743370738192443e+00, 3.421456334207550576e+00, 3.955522427912617989e+00, 2.504302363039183188e+00
2.032000000000000000e+03, 5.677896986999122930e+00, 3.679277639801338928e+00, 3.233868697264107528e+00, 2.559315228405582232e+00, 2.986024104503453902e+00, 3.725077398200893342e+00, 3.236079021525228416e+00, 1.968618232921230282e+00, 2.583570915439704851e+00, 3.314370790142134204e+00, 3.812207834384102156e+00, 3.620175895148010969e+00, 3.036995735128883656e+00, 3.440190006398079703e+00, 3.956594690414694249e+00, 2.548017915890150142e+00
2.033000000000000000e+03, 5.177252549713935004e+00, 3.739098076591123920e+00, 3.314646612915815638e+00, 2.539015648519230783e+00, 2.942054138006145347e+00, 3.768872249557431608e+00, 3.340604415792669535e+00, 1.960066610774853890e+00, 2.559973907072076393e+00, 4.293844372805552645e+00, 3.534811388128943133e+00, 3.759514577202771157e+00, 2.962178182534140891e+00, 3.399931989416940858e+00, 3.970374891704488096e+00, 2.594831334680189006e+00
2.034000000000000000e+03, 4.953963709809827698e+00, 3.863012178738755686e+00, 3.364750621193339786e+00, 2.577646132058925676e+00, 2.931879480204690136e+00, 3.838770501996893625e+00, 3.397878813549374932e+00, 1.969717710045280068e+00, 2.582863352952032177e+00, 5.723585327875174045e+00, 3.700707674454683183e+00, 3.816058173482574478e+00, 2.973083413663872410e+00, 3.320529095238669903e+00, 3.949796161447455489e+00, 2.588980357492881801e+00
2.035000000000000000e+03, 5.182785638243902149e+00, 3.974678921730775194e+00, 3.376245851956480415e+00, 2.561464676543943053e+00, 2.977304210509840843e+00, 3.852820632086257469e+00, 3.279134520144277420e+00, 2.021232303485301252e+00, 2.562311944444425560e+00, 5.092633441885415557e+00, 3.832937301438529953e+00, 3.738038678321458086e+00, 2.844462976576626723e+00, 3.267348026005854944e+00, 3.944854784211850429e+00, 2.509943296642219046e+00
2.036000000000000000e+03, 4.960907525856281808e+00, 3.979947260925361885e+00, 3.249767871594338775e+00, 2.519580381732275942e+00, 3.004689809953324353e+00, 3.822024128992186132e+00, 3.317494886006987276e+00, 2.025491211737320274e+00, 2.586206879788236268e+00, 3.764519155871763889e+00, 3.861876256084450620e+00, 3.700532891340000408e+00, 2.842389548471202954e+00, 3.339201420050367020e+00, 3.959426154942609521e+00, 2.581716526770609477e+00
2.037000000000000000e+03, 4.979141699409776578e+00, 3.910390127648015302e+00, 3.243452043346879421e+00, 2.563131221768134349e+00, 3.093958817973438968e+00, 3.798158420142747183e+00, 3.221856311189394528e+00, 1.920804413909603214e+00, 2.575663498839761090e+00, 3.592986637969217689e+00, 3.710737086319422673e+00, 3.743237151596167767e+00, 2.991135138571863639e+00, 3.379451408376097366e+00, 3.956187686806098114e+00, 2.607986635999101299e+00
2.038000000000000000e+03, 5.405553312125786825e+00, 3.918284692957698212e+00, 3.377261873743093279e+00, 2.552891013750380633e+00, 2.968202711726114718e+00, 3.777690610759762979e+00, 3.325525602743967468e+00, 1.966390289953423354e+00, 2.536730947314144391e+00, 4.504394935838959668e+00, 3.482609928693069179e+00, 3.834195305386385755e+00, 2.798961947162326158e+00, 3.499372515851071341e+00, 3.961685192727785854e+00, 2.646421882031117168e+00
2.039000000000000000e+03, 4.721289678336705542e+00, 3.896246758990254300e+00, 3.341263335122426348e+00, 2.550683956527410867e+00, 2.816159900371340896e+00, 3.930434754299462430e+00, 3.418235599173519379e+00, 2.100812186264602754e+00, 2.570274040542061655e+00, 5.447244483034929807e+00, 3.614472784656599380e+00, 3.675513267975784704e+00, 2.750008201976827937e+00, 3.523292917313169959e+00, 3.963058696955946925e+00, 2.638071006113724248e+00
2.040000000000000000e+03, 4.119341610709763124e+00, 3.866095915568229291e+00, 3.385064203598330046e+00, 2.587422377992345979e+00, 2.994002683931996422e+00, 4.008053401225755152e+00, 3.483488809947977938e+00, 2.094946420264168552e+00, 2.586334585626242522e+00, 5.242454684831155731e+00, 3.975878617829169404e+00, 3.604800084005963079e+00, 2.928681174050491887e+00, 3.515439480217299906e+00, 3.943375050608211474e+00, 2.604263053628177005e+00
