year, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM
2.062000000000000000e+03, 3.925632026344604050e-09, 1.271127854709559146e-10, -4.034374215883628924e-09, 3.821982849809857490e-10
2.063000000000000000e+03, 4.176836728406852967e-09, 1.289435171624349858e-10, -4.056037922423440904e-09, 3.847718812359047761e-10
2.064000000000000000e+03, 3.662471608233795276e-09, 1.301528210741522741e-10, -4.352858576438635997e-09, 3.864879239530385187e-10
2.065000000000000000e+03, 3.797815362998966505e-09, 1.317464074408399469e-10, -4.303582264244424070e-09, 3.881902503450140428e-10
2.066000000000000000e+03, 4.196532521536913821e-09, 7.609761528050105635e-11, -4.061683447738309785e-09, 3.837433912678125548e-10
2.067000000000000000e+03, 4.215520555142995155e-09, 7.406883690323658314e-11, -4.087357801321341163e-09, 3.836190286234595181e-10
2.068000000000000000e+03, 4.162967155069391345e-09, 7.229733184708329122e-11, -4.272347203155960361e-09, 3.839737071304956200e-10
2.069000000000000000e+03, 3.860572953501396955e-09, 7.044644398539686497e-11, -4.246264296411848807e-09, 3.877929895203638648e-10
2.070000000000000000e+03, 3.848622096803325512e-09, 6.808238763013134072e-11, -4.313983043401228047e-09, 3.869667100190401822e-10
2.071000000000000000e+03, 4.081625390405725097e-09, 5.106824192193332805e-11, -4.357569714037929339e-09, 3.889292669817160950e-10
2.072000000000000000e+03, 3.648229763835649002e-09, 4.757601977905073510e-11, -4.261828789235183576e-09, 3.840659664669377261e-10
2.073000000000000000e+03, 4.125847430716785608e-09, 8.352879463332959184e-11, -4.247998302801865554e-09, 3.875140128549968909e-10
2.074000000000000000e+03, 4.349623435291229013e-09, 8.959633805782050516e-11, -4.329460773544500746e-09, 3.886211342576554840e-10
2.075000000000000000e+03, 3.711039837156362071e-09, 8.844574955428034886e-11, -4.176424673618535357e-09, 3.813030429408660437e-10
2.076000000000000000e+03, 3.863065525163662854e-09, 5.483038634268108463e-11, -4.077395482942680687e-09, 4.580733168943506535e-10
2.077000000000000000e+03, 4.119817336558038281e-09, 5.860486434146112605e-11, -4.379777917067032806e-09, 4.659295973286227342e-10
2.078000000000000000e+03, 3.569732348805862382e-09, 7.934976512962896276e-11, -4.387802527570992802e-09, 4.713746423613427621e-10
2.079000000000000000e+03, 4.089244764338552741e-09, 8.050898810251487055e-11, -4.369057627174833063e-09, 4.754338558731525086e-10
2.080000000000000000e+03, 3.741103909885816899e-09, 8.187289091087217342e-11, -4.622909066536883365e-09, 4.803167885529046168e-10
2.081000000000000000e+03, 3.613228132895241006e-09, 9.505491001095986011e-11, -4.639766405619569453e-09, 5.098716660683369429e-10
2.082000000000000000e+03, 4.174346159593788165e-09, 9.773575403655535504e-11, -4.256122586774630617e-09, 4.927424585624205776e-10
2.083000000000000000e+03, 3.965599794780939881e-09, 9.876683166011954350e-11, -4.299038059250653481e-09, 4.893786890104023457e-10
2.084000000000000000e+03, 3.625645514770905054e-09, 9.865870299887095599e-11, -4.412044808026192499e-09, 4.788586364317057708e-10
2.085000000000000000e+03, 3.873793025053168949e-09, 9.879655536220992354e-11, -4.326153285279407186e-09, 4.689966641552236692e-10
2.086000000000000000e+03, 4.131713368119672380e-09, 7.435958700054463673e-11, -4.275486325278611134e-09, 3.888034343824211029e-10
2.087000000000000000e+03, 4.473747848506119177e-09, 7.461629357625573142e-11, -4.847657693761761864e-09, 3.802496571872744737e-10
2.088000000000000000e+03, 4.034413597932624433e-09, 7.404381714701947297e-11, -4.503319584164714080e-09, 3.625148888254709349e-10
2.089000000000000000e+03, 3.558713016339779369e-09, 7.325564814069377636e-11, -4.466293228399956010e-09, 3.533014575005757584e-10
2.090000000000000000e+03, 3.610911487587640770e-09, 7.262984419855598119e-11, -4.488797380446253147e-09, 3.466529958558796342e-10
2.091000000000000000e+03, 4.063405792491688236e-09, 1.107370677416766622e-10, -4.684921535302851815e-09, 3.175970215319910520e-10
2.092000000000000000e+03, 4.470343209588230031e-09, 1.132160829829036292e-10, -4.535125561219351805e-09, 3.128175107102929957e-10
2.093000000000000000e+03, 3.694208731804772577e-09, 1.139195107373378580e-10, -4.234889110620967390e-09, 3.084384201475644871e-10
2.094000000000000000e+03, 3.799779911670900801e-09, 1.155142600486099155e-10, -4.392240597048504915e-09, 3.052521530567833138e-10
2.095000000000000000e+03, 4.451484044351811495e-09, 1.165517718364747837e-10, -4.528237292302237818e-09, 3.023719603866696671e-10
2.096000000000000000e+03, 4.205473312021356878e-09, 1.320335990433181289e-10, -4.495149091639883509e-09, 2.934287683899678387e-10
2.097000000000000000e+03, 3.866920057123749060e-09, 1.345332197154787921e-10, -4.635152867688827000e-09, 2.928670567193242215e-10
2.098000000000000000e+03, 4.094312460843614517e-09, 1.384454040821793151e-10, -4.669177146765346322e-09, 2.902679468609688337e-10
2.099000000000000000e+03, 3.946373210913639103e-09, 1.432367767329779640e-10, -4.425731888463278872e-09, 2.886890398303896934e-10
2.100000000000000000e+03, 3.765847421300450617e-09, 1.462376569572333554e-10, -4.829148753041599393e-09, 2.908866856566358055e-10
