year, NorESM2-MM, NorESM2-LM, TaiESM1, GFDL-ESM4, CNRM-ESM2-1
2.064000000000000000e+03, 1.452417052439683940e-10, 6.342298779235368306e-11, 3.603423518609734090e-10, 9.311879879789755698e-10, 1.273155777565159999e-10
2.065000000000000000e+03, 1.436127407490411905e-10, 1.999504658038286530e-10, 2.282337293024267160e-10, 7.277137628449460227e-10, 1.242607567239966968e-10
2.066000000000000000e+03, 2.327750840427784746e-10, 1.089138435068996952e-10, 1.222680021857411780e-09, 3.803187250840102650e-10, 1.211476345512468159e-10
2.067000000000000000e+03, 2.165504085484200684e-10, 7.692396389750515375e-11, 6.968633041418713033e-10, 7.157603162041184163e-10, 1.322785660625605425e-10
2.068000000000000000e+03, 2.850583630412349673e-10, 9.438493615415900848e-11, 3.732269989140082094e-10, 1.274740315898983759e-09, 1.082862288562215042e-10
2.069000000000000000e+03, 3.023301438161792297e-10, 1.690788200437683136e-10, 9.246178835487826969e-10, 5.749665880899225468e-10, 1.124649963248851057e-10
2.070000000000000000e+03, 1.615995104554054797e-10, 1.310413746555144231e-10, 6.655222305744066259e-10, 7.055896365965671166e-10, 1.215279274608646265e-10
2.071000000000000000e+03, 4.985073790825938146e-10, 5.156472933277783107e-10, 5.829103534919629262e-10, 7.013198277318645372e-10, 1.119483652022404687e-10
2.072000000000000000e+03, 5.279861667495118434e-10, 4.628014154230701483e-10, 1.013224420251120024e-09, 1.036944116093408659e-09, 1.337130856175240220e-10
2.073000000000000000e+03, 3.374469577498138183e-10, 2.535082646128954084e-10, 7.541716114285658663e-10, 1.739974069836323161e-09, 9.330492830160389853e-11
2.074000000000000000e+03, 2.971884941238143133e-10, 2.689762667158556870e-10, 2.927698538754542526e-10, 7.903172734408530293e-10, 1.181052993753334358e-10
2.075000000000000000e+03, 3.914978242270215571e-10, 7.683385358668535847e-10, 1.058978283385474251e-09, 3.495561472265716568e-10, 9.489968615914804051e-11
2.076000000000000000e+03, 3.612809754286234536e-10, 1.361744003935620538e-10, 8.473876736345932186e-10, 1.974617967122334090e-10, 1.460896040051567091e-10
2.077000000000000000e+03, 1.526582483340044058e-10, 1.044107419433917072e-10, 7.532218353508761773e-10, 1.237396731788358900e-09, 1.145758180624958052e-10
2.078000000000000000e+03, 4.986361940613721969e-11, 1.023807859300128438e-10, 8.421079496005110227e-10, 8.112943675682988184e-10, 1.495146081876124535e-10
2.079000000000000000e+03, 3.423009573117809163e-10, 1.290908406194833774e-10, 9.097621802551203491e-10, 4.711554705456506608e-10, 9.137962055754382363e-11
2.080000000000000000e+03, 2.258334330482905924e-10, 2.529352344431722329e-10, 9.777748645550393708e-10, 9.837632713643426143e-10, 1.209284430068395192e-10
