year, GFDL-ESM4, INM-CM4-8, NorESM2-MM, NorESM2-LM, MIROC-ES2L, INM-CM5-0, EC-Earth3-Veg, TaiESM1, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, CanESM5, CMCC-CM2-SR5, CESM2-WACCM
2.025000000000000000e+03, 2.980111892757317378e+02, 2.983949177628281859e+02, 2.988238484729470770e+02, 2.986279542354306500e+02, 2.984186302840635108e+02, 2.981502073231570193e+02, 2.981594231956872250e+02, 2.981578545153044502e+02, 3.004310946250041638e+02, 2.982707350562673128e+02, 2.976952393871302434e+02, 3.006350079609922545e+02, 2.981701190024829771e+02, 3.000332422667860897e+02, 2.989324667646040439e+02, 2.992516120469071552e+02
2.026000000000000000e+03, 2.977292476449019318e+02, 2.984845035778192255e+02, 2.985375506443378981e+02, 2.994188373387996194e+02, 2.986563455467723998e+02, 2.983751129877813923e+02, 2.975759984431863359e+02, 2.983296586816233003e+02, 3.000959928463007031e+02, 2.977787207151905022e+02, 2.976570471369589086e+02, 3.005035024414199256e+02, 2.979957679515679274e+02, 2.999497644400073568e+02, 2.994200809241295360e+02, 2.993559542832966827e+02
2.027000000000000000e+03, 2.977163219289386120e+02, 2.987552282690873540e+02, 2.989998246551051011e+02, 2.997599562882925284e+02, 2.988017966031446804e+02, 2.984163782586427374e+02, 2.976063144761483841e+02, 2.984514936893311301e+02, 3.000732367438992583e+02, 2.977346947654904170e+02, 2.978373141040736982e+02, 3.009807774503296969e+02, 2.978048662568479017e+02, 3.002373897227683983e+02, 3.000944661090367163e+02, 2.992700618805036470e+02
2.028000000000000000e+03, 2.976090096078893339e+02, 2.985708265768092247e+02, 2.993627844142887966e+02, 2.998990270451981246e+02, 2.992807441524497563e+02, 2.982493441385902315e+02, 2.977739627028567497e+02, 2.981401040424526059e+02, 3.002761431433847292e+02, 2.983541785500104879e+02, 2.982033568258999594e+02, 3.010333478864864674e+02, 2.982077414265651214e+02, 3.003672293344056925e+02, 2.990408114576647449e+02, 2.995605859775055251e+02
2.029000000000000000e+03, 2.978473122157042781e+02, 2.985790622948671285e+02, 2.988373349906204908e+02, 2.993535733461415020e+02, 2.988503651381611235e+02, 2.984467462481270559e+02, 2.977186025223338675e+02, 2.985185438532911348e+02, 2.999619819455803622e+02, 2.982332647278329318e+02, 2.978759580292432361e+02, 3.010299259126505262e+02, 2.983547079519643148e+02, 3.002357985184881954e+02, 2.989998353899158587e+02, 2.994579172892682664e+02
2.030000000000000000e+03, 2.979343621913383799e+02, 2.985500069599778499e+02, 2.986969811918107780e+02, 2.989957262273429137e+02, 2.984032420693787344e+02, 2.982826201008901421e+02, 2.975986710970843205e+02, 2.990147913259947359e+02, 2.999123229339589898e+02, 2.976644679262627164e+02, 2.981169736432340187e+02, 3.004129288700955840e+02, 2.982805192203782099e+02, 3.002228978065791125e+02, 2.988320557451054924e+02, 2.992091706211962219e+02
2.031000000000000000e+03, 2.976090721860417716e+02, 2.984682571249803118e+02, 2.987001908028963157e+02, 2.993708519975542117e+02, 2.987695574704256956e+02, 2.984690068204332078e+02, 2.979836627302120746e+02, 2.984909854091658872e+02, 3.005528484848555308e+02, 2.974665296167508473e+02, 2.980014958909637812e+02, 3.007677520988801803e+02, 2.978559316906022900e+02, 3.001690436381057339e+02, 2.990935256804023652e+02, 2.995031711744687186e+02
2.032000000000000000e+03, 2.980815446370769450e+02, 2.984813162009144776e+02, 2.989742867390286847e+02, 2.993097295228150188e+02, 2.995448446942168061e+02, 2.985555882526811615e+02, 2.987066832546510113e+02, 2.983098855142805519e+02, 3.004851536624910864e+02, 2.979821241925256459e+02, 2.982758434199342332e+02, 3.009963794649959823e+02, 2.979356845140723067e+02, 3.002464816636643832e+02, 2.995002390476897745e+02, 2.996560684571063575e+02
2.033000000000000000e+03, 2.979852273451716655e+02, 2.987393592975887486e+02, 2.988754217801226218e+02, 2.996928795564183474e+02, 2.992267585371055247e+02, 2.986467657007555090e+02, 2.975942917864684887e+02, 2.985393681154943692e+02, 3.002370800041246071e+02, 2.985003266533792043e+02, 2.980215979792383223e+02, 3.008792535997030768e+02, 2.981636603444794673e+02, 3.002934366008746565e+02, 2.996583231658336217e+02, 2.994296591093192319e+02
2.034000000000000000e+03, 2.979447958667859098e+02, 2.987143795521869265e+02, 2.987445515769880444e+02, 3.003099375737158425e+02, 2.982181781480169320e+02, 2.984961580601228661e+02, 2.976954051575920062e+02, 2.987299871569062475e+02, 3.003794535867555169e+02, 2.983395778639799687e+02, 2.982773268172440453e+02, 3.008519975446021704e+02, 2.981530554704846736e+02, 3.002551746041952470e+02, 2.998673010935456205e+02, 2.991020985032045587e+02
2.035000000000000000e+03, 2.978541193814486405e+02, 2.988292856098030370e+02, 2.987118504779529644e+02, 3.002395056267097289e+02, 2.986757685023973750e+02, 2.982235419022370024e+02, 2.978726510351058892e+02, 2.985950123152514948e+02, 3.004297989058287044e+02, 2.979228859646556771e+02, 2.983393037334224687e+02, 3.009483124238691971e+02, 2.985206560463590222e+02, 3.004524585619761297e+02, 2.991071721578586562e+02, 2.991287673608755426e+02
2.036000000000000000e+03, 2.982118118546185883e+02, 2.986973233942324555e+02, 2.992920243094528132e+02, 2.994166045475384408e+02, 2.995537241707386897e+02, 2.986597155546856470e+02, 2.986615295253066051e+02, 2.987966986114858514e+02, 3.004819033398082411e+02, 2.980357806916098866e+02, 2.978190894995346412e+02, 3.008634950836157600e+02, 2.985415340230159131e+02, 3.004915181560866131e+02, 2.991597370406437335e+02, 2.991758472063797285e+02
2.037000000000000000e+03, 2.982842971303686568e+02, 2.986319216955856177e+02, 2.996150061025762170e+02, 2.995883618940716246e+02, 2.995057927154416006e+02, 2.986643214362191543e+02, 2.979617362136056045e+02, 2.988595977352874797e+02, 3.006045585733663188e+02, 2.983127305659745048e+02, 2.978624461767900584e+02, 3.013928665312486146e+02, 2.983649639507335110e+02, 3.006691233762077218e+02, 2.989159526775200106e+02, 2.994528319305454716e+02
2.038000000000000000e+03, 2.979478902638537079e+02, 2.989152489730743696e+02, 2.992518795957578277e+02, 2.995373044791657549e+02, 2.992532071107856950e+02, 2.985955526601057954e+02, 2.979065939788382025e+02, 2.986485930292720923e+02, 3.007752567823671370e+02, 2.985766877281359370e+02, 2.984608545061479958e+02, 3.012698550711542111e+02, 2.985074117324180634e+02, 3.006752799754714260e+02, 2.997237553111108355e+02, 2.996756717853838268e+02
2.039000000000000000e+03, 2.980528358147995505e+02, 2.987810245288073929e+02, 2.987584129353704725e+02, 2.996023841460219046e+02, 2.986515154622159116e+02, 2.986500769495573877e+02, 2.985279005998936555e+02, 2.988902826013478489e+02, 3.005030849693893629e+02, 2.987113262278899128e+02, 2.985441537735342195e+02, 3.009339004369313102e+02, 2.988075123229352243e+02, 3.006939768206524946e+02, 2.999719321636870291e+02, 2.999177865129082079e+02
2.040000000000000000e+03, 2.981285385057350936e+02, 2.987580308319850815e+02, 2.987210044342099309e+02, 2.997835897615760814e+02, 2.986028729317624197e+02, 2.987097678637483114e+02, 2.985318100230666687e+02, 2.994803984693508028e+02, 3.008027028857726464e+02, 2.978692417921457718e+02, 2.982113439772132892e+02, 3.011393904031957618e+02, 2.986110033643990960e+02, 3.003935645379271477e+02, 2.993238454368391217e+02, 3.000111547944895278e+02
2.041000000000000000e+03, 2.981366947065948239e+02, 2.988100708014523548e+02, 2.990020271375125276e+02, 2.995476197344219145e+02, 2.989996230189068456e+02, 2.987049311969630025e+02, 2.979069831176726666e+02, 2.989423367505565921e+02, 3.007295031116522068e+02, 2.979736485884561716e+02, 2.985980881684382666e+02, 3.008172617506444340e+02, 2.987347820880843869e+02, 3.006890714368545900e+02, 2.991398884900756912e+02, 3.001053363546889727e+02
2.042000000000000000e+03, 2.985350057366239866e+02, 2.987128666920503974e+02, 2.995143106047266315e+02, 3.001248273127632160e+02, 2.995095640057719493e+02, 2.986845804288101363e+02, 2.978411796937072040e+02, 2.986333984446112595e+02, 3.005578663572600249e+02, 2.981967304148680569e+02, 2.981473965236635877e+02, 3.010781155830825355e+02, 2.986211133454200422e+02, 3.006660895271172649e+02, 2.994652251328167267e+02, 2.999776308443845210e+02
2.043000000000000000e+03, 2.979091443537393502e+02, 2.989143891585299002e+02, 2.993247474155595000e+02, 3.002425005880970730e+02, 2.988806980516064300e+02, 2.987038089504270033e+02, 2.986858347773576270e+02, 2.988624460570500787e+02, 3.006358582720994264e+02, 2.984392141590147389e+02, 2.987616200662914707e+02, 3.012410736235135005e+02, 2.985398082687343617e+02, 3.007697554862845664e+02, 2.996785723376748365e+02, 2.999097968146298285e+02
2.044000000000000000e+03, 2.981948160750059174e+02, 2.990127579708279768e+02, 2.992282725363623967e+02, 2.996166243983639674e+02, 2.988454614001077516e+02, 2.988309453151929347e+02, 2.980947117753732982e+02, 2.993606982403337042e+02, 3.007532534254510779e+02, 2.988339583732062579e+02, 2.983990330590596045e+02, 3.011384190812059387e+02, 2.987853821957695573e+02, 3.006417583540842884e+02, 3.001860331524443950e+02, 2.997310475489519490e+02
2.045000000000000000e+03, 2.985194086713064507e+02, 2.989227102979875212e+02, 2.993646003830892255e+02, 2.997056933056758226e+02, 2.991700970672624180e+02, 2.988570527631763412e+02, 2.981508301757624508e+02, 2.992768582311101113e+02, 3.010155704246346886e+02, 2.985667885629423495e+02, 2.983092873318562397e+02, 3.009913908305513246e+02, 2.986791325094910121e+02, 3.011042118618739210e+02, 2.999305812884916236e+02, 2.996552796487449086e+02
2.046000000000000000e+03, 2.981864561448824134e+02, 2.989682318452339018e+02, 2.993074238233647293e+02, 2.996089328763223421e+02, 2.996757274975892642e+02, 2.987326801087805279e+02, 2.983869825652507188e+02, 2.989903048339761540e+02, 3.012032615859824887e+02, 2.988801066437092686e+02, 2.988924943750045031e+02, 3.011149940766891291e+02, 2.989338265326738338e+02, 3.012356089940303718e+02, 2.994762648627570343e+02, 2.999521636187846525e+02
2.047000000000000000e+03, 2.985008905066133025e+02, 2.990311042503067256e+02, 2.998873688522043608e+02, 2.994933377604978091e+02, 2.990294949842517553e+02, 2.989101901731864359e+02, 2.987890688111228883e+02, 2.989749193066859903e+02, 3.012613757416726799e+02, 2.983174452477393856e+02, 2.987103778414042381e+02, 3.013186714866014881e+02, 2.990613445020463246e+02, 3.008610241919484452e+02, 2.994877475675410778e+02, 2.997620035607669706e+02
2.048000000000000000e+03, 2.985040202180886695e+02, 2.991747789821183119e+02, 2.992800722508720810e+02, 2.998148047130453051e+02, 2.985772652839075363e+02, 2.989708074947337195e+02, 2.983106271573465165e+02, 2.992938674677862991e+02, 3.012523497440891447e+02, 2.984008922206189709e+02, 2.983022003932485973e+02, 3.013816195271363654e+02, 2.990128141328570450e+02, 3.009050093264343673e+02, 2.996041168733835320e+02, 2.995589998398354510e+02
2.049000000000000000e+03, 2.982199473560108913e+02, 2.991373956694403091e+02, 2.991439791423924817e+02, 3.002161018433397999e+02, 2.990911143384257684e+02, 2.987951744672700443e+02, 2.981316835864449786e+02, 2.992848869515797219e+02, 3.012895415214113655e+02, 2.987193656070426755e+02, 2.986890981090682544e+02, 3.013573435158026541e+02, 2.992204929413900345e+02, 3.008937156781931890e+02, 3.003586211434378583e+02, 3.001662860895212361e+02
2.050000000000000000e+03, 2.982386278896745466e+02, 2.989802107950974914e+02, 2.992619016662117133e+02, 3.003655325624354191e+02, 2.997456265089682574e+02, 2.987821495514883168e+02, 2.987873310959223545e+02, 2.991869773186309089e+02, 3.014969619644098771e+02, 2.983694320155153719e+02, 2.986105053417732051e+02, 3.013007614428418606e+02, 2.990530814513070936e+02, 3.013695790561915260e+02, 3.001498136209249878e+02, 2.999712932516283672e+02
2.051000000000000000e+03, 2.986297427343124582e+02, 2.988971941844112621e+02, 2.996730528653984038e+02, 2.997363708572329983e+02, 2.993995931902484813e+02, 2.988404496485820232e+02, 2.982892101993825804e+02, 2.991559020390074011e+02, 3.011612470011710343e+02, 2.984513838940486607e+02, 2.984964116895879442e+02, 3.012238648015725744e+02, 2.991954001867698025e+02, 3.013656184751186515e+02, 2.998446306645790855e+02, 3.001108428374428172e+02
2.052000000000000000e+03, 2.979351045622125298e+02, 2.992346351298125455e+02, 2.995140973350929130e+02, 2.998230569155134617e+02, 2.989762349686126299e+02, 2.988475068500598582e+02, 2.986617901776758686e+02, 2.994098252628633645e+02, 3.013472997976741681e+02, 2.983811005683667190e+02, 2.985467984334475773e+02, 3.017622640040706870e+02, 2.994804227232297080e+02, 3.009730793641147102e+02, 3.001357948760869476e+02, 3.003732257343600054e+02
2.053000000000000000e+03, 2.985715881127285911e+02, 2.990431077440558738e+02, 2.998127823636206131e+02, 2.998854972523460560e+02, 2.989420522825326998e+02, 2.989197918052009300e+02, 2.992593887389507472e+02, 2.996323527844684804e+02, 3.017710918855002546e+02, 2.984232353109549081e+02, 2.987493904856614222e+02, 3.018548021624795865e+02, 2.991608834767775988e+02, 3.011356615170335544e+02, 3.003609621407532586e+02, 3.000543884650144264e+02
2.054000000000000000e+03, 2.986235771878281753e+02, 2.991113341365698375e+02, 2.994166370408304374e+02, 3.003190143477788752e+02, 2.993077571654444000e+02, 2.989344516971385133e+02, 2.979690162054392886e+02, 2.995833656048915259e+02, 3.014020622002763616e+02, 2.983801153754546931e+02, 2.985569446383097443e+02, 3.018654236636234600e+02, 2.988570118975732157e+02, 3.014687786225098307e+02, 3.004609559249692552e+02, 2.995514062027469322e+02
2.055000000000000000e+03, 2.980416203575655345e+02, 2.991935142413280460e+02, 2.997835849674299880e+02, 3.001753533930238405e+02, 2.999419393855339990e+02, 2.991134409830615937e+02, 2.982176678491139228e+02, 2.995945409260129395e+02, 3.015633386350483534e+02, 2.990265272153632168e+02, 2.989013902908089335e+02, 3.017798461531321550e+02, 2.990457334075708786e+02, 3.010564683053263479e+02, 2.999319467563115609e+02, 3.002552838466105527e+02
2.056000000000000000e+03, 2.984183519169927763e+02, 2.992157013686428400e+02, 2.998525480858727974e+02, 3.000449519028484815e+02, 2.996977226799515392e+02, 2.989225391044464004e+02, 2.986478166900157589e+02, 2.995693660328800547e+02, 3.013873236401117310e+02, 2.991146554860028459e+02, 2.983599362263172452e+02, 3.017229775281347202e+02, 2.994097110280268907e+02, 3.012699616536057761e+02, 2.996765328390549712e+02, 3.003526165604463927e+02
2.057000000000000000e+03, 2.988795134064402532e+02, 2.991570133493208914e+02, 3.004019033580747191e+02, 3.003132431961762450e+02, 2.992798621691447920e+02, 2.987046767695618996e+02, 2.986301290446288590e+02, 2.996439233849451398e+02, 3.015171750606065189e+02, 2.988180518456048844e+02, 2.988363508462517188e+02, 3.019972155701677252e+02, 2.992002449821534924e+02, 3.016257385518780438e+02, 2.999837527321356561e+02, 3.001734410179875567e+02
2.058000000000000000e+03, 2.985122322825437777e+02, 2.992926427119508048e+02, 2.997119071419576244e+02, 3.006413358176378665e+02, 2.996477373260544255e+02, 2.990094084920743285e+02, 2.987846260207763294e+02, 2.997560287436627391e+02, 3.019718894268590361e+02, 2.983621454916616358e+02, 2.992283836391377463e+02, 3.023115557612932207e+02, 2.991820445341766117e+02, 3.016354537844170522e+02, 3.001665672633506574e+02, 3.004449392752077301e+02
2.059000000000000000e+03, 2.984434875151785604e+02, 2.991982030062666240e+02, 2.993852842184937799e+02, 3.003621537292540893e+02, 3.000548509784732119e+02, 2.988400913464418522e+02, 2.990546524356101941e+02, 3.001464823938993050e+02, 3.016721674815121332e+02, 2.986032182813113423e+02, 2.987914611354925114e+02, 3.019887350666892871e+02, 2.992467316839145042e+02, 3.014381282001361910e+02, 3.001449512776677011e+02, 3.006123827332339147e+02
2.060000000000000000e+03, 2.988695547615499777e+02, 2.993314100354801894e+02, 2.999975060956155630e+02, 3.000443437302734537e+02, 2.995468732503088063e+02, 2.991277515457269374e+02, 2.995258082388216962e+02, 2.998441479740950513e+02, 3.018125896701156421e+02, 2.988619093367517507e+02, 2.991892561581768746e+02, 3.020771445787252105e+02, 2.991986454192803535e+02, 3.017057065743512112e+02, 3.005233136194206054e+02, 3.002702251714205204e+02
2.061000000000000000e+03, 2.986706767083162504e+02, 2.992996229720180281e+02, 2.999089473416920555e+02, 3.000762670739109694e+02, 2.988166022441902214e+02, 2.990135593722706631e+02, 2.988706370246837878e+02, 2.996438140997498181e+02, 3.019013984468659260e+02, 2.996295207959963705e+02, 2.987310831955217623e+02, 3.020640463091751826e+02, 2.992791748438394848e+02, 3.015954033495454496e+02, 3.005976422000890125e+02, 3.004237123109496679e+02
2.062000000000000000e+03, 2.991094793350879399e+02, 2.995313425400048004e+02, 2.995472450780937379e+02, 3.004816405234556669e+02, 2.995420017357027405e+02, 2.991115180076822071e+02, 2.985108310135519787e+02, 2.997697508337230943e+02, 3.020047468887858031e+02, 2.994206774985165680e+02, 2.991254275253714923e+02, 3.021149036013900400e+02, 2.994039411051516595e+02, 3.016392709063651409e+02, 3.003038746989567471e+02, 3.007962064029322278e+02
2.063000000000000000e+03, 2.986127340887290984e+02, 2.994767189776298437e+02, 2.993712887199213810e+02, 3.002416987129876702e+02, 3.000509756400434753e+02, 2.991224173403153372e+02, 2.987161904126572836e+02, 3.003025122077171432e+02, 3.018828634326556539e+02, 2.987648478608022629e+02, 2.995030654074402605e+02, 3.017159787678742191e+02, 2.996592999711102152e+02, 3.018142977167175900e+02, 3.003359201463723593e+02, 3.006763860717086914e+02
2.064000000000000000e+03, 2.990747152719803239e+02, 2.993449937033247465e+02, 2.999510274871371962e+02, 2.997313587093748311e+02, 2.994401457009702199e+02, 2.993423028905403385e+02, 2.990574292976190236e+02, 3.001827044626548968e+02, 3.021217096683218415e+02, 2.988260878506696372e+02, 2.991144635595782120e+02, 3.019335330137087112e+02, 2.994510050484840349e+02, 3.020357033561894582e+02, 3.002277409964451635e+02, 3.005676203262375452e+02
2.065000000000000000e+03, 2.990826422182979059e+02, 2.992762192117590416e+02, 3.003090177058700760e+02, 3.005079062738416837e+02, 2.991556900324438288e+02, 2.989531180188180315e+02, 2.988836665473298808e+02, 2.998905654253667308e+02, 3.021755985429230691e+02, 2.989297379471003637e+02, 2.993439437588146461e+02, 3.022898567076962877e+02, 2.995679397566811417e+02, 3.016913713316049552e+02, 3.000657709251622691e+02, 3.006610208770579789e+02
2.066000000000000000e+03, 2.984774788909243739e+02, 2.993438397123755976e+02, 3.004656828429323809e+02, 3.009065564841229730e+02, 2.997077376519756626e+02, 2.992329010879841462e+02, 2.991508674752640218e+02, 3.001346813097092650e+02, 3.018110611379048578e+02, 2.990717368827527594e+02, 2.993347696990174427e+02, 3.022310899008631395e+02, 2.997331960683758325e+02, 3.017765587270270089e+02, 3.001328276446839709e+02, 3.008705092855877865e+02
2.067000000000000000e+03, 2.985992699823098633e+02, 2.992985631272505884e+02, 2.999108968806316966e+02, 3.006346087703596481e+02, 3.003260081903106880e+02, 2.994698157682096280e+02, 2.998911735974464250e+02, 3.004477572595163224e+02, 3.019994498443392672e+02, 2.990541555068009529e+02, 2.995057116341292271e+02, 3.023054108837529270e+02, 2.997217179288734883e+02, 3.020843398019065376e+02, 3.004446309021189450e+02, 3.009045734538912029e+02
2.068000000000000000e+03, 2.987957381241017174e+02, 2.996728014160435123e+02, 3.000877045372811835e+02, 3.001726947418810596e+02, 2.995535785549392358e+02, 2.990283661337743979e+02, 2.999832535325212461e+02, 3.000028506233413736e+02, 3.018720118979614995e+02, 2.988562334682310961e+02, 2.993818665132853312e+02, 3.024298051048456841e+02, 2.996671244799402984e+02, 3.021580607190047090e+02, 3.006887060958538882e+02, 3.006224874553147401e+02
2.069000000000000000e+03, 2.992209750187981854e+02, 2.996165009743563132e+02, 2.999688689028731687e+02, 3.004142277614241721e+02, 2.992925723713004231e+02, 2.992502597156099569e+02, 2.990344577812999773e+02, 3.000571049814797675e+02, 3.023561130052914905e+02, 2.993119111864278352e+02, 2.996275603185076193e+02, 3.022375816780033233e+02, 2.997418341246936393e+02, 3.021611600424862445e+02, 3.010892579872122496e+02, 3.009802231894557281e+02
2.070000000000000000e+03, 2.988653627023723516e+02, 2.995739658846939619e+02, 2.999489928436769333e+02, 3.006337453797876265e+02, 2.995684811198315174e+02, 2.992696411736067716e+02, 2.989222665228406868e+02, 3.003777052554364673e+02, 3.023529665359843079e+02, 2.997044019437412885e+02, 2.995891541530655218e+02, 3.024411043167905291e+02, 2.996795113487060007e+02, 3.021855993314565012e+02, 3.005161535964842301e+02, 3.008180755040925760e+02
2.071000000000000000e+03, 2.985775017230585036e+02, 2.996801170820039601e+02, 3.000085023137474991e+02, 3.004076225912215250e+02, 3.002797674890840653e+02, 2.993898491496439078e+02, 2.990341618491318059e+02, 3.003708278421472073e+02, 3.021537891013784929e+02, 2.993567962024775966e+02, 2.991647281317347620e+02, 3.027195951415613422e+02, 2.997222176411317491e+02, 3.022938258312908033e+02, 3.001732540886710012e+02, 3.012866890241564874e+02
2.072000000000000000e+03, 2.991586470418200747e+02, 2.996800799483341962e+02, 3.004505548428455768e+02, 3.008086656277101838e+02, 2.997636565470546088e+02, 2.991707523514108402e+02, 3.001455385793083224e+02, 3.003085968570186424e+02, 3.027024707595774089e+02, 2.989998019175810668e+02, 2.995320884839399582e+02, 3.022294428873826178e+02, 3.000466137346566029e+02, 3.023299915629731345e+02, 3.003102278846340027e+02, 3.009627561096375530e+02
2.073000000000000000e+03, 2.992174656536676025e+02, 2.995709441189629274e+02, 3.001844644216452025e+02, 3.007019527321169221e+02, 2.992264466831199456e+02, 2.993254184609279491e+02, 2.998146275134604366e+02, 3.006553004684180905e+02, 3.028352378305236812e+02, 2.990874827803056064e+02, 2.997131691093507584e+02, 3.028639526616085504e+02, 2.996347989976103463e+02, 3.023931554279786269e+02, 3.005241415784639116e+02, 3.010765412412217756e+02
2.074000000000000000e+03, 2.996102994795177779e+02, 2.996508946014682806e+02, 3.000978947383208038e+02, 3.004861780211720088e+02, 2.994978493223259193e+02, 2.994265416841916476e+02, 2.992827168338067736e+02, 3.002649301374107154e+02, 3.023728890142936052e+02, 2.995755149668962645e+02, 2.998368367796984444e+02, 3.026584122977252491e+02, 2.998424179269945853e+02, 3.021599263543920415e+02, 3.005124114686137773e+02, 3.012096139458931816e+02
2.075000000000000000e+03, 2.989011839918495070e+02, 2.998012612348398989e+02, 3.004841469340449862e+02, 3.006327182587357925e+02, 3.000039723967301484e+02, 2.993230099952486967e+02, 3.000578348482022761e+02, 3.003223460520200661e+02, 3.025020819262263103e+02, 2.994801350391277310e+02, 3.000326500940285541e+02, 3.023875267364161914e+02, 2.999615844969056866e+02, 3.023217066989043360e+02, 3.011133062468451840e+02, 3.014915475122512589e+02
2.076000000000000000e+03, 2.987095011180126676e+02, 2.995949371505311092e+02, 3.008606916029572176e+02, 3.008957060262839605e+02, 3.005469307518789606e+02, 2.995780479166648433e+02, 3.002160470230087981e+02, 3.003993863348558762e+02, 3.028851524885252502e+02, 2.992377495170769066e+02, 2.997998699649276659e+02, 3.025194754506957224e+02, 3.003029247363630247e+02, 3.021901721757604946e+02, 3.009269686705280833e+02, 3.008522273989132714e+02
