year, ACCESS-ESM1-5, NorESM2-LM, MPI-ESM1-2-LR, IPSL-CM6A-LR, EC-Earth3-Veg, INM-CM5-0, CanESM5, GFDL-ESM4, MIROC-ES2L, CNRM-ESM2-1, TaiESM1, CESM2-WACCM, INM-CM4-8, NorESM2-MM, CMCC-CM2-SR5, UKESM1-0-LL
2.052000000000000000e+03, 8.666996922960974459e+00, 9.767228495715338354e+00, 1.398674954535900206e+01, 8.481784406073311189e+00, 1.004474717555719643e+01, 1.635896284337362871e+01, 1.235588418542111278e+01, 1.037164794135705037e+01, 7.428521582448583516e+00, 1.078229936411549694e+01, 1.415741884451352561e+01, 1.063342255086268828e+01, 1.619442373243068189e+01, 1.132274733449118997e+01, 1.197545917307672703e+01, 1.253768218522975353e+01
2.053000000000000000e+03, 8.703779231698185015e+00, 9.573854326228156353e+00, 1.396686899580921448e+01, 8.884618612984107600e+00, 1.013495326000605168e+01, 1.611370859876783257e+01, 1.226171989056984479e+01, 9.853089303043118363e+00, 7.449570731811642865e+00, 1.052260095315258326e+01, 1.430222188913958270e+01, 1.109538731775848497e+01, 1.698296405028004230e+01, 1.126479721237434539e+01, 1.097487038451194152e+01, 1.272030319365511097e+01
2.054000000000000000e+03, 8.772396197527891459e+00, 9.650059867366360677e+00, 1.396316381912036242e+01, 9.409903068955408401e+00, 1.030409921950700181e+01, 1.628074504260121458e+01, 1.250212073676360269e+01, 1.037310421284630557e+01, 7.644948203979544665e+00, 1.030687395742036649e+01, 1.465190284699458978e+01, 1.139049781934998684e+01, 1.690351693686432810e+01, 1.176390870343816530e+01, 1.215217991591837077e+01, 1.374766033166549661e+01
2.055000000000000000e+03, 8.726688686367875647e+00, 9.945959534095893062e+00, 1.347045614340394160e+01, 8.864620791465654293e+00, 1.006144351497712641e+01, 1.634960163361762397e+01, 1.244699419643398386e+01, 1.091653249744592813e+01, 7.922255175778290415e+00, 1.040493058080182642e+01, 1.509273523358033131e+01, 1.063489330811153621e+01, 1.670161334422116184e+01, 1.154881626254246996e+01, 1.306030399396672692e+01, 1.420520408066696305e+01
2.056000000000000000e+03, 8.839290253664694674e+00, 9.794266279240298800e+00, 1.355532429432539487e+01, 8.788290454314171996e+00, 1.001659175182224892e+01, 1.641451670862930001e+01, 1.244528076357467583e+01, 1.065191055872627679e+01, 7.681630416129952010e+00, 1.069967745145214799e+01, 1.484487212649695564e+01, 1.089019170960966321e+01, 1.702929547593501169e+01, 1.110301574874485198e+01, 1.296330937210609413e+01, 1.426184155651822394e+01
2.057000000000000000e+03, 8.712073450240817252e+00, 9.859697420093931797e+00, 1.375925466956774024e+01, 9.442513503873325220e+00, 1.014948343347149518e+01, 1.659010493692041877e+01, 1.234498005775227014e+01, 1.025180828467821748e+01, 7.557933236847961034e+00, 1.012576498331632813e+01, 1.410955015580263883e+01, 1.134651351049727808e+01, 1.695276565871321139e+01, 1.113941929748785498e+01, 1.249119673197917102e+01, 1.335032091044922709e+01
2.058000000000000000e+03, 8.426452056508720645e+00, 9.768325768342981164e+00, 1.433387589177513277e+01, 8.880193960773363315e+00, 1.031466392647562280e+01, 1.629946095528755023e+01, 1.242279112094033344e+01, 1.044251077751957091e+01, 7.650387575512763938e+00, 1.026284522145660461e+01, 1.363740501556058682e+01, 1.068784990385801947e+01, 1.701851022005967096e+01, 1.195995452208905974e+01, 1.308301737568597467e+01, 1.299859111993479566e+01
2.059000000000000000e+03, 8.975273686770728787e+00, 1.018813493737491171e+01, 1.437137366691616158e+01, 9.303569918566553909e+00, 1.013489843805108315e+01, 1.670187122809626956e+01, 1.248751446366600248e+01, 1.045415943125399849e+01, 7.849418966728015867e+00, 1.075655903891204801e+01, 1.409429922944541147e+01, 1.073823374060715352e+01, 1.708214037234434457e+01, 1.198700568780444975e+01, 1.261609459218257356e+01, 1.437010400441482716e+01
2.060000000000000000e+03, 8.945992384023750077e+00, 1.021994967510278052e+01, 1.389971658860369530e+01, 9.291516946861507975e+00, 1.046251002048365031e+01, 1.640494053273278396e+01, 1.271589625183837668e+01, 1.019849430267508161e+01, 7.737130877359489567e+00, 1.050867767673587494e+01, 1.561939999608512863e+01, 1.147716223306598060e+01, 1.670564971001581611e+01, 1.160194190859287211e+01, 1.155312268261343966e+01, 1.395835620210397110e+01
2.061000000000000000e+03, 9.015682994480442858e+00, 9.911674147167998328e+00, 1.328599199885224280e+01, 8.934029023465223318e+00, 1.063086688132496604e+01, 1.706506328097864156e+01, 1.265041587381006849e+01, 1.060768269281763665e+01, 7.833132876919602694e+00, 1.116404381782975008e+01, 1.564900420396238800e+01, 1.098629307766169028e+01, 1.692448953443729565e+01, 1.199585171461530564e+01, 1.194371641394889139e+01, 1.271580061101832904e+01
