year, TaiESM1, UKESM1-0-LL, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR, NorESM2-MM, GFDL-ESM4, EC-Earth3-Veg, MPI-ESM1-2-LR
2.037000000000000000e+03, 5.002054604149726417e-10, 3.984106537796857895e-09, 1.184642561693715154e-09, 3.930621138504022697e-10, 3.562855418388951303e-09, 4.449202014329735841e-10, 1.037847809915171236e-09, 1.318674269958402486e-09, 2.071177984216365789e-09
2.038000000000000000e+03, 5.036298001260299467e-10, 4.081033272058926792e-09, 1.206170845447039343e-09, 3.927748517008638452e-10, 3.059012388594777576e-09, 4.455449249963418582e-10, 1.038737838948012549e-09, 1.402405644293171330e-09, 2.082391504204238050e-09
2.039000000000000000e+03, 5.024128645165402996e-10, 4.084530228314764412e-09, 1.091043228971556939e-09, 3.925233581103215874e-10, 2.919080281780704607e-09, 4.452964165368382032e-10, 1.071735853625798339e-09, 1.173577721896509635e-09, 2.054163338704574629e-09
2.040000000000000000e+03, 5.032061755970299974e-10, 3.656280794751406623e-09, 1.150457666754555148e-09, 3.926783458262859157e-10, 3.342486181514319182e-09, 4.452518972169170426e-10, 1.093967410395144529e-09, 1.291449373632197227e-09, 2.013480293948982794e-09
2.041000000000000000e+03, 5.044953551037817534e-10, 4.223316334690727262e-09, 1.003975553958763481e-09, 3.934190493877467902e-10, 3.272297696344262102e-09, 4.460109605721014582e-10, 1.026481552253046463e-09, 1.487425369056227819e-09, 2.044459262771987907e-09
2.042000000000000000e+03, 5.089500548141221995e-10, 4.315692816528552680e-09, 1.086565206676037849e-09, 3.936422985730811382e-10, 3.382295551151589291e-09, 4.466270131817913842e-10, 1.119173438922294498e-09, 1.495973850247534979e-09, 2.075599113350867833e-09
2.043000000000000000e+03, 5.097779965096454944e-10, 3.845055348416224705e-09, 1.107520227716144308e-09, 3.941860115201573440e-10, 3.428626235124413193e-09, 4.470870410787055586e-10, 1.082565592268879405e-09, 1.313813793084183201e-09, 2.070294968958360308e-09
2.044000000000000000e+03, 5.027202397768808831e-10, 4.053763395642023053e-09, 1.265223727218299103e-09, 3.941978218331732214e-10, 3.355624981079455287e-09, 4.469342787924471717e-10, 1.081271852170142355e-09, 1.497055184793953811e-09, 2.084449121572608465e-09
2.045000000000000000e+03, 5.038580390053312480e-10, 3.920834016199274361e-09, 1.221615390493014850e-09, 3.995268770606303122e-10, 3.515297116446432132e-09, 4.521845004703087069e-10, 1.106350280857021790e-09, 1.581137043652739245e-09, 2.068239466765532107e-09
2.046000000000000000e+03, 5.066155393344752315e-10, 3.565183925976140432e-09, 1.073222422764829451e-09, 3.990488482267524768e-10, 3.291218984058046486e-09, 4.518366003934819744e-10, 1.074623010854489696e-09, 1.448235963453357617e-09, 2.079959649914554945e-09
2.047000000000000000e+03, 5.052781388070744724e-10, 4.067423452484160139e-09, 1.344481787439551548e-09, 3.987258564535686833e-10, 3.284696676182164981e-09, 4.518577711001367434e-10, 1.115631794775605376e-09, 1.441166735851920480e-09, 2.052689119237196456e-09
2.048000000000000000e+03, 5.345452716499793407e-10, 3.565457469742598258e-09, 1.434698359115778204e-09, 3.982878600218919626e-10, 3.675353926281879872e-09, 4.518303509966128321e-10, 1.076178138985028798e-09, 1.514987568317431594e-09, 2.051989519109984262e-09
2.049000000000000000e+03, 5.328153258871548106e-10, 3.842879550281485148e-09, 1.174789893348168791e-09, 3.959282095685638767e-10, 3.467438805799616600e-09, 4.586495166645863393e-10, 1.111761063185635557e-09, 1.660261351558604553e-09, 2.054967877858900530e-09
2.050000000000000000e+03, 5.098722597468133062e-10, 3.773775511954045273e-09, 1.234701950338703668e-09, 3.960891207094407404e-10, 3.647507070448035687e-09, 4.583844029391667209e-10, 1.115387612978037887e-09, 1.539258540796468458e-09, 2.043326641357418418e-09
2.051000000000000000e+03, 5.125025331318630031e-10, 3.975084280268987480e-09, 1.227118193314906452e-09, 3.591611202576768460e-10, 3.551789617672510788e-09, 4.307000842490510993e-10, 1.126075413335513722e-09, 1.619391958020813192e-09, 2.059047015467969447e-09
2.052000000000000000e+03, 5.132003148075659463e-10, 3.663296711588232252e-09, 1.103981701183814437e-09, 3.586451554422655805e-10, 3.402111423228323461e-09, 4.307378164436103803e-10, 1.108172903807827106e-09, 1.603948463350344931e-09, 2.023363135358266747e-09
2.053000000000000000e+03, 5.141506546863028677e-10, 3.697304703192630847e-09, 1.397127639020553992e-09, 3.581851528023277375e-10, 3.505671055960849069e-09, 4.302123570745705813e-10, 1.163695385117497739e-09, 1.440067229632086026e-09, 2.020255740011379790e-09
2.054000000000000000e+03, 5.153701760298683008e-10, 4.021844434142186250e-09, 1.598426165662275135e-09, 3.579837814567951058e-10, 3.790989099807001887e-09, 4.296196044411019355e-10, 1.137911108821675463e-09, 1.747557874172903405e-09, 2.028047634813966825e-09
2.055000000000000000e+03, 5.153364917265911312e-10, 4.199803166202625743e-09, 1.184978496350025754e-09, 3.576049124605494821e-10, 3.591671790807592746e-09, 4.289242360474518812e-10, 1.182551704987945974e-09, 1.794736786241916354e-09, 2.046366549408921935e-09
2.056000000000000000e+03, 5.165273084123517025e-10, 4.246059033251477145e-09, 1.085171324268908715e-09, 3.569267880387225048e-10, 3.540756756781579745e-09, 4.283647094653630292e-10, 1.199751632228934259e-09, 1.668514171065427681e-09, 2.058746332367126771e-09
2.057000000000000000e+03, 5.161616821252289726e-10, 3.887770128121230120e-09, 1.494735815538983256e-09, 3.566024212052043912e-10, 3.870054338617421567e-09, 4.283157921802519883e-10, 1.184358680692865243e-09, 1.731815701742294243e-09, 2.059976306213912090e-09
2.058000000000000000e+03, 5.163784735715766030e-10, 3.758589190138668407e-09, 1.265715731618099749e-09, 3.557981756451914573e-10, 3.676764463840933810e-09, 4.273270172803053915e-10, 1.194626427907012047e-09, 1.713961013824218198e-09, 2.042103403780105858e-09
2.059000000000000000e+03, 5.154487611404259192e-10, 4.211794501329685988e-09, 1.048318058295248169e-09, 3.555313636823196295e-10, 3.763639432401885365e-09, 4.257905635343065949e-10, 1.198227073160465508e-09, 1.686241505614111030e-09, 2.004046880153969828e-09
2.060000000000000000e+03, 5.180526635351751834e-10, 4.098410080317847521e-09, 1.413519016279545787e-09, 3.548653470325868002e-10, 3.802943532958669447e-09, 4.249420329159532918e-10, 1.207599512554376885e-09, 1.716789758297664356e-09, 2.028070881327780599e-09
2.061000000000000000e+03, 5.196234229560523882e-10, 3.586841162810424497e-09, 1.207698007652806669e-09, 3.543550014203808463e-10, 3.708314870695867727e-09, 4.247127832726099177e-10, 1.178360902499509989e-09, 1.724388921042767687e-09, 2.061325782022972938e-09
2.062000000000000000e+03, 5.179025666964469247e-10, 3.925632026344604050e-09, 9.792297863546996547e-10, 3.539878450092012990e-10, 3.588052161649349687e-09, 4.234792761878597383e-10, 1.206251283436672982e-09, 1.887574620571570048e-09, 2.072610347007196074e-09
2.063000000000000000e+03, 5.159635732823157694e-10, 4.176836728406852967e-09, 1.107518696435175108e-09, 3.532613330139934053e-10, 3.610820077040373092e-09, 4.224632632754478715e-10, 1.181516288835581043e-09, 1.929769868482723784e-09, 2.018318939891046198e-09
2.064000000000000000e+03, 5.186857801418040002e-10, 3.662471608233795276e-09, 1.261150423476935565e-09, 3.522446288599996490e-10, 3.908511534829516931e-09, 4.213358731893871935e-10, 1.284840257028601598e-09, 1.804244729901390294e-09, 2.013628287994134822e-09
2.065000000000000000e+03, 5.222094567938453323e-10, 3.797815362998966505e-09, 1.217274621895642758e-09, 3.512761958957021945e-10, 3.859734873423253723e-09, 4.207820700176660828e-10, 1.233602077660056306e-09, 1.958750904550645591e-09, 2.029037082686317094e-09
2.066000000000000000e+03, 5.232948355060363113e-10, 4.196532521536913821e-09, 1.074104394699859663e-09, 3.509032892597480279e-10, 3.629140852421674645e-09, 4.203132348763508775e-10, 1.172052472112734823e-09, 1.858773705697435726e-09, 2.031702952087023043e-09
2.067000000000000000e+03, 5.220685224641005909e-10, 4.215520555142995155e-09, 1.121028746411795368e-09, 3.502089271109680686e-10, 3.656140843465621004e-09, 4.192572624173639990e-10, 1.328108783709036323e-09, 1.725451334218512559e-09, 2.025292258004406382e-09
2.068000000000000000e+03, 5.228999163801073810e-10, 4.162967155069391345e-09, 1.374312048969868779e-09, 3.494154179020381875e-10, 3.842598984936803271e-09, 4.179837906063742260e-10, 1.254732052189608397e-09, 1.640410762739500799e-09, 2.017870100798779172e-09
2.069000000000000000e+03, 5.220271174614115456e-10, 3.860572953501396955e-09, 1.091865912849807872e-09, 3.485735514143071158e-10, 3.817682159527545143e-09, 4.168674422260176809e-10, 1.294573767042600853e-09, 2.013190070692556404e-09, 2.012005881122768035e-09
2.070000000000000000e+03, 5.234375138588418905e-10, 3.848622096803325512e-09, 1.233627815920953834e-09, 3.482022926283647039e-10, 3.886373453127904031e-09, 4.161131727360580542e-10, 1.176378937668585920e-09, 2.075738232179710129e-09, 2.034338686508020632e-09
2.071000000000000000e+03, 5.236277587572199935e-10, 4.081625390405725097e-09, 1.134475247281931378e-09, 3.473087626279229457e-10, 3.918105937264337458e-09, 4.144949198191022997e-10, 1.229928849666707380e-09, 2.008602742771810347e-09, 2.026835027382123071e-09
