year, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, MIROC-ES2L
2.055000000000000000e+03, 4.278710762098169657e-10, 4.499768697815439641e-09, 1.477986489830980178e-09, 5.527914147727548653e-12, 1.742885956873737474e-10, 3.682583575474627723e-11, 3.715151051518266296e-09, 3.884049654353057345e-09
2.056000000000000000e+03, 4.260929756426421405e-10, 4.488100675624205844e-09, 1.380733411070460571e-09, 6.272514384104463981e-12, 1.655242355863005350e-10, 3.700360239999993552e-11, 3.655735964966401318e-09, 3.896907884989859517e-09
2.057000000000000000e+03, 4.246655031316579316e-10, 4.479894725590642714e-09, 1.791972798106919650e-09, 1.295325815006365719e-11, 1.615191458809878252e-10, 3.764861852061772347e-11, 3.984904475632459340e-09, 3.892468963659943153e-09
2.058000000000000000e+03, 4.238712509842233755e-10, 4.477080585649790522e-09, 1.563926878056949592e-09, 1.483461807284783412e-11, 1.598401738516763551e-10, 3.811396829224939323e-11, 3.791821724275472475e-09, 3.874878834365490063e-09
2.059000000000000000e+03, 4.235882333223376948e-10, 4.453111330725288164e-09, 1.347089802123591097e-09, 9.527530699968382451e-12, 1.591690979310132541e-10, 3.862997078220354122e-11, 3.876724777250470692e-09, 3.891209698208350528e-09
2.060000000000000000e+03, 4.204766215498487307e-10, 4.461210098307088203e-09, 1.712422867284194959e-09, 6.748424965829430312e-12, 1.580356142625144714e-10, 3.897787005136360787e-11, 3.916269363826485199e-09, 3.914924441675431056e-09
2.061000000000000000e+03, 4.151556904094656970e-10, 4.460446088485659766e-09, 1.507785830687213439e-09, 5.722303469216342604e-12, 1.508261800354970369e-10, 3.979287332704707427e-11, 3.802647200651388428e-09, 3.927918070230660661e-09
2.062000000000000000e+03, 4.107108947014176055e-10, 4.438530809635555870e-09, 1.280189470150411853e-09, 5.331686562737676201e-12, 1.470275388107594188e-10, 4.108252806939995003e-11, 3.682100725181272243e-09, 3.909222004817834985e-09
2.063000000000000000e+03, 4.072111641042769811e-10, 4.390956237942224138e-09, 1.409282187509453218e-09, 5.131452884444860067e-12, 1.443218859937398862e-10, 4.232670558609142549e-11, 3.704562050763697093e-09, 3.892705430648966621e-09
2.064000000000000000e+03, 4.040195815583850170e-10, 4.394331985332058127e-09, 1.563288416850091966e-09, 4.892002600021329428e-12, 1.423062885860120469e-10, 4.353828648012762744e-11, 4.002043131085811092e-09, 3.889475680427307321e-09
