year, INM-CM5-0, CMCC-CM2-SR5, NorESM2-MM, IPSL-CM6A-LR, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-LM, ACCESS-ESM1-5, INM-CM4-8, EC-Earth3-Veg, TaiESM1, CanESM5, MIROC-ES2L, GFDL-ESM4
1.860000000000000000e+03, 2.607836510251080764e+00, 3.152003667497231376e+00, 2.753277402898025805e+00, 2.655200530037545636e+00, 3.450462574018056117e+00, 1.923080740577308045e+00, 2.822280828554730281e+00, 1.986836448885789475e+00, 2.323930224792074561e+00, 2.312028866710746033e+00, 3.740280882686392694e+00, 2.105586844169015759e+00, 3.221087740237268182e+00, 1.354241967875906782e+00, 3.168876881851256044e+00, 2.743932044231552236e+00
1.861000000000000000e+03, 3.405130594619841133e+00, 2.664115693211419611e+00, 3.370454220048673566e+00, 2.529454971979780087e+00, 3.414575783972654488e+00, 1.761704450028113156e+00, 2.702308119937451014e+00, 1.862981559030453260e+00, 1.794871774793940666e+00, 2.137593873822842383e+00, 3.587167788160161130e+00, 2.017422782792770874e+00, 3.622563304204923451e+00, 1.565049874755044534e+00, 3.405812832417232539e+00, 2.304618446691431899e+00
1.862000000000000000e+03, 2.994148488356293658e+00, 2.947830743492213301e+00, 3.072911714036004494e+00, 2.688808008355988655e+00, 2.940576958144694331e+00, 1.931099842482874251e+00, 2.832173774156669044e+00, 1.948493861562331508e+00, 2.444062878209242839e+00, 2.453224943250466250e+00, 3.748669118509995180e+00, 2.316714553004433075e+00, 3.890399996988035181e+00, 1.160681939186511080e+00, 3.455402236713903896e+00, 2.351016265338446320e+00
1.863000000000000000e+03, 3.147686478684232458e+00, 3.298212583324818148e+00, 2.442106051231012209e+00, 2.690069588529103495e+00, 2.888280599051188613e+00, 1.958146586159763114e+00, 2.637263045427416408e+00, 2.117079020558298552e+00, 1.799855338872235144e+00, 2.016485842100545156e+00, 3.819662195186794396e+00, 1.887772440892399928e+00, 3.274909703118670468e+00, 1.221310864209351976e+00, 3.125679633841023097e+00, 2.132201387768555279e+00
1.864000000000000000e+03, 2.886695018265923451e+00, 3.607132027336301672e+00, 2.698942703643180341e+00, 2.596751580095781886e+00, 2.535354138539740454e+00, 2.287086492991082132e+00, 3.044833043465789313e+00, 2.142031165665247538e+00, 2.311445026731378416e+00, 2.237398780970258017e+00, 3.833803006544814984e+00, 2.366483455832202321e+00, 3.256647868008144098e+00, 1.564504780186266819e+00, 3.000405492576061484e+00, 2.615252808499793247e+00
1.865000000000000000e+03, 2.758672232973304439e+00, 3.754095740537822579e+00, 2.289641745990172339e+00, 2.453258571713796687e+00, 2.134284734899740243e+00, 2.326751552053531125e+00, 2.962308965019949003e+00, 2.006429968217123605e+00, 2.355929437191311315e+00, 2.495645459887397166e+00, 3.662011509824383282e+00, 2.180001610598978790e+00, 3.532680403469526276e+00, 1.855573385477159443e+00, 3.110780536922802764e+00, 1.918119839439549112e+00
1.866000000000000000e+03, 2.652372805495971875e+00, 3.848396003584664271e+00, 2.129435822041766624e+00, 2.333329445129657120e+00, 2.304716924688213986e+00, 2.511285160710591935e+00, 2.455466572915286250e+00, 1.919681623727290454e+00, 2.350686641716325909e+00, 2.423952623472947820e+00, 3.362807868576007664e+00, 2.121220173787254470e+00, 3.734059610138987129e+00, 1.452051136017385335e+00, 3.596156013928222706e+00, 2.473834549597505372e+00
1.867000000000000000e+03, 2.945489509171971942e+00, 3.418826551076149745e+00, 2.442812832200133233e+00, 2.570850478461649935e+00, 2.106581233406078724e+00, 2.140812476846338352e+00, 2.740482393126729033e+00, 1.512714911620757219e+00, 1.804400986484606451e+00, 2.149818447427402912e+00, 3.307892771158742473e+00, 2.323795214193892900e+00, 4.017027321616160940e+00, 1.258297004452372470e+00, 3.561947426342572331e+00, 2.515448566189568691e+00
1.868000000000000000e+03, 2.523747190914303218e+00, 2.971628912741031581e+00, 2.636132303977223312e+00, 2.887430592161230880e+00, 2.837738964808208308e+00, 2.362677657791463659e+00, 2.414015830821113706e+00, 2.686726084262636149e+00, 1.419009738760168338e+00, 2.146152287952245885e+00, 3.496200708096764309e+00, 2.444260228098475540e+00, 3.796808187434016268e+00, 9.001939211387144368e-01, 3.137138678785481360e+00, 2.669129502623746930e+00
1.869000000000000000e+03, 2.815779796295206694e+00, 2.607526617205730091e+00, 2.508128875405397640e+00, 2.515840691014477493e+00, 2.467632395165177073e+00, 1.909808921065741183e+00, 3.008199706962873421e+00, 2.771650347848304996e+00, 2.434129182035479566e+00, 2.477639047225097535e+00, 3.602996517941992050e+00, 1.856877117830763479e+00, 3.852273519524065826e+00, 1.541820000267069446e+00, 3.329076525539179876e+00, 2.663434794920894078e+00
