year, UKESM1-0-LL, NorESM2-LM, CNRM-ESM2-1, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, CanESM5, EC-Earth3-Veg, ACCESS-ESM1-5, GFDL-ESM4, CESM2-WACCM, IPSL-CM6A-LR, TaiESM1, MPI-ESM1-2-LR
1.933000000000000000e+03, 3.235506323739858203e+01, 1.315001560498179778e+01, 3.479697712711394786e+01, 3.961301602897239604e+01, 1.740590566031154296e+01, 1.273581409414079246e+01, 2.223936939534164381e+01, 2.677636567783984489e+01, 1.239735350625321963e+01, 3.996161452358283128e+00, 1.294129926620647808e+01, 1.091320740502080788e+01, 1.232273310703616254e+01, 1.375212535213890952e+01
1.934000000000000000e+03, 3.237959888764491012e+01, 1.313717752195596411e+01, 3.482224200441475404e+01, 3.957364653828065570e+01, 1.738299631587342020e+01, 1.274571508356304506e+01, 2.223738329939268610e+01, 2.676579036790089816e+01, 1.240017299344810198e+01, 4.029411268426255965e+00, 1.293249120305566358e+01, 1.090611414319778483e+01, 1.242969086622430019e+01, 1.377210358317266881e+01
1.935000000000000000e+03, 3.244758274341037207e+01, 1.313441273599664783e+01, 3.484751019322084176e+01, 3.958033328774604342e+01, 1.736308151301123814e+01, 1.275080674878316067e+01, 2.224557972439315634e+01, 2.676878207027260359e+01, 1.239924977089445335e+01, 4.019725750401057951e+00, 1.293489943540057752e+01, 1.089839345614482014e+01, 1.237705624668696025e+01, 1.374871356240940656e+01
1.936000000000000000e+03, 3.240600031101440237e+01, 1.313858986116911609e+01, 3.489769476708639928e+01, 3.964783796970677798e+01, 1.732704550699508772e+01, 1.274603379552239346e+01, 2.225697125087449635e+01, 2.676592617951364872e+01, 1.239835816562734117e+01, 3.996290445278580794e+00, 1.294876272692635411e+01, 1.089966065061056177e+01, 1.238199368093385111e+01, 1.371124052701275353e+01
1.937000000000000000e+03, 3.247436341016373262e+01, 1.313743512199025609e+01, 3.492765597378154752e+01, 3.966062535391743893e+01, 1.730303430697027167e+01, 1.274990914274640552e+01, 2.226782583892954648e+01, 2.674772020043423382e+01, 1.239053005666024632e+01, 3.984837575471997795e+00, 1.293456450760395349e+01, 1.091285269468626851e+01, 1.237235967066050968e+01, 1.367600684399095634e+01
1.938000000000000000e+03, 3.248584872510309651e+01, 1.313857174217903889e+01, 3.497455386268610056e+01, 3.960325660691865579e+01, 1.730037553881113865e+01, 1.275177127240273478e+01, 2.226643272015567376e+01, 2.673529708195579602e+01, 1.238045681969730261e+01, 3.982954979393099393e+00, 1.293136711871919964e+01, 1.091198892592923819e+01, 1.233958533063278828e+01, 1.373015918411680047e+01
1.939000000000000000e+03, 3.246519757856169974e+01, 1.313213580713585138e+01, 3.498450522259676632e+01, 3.960017864869734439e+01, 1.727239998712288482e+01, 1.274525890437300824e+01, 2.227474972369881101e+01, 2.673520133173423829e+01, 1.237725945959991414e+01, 3.974727268150292758e+00, 1.293434815083968736e+01, 1.090281013204892524e+01, 1.234318547605405136e+01, 1.376737202980662111e+01
1.940000000000000000e+03, 3.241790547867032757e+01, 1.313770844792468218e+01, 3.503960890494769131e+01, 3.964218546405027865e+01, 1.723903951011311975e+01, 1.274029242029656928e+01, 2.228818211675541860e+01, 2.671192109990445473e+01, 1.238046432778480899e+01, 3.945681603535589943e+00, 1.293320127225765859e+01, 1.090131835785803460e+01, 1.239240063694833260e+01, 1.374742642675851201e+01
1.941000000000000000e+03, 3.239994619808522458e+01, 1.314694968229577832e+01, 3.508742731881864074e+01, 3.966415615504497083e+01, 1.716977289330260348e+01, 1.274185552989301939e+01, 2.228637059363828143e+01, 2.670428553857670906e+01, 1.239734486342030806e+01, 3.986364856965438186e+00, 1.292116441557091910e+01, 1.089738553856194692e+01, 1.240733248738008498e+01, 1.375592216073940932e+01
1.942000000000000000e+03, 3.236748305935940095e+01, 1.314232243870662487e+01, 3.510029645972343815e+01, 3.968294108900849437e+01, 1.709581649525042124e+01, 1.274275089149502627e+01, 2.227687037379593704e+01, 2.672483907709348117e+01, 1.241605229187030623e+01, 3.998998952118659300e+00, 1.292161596764352360e+01, 1.089245099883831536e+01, 1.237534462245704248e+01, 1.373814895271909897e+01
