year, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, ACCESS-ESM1-5, MIROC-ES2L
1.898000000000000000e+03, 3.878312199459090226e-01, 1.627425998875656199e-02, 2.521155995896627651e-05, 1.632124396494234395e-02, 7.830064043805864960e-02, 4.978481887052302324e-02, 1.250322674177197814e-02, 4.755873319815677458e-02, 6.345346129754669828e-01
1.899000000000000000e+03, 3.958435795235853427e-01, 1.628049866306183202e-02, 2.539742958598139544e-05, 1.599843694075755995e-02, 7.868804846956720112e-02, 5.040044313147382798e-02, 1.285743526120000646e-02, 4.843594624649866232e-02, 6.372762219935395045e-01
1.900000000000000000e+03, 4.041849207151014256e-01, 1.632760969441924767e-02, 2.862893646821917419e-05, 1.570296762289824163e-02, 7.943613322011239264e-02, 5.089721470232253658e-02, 1.319257450011569570e-02, 4.928762765608710877e-02, 6.412016658239025890e-01
1.901000000000000000e+03, 4.220099138194874366e-01, 1.601905455900220002e-02, 3.356850673625803801e-05, 1.539989414951781731e-02, 8.060845761084385608e-02, 5.133711874850811763e-02, 1.358961476091605572e-02, 5.016088507382840400e-02, 6.441000088033534965e-01
1.902000000000000000e+03, 4.236047502950091026e-01, 1.576020179579959088e-02, 3.666223801646004572e-05, 1.510454306662157783e-02, 8.126974524882095430e-02, 5.174125791775822242e-02, 1.381166490509462726e-02, 5.099336063014902470e-02, 6.458363406298190945e-01
1.903000000000000000e+03, 4.100681972825642174e-01, 1.552665744878089192e-02, 3.614543784835222049e-05, 1.481905883989430642e-02, 8.219865222346244005e-02, 5.211703741969078013e-02, 1.422173133639120096e-02, 5.182388458840976597e-02, 6.469463792055634155e-01
1.904000000000000000e+03, 3.913999700148479421e-01, 1.528604411078929130e-02, 3.364621917091926339e-05, 1.455077641008882365e-02, 8.490105147614736281e-02, 5.246664644283205448e-02, 1.447339417056581722e-02, 5.246097113142710738e-02, 6.489969569289616436e-01
1.905000000000000000e+03, 3.848941256036325087e-01, 1.508652012818472582e-02, 3.294847777746632965e-05, 1.432963009773023134e-02, 8.345352035332891105e-02, 5.279595246217939908e-02, 1.481293364483349771e-02, 5.328071625479773726e-02, 6.522414435341989947e-01
1.906000000000000000e+03, 3.919597544792460253e-01, 1.491982355326833265e-02, 3.664232668361729067e-05, 1.413706371865026783e-02, 8.214755235541375267e-02, 5.310087772366824110e-02, 1.498019492882294960e-02, 5.408593866979124337e-02, 6.540573938816443000e-01
1.907000000000000000e+03, 4.089764223643654883e-01, 1.477149505030585751e-02, 3.657669875787761976e-05, 1.391254326428491631e-02, 8.581647740590771234e-02, 5.338673782790501199e-02, 1.524135620784636269e-02, 5.487895979509831157e-02, 6.547080633509626546e-01
