year, UKESM1-0-LL, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, EC-Earth3-Veg, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
1.870000000000000000e+03, 1.410903568719011289e-09, 7.599851477270342184e-10, 3.567890050025361654e-11, 3.701126724553450717e-11, 3.316727919045218114e-10, 1.747213669819976154e-10, 3.225717945849843965e-11, 1.205612155381534701e-09
1.871000000000000000e+03, 1.046025254404263295e-09, 7.255442905103371868e-10, 3.662855675314466536e-11, 3.831585175520533890e-11, 5.819621074521264610e-10, 1.826053601738106155e-10, 3.312551022618213965e-11, 1.243360053657716931e-09
1.872000000000000000e+03, 7.001137726792808283e-10, 7.325941161549769647e-10, 3.774264955250527469e-11, 3.930674785708364466e-11, 4.105887693684204879e-10, 1.869069041394978584e-10, 3.402867775617173538e-11, 1.346492350134586519e-09
1.873000000000000000e+03, 8.673283776666326414e-10, 7.549463363879046092e-10, 3.834933414452738004e-11, 3.997312538095032767e-11, 3.688653074153591289e-10, 1.761802485729546585e-10, 3.490400598139635516e-11, 1.359461490060102733e-09
1.874000000000000000e+03, 9.892938631061949628e-10, 7.355021084459314092e-10, 3.913077937471507489e-11, 4.101761436111400379e-11, 3.949692930403897362e-10, 1.661336396735793891e-10, 3.529610751859948778e-11, 1.628424641194207307e-09
1.875000000000000000e+03, 1.011110320366784927e-09, 7.771490756399809177e-10, 3.999103102493445773e-11, 4.212452246589262487e-11, 5.111506416083245865e-10, 1.664056105303739232e-10, 3.308765295742443993e-11, 1.670232499275483360e-09
1.876000000000000000e+03, 9.983581327017081557e-10, 7.969665208188310478e-10, 4.118595923448386956e-11, 4.316019669424276793e-11, 5.326768650058088329e-10, 1.632877019830007314e-10, 3.381122591123111340e-11, 1.438440460819855339e-09
1.877000000000000000e+03, 7.617973326163699951e-10, 8.462625407106294940e-10, 4.225076636545316286e-11, 4.416096827764754989e-11, 3.998981775048543431e-10, 1.780350904344724898e-10, 3.458383634560100635e-11, 1.444102248016273137e-09
1.878000000000000000e+03, 7.863760576343722771e-10, 8.732325498607522903e-10, 4.318441660105272620e-11, 4.526615698046904490e-11, 3.541609315299527460e-10, 1.592793635778234679e-10, 3.535928797420069283e-11, 1.699124224907240094e-09
1.879000000000000000e+03, 6.958475929168945917e-10, 7.862617904230268281e-10, 4.379944684716733507e-11, 4.627064556447810834e-11, 3.818114985457896104e-10, 1.681705136313127268e-10, 3.609756081521445981e-11, 1.585033686343672840e-09
1.880000000000000000e+03, 8.218611237899114228e-10, 6.971018405510449033e-10, 4.450875534701138717e-11, 4.719208464155441531e-11, 5.815829639202559647e-10, 1.703011040690909199e-10, 3.672855183801035438e-11, 1.543601974919550206e-09
1.881000000000000000e+03, 9.708609193961609024e-10, 7.401692135998672116e-10, 4.474045795310732317e-11, 4.804371378933319706e-11, 3.550799471489683832e-10, 2.078184020870455158e-10, 3.674126506698041429e-11, 1.316995510937104186e-09
1.882000000000000000e+03, 9.422419513138019158e-10, 9.056492528070824271e-10, 4.569261523519125865e-11, 4.942157794659843658e-11, 4.381349083520367269e-10, 1.995249474399398787e-10, 3.764062507497761939e-11, 1.503805507665034832e-09
