year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, GFDL-ESM4, NorESM2-LM
1.871000000000000000e+03, 1.616179461043698467e-10, 3.984702118599286612e-10, 2.311352834494307888e-10, 3.334697020003138462e-10, 3.379817435040554150e-10
1.872000000000000000e+03, 1.437146861189174409e-10, 3.377996030524064635e-10, 4.086307943955798909e-10, 2.498094967056999448e-10, 2.211181344374123616e-10
1.873000000000000000e+03, 9.903438565028250435e-11, 4.660305099561936416e-10, 4.535217894384534622e-10, 4.476410114792580169e-10, 3.319449581545043351e-10
1.874000000000000000e+03, 1.446452162649238138e-10, 5.080936108276556242e-10, 4.422853027091067007e-10, 2.534221157230255471e-10, 3.794234500422774932e-10
1.875000000000000000e+03, 1.359379194793261608e-10, 3.532953815033258060e-10, 4.105972910501143523e-10, 2.787198956747405240e-10, 2.747567312183951686e-10
1.876000000000000000e+03, 1.452156506952197914e-10, 4.691657987154372599e-10, 4.186534498238052153e-10, 4.940937332378138054e-10, 2.222608822845014518e-10
1.877000000000000000e+03, 1.485832597070915326e-10, 3.357724998847331471e-10, 3.260633777945406737e-10, 3.711629445520320430e-10, 2.842429100937449267e-10
1.878000000000000000e+03, 9.323945430924507879e-11, 6.018546166376222201e-10, 4.849066469388012159e-10, 3.834881356133968702e-10, 2.412264706163807628e-10
1.879000000000000000e+03, 1.424480478925889374e-10, 6.985940567644195019e-10, 4.167209916692582821e-10, 3.132459372859173612e-10, 2.701840603295918039e-10
1.880000000000000000e+03, 1.098188953175981454e-10, 6.576039795309648431e-10, 2.712165835362563508e-10, 4.084119436102747584e-10, 3.592962734143760793e-10
1.881000000000000000e+03, 1.679088552705567517e-10, 5.281843144662197513e-10, 6.980006860926645611e-10, 4.265761233070795900e-10, 3.287609349779888669e-10
1.882000000000000000e+03, 1.572470473268821402e-10, 8.347046578441975438e-10, 4.110353988354976576e-10, 2.651760672457947998e-10, 3.612200558628244523e-10
1.883000000000000000e+03, 8.491360702842545630e-11, 6.928774447844151039e-10, 6.726087934298591255e-10, 3.961385354147140077e-10, 4.304437157681441323e-10
1.884000000000000000e+03, 1.615829651061894388e-10, 5.853824894810798508e-10, 4.133628399693222937e-10, 3.847337054017046890e-10, 3.132871820421638256e-10
1.885000000000000000e+03, 1.221384907206829942e-10, 5.231691462115102113e-10, 3.883954880058073805e-10, 2.975641608405712984e-10, 5.138957472060593868e-10
1.886000000000000000e+03, 1.423812630165518994e-10, 3.810683447139871845e-10, 3.401830722432300013e-10, 2.666160139929743339e-10, 3.745377238519360512e-10
1.887000000000000000e+03, 1.053222879281368558e-10, 6.144980027936422331e-10, 4.481920696932064639e-10, 3.712233015264196525e-10, 3.905876443788227700e-10
1.888000000000000000e+03, 1.083733204766760759e-10, 5.080852643248640249e-10, 5.035514716934186427e-10, 2.925441228864448400e-10, 6.015363130472201308e-10
1.889000000000000000e+03, 1.227813586791974681e-10, 5.843389904157168005e-10, 3.409119875671126033e-10, 2.306082532643099892e-10, 3.969767194570178392e-10
1.890000000000000000e+03, 9.554671653311675443e-11, 8.932054768166566099e-10, 2.998980187012652145e-10, 3.710494691195797606e-10, 3.204454905236055184e-10
1.891000000000000000e+03, 1.058119484790171465e-10, 5.794815882471517549e-10, 7.452976985341676003e-10, 5.138417158120437705e-10, 5.560360981389546424e-10
1.892000000000000000e+03, 1.639595783082869803e-10, 4.060732838010614944e-10, 4.247043842466263700e-10, 2.565192901099514841e-10, 4.484673674221349160e-10
1.893000000000000000e+03, 9.870372475482884022e-11, 5.606192452879159502e-10, 4.880686380925630647e-10, 4.151689396151269309e-10, 3.485735776247616146e-10
1.894000000000000000e+03, 9.084947787246208540e-11, 4.314271491715896278e-10, 4.385349176246124540e-10, 2.960867428291568522e-10, 3.057634616227185615e-10
1.895000000000000000e+03, 1.232616056314705959e-10, 5.569324200036513666e-10, 5.763888463427810404e-10, 2.406423122373831022e-10, 3.067014761929685549e-10
1.896000000000000000e+03, 1.934909333774221808e-10, 4.954862534283114215e-10, 5.102505158784504970e-10, 2.213027452673729521e-10, 2.103313729299911520e-10
1.897000000000000000e+03, 1.183937586412506532e-10, 6.942580577915302121e-10, 3.935514669252884793e-10, 2.276130649234776071e-10, 4.647655725774447474e-10
1.898000000000000000e+03, 9.249833274148418135e-11, 7.339379215439733412e-10, 2.523072652407413501e-10, 5.041273833707144751e-10, 3.917735205799167313e-10
1.899000000000000000e+03, 1.961783395019057878e-10, 7.136993655278439983e-10, 4.220793986248193861e-10, 3.518397391852490963e-10, 2.813345057142239903e-10
