year, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, CESM2-WACCM, MPI-ESM1-2-LR, UKESM1-0-LL, GFDL-ESM4, NorESM2-MM, CanESM5, ACCESS-ESM1-5, INM-CM4-8, INM-CM5-0, IPSL-CM6A-LR
1.900000000000000000e+03, 3.390012829201561217e+00, 3.574879730315120963e+00, 3.019386445852928258e+00, 1.863771911543420368e+00, 2.156604793415302090e+00, 2.539934752911845450e+00, 1.856411102026599869e+00, 4.282799612039623227e+00, 2.387166838808789660e+00, 2.229351503301722826e+00, 1.924396521470994159e+00, 4.843934256226555490e+00, 1.380862532455773284e+00, 4.665465867336568984e+00, 4.038969178267342919e+00, 2.201431747616171553e+00
1.901000000000000000e+03, 3.465440351512744321e+00, 3.615847432776617687e+00, 2.924267548793212157e+00, 1.741516287697347787e+00, 2.149300056267071657e+00, 3.097250525545520716e+00, 2.069649840048431777e+00, 4.658250636075539575e+00, 2.720896885425091671e+00, 2.380603245144432112e+00, 2.034094676187883977e+00, 4.998738450879652184e+00, 1.447853071734187758e+00, 4.805360249692578911e+00, 4.004888689299198390e+00, 2.652929543388069078e+00
1.902000000000000000e+03, 4.023719852348674131e+00, 3.757804114051365385e+00, 2.909543997414039129e+00, 1.738619313262530497e+00, 2.395011852552204612e+00, 2.983069303895868885e+00, 2.214640397255146720e+00, 4.095192836284535787e+00, 2.453516278037940701e+00, 2.524477394756956095e+00, 2.027180676362246636e+00, 4.833739710931347133e+00, 1.568429832185638695e+00, 4.753150208815149824e+00, 3.897594194352822061e+00, 2.506797369543823262e+00
1.903000000000000000e+03, 3.572650800729912035e+00, 3.750721749002704719e+00, 3.011587701477274059e+00, 1.792979582396831528e+00, 2.455978799455120765e+00, 2.415835314661348932e+00, 2.037435392322091587e+00, 3.563295222660065154e+00, 2.760841726540051333e+00, 2.296185114625804324e+00, 1.715592113703015897e+00, 4.763411242523367228e+00, 1.695509249759868942e+00, 4.669771781262043397e+00, 3.988228682242206169e+00, 2.426922993652544935e+00
1.904000000000000000e+03, 3.522793532916474568e+00, 3.655439105756834284e+00, 3.104608472193777224e+00, 1.663529213929251460e+00, 2.472951093121640298e+00, 2.901861840943455562e+00, 2.131751795539586603e+00, 3.294930136709660395e+00, 2.056512506417087494e+00, 2.079182589175588181e+00, 1.769157539621386110e+00, 4.800917193226334589e+00, 1.652780598665204659e+00, 4.738285618592907866e+00, 3.664359354606093078e+00, 1.924138955506679238e+00
1.905000000000000000e+03, 3.210818498102331109e+00, 3.597812003602702369e+00, 3.164122188994297424e+00, 1.493622261383973360e+00, 2.675026163646832877e+00, 2.995635917200266451e+00, 1.820129200992969265e+00, 3.769620672149665896e+00, 2.312078122610505382e+00, 2.333116358997218587e+00, 1.853631480871234194e+00, 4.809084860540965067e+00, 1.693038022173942947e+00, 4.510267049615874768e+00, 3.877402747934957983e+00, 2.291870117361183734e+00
1.906000000000000000e+03, 3.432388268969289058e+00, 3.529762248478524711e+00, 2.966487196517697988e+00, 1.465839647204913998e+00, 2.431949581179987163e+00, 2.863896465314254680e+00, 1.608196462068555377e+00, 4.234452270641091864e+00, 2.081495562335454519e+00, 2.252168892795375132e+00, 1.972354871789453457e+00, 4.813638680039038498e+00, 1.671822182906596677e+00, 4.625222469313369444e+00, 3.867703377339354098e+00, 2.436689864541503603e+00
1.907000000000000000e+03, 3.354797940787907606e+00, 3.694513119489427400e+00, 3.019980616604559742e+00, 1.554033767546920020e+00, 2.534014451064134921e+00, 3.021054297415052492e+00, 1.940994130154012565e+00, 4.197214034795662130e+00, 2.439317870730847382e+00, 2.273736189331730273e+00, 2.027357637107171318e+00, 4.796550704428852008e+00, 1.628969814212485767e+00, 5.418675384611751689e+00, 3.943141181147732155e+00, 2.339449844099297682e+00
1.908000000000000000e+03, 3.364096951215459264e+00, 3.359074754123780426e+00, 2.899999909708074419e+00, 1.746991490087061116e+00, 2.230987037158375319e+00, 2.778494186701209845e+00, 2.191704463393971736e+00, 4.382993455012502260e+00, 2.658151724611083733e+00, 2.553964290111260471e+00, 2.054880732018664169e+00, 4.789820365423411275e+00, 1.539533866275251794e+00, 4.776841098217060377e+00, 3.899539723353457443e+00, 2.399835177131214525e+00
1.909000000000000000e+03, 3.624367098443867619e+00, 3.628284873608994765e+00, 3.072675108705259284e+00, 1.514432840077694298e+00, 2.261065587017225376e+00, 2.842245858969090211e+00, 2.134424306473817090e+00, 4.225495511534235860e+00, 2.033272136932981589e+00, 2.396990224105945977e+00, 2.017551604596383275e+00, 4.824451908858550908e+00, 1.664469411102914131e+00, 4.607105679447866642e+00, 4.048311693497280928e+00, 2.069411808779525241e+00
