year, TaiESM1, CMCC-ESM2, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, CNRM-ESM2-1, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, IPSL-CM6A-LR
1.890000000000000000e+03, 5.680039183831663479e-11, 4.470800369272372619e-11, 6.596016360672812472e-14, 4.191658585812527193e-10, 2.674027786843415293e-10, 6.457054485550953907e-11, 1.936175793931745106e-10, 1.375511283654844394e-10, 6.892162806385526952e-11, 1.833154622195054659e-11
1.891000000000000000e+03, 5.756201391576198033e-11, 4.543364925328632713e-11, 6.746926064016713361e-14, 4.188864267715561597e-10, 2.520054896740087006e-10, 6.031465407557455005e-11, 2.055491078047635384e-10, 1.343752664979327949e-10, 7.092530619818165573e-11, 1.773464727322085871e-11
1.892000000000000000e+03, 5.875551232749316685e-11, 4.647191923711431949e-11, 6.883107682908957131e-14, 4.159714842993053943e-10, 2.382100574317457037e-10, 5.999485102115141533e-11, 1.958193444765517384e-10, 1.262444588592438875e-10, 7.186661911619642547e-11, 1.766791816356084809e-11
1.893000000000000000e+03, 5.923483896055761823e-11, 4.644220116915340830e-11, 7.946126146949525354e-14, 4.200877627573662918e-10, 2.560500178640258355e-10, 5.986625034972064347e-11, 1.950925196607491157e-10, 1.327853008843022827e-10, 7.229255753525955231e-11, 1.761458924086437411e-11
1.894000000000000000e+03, 5.973671328917414904e-11, 4.777803673269697899e-11, 9.229587746489733932e-14, 4.148290542645149249e-10, 2.483453541558686095e-10, 5.922366802817572438e-11, 1.841950618972179497e-10, 1.352586180881550390e-10, 7.284847492337723007e-11, 1.715682446935528896e-11
1.895000000000000000e+03, 5.996800297172763052e-11, 4.876274645721398628e-11, 8.800047853474889646e-14, 4.101471463360972030e-10, 2.424403172032261666e-10, 5.920618273344975418e-11, 1.899742237029211330e-10, 1.297079595551255636e-10, 7.348678193954184720e-11, 1.720861592997701600e-11
1.896000000000000000e+03, 6.043196973918226734e-11, 4.818126063322797381e-11, 8.608764668615507453e-14, 4.099331999642476373e-10, 2.419155299295575782e-10, 5.937692903644256365e-11, 2.140999065023935992e-10, 1.299104312094710214e-10, 7.447318680487624932e-11, 1.720900548833583795e-11
1.897000000000000000e+03, 6.064783547386197115e-11, 4.828313501782614340e-11, 7.725191898789132649e-14, 4.031452968708055208e-10, 2.483667900295541416e-10, 5.878587760409425621e-11, 2.142270892859783998e-10, 1.302956047040644725e-10, 7.513850329113623998e-11, 1.734560193364368220e-11
1.898000000000000000e+03, 6.058561616650453957e-11, 4.905068670798664873e-11, 7.649850455199031665e-14, 3.943857837622620013e-10, 2.878965833316940562e-10, 5.876828541255991685e-11, 2.115578549910489236e-10, 1.236986387602105957e-10, 7.558118528894962462e-11, 1.730756458749529343e-11
1.899000000000000000e+03, 6.073436483889936309e-11, 5.055291011080226691e-11, 7.690774478630691410e-14, 3.911284006487575264e-10, 2.600306852869219489e-10, 5.894728388170332046e-11, 2.120802355165133584e-10, 1.242833936873210149e-10, 7.613139620876415745e-11, 1.734246078598246532e-11
1.900000000000000000e+03, 6.313446678935644678e-11, 5.310570624374276576e-11, 9.579565581857909964e-14, 3.981090615336876026e-10, 2.708120485327240758e-10, 5.926549792098638140e-11, 2.299801261338528403e-10, 1.198805214654049135e-10, 7.660423081406056982e-11, 1.747384132556290827e-11
1.901000000000000000e+03, 6.320880862892213539e-11, 5.231754397275398645e-11, 1.278012040263041628e-13, 4.044916590621526695e-10, 2.775765961460637713e-10, 5.396492428330108085e-11, 2.478509098787613244e-10, 1.217494233446308461e-10, 7.724617948280729618e-11, 1.629513053648511902e-11
1.902000000000000000e+03, 6.438696058545998082e-11, 5.232742032307852869e-11, 1.463373316670846039e-13, 4.045552498946889814e-10, 2.807499985495487090e-10, 5.465956598424950858e-11, 2.156886380829431410e-10, 1.259996899180080933e-10, 7.862650773764420234e-11, 1.641224236716193147e-11
1.903000000000000000e+03, 6.421060040666534513e-11, 5.292908578661750430e-11, 1.383693837645976252e-13, 3.949930679341280775e-10, 2.653463577680129558e-10, 5.423167146912865195e-11, 2.050723604024892981e-10, 1.256432271209151167e-10, 7.864657705550375709e-11, 1.648484249631774542e-11
1.904000000000000000e+03, 6.397981276281699412e-11, 5.539847378996590668e-11, 1.178150156949678953e-13, 3.844046465962612461e-10, 2.675647363361511550e-10, 5.332653490627008536e-11, 2.326688994815231091e-10, 1.223642398190544959e-10, 7.846450728667411438e-11, 1.644569997651758771e-11
1.905000000000000000e+03, 6.359351388150773070e-11, 5.426494760806377177e-11, 1.095856956774201300e-13, 3.778787208365495469e-10, 2.738011337482337989e-10, 5.400041891342016575e-11, 2.246386582462469379e-10, 1.242916358785451020e-10, 7.868755495619232648e-11, 1.630940420955154335e-11
1.906000000000000000e+03, 6.361571032037341116e-11, 5.234228236854695114e-11, 1.324905963206792964e-13, 3.819809861536780047e-10, 2.755298490081707228e-10, 5.381595410111970716e-11, 2.178390076338176797e-10, 1.300365843043136888e-10, 7.808575653344085863e-11, 1.635265169825953724e-11
1.907000000000000000e+03, 6.378894116422790525e-11, 5.355920071452937680e-11, 1.296137452833238406e-13, 3.892756560410825958e-10, 2.813410358218510274e-10, 5.365842821328343109e-11, 1.991689027239118645e-10, 1.239252032708910867e-10, 7.779860039011891273e-11, 1.633667539840682953e-11
1.908000000000000000e+03, 6.356572905010168652e-11, 5.351569089259019711e-11, 1.447670059809138266e-13, 3.882039720831732753e-10, 2.817541022133912843e-10, 5.390304321548528790e-11, 2.363419726297355561e-10, 1.283606777160808275e-10, 7.834084082682839319e-11, 1.637150516128367293e-11
1.909000000000000000e+03, 6.380177498753880754e-11, 5.422630429266883287e-11, 1.384893204494747127e-13, 3.861259189977249093e-10, 2.887562624582524440e-10, 5.348839771636597849e-11, 2.001030304126587105e-10, 1.189763724019106826e-10, 7.897703569676723562e-11, 1.642193443173910610e-11
1.910000000000000000e+03, 6.588828822086975910e-11, 5.351898589405227978e-11, 1.255420824151001022e-13, 3.758407439284305055e-10, 2.963499932983025824e-10, 5.371537404143073184e-11, 2.075337482647404459e-10, 1.174101472060215833e-10, 7.826143618988765725e-11, 1.630372685911572002e-11
1.911000000000000000e+03, 6.584873480838218688e-11, 5.434971894805029589e-11, 1.561313026326370802e-13, 3.695955352370829493e-10, 2.614579075655808742e-10, 5.488069097169416404e-11, 2.429366909470773199e-10, 1.305931503809794416e-10, 8.307793773719029318e-11, 1.741811410926282659e-11
1.912000000000000000e+03, 6.578447355036173352e-11, 5.340519126729325202e-11, 1.713231506369190216e-13, 3.686367082508843636e-10, 2.690158768427672700e-10, 5.497344028357376080e-11, 2.566894947064317850e-10, 1.341741794587784876e-10, 8.332071006927052051e-11, 1.734266734098187839e-11
1.913000000000000000e+03, 6.637826468027270308e-11, 5.265302844246704284e-11, 1.520436932293874092e-13, 3.743225623582376790e-10, 3.133555708044066301e-10, 5.418581358267299861e-11, 2.376990706164030081e-10, 1.348632610262950656e-10, 8.346906274610207347e-11, 1.731942716507100964e-11
1.914000000000000000e+03, 6.625178825292027125e-11, 5.467513183369059432e-11, 1.307938096023413511e-13, 3.752794111361400974e-10, 2.664520020236746850e-10, 5.480897102610375524e-11, 2.360744417068164405e-10, 1.365336922990279413e-10, 8.382229391865712061e-11, 1.735652075506528740e-11
1.915000000000000000e+03, 6.650395734825381019e-11, 5.593423361445544863e-11, 1.484201998601085588e-13, 3.730681023271994472e-10, 2.792197573150635068e-10, 5.461654728351501580e-11, 2.615071686681654056e-10, 1.217249609257443407e-10, 8.382213439754994809e-11, 1.735873444411503326e-11
1.916000000000000000e+03, 6.687125879676587937e-11, 5.463203388486889319e-11, 1.453398757271564508e-13, 3.709081265618503651e-10, 2.828120572449750915e-10, 5.498283794711815973e-11, 2.371072382216315076e-10, 1.283087974443086319e-10, 8.389035943255081207e-11, 1.722196593649878274e-11
1.917000000000000000e+03, 6.680885082612051115e-11, 5.374452780974360252e-11, 1.488692333575570808e-13, 3.645454771451252103e-10, 2.964261057694728205e-10, 5.521989776877216457e-11, 2.827754073312756730e-10, 1.273949062971153538e-10, 8.333401185224899959e-11, 1.717150382487517840e-11
1.918000000000000000e+03, 6.700290136852631001e-11, 5.558124865680883271e-11, 1.717436849626855867e-13, 3.613576966152470081e-10, 2.896323280447118640e-10, 5.522129147601190776e-11, 2.558201056292413109e-10, 1.292309095467623562e-10, 8.341519872655732372e-11, 1.730120013519539031e-11
1.919000000000000000e+03, 6.719262730312248148e-11, 5.471094865493916740e-11, 1.625977011951581169e-13, 3.561113266832085618e-10, 3.366581525661333423e-10, 5.511793023562016796e-11, 2.654061944726298357e-10, 1.159534803980233003e-10, 8.370353856030709187e-11, 1.734658549836850593e-11
1.920000000000000000e+03, 8.545487911234021821e-11, 6.348294950646485263e-11, 2.227345367462154303e-13, 3.826809850182057382e-10, 2.907174410693624239e-10, 5.596618063944640859e-11, 2.603116824835979414e-10, 1.318411926211422492e-10, 8.380418460665777267e-11, 1.742259970040414026e-11
1.921000000000000000e+03, 8.755267550147240160e-11, 6.668198743506351368e-11, 2.745704837253834068e-13, 3.974924114872434676e-10, 3.286913075553762393e-10, 1.903170940637627889e-10, 2.864280758800490538e-10, 1.679518882481411589e-10, 1.199312762466143931e-10, 4.137499633110307063e-11
1.922000000000000000e+03, 8.886332302831698010e-11, 7.594518222621243372e-11, 3.101003996077295269e-13, 4.038191181460593933e-10, 3.411274724052305898e-10, 1.967556508827291612e-10, 2.903197871102868007e-10, 1.688202888659335620e-10, 1.218182230718225812e-10, 4.165404811121929008e-11
1.923000000000000000e+03, 9.010490636253293771e-11, 7.765613550746900327e-11, 3.389159992384930519e-13, 4.100984707721078256e-10, 3.577586766145024464e-10, 2.062707515553199780e-10, 2.871588060235923955e-10, 1.567662913877317904e-10, 1.255011781733360345e-10, 4.270771243068657002e-11
1.924000000000000000e+03, 8.978280005202539526e-11, 7.104894740288542187e-11, 2.967398254501434254e-13, 4.092826577950947773e-10, 3.592658648844172013e-10, 2.142375787613830858e-10, 2.966693578510853877e-10, 1.685660096603158288e-10, 1.263789646137300195e-10, 4.319835758038775321e-11
1.925000000000000000e+03, 9.582267459591001627e-11, 8.442614895628099028e-11, 2.385074836198460205e-13, 4.037182922775965911e-10, 4.021138113451920121e-10, 2.218789905772343540e-10, 2.996856258165930908e-10, 1.603592335912419922e-10, 1.299265103036047005e-10, 4.364783276793263287e-11
1.926000000000000000e+03, 9.748993950706904494e-11, 7.768192229217585203e-11, 2.063881743210634149e-13, 4.138800947525602739e-10, 4.106740459467824159e-10, 2.286316688730444137e-10, 3.146700111602151110e-10, 1.683020425656252296e-10, 1.325450584090168513e-10, 4.322783241664976740e-11
1.927000000000000000e+03, 9.694844278424558715e-11, 7.556665523653508000e-11, 2.333824186703325650e-13, 4.142537855361513295e-10, 3.931564034406601413e-10, 2.366507827630404113e-10, 3.443309821017513318e-10, 1.643370692474065733e-10, 1.360159822396584247e-10, 4.452505979062744104e-11
1.928000000000000000e+03, 9.851705298624040412e-11, 7.728379581759237784e-11, 2.638100063455613906e-13, 4.120330112350951579e-10, 3.960134900623593332e-10, 2.477787565278537035e-10, 3.830748898176948929e-10, 1.649886386522393763e-10, 1.371839993442852886e-10, 4.514466353472837590e-11
1.929000000000000000e+03, 1.027747690073990314e-10, 8.119235853819747598e-11, 2.674045203758332733e-13, 4.165297541643816823e-10, 3.898032240963259455e-10, 2.550144495336116375e-10, 3.315132954344953024e-10, 1.641883961295097899e-10, 1.413715806003967495e-10, 4.572958829007968578e-11
1.930000000000000000e+03, 1.056577579245541213e-10, 8.338145150746827928e-11, 2.229106986930893234e-13, 4.146832225206396478e-10, 3.648568696557379596e-10, 2.631619126015857292e-10, 3.225023624176136912e-10, 1.768242427948730536e-10, 1.452078810201906193e-10, 4.599257344905366515e-11
1.931000000000000000e+03, 1.061756646718235629e-10, 7.974806992940007644e-11, 2.111353782388900120e-13, 4.078528861729334980e-10, 3.828058224168608486e-10, 2.625305538214747979e-10, 3.238578488018458332e-10, 1.787485314763878826e-10, 1.442445252321375169e-10, 4.618877969007802756e-11
1.932000000000000000e+03, 1.108134814209615997e-10, 7.855346583905785951e-11, 2.426428388995511619e-13, 4.097866054510493475e-10, 3.968394917978463000e-10, 2.622865236444661564e-10, 3.268966409308338421e-10, 1.779611522206722110e-10, 1.471339939195340465e-10, 4.639857575675964520e-11
1.933000000000000000e+03, 1.151302303564005229e-10, 9.619079879016307946e-11, 2.729947925202378651e-13, 4.130777629359101152e-10, 4.400208959298138250e-10, 2.664531744634033602e-10, 3.398500154997575914e-10, 1.700983618653154385e-10, 1.520571832752122167e-10, 4.621049801748018538e-11
1.934000000000000000e+03, 1.149337970357824362e-10, 9.698017523137695923e-11, 2.745521776670132802e-13, 4.122902032371180689e-10, 4.073974243021990850e-10, 2.698830882901635610e-10, 3.624676396914084571e-10, 1.804504810389407884e-10, 1.569338764248682768e-10, 4.616839055778858124e-11
1.935000000000000000e+03, 1.217622539354371028e-10, 9.079843779023835973e-11, 2.719308854261599472e-13, 4.028079063462027929e-10, 4.023335157189728142e-10, 2.724895131505070415e-10, 4.148285757974344887e-10, 1.763284809601175341e-10, 1.585362742976750415e-10, 4.614330457771858129e-11
1.936000000000000000e+03, 1.248379781516269250e-10, 8.886134795563993879e-11, 2.650834273564159525e-13, 3.992173164530866494e-10, 4.307521741451794129e-10, 2.725081492151535115e-10, 4.070750469811823084e-10, 1.811421063793073615e-10, 1.584595006364625776e-10, 4.616610727216579156e-11
1.937000000000000000e+03, 1.285185839388373310e-10, 9.503976877532501932e-11, 2.501768481499380095e-13, 4.073857729150577382e-10, 4.178176660170198046e-10, 2.771243800067941419e-10, 4.169557780996604323e-10, 1.934077600836158950e-10, 1.642798882780849261e-10, 4.659527609817734258e-11
1.938000000000000000e+03, 1.330977921194398685e-10, 1.024192028091853096e-10, 2.470790087454987689e-13, 4.060529720302534517e-10, 4.055523455836321327e-10, 2.761098933474032943e-10, 3.656083594357780118e-10, 1.907601019284502112e-10, 1.678823446721982973e-10, 4.640142639805302248e-11
1.939000000000000000e+03, 1.372700344226154558e-10, 9.593701420886967249e-11, 2.394372276932273742e-13, 4.020218949712009703e-10, 4.258320470470837573e-10, 2.815616314695075342e-10, 3.830421496937029969e-10, 1.962642930398787062e-10, 1.691659596002950478e-10, 4.644808667586590295e-11
1.940000000000000000e+03, 1.421247937574869660e-10, 9.968748306354768018e-11, 2.021422598739679286e-13, 4.122093617858786608e-10, 4.280218139670219238e-10, 2.832941069909732727e-10, 3.618693707845012447e-10, 1.917172667810808773e-10, 1.728258798919726021e-10, 4.640530360621598547e-11
1.941000000000000000e+03, 1.456983536936022891e-10, 1.046527138705002591e-10, 2.232098019941158680e-13, 4.141027279776716243e-10, 4.613978977404732646e-10, 3.251386572973811703e-10, 3.875041466107261695e-10, 2.198531944909950416e-10, 1.849325892457242793e-10, 4.967819461980673780e-11
1.942000000000000000e+03, 1.493622330299834667e-10, 1.207831858789875211e-10, 2.541899402318069522e-13, 4.118998207642504888e-10, 4.532956549817250021e-10, 3.256398462316688370e-10, 4.484290768428827034e-10, 2.191022095745057578e-10, 1.880646283529463390e-10, 4.963321593685830788e-11
1.943000000000000000e+03, 1.512243066180778711e-10, 1.204949489003006408e-10, 2.318452593427287545e-13, 4.080975756171634042e-10, 4.765910767702004632e-10, 3.313387134359057684e-10, 4.227494334764021010e-10, 2.176562535046012439e-10, 1.899737555161885619e-10, 4.928562470546778306e-11
1.944000000000000000e+03, 1.551353321472395322e-10, 1.149362007259051256e-10, 1.634628606493440078e-13, 4.073350559086956503e-10, 4.960077913563722064e-10, 3.336197080122830053e-10, 4.203386275604375431e-10, 2.170605567229746567e-10, 1.920784203328822840e-10, 4.994295129285978190e-11
1.945000000000000000e+03, 1.598848753569573060e-10, 1.106712412670469403e-10, 1.808665511067581613e-13, 4.136302226130291189e-10, 4.916570278822175993e-10, 3.261268874201170799e-10, 4.281146958057961953e-10, 2.357672706370471951e-10, 1.976279006925537590e-10, 4.958942734810698500e-11
1.946000000000000000e+03, 1.651238838994471885e-10, 1.191570467220702999e-10, 1.926103904241664619e-13, 4.050196873666345663e-10, 4.712588051204863377e-10, 3.250229878431051622e-10, 3.916201650516348358e-10, 2.293529817637160300e-10, 2.024630324223214402e-10, 5.005654024733574579e-11
