year, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, NorESM2-MM, NorESM2-LM, CESM2-WACCM, TaiESM1, TaiESM1, GFDL-ESM4, MPI-ESM1-2-LR, GFDL-ESM4, CNRM-ESM2-1
1.893000000000000000e+03, 1.645352682553760553e-10, 3.226044949078669363e-10, 3.121052334468513452e-10, 3.121052334468513452e-10, 1.826066351813234245e-10, 9.474178912549414857e-11, 1.538585381869540323e-10, 1.538585381869540323e-10, 2.402740768086183065e-10, 2.466724359614825645e-10, 2.488262057419816898e-10, 3.226044949078669363e-10
1.894000000000000000e+03, 2.992183429934102737e-10, 2.751673881504792068e-10, 1.369889938192656480e-10, 1.369889938192656480e-10, 5.762970761591309852e-11, 6.684973934762875782e-11, 1.619598878633195858e-10, 1.619598878633195858e-10, 3.210025501464466035e-10, 2.349337259625116857e-10, 3.294821817352557933e-10, 2.751673881504792068e-10
1.895000000000000000e+03, 1.895891810649677221e-10, 2.545490753669299575e-10, 1.295835519578204727e-10, 1.295835519578204727e-10, 2.001780735992002649e-11, 1.185919482541185577e-10, 1.390873323346727707e-10, 1.390873323346727707e-10, 2.025004060349040366e-10, 2.252908140536041177e-10, 2.110659028385292469e-10, 2.545490753669299575e-10
1.896000000000000000e+03, 1.657593616376434108e-10, 3.816505905329724371e-10, 1.227358314957923989e-10, 1.227358314957923989e-10, 8.544590840749064032e-11, 5.011162758866976266e-11, 1.768269229532589826e-10, 1.768269229532589826e-10, 2.044435210265263936e-10, 2.127305581890586922e-10, 2.128990341760833920e-10, 3.816505905329724371e-10
1.897000000000000000e+03, 2.382993571769659903e-10, 3.333392113989929461e-10, 1.141658838287721209e-10, 1.141658838287721209e-10, 3.840254048960791746e-11, 5.763771444862923058e-11, 1.336225431563247805e-10, 1.336225431563247805e-10, 1.624802516280729790e-10, 2.177968218919591752e-10, 1.710507433444636650e-10, 3.333392113989929461e-10
1.898000000000000000e+03, 1.929486349132311161e-10, 2.722056719318171746e-10, 1.851670773102678009e-10, 1.851670773102678009e-10, 8.885798677307669771e-11, 5.874489722844562190e-11, 1.666085286740151817e-10, 1.666085286740151817e-10, 1.977236091165553828e-10, 2.228701943807714734e-10, 2.062881423041802570e-10, 2.722056719318171746e-10
1.899000000000000000e+03, 2.563253436005345611e-10, 3.044338276928092788e-10, 2.248415981048718200e-10, 2.248415981048718200e-10, 5.881940817168241307e-11, 9.753404201677805841e-11, 1.480232397715579754e-10, 1.480232397715579754e-10, 1.295975176875568727e-10, 2.164672558307587392e-10, 1.380401610839948710e-10, 3.044338276928092788e-10
1.900000000000000000e+03, 2.465387321917935355e-10, 3.121790161232823285e-10, 2.256902370088530290e-10, 2.256902370088530290e-10, 1.765215182979633932e-10, 8.606831107983698532e-11, 1.475195908490863786e-10, 1.475195908490863786e-10, 1.394941424401011359e-10, 2.385378616684913472e-10, 1.480322465008878421e-10, 3.121790161232823285e-10
1.901000000000000000e+03, 1.810469663913297686e-10, 4.548683925648906401e-10, 1.033453996273375866e-10, 1.033453996273375866e-10, 6.868598748688990906e-11, 4.540094930271597800e-11, 1.495087103295764934e-10, 1.495087103295764934e-10, 1.492866872512807352e-10, 2.530091977811606864e-10, 1.586582070978923053e-10, 4.548683925648906401e-10
1.902000000000000000e+03, 1.924214406884263870e-10, 3.763948636070111392e-10, 1.171098588279101394e-10, 1.171098588279101394e-10, 4.746578030233635457e-11, 1.672060897512741715e-10, 1.704834079975985833e-10, 1.704834079975985833e-10, 1.728038099268612357e-10, 1.709562763048730205e-10, 1.832681431762168950e-10, 3.763948636070111392e-10
1.903000000000000000e+03, 1.945521035240863029e-10, 3.529628696075894507e-10, 5.596599971835928284e-11, 5.596599971835928284e-11, 5.025597800515336848e-11, 1.316226708049577949e-10, 1.299686263709351481e-10, 1.299686263709351481e-10, 1.962554134906707030e-10, 2.473372293488706794e-10, 2.072226084908770376e-10, 3.529628696075894507e-10
1.904000000000000000e+03, 2.150176135183124409e-10, 2.844783249234171554e-10, 6.541100397237174886e-11, 6.541100397237174886e-11, 3.104741665440187907e-11, 1.374333520406028908e-10, 1.507811787380832471e-10, 1.507811787380832471e-10, 1.918846410208203666e-10, 1.427546796040650740e-10, 2.037796705532396901e-10, 2.844783249234171554e-10
1.905000000000000000e+03, 2.210439839774072087e-10, 2.723087110595411327e-10, 1.240668353290151014e-10, 1.240668353290151014e-10, 3.546336892008927262e-11, 1.236167001756784442e-10, 1.536409222329374479e-10, 1.536409222329374479e-10, 2.494206087934232605e-10, 1.489998521941415332e-10, 2.620394266608879175e-10, 2.723087110595411327e-10
1.906000000000000000e+03, 1.307779949051457765e-10, 3.205004790828820015e-10, 2.943584620631242812e-10, 2.943584620631242812e-10, 4.747085726642373646e-11, 8.190469894707058788e-11, 1.506464993142946341e-10, 1.506464993142946341e-10, 1.784536036660607772e-10, 1.900063878021229725e-10, 1.916239243984829606e-10, 3.205004790828820015e-10
1.907000000000000000e+03, 2.488511004629655060e-10, 2.745661027820041437e-10, 1.972979472278331645e-10, 1.972979472278331645e-10, 3.917738917355535821e-11, 9.375472148974015680e-11, 1.552377148666444791e-10, 1.552377148666444791e-10, 1.936551387954624798e-10, 1.941759932169060683e-10, 2.077387127185773858e-10, 2.745661027820041437e-10
1.908000000000000000e+03, 2.433700017956292582e-10, 3.349572377406103458e-10, 4.479255504538351775e-10, 4.479255504538351775e-10, 6.953700564005764597e-11, 4.037850495508659055e-11, 1.272148179877519320e-10, 1.272148179877519320e-10, 1.584593910777081437e-10, 2.509716543917968359e-10, 1.726056860393611470e-10, 3.349572377406103458e-10
1.909000000000000000e+03, 1.772864592310873479e-10, 3.293491663964473520e-10, 1.919760354951316881e-10, 1.919760354951316881e-10, 6.735512614162403999e-11, 1.197127372386555292e-10, 1.815198860593378619e-10, 1.815198860593378619e-10, 1.664276554728732398e-10, 2.878251930467801529e-10, 1.811312812145601126e-10, 3.293491663964473520e-10
1.910000000000000000e+03, 1.940817208718389834e-10, 2.942625739618806479e-10, 2.632019444654207882e-10, 2.632019444654207882e-10, 6.112572559232185205e-11, 4.326563874903217354e-11, 1.515368512417954128e-10, 1.515368512417954128e-10, 1.706358021797762144e-10, 3.167000521009219349e-10, 1.861278940643903953e-10, 2.942625739618806479e-10
1.911000000000000000e+03, 1.905503682086767141e-10, 3.377236316016004271e-10, 2.201921554655286161e-10, 2.201921554655286161e-10, 3.526660823442339734e-11, 6.571948569277782533e-11, 1.398602483223046540e-10, 1.398602483223046540e-10, 2.065751358884420370e-10, 2.684109465735481380e-10, 2.206155245926755657e-10, 3.377236316016004271e-10
1.912000000000000000e+03, 8.800342992129893052e-11, 2.859592445783504836e-10, 1.154518475645286662e-10, 1.154518475645286662e-10, 8.077230680262157744e-11, 8.947854455099001799e-11, 1.455012452756004272e-10, 1.455012452756004272e-10, 1.749431482114148537e-10, 1.821372829925413052e-10, 1.880103053616987788e-10, 2.859592445783504836e-10
1.913000000000000000e+03, 1.576278131935662090e-10, 3.145081673550885422e-10, 1.891736396460703140e-10, 1.891736396460703140e-10, 4.940566583468633855e-11, 8.281041358598058351e-11, 1.421704210395190345e-10, 1.421704210395190345e-10, 1.743959854777441751e-10, 1.955842147708007068e-10, 1.858421946828211438e-10, 3.145081673550885422e-10
1.914000000000000000e+03, 2.498561391602967762e-10, 3.201057216839290591e-10, 2.193850032048703770e-10, 2.193850032048703770e-10, 3.593890484512086248e-11, 1.274336736466967438e-10, 1.471954533513477037e-10, 1.471954533513477037e-10, 3.119472766350582966e-10, 2.010914428723552133e-10, 3.228194764734580308e-10, 3.201057216839290591e-10
