year, CanESM5, TaiESM1, ACCESS-ESM1-5, CESM2-WACCM, CNRM-ESM2-1, INM-CM4-8, CMCC-CM2-SR5, MIROC-ES2L, GFDL-ESM4, UKESM1-0-LL, NorESM2-LM, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, MPI-ESM1-2-LR, IPSL-CM6A-LR
1.885000000000000000e+03, -1.097723551447262608e-01, -6.016901151792853480e-02, 1.916574599982956706e-01, 1.200284346851299283e-01, -1.208101673028553480e-01, 4.079257094224117419e-01, -4.093036679295011110e-02, 3.077859665459668423e-02, -2.026797993267273612e-01, 1.413173146776505185e-01, -2.259387036514639013e-01, 6.353179914300195463e-01, 4.045924727093466733e-01, 4.834709571239356046e-02, -2.439496058450892069e-01, -1.029013421670763179e-01
1.886000000000000000e+03, -4.563971495874918211e-02, 6.642825647293276042e-03, 3.078242168695662917e-01, -9.414334333626195317e-02, 1.551015822216956878e-02, 6.901915155418963943e-02, 4.089774637877625907e-02, -4.081487407132730616e-02, -2.564556869354144841e-01, 7.892313628025568462e-02, -9.918897553311517568e-02, 3.204684630665226575e-01, 2.348632215288694869e-01, 1.369209773655696849e-01, -2.054716371900902894e-01, -1.200687114415387169e-01
1.887000000000000000e+03, -2.313094780648286899e-02, -1.037803123414844098e-01, 2.305908604086482905e-01, -4.288467094884748643e-02, 2.412736752219512004e-01, 2.093716749989730022e-02, -1.015547281542885927e-01, -3.659159003554213752e-01, -1.464752792370346834e-01, -7.880145937787247368e-02, -2.303760966271329313e-01, 1.953381775545704191e-01, -7.420113861815529344e-01, 8.045972025628390922e-02, 1.996126428058237617e-02, -5.041376982919654887e-02
1.888000000000000000e+03, 1.340415407838896067e-01, 3.827187194311348819e-03, 7.032888392122196852e-02, -1.837293152743622870e-01, 2.082465647413727361e-01, -4.621522754149844786e-02, -2.861633696310100783e-01, 4.977437519812161898e-02, -3.587540359236778831e-01, -4.531692050125053772e-02, -3.198512712116232670e-01, 3.269003429135893812e-01, -4.710957965560059191e-01, -6.929613370951051565e-02, 2.018074962691994434e-01, -7.823709495374649159e-02
1.889000000000000000e+03, -2.876882551811396627e-02, -1.549115544602457442e-02, -1.412488206027914632e-02, 1.884010175577065585e-02, 1.364486260363583503e-01, 2.340560175548295208e-01, -2.343318618459249714e-01, -1.362439788132314700e-01, -1.807604020089920438e-01, 6.258907838964391200e-03, -3.722714019822054854e-01, -1.740081329296683244e-01, -5.469954307245940006e-01, -2.880266156977239200e-01, -1.590742783833517249e-01, -4.421690798713444337e-02
1.890000000000000000e+03, -4.518257446810323291e-02, -1.610987429325163311e-01, -1.492240975455177698e-01, -2.604500419900346864e-01, 5.295952930692956334e-02, 1.865636761843439406e-01, -2.008482645265553257e-01, -1.740573809687893936e-01, -3.534529944725722794e-01, -1.298457086641081615e-01, -1.374645113122757029e-02, 2.193074584009087336e-01, -4.210217201663168374e-01, -1.789341979260001825e-01, 9.524940528227549344e-03, -9.947201957597742120e-05
1.891000000000000000e+03, -2.534698303317817203e-01, -1.137955415599185005e-01, -9.633867136470786185e-02, -1.109487659408544130e-01, 6.915349321736347088e-03, 1.660946016464343034e-01, 1.556364619017015505e-01, -1.026158422171598722e-01, -3.878660622564758520e-02, -1.007032931914937091e-01, -7.030752708389660655e-02, 1.654637786432238689e-01, 2.436922659640968214e-01, -2.779806018944274149e-01, 3.496778362051372602e-02, -7.929581111600078613e-02
1.892000000000000000e+03, 6.225080418589522269e-02, 5.266013988550062933e-03, 2.287074935620182770e-02, -2.992763036781292962e-01, 1.342968187873312402e-01, -5.901632949158786695e-02, -1.801271986415448056e-01, 8.811315075938279395e-02, -5.260914607576649277e-02, 5.643180670167990270e-02, -2.673129858197563768e-01, -1.385847969990281620e-02, -8.998970789990429209e-02, -2.241084560284890281e-01, -2.031360575492248965e-01, 5.750030031425744370e-02
1.893000000000000000e+03, -1.098706766042597399e-02, 7.547046123348398472e-02, -2.622449288849915475e-02, -2.562193225924940809e-01, -4.120451031017113852e-02, 1.925187308138124054e-01, -5.123878573854410146e-01, -5.431457315391069809e-03, -3.464616995182967507e-02, -2.159214786587396184e-01, 3.916772922635868709e-02, 1.572276699829610880e-01, 1.051559412858928400e-01, -7.722290351427199551e-02, 1.860404927025176292e-01, 1.080635154936029074e-01
1.894000000000000000e+03, 3.140169869474336573e-02, -8.715170197940895480e-02, -2.468358449435470725e-01, -1.629911528214106065e-01, 4.439897947040827852e-01, -2.166640814618905342e-01, -3.398021915868477960e-02, -2.648118142127944274e-01, -2.683016777126415175e-01, 9.099206946913201369e-04, 9.128226196399927272e-02, 3.378198606009610860e-01, -6.424261909113316849e-01, -1.864149958091637360e-01, 1.668526238951640039e-01, -1.102686476272871502e-01
