year, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, UKESM1-0-LL
2.005000000000000000e+03, 3.265858820284965734e-10, -6.725795799294111551e-10, 4.280747039636918144e-10, 2.302120374327835126e-10
2.006000000000000000e+03, 1.127406032267998141e-10, -5.498982006786033393e-10, 2.700265604466381638e-11, 2.267348579394467359e-10
2.007000000000000000e+03, 1.118664912848342746e-10, -5.853226571309331043e-10, 2.785996582548555188e-11, 2.261699112569191573e-10
2.008000000000000000e+03, 1.127456954412281954e-10, -5.403231189179959497e-10, 2.939195174386967924e-11, 1.992629412959554296e-10
2.009000000000000000e+03, 1.107701753795553137e-10, -6.243593928146195269e-10, 3.240415514638035655e-11, 2.513622005196744898e-10
2.010000000000000000e+03, 1.574485371579280224e-10, -6.623689392407384555e-10, 3.654275490988931376e-11, 2.372211554649553890e-10
2.011000000000000000e+03, 1.517624331267874042e-10, -6.203213611542999842e-10, 1.038579588365802935e-10, 2.324243523562217269e-10
2.012000000000000000e+03, 1.106459486450384539e-10, -6.423420717281637217e-10, 2.988205888998831051e-11, 2.199717381172416065e-10
2.013000000000000000e+03, 1.154915771657881194e-10, -6.674536371514032672e-10, 3.642704839672697501e-11, 2.086827979485429518e-10
2.014000000000000000e+03, 1.133014890889737559e-10, -6.118587995267691698e-10, 3.240656692514594160e-11, 2.104736049063178453e-10
