year, MPI-ESM1-2-LR, CMCC-ESM2, UKESM1-0-LL, CESM2-WACCM, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1
1.865000000000000000e+03, 2.350810743216838876e-10, 7.695142823155825260e-11, 4.636300524722347866e-14, 1.127884467379098464e-10, 2.345044551726900418e-10, 2.934625812161454194e-11, 2.195408945570199197e-10, 2.319096120175500448e-11
1.866000000000000000e+03, 2.408266250230501055e-10, 7.788963593015233776e-11, 4.309511738334338117e-14, 1.193471337900160075e-10, 2.354016948935940052e-10, 2.968961229634111728e-11, 2.150048884203328477e-10, 2.212503993240807524e-11
1.867000000000000000e+03, 2.454995084210236412e-10, 7.863057381264054036e-11, 4.048896854740793318e-14, 1.326246076840938311e-10, 2.371556313821331994e-10, 3.004361484939992391e-11, 2.041866816862142098e-10, 2.102382872773376868e-11
1.868000000000000000e+03, 2.466398555612111438e-10, 7.927579262578313335e-11, 4.003506366899138089e-14, 1.275640452675846554e-10, 2.393752844315856687e-10, 3.053284016187974487e-11, 2.258737951421204256e-10, 1.988480191926719462e-11
1.869000000000000000e+03, 2.352263731409539723e-10, 7.983704048634134810e-11, 4.020980732875668717e-14, 1.292663473823737260e-10, 2.409122345788668689e-10, 3.081887675147317251e-11, 1.763666640126060717e-10, 1.874949022382969336e-11
1.870000000000000000e+03, 2.374702749713045800e-10, 8.094146927491983095e-11, 5.434497975411200357e-14, 1.282182539331290499e-10, 2.561747922028181523e-10, 3.112074430005570362e-11, 2.223541983435442577e-10, 1.763858138078202089e-11
1.871000000000000000e+03, 2.362769382348796543e-10, 8.144850544674455523e-11, 6.861725264221348493e-14, 1.373149171752761114e-10, 2.602832973137987090e-10, 3.639485868557990249e-11, 2.765794373727066405e-10, 1.782312431747977406e-11
1.872000000000000000e+03, 2.465409663854796179e-10, 8.103553417466916989e-11, 7.129746563867625834e-14, 1.343883934306269799e-10, 2.642685374972787904e-10, 3.899785224955034369e-11, 2.436309244343339862e-10, 2.003499845074552487e-11
1.873000000000000000e+03, 2.507560188430943111e-10, 8.088991747508619770e-11, 8.199670049276491024e-14, 1.332845705749921839e-10, 2.683850100783349783e-10, 4.072886872336364609e-11, 2.257750289144934492e-10, 2.222810854441157652e-11
1.874000000000000000e+03, 2.534213586229369087e-10, 8.090623595464211344e-11, 8.684339941596736429e-14, 1.365611080859297301e-10, 2.700387283112089417e-10, 4.184779484824081435e-11, 2.286149820837971891e-10, 2.445496563450988856e-11
1.875000000000000000e+03, 2.534305088936861212e-10, 8.102352855506138060e-11, 8.312276148530995993e-14, 1.376726095215780389e-10, 2.703131859443163585e-10, 4.274036115794790929e-11, 2.618474579440018875e-10, 2.671249947586890479e-11
1.876000000000000000e+03, 2.555095264300691167e-10, 8.124313537518834520e-11, 8.391681553527771408e-14, 1.399987840160047077e-10, 2.719941620006639880e-10, 4.357524912599070029e-11, 2.623991358751444911e-10, 2.897295898227419802e-11
1.877000000000000000e+03, 2.467784493041509794e-10, 8.155881157273520897e-11, 1.019771543729165806e-13, 1.395536956839194891e-10, 2.757085662165939699e-10, 4.437638180808841579e-11, 2.810222706975203693e-10, 3.120336926006699901e-11
1.878000000000000000e+03, 2.467767928225500129e-10, 8.193855642232259057e-11, 1.117518303899220453e-13, 1.387348314799753752e-10, 2.798537589374400979e-10, 4.501914580852306999e-11, 2.638501625835796463e-10, 3.336344891050611037e-11
1.879000000000000000e+03, 2.609653410156565614e-10, 8.234381773083027542e-11, 1.032833641435602173e-13, 1.380055871475170532e-10, 2.827293187109445689e-10, 4.570762793049020089e-11, 2.831594876717405047e-10, 3.550697022930983742e-11
1.880000000000000000e+03, 2.682165432420767394e-10, 8.290939078462573523e-11, 9.917387747487382825e-14, 1.378420080560152832e-10, 2.902344087229899773e-10, 4.615249041916420444e-11, 3.224537359794826575e-10, 3.770704813880029955e-11
1.881000000000000000e+03, 2.778500472726254015e-10, 8.341827199437420782e-11, 9.468512660531281902e-14, 1.368225204458354412e-10, 2.944302670504929823e-10, 4.831879300833195328e-11, 2.966313853473067783e-10, 3.804631869360711994e-11
1.882000000000000000e+03, 2.770547874282199710e-10, 8.373148080364523616e-11, 9.210328335637634752e-14, 1.322962913713032914e-10, 2.987581391581225560e-10, 5.002142822438328377e-11, 2.842892827561383030e-10, 3.879790979423728441e-11
1.883000000000000000e+03, 2.689380431793579780e-10, 8.399418339641054364e-11, 9.522314987674406614e-14, 1.362435395828053456e-10, 3.014415074011746539e-10, 5.108595110094969408e-11, 2.516408042054459652e-10, 3.952027305880341561e-11
1.884000000000000000e+03, 2.725341601015753611e-10, 8.427240756975414474e-11, 9.942244369055181229e-14, 1.442903045171759060e-10, 3.016320057541561359e-10, 5.245889619655947955e-11, 2.592894863669193974e-10, 4.019223149582349838e-11
1.885000000000000000e+03, 2.802593089528845212e-10, 8.460175914830505512e-11, 9.466182672913801006e-14, 1.422128875879327973e-10, 3.039613752992617724e-10, 5.289730256318773550e-11, 2.419909949443282586e-10, 4.085741229828562032e-11
1.886000000000000000e+03, 2.908721393323559227e-10, 8.497315016613375977e-11, 8.468443005028051358e-14, 1.403396659035775767e-10, 3.063445411474579236e-10, 5.348366192344522258e-11, 2.491755899247052253e-10, 4.157771375661213315e-11
1.887000000000000000e+03, 2.951987952776056730e-10, 8.533038422721466843e-11, 7.943570963857643702e-14, 1.467967060928371666e-10, 3.067701236179160320e-10, 5.412703785323048838e-11, 2.851183697764138262e-10, 4.232931328312571441e-11
1.888000000000000000e+03, 2.917832750134870860e-10, 8.567630588113057411e-11, 7.757418820320034042e-14, 1.413596071423208733e-10, 3.069529180680096541e-10, 5.486659279991642686e-11, 2.695023266640456662e-10, 4.312066554794387470e-11
1.889000000000000000e+03, 3.024861607833276974e-10, 8.601427444681120514e-11, 8.018993558022748145e-14, 1.421102636178101272e-10, 3.091623611713886769e-10, 5.551703906406199382e-11, 2.556206309972568631e-10, 4.385774270502592035e-11
1.890000000000000000e+03, 3.000837123719743680e-10, 8.622171673032827948e-11, 8.321453696924508065e-14, 1.474809008273236568e-10, 3.083663209369362990e-10, 5.644735690267760842e-11, 2.858304874432846557e-10, 4.458600187178399723e-11
1.891000000000000000e+03, 3.048258369677083325e-10, 8.648975907102994734e-11, 8.405781496424817312e-14, 1.458366153333847558e-10, 3.103155581308927522e-10, 5.503355599632660129e-11, 2.892955947147748338e-10, 4.472289673549114396e-11
1.892000000000000000e+03, 3.004242991570861106e-10, 8.689206929983369685e-11, 9.316186430370450301e-14, 1.502558382909994719e-10, 3.093763268564002322e-10, 5.504203183814571315e-11, 3.448623911137314172e-10, 4.431314134451563008e-11
1.893000000000000000e+03, 3.018558136888217935e-10, 8.727231507452316819e-11, 1.010468965848059767e-13, 1.680960076019374660e-10, 3.109028807860155450e-10, 5.527674938642814999e-11, 3.380832547393296517e-10, 4.390683803264988870e-11
1.894000000000000000e+03, 3.116517498068709497e-10, 8.765755853435187409e-11, 3.394756481719737568e-13, 1.636614069490635860e-10, 3.130851023034936310e-10, 5.543509805521805283e-11, 3.261740656353894144e-10, 4.350553522276548517e-11
1.895000000000000000e+03, 3.104645984268631540e-10, 8.802154748937551294e-11, 7.900757208989930720e-13, 1.560045251198392378e-10, 3.139656147262552371e-10, 5.572158824509336500e-11, 3.407227692890970161e-10, 4.304383585129666066e-11
