year, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, GFDL-ESM4, CanESM5, CESM2-WACCM, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, NorESM2-LM
1.913000000000000000e+03, 1.001798463316166199e+01, 9.304086662777171668e+00, 9.017870351580805632e+00, 5.019014977354974150e+01, 1.570867436344628887e+00, 5.473347097197447653e+01, 4.813432690480038900e+01, 1.578569195142005910e+01, 8.393642847112699812e+00, 1.361553999129964687e+01, 8.114718550142756115e+00, 5.614981555030954752e+01, 7.098418419718451666e+00
1.914000000000000000e+03, 1.005900279345344295e+01, 9.481350754872023501e+00, 9.056178550879840472e+00, 5.017002064375407855e+01, 1.534297506054937088e+00, 5.476357880425346281e+01, 4.819522945436880690e+01, 1.590110171066456246e+01, 8.292035760980324355e+00, 1.309722891393750821e+01, 8.106100028309358052e+00, 5.609329567819523277e+01, 6.888447540775897160e+00
1.915000000000000000e+03, 1.008090217925592746e+01, 9.524478108746725624e+00, 9.088607370825776854e+00, 5.011290098704017737e+01, 1.526360216562380412e+00, 5.490298640666555485e+01, 4.819344907936491040e+01, 1.601116030455601802e+01, 8.273367371836723549e+00, 1.305371204060570456e+01, 8.057499199920680866e+00, 5.604042015911870322e+01, 6.802283171299975173e+00
1.916000000000000000e+03, 1.009334356695999979e+01, 9.513885930976906380e+00, 9.120545808816123312e+00, 5.010199320204393558e+01, 1.507527334735077496e+00, 5.503088248167500041e+01, 4.814900432434825461e+01, 1.580315090148739010e+01, 8.361582280636765674e+00, 1.311178070365104276e+01, 8.016462444717765479e+00, 5.583543844414549540e+01, 6.857705939117774818e+00
1.917000000000000000e+03, 1.011412644437973896e+01, 9.381526476128968284e+00, 9.135301637865637758e+00, 5.010398088045309350e+01, 1.533429130004138941e+00, 5.510652871511501161e+01, 4.811085712686336535e+01, 1.567592987790958503e+01, 8.400214557395209169e+00, 1.300134114308383460e+01, 8.074159052979396733e+00, 5.571430113456641209e+01, 6.809637652017846321e+00
1.918000000000000000e+03, 1.015579385466305062e+01, 9.350505051929646427e+00, 9.166856676017557604e+00, 5.001214604956822996e+01, 1.455935743709617203e+00, 5.513661383448342690e+01, 4.811817621087385533e+01, 1.560030302467375130e+01, 8.413999142627730521e+00, 1.275587274825006823e+01, 8.133803564050023027e+00, 5.572732216895349922e+01, 6.613284461205947373e+00
1.919000000000000000e+03, 1.017949044746144871e+01, 9.255056509115858532e+00, 9.257720404209761611e+00, 5.003600152047989980e+01, 1.445448217956172288e+00, 5.521522110115282089e+01, 4.810801974846016549e+01, 1.557200997693960431e+01, 8.392323457894983463e+00, 1.234408970165318209e+01, 8.145677324945070907e+00, 5.585899651298826996e+01, 6.626824976285162094e+00
1.920000000000000000e+03, 1.019304607723295497e+01, 9.059415345448059043e+00, 9.328018192071898085e+00, 5.011916343070025448e+01, 1.498532481923563697e+00, 5.516690734461263901e+01, 4.801048882758988867e+01, 1.550497316523516034e+01, 8.270322921979746056e+00, 1.220119985843252763e+01, 8.067226046335834511e+00, 5.593496573101418079e+01, 6.659764941101606439e+00
1.921000000000000000e+03, 1.018845405192025311e+01, 9.081195787055063917e+00, 9.380810429662910011e+00, 5.012414388102869367e+01, 1.488212595646101200e+00, 5.527954287407162326e+01, 4.802839296982490680e+01, 1.556542485864088299e+01, 8.135715563690167684e+00, 1.230370722028099451e+01, 7.975784706985399986e+00, 5.587358759861317026e+01, 6.622257389872686417e+00
1.922000000000000000e+03, 1.029036162724631076e+01, 8.856601820336628350e+00, 9.383544326641478861e+00, 5.007982291100036321e+01, 1.469294222497568247e+00, 5.540026862093455406e+01, 4.799875128616945830e+01, 1.555240650123021773e+01, 8.076300273194611634e+00, 1.237599343427980259e+01, 8.043043311110341875e+00, 5.579089626902351284e+01, 6.672471382694374675e+00
1.923000000000000000e+03, 1.034463127192251086e+01, 8.896773610531191423e+00, 9.442470979399153919e+00, 5.010585672320291195e+01, 1.497574941218173139e+00, 5.541824349553636608e+01, 4.793136723967030832e+01, 1.558995393598367230e+01, 7.987620491025208658e+00, 1.261213957509886541e+01, 8.122810044522053019e+00, 5.570793274586379340e+01, 6.734888740162547016e+00
1.924000000000000000e+03, 1.033122674034094501e+01, 9.097012247182927780e+00, 9.446698330012873512e+00, 5.012929574219829476e+01, 1.550112909412950879e+00, 5.555102565820704541e+01, 4.790394227153648643e+01, 1.559876854199842811e+01, 8.079629885481885765e+00, 1.284589867646832673e+01, 8.157712887327274842e+00, 5.576158893817896711e+01, 6.794660283270604673e+00
