year, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, MIROC-ES2L, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, CanESM5
1.867000000000000000e+03, 6.436931370913868022e+01, 1.242583223346172048e+02, 3.766968756858668712e+02, 3.470119136182119064e+02, 6.098703617740513891e+02, 5.978963152201705356e+01, 2.504874596418788713e+02, 9.944086721098561839e+02, 1.889094607700367021e+02, 9.516249459857783677e+01, 3.258256327276749289e+02, 5.920265720379721870e+02, 8.695342291646287549e+02, 2.444677669885549278e+02
1.868000000000000000e+03, 6.433116417333847892e+01, 1.243306372970456550e+02, 3.766997907923108073e+02, 3.469778381960997535e+02, 6.098595654685732370e+02, 5.979969572664041522e+01, 2.504118617760535983e+02, 9.944123504888069647e+02, 1.889223235249517643e+02, 9.514928134745034072e+01, 3.258362338643605653e+02, 5.920151964766733954e+02, 8.694289237102378820e+02, 2.444745676004104666e+02
1.869000000000000000e+03, 6.431623905104437711e+01, 1.243103473043742611e+02, 3.767027807153738195e+02, 3.469884775675657806e+02, 6.098403746379991617e+02, 5.980476804624578335e+01, 2.504696893456341797e+02, 9.943928756269110636e+02, 1.889419632400720275e+02, 9.511561351491046423e+01, 3.258194563859194659e+02, 5.919878309326520593e+02, 8.693761523816868930e+02, 2.444680399163477773e+02
1.870000000000000000e+03, 6.433950501947454370e+01, 1.243131869609461688e+02, 3.766391129414007537e+02, 3.468990244071721349e+02, 6.098050218423552451e+02, 5.979364235509443404e+01, 2.505497335766981166e+02, 9.943823923361768493e+02, 1.889486372594037960e+02, 9.503271481557108302e+01, 3.257790035835938056e+02, 5.919801238483582893e+02, 8.693061489689582686e+02, 2.444396820787800380e+02
1.871000000000000000e+03, 6.437747408931012671e+01, 1.244277573642710877e+02, 3.766387276747072406e+02, 3.468585686831241901e+02, 6.097647380227415397e+02, 5.978609996294850504e+01, 2.506672981830552658e+02, 9.943796411724603104e+02, 1.889410956927722509e+02, 9.501159837691871246e+01, 3.257631883314060133e+02, 5.919864584702029333e+02, 8.692307308933327477e+02, 2.444136910746751710e+02
1.872000000000000000e+03, 6.439242351105872331e+01, 1.244892243251137387e+02, 3.766435751385708954e+02, 3.468597859437717261e+02, 6.097595533854970427e+02, 5.978339772801670904e+01, 2.506950711713887188e+02, 9.943933809703270299e+02, 1.889337480436573742e+02, 9.500282295211027872e+01, 3.256906205915210535e+02, 5.919731566905740010e+02, 8.691156399071979877e+02, 2.443968422008697416e+02
1.873000000000000000e+03, 6.441303452889269465e+01, 1.244994689925908631e+02, 3.766639241774149127e+02, 3.468607376267028712e+02, 6.097672362941743813e+02, 5.977874995882153542e+01, 2.506617548768643644e+02, 9.944059785490719605e+02, 1.889473062391519989e+02, 9.500759143239645255e+01, 3.256008575974587416e+02, 5.919774965535912088e+02, 8.690394177153531245e+02, 2.443785835614268933e+02
1.874000000000000000e+03, 6.443083211118148768e+01, 1.244670177071045742e+02, 3.766899238595544830e+02, 3.468259046306077948e+02, 6.097846852932749471e+02, 5.977267031668898767e+01, 2.505573221660885679e+02, 9.944101573074383396e+02, 1.889604033555091860e+02, 9.496344769505815009e+01, 3.255479861821887653e+02, 5.920142232352401379e+02, 8.689576663834735655e+02, 2.443688937550357991e+02
1.875000000000000000e+03, 6.443288715477027040e+01, 1.244741854057017605e+02, 3.767262043732022221e+02, 3.467684779407375686e+02, 6.098048731416245118e+02, 5.977415113640667954e+01, 2.504277210707328152e+02, 9.943931143596689708e+02, 1.889699035132586289e+02, 9.490939383214552549e+01, 3.255243469745755078e+02, 5.920517316010358400e+02, 8.688569196923714344e+02, 2.443511750932374866e+02
1.876000000000000000e+03, 6.439392547700946068e+01, 1.244870113250201484e+02, 3.767234850037207252e+02, 3.467690406621474040e+02, 6.098104014801265293e+02, 5.979226738456959822e+01, 2.502945065314278565e+02, 9.943712979452784566e+02, 1.889715424847681504e+02, 9.493850059658917928e+01, 3.255462141510035394e+02, 5.920891509094865341e+02, 8.687677727795773990e+02, 2.443103463200076533e+02
1.877000000000000000e+03, 6.437905315141479434e+01, 1.245108541912303792e+02, 3.767250329401260274e+02, 3.467496191606061871e+02, 6.098085654565428513e+02, 5.980246293404686497e+01, 2.502642540021656146e+02, 9.943614935759881064e+02, 1.889737243924327288e+02, 9.493930612440554739e+01, 3.255564376806089513e+02, 5.921295802557742718e+02, 8.686788821196347499e+02, 2.442876053434427206e+02
1.878000000000000000e+03, 6.436996723948668375e+01, 1.244876791599762811e+02, 3.767646494214753261e+02, 3.467435997730447639e+02, 6.098128511381722774e+02, 5.980664168966869454e+01, 2.502462343018222839e+02, 9.943780242296802498e+02, 1.889860583783936931e+02, 9.497341082994684314e+01, 3.255342241577696427e+02, 5.921432546984206056e+02, 8.685861395623365979e+02, 2.442850133596229512e+02
1.879000000000000000e+03, 6.437262742794771953e+01, 1.245105752171155586e+02, 3.768148647628287904e+02, 3.467331020443682519e+02, 6.098155680581525075e+02, 5.982044829257809226e+01, 2.504576578552609192e+02, 9.944019754697978897e+02, 1.889806044315051849e+02, 9.498373216537187602e+01, 3.254756821096018484e+02, 5.921526650109490220e+02, 8.685132948745751946e+02, 2.442666683099913882e+02
1.880000000000000000e+03, 6.434562897497134770e+01, 1.245769337525037344e+02, 3.768415897253717617e+02, 3.466796599323074588e+02, 6.098291467900925227e+02, 5.984400691254862181e+01, 2.506959591863701462e+02, 9.944211464947957211e+02, 1.889716242481003690e+02, 9.497961449413666912e+01, 3.254653521132290166e+02, 5.921776181514686641e+02, 8.684503802069006042e+02, 2.442713861717018062e+02
1.881000000000000000e+03, 6.433398683961468123e+01, 1.246664639548198465e+02, 3.768047314307551687e+02, 3.467646393616942646e+02, 6.098210595106879737e+02, 5.986355071577985143e+01, 2.504801907888858921e+02, 9.944219943792237473e+02, 1.889513241796834961e+02, 9.495385238155439822e+01, 3.254341262973952666e+02, 5.922050667054468249e+02, 8.683952914854141909e+02, 2.442685158143871433e+02
1.882000000000000000e+03, 6.434818674155881979e+01, 1.247140151308082494e+02, 3.767944949910839227e+02, 3.468371026233407406e+02, 6.097765725251384765e+02, 5.986632783959774429e+01, 2.503975247200996250e+02, 9.944284903723270190e+02, 1.889448942941292273e+02, 9.491297745686097187e+01, 3.253744853947741831e+02, 5.922094556161133596e+02, 8.683438434574696885e+02, 2.442519172542579327e+02
1.883000000000000000e+03, 6.438300405451772690e+01, 1.246440632083763376e+02, 3.768529477588760983e+02, 3.468400736810258422e+02, 6.097479825154292712e+02, 5.988134887429888664e+01, 2.503915835822744214e+02, 9.944246561093474384e+02, 1.889616544603418617e+02, 9.487685922135115391e+01, 3.252794723876989451e+02, 5.922146939529740166e+02, 8.682838940162220069e+02, 2.442384302714904720e+02
1.884000000000000000e+03, 6.436974856731153238e+01, 1.246769532852265030e+02, 3.768598921076767283e+02, 3.468134843395691860e+02, 6.097258216794094778e+02, 5.988682974525387692e+01, 2.502510266367392262e+02, 9.944155054901062840e+02, 1.890020813302008378e+02, 9.484695741115110934e+01, 3.250937900906022264e+02, 5.922050148503302580e+02, 8.682320456269231954e+02, 2.442362891959902242e+02
1.885000000000000000e+03, 6.437534670464330588e+01, 1.247242439156229068e+02, 3.768665991683798779e+02, 3.467949585607340168e+02, 6.097065222278572492e+02, 5.989123906576625700e+01, 2.501650162255576220e+02, 9.944189539930415549e+02, 1.890642428415625602e+02, 9.493576414350685866e+01, 3.249407378003897975e+02, 5.922095520854479673e+02, 8.681697903309060393e+02, 2.442420762221182144e+02
1.886000000000000000e+03, 6.438687133104645000e+01, 1.246354917555174495e+02, 3.768925919232055435e+02, 3.468129850450577578e+02, 6.097152311143055385e+02, 5.988728800324573598e+01, 2.503756045892170334e+02, 9.944148467721929592e+02, 1.891301633123519821e+02, 9.488326344652332978e+01, 3.249245028796126462e+02, 5.922184259498702659e+02, 8.680994335150197685e+02, 2.442451480151258636e+02
1.887000000000000000e+03, 6.438551810770762529e+01, 1.246387401187808166e+02, 3.769371282990495615e+02, 3.468436100511986524e+02, 6.097363514496388461e+02, 5.987477397333372409e+01, 2.504681193146222142e+02, 9.944048315142324554e+02, 1.892065754177664587e+02, 9.471799702585227010e+01, 3.249613129994490350e+02, 5.922285078765977460e+02, 8.680503402505507893e+02, 2.442608433179239000e+02
1.888000000000000000e+03, 6.438723290174992542e+01, 1.246772824863231364e+02, 3.769993140685769504e+02, 3.469234080893641590e+02, 6.097747087574366560e+02, 5.987092222599221003e+01, 2.504842887786749941e+02, 9.944125641449242039e+02, 1.892927324777987224e+02, 9.464172710732718485e+01, 3.249434601733470913e+02, 5.922746747151387581e+02, 8.680179366765122495e+02, 2.442808728122990942e+02
1.889000000000000000e+03, 6.439563885997311843e+01, 1.247485387889593085e+02, 3.770771082484160388e+02, 3.469708537145561422e+02, 6.098136918201214485e+02, 5.987382233479513616e+01, 2.504080937229061306e+02, 9.944197030679143836e+02, 1.893583502774248757e+02, 9.459825668792517206e+01, 3.248797049089084794e+02, 5.923398170984087301e+02, 8.679963331447245309e+02, 2.442793151248009451e+02
1.890000000000000000e+03, 6.443332347764071244e+01, 1.247628086769184392e+02, 3.771671263162958212e+02, 3.469328878178288846e+02, 6.098292270796857792e+02, 5.987634366797845331e+01, 2.503135007646553163e+02, 9.944000267536611091e+02, 1.893943930589418585e+02, 9.454247748639552640e+01, 3.247790822611623298e+02, 5.923681377832567705e+02, 8.679505557102102102e+02, 2.442870498240097845e+02
1.891000000000000000e+03, 6.447824928990925741e+01, 1.248377962561736751e+02, 3.772356224621633487e+02, 3.468840593178742893e+02, 6.098404941075699526e+02, 5.988757833509668416e+01, 2.502495858853784512e+02, 9.943823200604069825e+02, 1.894052976108857536e+02, 9.449863308668842876e+01, 3.246681612727809352e+02, 5.923963890741777050e+02, 8.678801782656115620e+02, 2.442881134057089412e+02
1.892000000000000000e+03, 6.448839118714944618e+01, 1.248892139770235445e+02, 3.773081978897041040e+02, 3.469625670846286312e+02, 6.098398438604358489e+02, 5.990322175887563105e+01, 2.502079270390613317e+02, 9.943765823024305064e+02, 1.894115588038579006e+02, 9.453805574306062454e+01, 3.246039285538603849e+02, 5.924436157841462318e+02, 8.678168343672534775e+02, 2.442762827747691858e+02
1.893000000000000000e+03, 6.446962583594213925e+01, 1.248527606882896919e+02, 3.773901283348577067e+02, 3.470802771105686020e+02, 6.098553150026757521e+02, 5.991152778471716545e+01, 2.500858921220376487e+02, 9.943473406792587639e+02, 1.894385856529104615e+02, 9.463032606668586766e+01, 3.245597246196289802e+02, 5.924649282277426892e+02, 8.677983779304337304e+02, 2.442524445476456094e+02
1.894000000000000000e+03, 6.445675689314465728e+01, 1.249615323025235654e+02, 3.774679225019149840e+02, 3.471427346363412312e+02, 6.098496388421548318e+02, 5.993347163211141293e+01, 2.500362780510440359e+02, 9.943001997118417421e+02, 1.894647938384183306e+02, 9.459806274232559531e+01, 3.245266056675108075e+02, 5.924650550964332751e+02, 8.677557212250726479e+02, 2.442373598911085537e+02
1.895000000000000000e+03, 6.448382970327364205e+01, 1.249738777773737013e+02, 3.775597667370851696e+02, 3.471715923949317926e+02, 6.098067735643538754e+02, 5.994571759919796250e+01, 2.500471146358473504e+02, 9.942492859272130090e+02, 1.894608065280780238e+02, 9.454238123048013165e+01, 3.244176859611329178e+02, 5.924537561109945045e+02, 8.676450752756873044e+02, 2.442163271057538623e+02
1.896000000000000000e+03, 6.448860700789811062e+01, 1.250084066454198819e+02, 3.776779269320240360e+02, 3.471672074320505317e+02, 6.097558765926082742e+02, 5.995807535018460754e+01, 2.498165706449025834e+02, 9.942064077627254619e+02, 1.894600178466480713e+02, 9.452645253653817292e+01, 3.243180833560624592e+02, 5.924349436375770210e+02, 8.675266249317950269e+02, 2.441997692149282955e+02
1.897000000000000000e+03, 6.447868194276018983e+01, 1.249743575563527003e+02, 3.777812538530453139e+02, 3.471795560957061184e+02, 6.097010586909680114e+02, 5.998349092311895703e+01, 2.496836100290070988e+02, 9.941603972678962009e+02, 1.894871147334559680e+02, 9.450436469425562791e+01, 3.242541417363408414e+02, 5.923947730704404648e+02, 8.674393882326702396e+02, 2.441773685878239064e+02
1.898000000000000000e+03, 6.448848171569449050e+01, 1.249861924535387345e+02, 3.778840944710269696e+02, 3.472166213689000074e+02, 6.096806619547598984e+02, 6.000998002596375613e+01, 2.496313632890856411e+02, 9.941310228779265117e+02, 1.895200472697551106e+02, 9.440215644382043081e+01, 3.241421505218733046e+02, 5.923778374941648508e+02, 8.673609352016816274e+02, 2.441556643453942570e+02
1.899000000000000000e+03, 6.450653071514220471e+01, 1.249311915000001392e+02, 3.779723370043779482e+02, 3.472504143451278082e+02, 6.096829587476374854e+02, 6.002716936095180245e+01, 2.495974375410516757e+02, 9.941243743694736850e+02, 1.895500202065329063e+02, 9.434957461717011995e+01, 3.240454597739837368e+02, 5.924150650733274688e+02, 8.672682035944289964e+02, 2.441646510633232765e+02
1.900000000000000000e+03, 6.451194323410713594e+01, 1.248873106736740652e+02, 3.780798959278797611e+02, 3.472713239458423118e+02, 6.097045825452282770e+02, 6.004526982625043274e+01, 2.494945496402682465e+02, 9.941327688856107443e+02, 1.895893021595310586e+02, 9.432415475419011841e+01, 3.239747440577974658e+02, 5.924609234519939491e+02, 8.671712417966674593e+02, 2.441679715860118733e+02
1.901000000000000000e+03, 6.450970384357233911e+01, 1.247812900997783743e+02, 3.781478386077025675e+02, 3.473224400021068163e+02, 6.097307930851194442e+02, 6.005344621873575761e+01, 2.497147243032897848e+02, 9.941383856634170115e+02, 1.896456990911845537e+02, 9.428775399211326658e+01, 3.239507776383844089e+02, 5.924848835436545187e+02, 8.671308511591464594e+02, 2.441740315112427311e+02
1.902000000000000000e+03, 6.450902363228469483e+01, 1.247543483881062372e+02, 3.781817170902533576e+02, 3.473984828728347338e+02, 6.097450070135347460e+02, 6.005980064083878744e+01, 2.498770696242522433e+02, 9.941363951005730542e+02, 1.897087061799668959e+02, 9.429477739966975491e+01, 3.239320630521250450e+02, 5.924736300375132032e+02, 8.670934753277742857e+02, 2.441792180784236166e+02
1.903000000000000000e+03, 6.452687211156040803e+01, 1.248763023909101975e+02, 3.782608726810016151e+02, 3.473788434217619283e+02, 6.097651759528159801e+02, 6.007485164697805402e+01, 2.497700446452091114e+02, 9.941297322417407258e+02, 1.897600834563086494e+02, 9.431490556364424549e+01, 3.239132445243729990e+02, 5.924689563398425207e+02, 8.670438730701804388e+02, 2.442173169310669891e+02
1.904000000000000000e+03, 6.456732806343673303e+01, 1.250143727651337571e+02, 3.783637600890521639e+02, 3.473213539130589425e+02, 6.097736569446811927e+02, 6.010526838729921195e+01, 2.498671936139278671e+02, 9.941402371279851877e+02, 1.898064335946885990e+02, 9.437121795980682748e+01, 3.239055400827020321e+02, 5.924773487158414582e+02, 8.669612877960685182e+02, 2.442425276496228435e+02
1.905000000000000000e+03, 6.457843065002506933e+01, 1.250885803281841220e+02, 3.784161875665544130e+02, 3.472883792094477258e+02, 6.097856437310493902e+02, 6.012066799072229628e+01, 2.498051667708591879e+02, 9.941242080226757025e+02, 1.898408728870874995e+02, 9.439077280197271591e+01, 3.238993643849391333e+02, 5.924642299145579045e+02, 8.668385360926124577e+02, 2.442467608989928465e+02
1.906000000000000000e+03, 6.456337486350386712e+01, 1.251098526544848824e+02, 3.784765807300886422e+02, 3.472538455227105487e+02, 6.097951398251291266e+02, 6.012562080924119101e+01, 2.498002575296588361e+02, 9.941141490679390245e+02, 1.898953946661448526e+02, 9.437149664493327350e+01, 3.238762406547305090e+02, 5.924571464178018232e+02, 8.667699397675760338e+02, 2.442248412723532169e+02
1.907000000000000000e+03, 6.456021701025773041e+01, 1.251058391170224695e+02, 3.785602290172482185e+02, 3.472204786597899897e+02, 6.098014860700648114e+02, 6.015111789533700914e+01, 2.498964816813289360e+02, 9.941038158299595580e+02, 1.899595946450772033e+02, 9.437126350959847798e+01, 3.238621937349320206e+02, 5.924953703623071988e+02, 8.667152572168896540e+02, 2.441814830494750765e+02
1.908000000000000000e+03, 6.458015099160617467e+01, 1.250973434004285707e+02, 3.786588358521702844e+02, 3.471383006299712406e+02, 6.098085245944820372e+02, 6.017841185229832490e+01, 2.496963933351627816e+02, 9.940914471859292689e+02, 1.900189102981977953e+02, 9.434958512527082064e+01, 3.237796116065716205e+02, 5.925579385321541395e+02, 8.666567784848710971e+02, 2.441831429178911890e+02
1.909000000000000000e+03, 6.460351935529283196e+01, 1.251721626531010259e+02, 3.787574619127333904e+02, 3.470805979500892704e+02, 6.098058397486860258e+02, 6.019160824631376272e+01, 2.495782872668896175e+02, 9.940976564796525281e+02, 1.900659390235933017e+02, 9.429180835598299382e+01, 3.236806303882837028e+02, 5.926448292080794999e+02, 8.666253798354023274e+02, 2.442061163642043482e+02
1.910000000000000000e+03, 6.461840047370679940e+01, 1.252374360144842029e+02, 3.788339981673311740e+02, 3.470555629840889651e+02, 6.097775304044638460e+02, 6.021926905501004512e+01, 2.494922465723932987e+02, 9.940938404257634602e+02, 1.900983132066220946e+02, 9.422859961708736876e+01, 3.236048433309233019e+02, 5.927260827610945171e+02, 8.665845598613053653e+02, 2.442230821857742171e+02
1.911000000000000000e+03, 6.461014859773453622e+01, 1.252413094358239647e+02, 3.789351093439619831e+02, 3.470003637659257834e+02, 6.097767936085194833e+02, 6.023519273172839661e+01, 2.494559436527000855e+02, 9.940923994190753774e+02, 1.901054559797032653e+02, 9.414965563791767522e+01, 3.235614349449871270e+02, 5.927655099840061439e+02, 8.664944202836805971e+02, 2.442191643118329125e+02
1.912000000000000000e+03, 6.458539012763219489e+01, 1.252098206460647987e+02, 3.790134427777872475e+02, 3.469385200381618120e+02, 6.097917926692424544e+02, 6.026544427303331020e+01, 2.493167532992895303e+02, 9.940986660631182303e+02, 1.901164318064725762e+02, 9.409285437949300501e+01, 3.235788326352563899e+02, 5.927955963495974174e+02, 8.663540410117504962e+02, 2.441924810924566600e+02
1.913000000000000000e+03, 6.459024405007075131e+01, 1.252247342939187149e+02, 3.791435066481593026e+02, 3.469160326421193759e+02, 6.098092593555691110e+02, 6.028872156179056674e+01, 2.494747575678059661e+02, 9.941376348194410184e+02, 1.901271482869943839e+02, 9.411194975891068282e+01, 3.236241575242107160e+02, 5.928195441031180053e+02, 8.662560455961951220e+02, 2.441362323115818640e+02
1.914000000000000000e+03, 6.461268972967650370e+01, 1.252119098429089092e+02, 3.792501411214995528e+02, 3.469021475792133629e+02, 6.098031287894734760e+02, 6.032940410606617121e+01, 2.493790651974046853e+02, 9.941562862371625897e+02, 1.901557318962239833e+02, 9.413684383608216422e+01, 3.235854124809631571e+02, 5.928435992326722044e+02, 8.662000618397238441e+02, 2.440661434993608623e+02
1.915000000000000000e+03, 6.461444200578324626e+01, 1.251819930574734911e+02, 3.793755476905957948e+02, 3.468494820245243204e+02, 6.097771234154486137e+02, 6.036373976980576117e+01, 2.494095410598314118e+02, 9.941283404443354357e+02, 1.901892645214903723e+02, 9.409306348122987629e+01, 3.235095405781491422e+02, 5.928558180240626143e+02, 8.661617228807589299e+02, 2.440289042564448039e+02
1.916000000000000000e+03, 6.460935574714125096e+01, 1.251630807734174482e+02, 3.795137613450625622e+02, 3.468343622954138823e+02, 6.097556689000172128e+02, 6.038404191217507844e+01, 2.494926227488940924e+02, 9.941152156211709325e+02, 1.902221863459200506e+02, 9.410156162666928026e+01, 3.234551313415777258e+02, 5.928519905618635448e+02, 8.661331838517008919e+02, 2.440058693473723963e+02
1.917000000000000000e+03, 6.461490622339522361e+01, 1.251095496956373836e+02, 3.796461716824468908e+02, 3.468020834426549754e+02, 6.097626680988810222e+02, 6.041818956998561418e+01, 2.493448868095967157e+02, 9.941201349168193246e+02, 1.902509039853828199e+02, 9.401401884025412414e+01, 3.233874258097716279e+02, 5.928538252971700331e+02, 8.660811555215269664e+02, 2.439528409233151081e+02
1.918000000000000000e+03, 6.460588756626309248e+01, 1.250209537933749147e+02, 3.797570026297977961e+02, 3.467556574668284384e+02, 6.097721468431145695e+02, 6.044511748119537486e+01, 2.492737951573167550e+02, 9.941034696568368645e+02, 1.902717767408407497e+02, 9.394706971252109895e+01, 3.233045291844624671e+02, 5.928528232694584403e+02, 8.660289403899612353e+02, 2.439046084774796839e+02
1.919000000000000000e+03, 6.457632645472855870e+01, 1.250263788477951294e+02, 3.798957356729529806e+02, 3.466821044209111164e+02, 6.097955505729149763e+02, 6.048087655958418907e+01, 2.491956282199200530e+02, 9.940563650440603851e+02, 1.903076766725723132e+02, 9.387937670433029780e+01, 3.231596318028291535e+02, 5.928640638434128505e+02, 8.659881732882901133e+02, 2.438796122971461102e+02
