year, INM-CM4-8, TaiESM1, CESM2-WACCM, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, GFDL-ESM4, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, INM-CM5-0, NorESM2-MM, CMCC-CM2-SR5, CanESM5
1.870000000000000000e+03, 8.081401708505595138e+00, 5.892968205206122967e+00, 8.515789673450607111e+00, 8.485857641152204422e+00, 5.784884737412699707e+00, 4.456589622426330166e+00, 8.965194614122424355e+00, 8.737088113386274557e+00, 8.763471412597631627e+00, 7.637292117207391762e+00, 6.565500709470089014e+00, 6.094168829628831219e+00, 7.633329826724121858e+00, 7.028569358791960653e+00, 8.503475713943654313e+00, 8.533707590051188063e+00
1.871000000000000000e+03, 8.795769545676826340e+00, 5.991319135009237407e+00, 8.356969370860083401e+00, 7.958085155873978245e+00, 6.261362470013980719e+00, 4.846291905886357831e+00, 9.292227016769992076e+00, 8.396566753062632671e+00, 9.070586060302005649e+00, 7.004972715952464846e+00, 6.586694649533749946e+00, 6.165696896000992133e+00, 8.270305125121675260e+00, 7.558659997164256517e+00, 9.119118813983883243e+00, 7.768344730404445286e+00
1.872000000000000000e+03, 8.200660494613295270e+00, 5.934749166750929561e+00, 7.877039200051001444e+00, 8.599743640886222451e+00, 6.691192579795314010e+00, 4.764112438719726228e+00, 9.710047669609476628e+00, 8.689666389120688450e+00, 8.717752561350868845e+00, 6.710783398724096571e+00, 6.552834215339035318e+00, 6.332493572939546844e+00, 8.193967405940208337e+00, 7.566778615899476534e+00, 8.525804934579783279e+00, 7.955611306566585661e+00
1.873000000000000000e+03, 8.310166277641027222e+00, 5.937084980663679623e+00, 7.910746354220633769e+00, 8.502903886279776557e+00, 6.533895211303077488e+00, 4.533431456222288602e+00, 9.353997490214077004e+00, 7.514704300411256810e+00, 8.691291643341211071e+00, 7.220794866428005498e+00, 6.699043242043780211e+00, 6.298585971098116687e+00, 7.985977878568662369e+00, 7.359721822580090667e+00, 8.546758580803562211e+00, 8.463858325646796743e+00
1.874000000000000000e+03, 7.598660675049897506e+00, 5.848911381314189306e+00, 8.145904835292245849e+00, 8.658703992875160793e+00, 6.745555773927499388e+00, 4.463471092739254686e+00, 8.667094160879896592e+00, 7.666596639256893830e+00, 8.386924912849970326e+00, 7.162910869607932440e+00, 6.777580793570455953e+00, 6.403629833534670190e+00, 7.623875491129336268e+00, 7.446673527900632195e+00, 8.667340151850828178e+00, 8.256405307652570968e+00
1.875000000000000000e+03, 7.938753865383781694e+00, 6.248653656183262406e+00, 7.758929540109398282e+00, 8.813971090178135626e+00, 5.787887096322835490e+00, 4.673551702190643198e+00, 9.285141203583279434e+00, 8.307216456150689154e+00, 8.650824687945400271e+00, 7.692345582663367765e+00, 6.263981921393514618e+00, 6.121218871048166754e+00, 8.167948234248621375e+00, 7.513531019561649593e+00, 8.714796561102675199e+00, 8.422868867480547195e+00
1.876000000000000000e+03, 7.914323190926257467e+00, 6.121853571085227763e+00, 8.209079487474754799e+00, 8.665531414892415185e+00, 5.595383874198482488e+00, 4.853700319361036186e+00, 9.298934143951823827e+00, 7.860608584168942592e+00, 8.382385172241862747e+00, 7.598080086605076389e+00, 6.222354703981339163e+00, 6.171510996256615478e+00, 7.944442456869500013e+00, 6.840445590932666242e+00, 8.578941597790443296e+00, 8.264804703843379841e+00
1.877000000000000000e+03, 7.938266434985161268e+00, 6.238966375421910904e+00, 7.785406074447808855e+00, 8.546753925601592528e+00, 5.764477986990812930e+00, 4.913210690502809008e+00, 9.579797855124397188e+00, 7.482585396661685095e+00, 8.521084989652374375e+00, 7.841722608831600994e+00, 6.266779703907245036e+00, 6.186667317280199363e+00, 8.188885860865493527e+00, 7.271990899179993306e+00, 8.633547353276309622e+00, 8.545458102437311965e+00
1.878000000000000000e+03, 8.075038314378170767e+00, 6.138160353426883376e+00, 8.422895545953881680e+00, 8.394880645582258438e+00, 6.171414746798097539e+00, 4.822954594348873414e+00, 9.633459441538095192e+00, 8.350049021533047622e+00, 8.388367815075234546e+00, 7.403900741659033891e+00, 6.836698596593731025e+00, 6.315409473104942606e+00, 8.385242194628915513e+00, 7.674683841189435363e+00, 8.723378002278025178e+00, 8.171786096029071800e+00
1.879000000000000000e+03, 8.085482994805522239e+00, 6.271409457137990806e+00, 8.093339438275540587e+00, 8.228461426855679051e+00, 5.351614789031848396e+00, 4.959564218251652612e+00, 9.554144660337160033e+00, 8.331027605629447663e+00, 8.495028818717447194e+00, 6.847835747229636283e+00, 6.330110986494995373e+00, 6.211326495750990162e+00, 8.073551926900661257e+00, 7.343866949465813754e+00, 8.354035938310872211e+00, 8.479014173247865216e+00
