year, GFDL-ESM4, CanESM5, NorESM2-LM, EC-Earth3-Veg, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MIROC-ES2L, UKESM1-0-LL, CNRM-ESM2-1, TaiESM1
1.870000000000000000e+03, 4.146320579500833325e+00, 4.741924480897415251e+00, 3.405267555340406815e+00, 2.259443354795727554e+00, 3.429123091060802597e+00, 3.959024253278341288e+00, 1.866594948650467600e+00, 4.619900671677678261e+00, 3.950337353315835465e+00, 3.674721027032207488e+00, 5.522958303041078487e+00, 4.742570251463276598e+00, 4.184210847444019166e+00, 2.206503096762849836e+00
1.871000000000000000e+03, 4.166328151970169813e+00, 4.495077182863582266e+00, 3.483761514328699960e+00, 3.029299784409306806e+00, 3.538419638110293697e+00, 3.859484568471172938e+00, 1.944406734310572427e+00, 4.650637553350897235e+00, 4.187973735983347545e+00, 3.687400913636109223e+00, 5.722359772629821428e+00, 4.606654012256750974e+00, 4.258734837707689458e+00, 2.163085373112541454e+00
1.872000000000000000e+03, 4.099586249020015671e+00, 4.535155689774092558e+00, 3.396748058267390125e+00, 2.924377251226497609e+00, 3.373032153608720218e+00, 3.849142517275052189e+00, 1.966908678509253550e+00, 4.773036550827144175e+00, 3.984873959315795577e+00, 3.596253257333087650e+00, 5.712747876115836121e+00, 4.758708208943396301e+00, 4.285389410275326050e+00, 2.146987243665584355e+00
1.873000000000000000e+03, 4.121512583112159511e+00, 4.588336673478816685e+00, 3.401201240657973912e+00, 2.515240153443534243e+00, 3.399270726451206759e+00, 3.786145453068411548e+00, 1.899204418126029248e+00, 4.444160885833875696e+00, 4.043605512914424160e+00, 3.672440709944973403e+00, 5.635738860527879091e+00, 4.924863249738288040e+00, 4.284037018947525866e+00, 2.170024246096514009e+00
1.874000000000000000e+03, 4.136224234491543861e+00, 4.678043907975498961e+00, 3.509913553093432448e+00, 2.752709459731288888e+00, 3.513373789087951948e+00, 3.915649931666403294e+00, 1.856058316967251098e+00, 4.350010853636097075e+00, 4.160650736031569430e+00, 3.705997960544194392e+00, 5.615854765527970471e+00, 5.050189219126540507e+00, 4.234077261641607137e+00, 2.158015003188204162e+00
1.875000000000000000e+03, 4.067213104581280270e+00, 4.616177248320871840e+00, 3.519758722365711190e+00, 2.164863515674341876e+00, 3.424938285615605427e+00, 3.942819223967178655e+00, 1.890658658348914667e+00, 4.638722871276207194e+00, 4.110198952314439325e+00, 3.671035055750358378e+00, 5.722689514846254433e+00, 4.946653700169670209e+00, 4.249846061012068965e+00, 2.305513637387396120e+00
1.876000000000000000e+03, 4.056065066152235943e+00, 4.437606741437143398e+00, 3.470446564830363290e+00, 2.769458302963816898e+00, 3.340571291147068855e+00, 4.014035555858411541e+00, 1.930689764485931548e+00, 4.451962914322241893e+00, 3.985649170562977517e+00, 3.665388724912371554e+00, 5.826915506547714507e+00, 5.089849790349372682e+00, 4.132826561299447476e+00, 2.190428118737211882e+00
1.877000000000000000e+03, 3.980404446076851954e+00, 4.757831784688733912e+00, 3.332355456237293456e+00, 2.650124868064338113e+00, 3.523272279567665421e+00, 3.817947341693511909e+00, 1.976267171492017249e+00, 4.315015194656888653e+00, 3.990757986916408484e+00, 3.609896913738506186e+00, 5.818296920879501677e+00, 4.902268016338144463e+00, 4.045990573634426823e+00, 2.280198003487589276e+00
1.878000000000000000e+03, 3.984264338864809130e+00, 4.748084716567486652e+00, 3.431431519781825479e+00, 2.937796628569706581e+00, 3.552637893329895658e+00, 3.946942582089173257e+00, 1.938018041375468181e+00, 4.673484320132454961e+00, 4.057587740418736821e+00, 3.720939009859949742e+00, 5.656018968382934275e+00, 4.814205567576403944e+00, 4.235932986806292710e+00, 2.218534159638440695e+00
1.879000000000000000e+03, 3.995532951969495983e+00, 4.793920219471194955e+00, 3.347796272676621943e+00, 2.217578346316083415e+00, 3.531262531442416641e+00, 3.930765060105106290e+00, 1.957546186778050146e+00, 4.616723624946105886e+00, 4.083627246856981863e+00, 3.680163350561628910e+00, 5.683341336683893630e+00, 4.468726754264179313e+00, 4.101147552886851066e+00, 2.291169004826436151e+00
