year, EC-Earth3-Veg, CMCC-CM2-SR5, CNRM-ESM2-1, UKESM1-0-LL, MPI-ESM1-2-LR, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, ACCESS-ESM1-5
1.899000000000000000e+03, 7.919035862173887108e-02, 5.554052709583412462e-01, 4.357383078451655678e-02, 2.103355970095963957e-03, 1.059172977071358490e+00, 1.079838093159889711e-01, 5.001987045381207642e-01, 7.253186852790853845e-01, 5.773753860721360098e-01
1.900000000000000000e+03, 8.060867488902509481e-02, 5.650638542742282278e-01, 4.342213927292159353e-02, 2.919889944866216249e-03, 1.068473130354675948e+00, 1.064379513081563089e-01, 5.407688532378227553e-01, 7.306688381628819728e-01, 5.865780546014885966e-01
1.901000000000000000e+03, 8.809065658116138620e-02, 5.765884842669539712e-01, 5.085892378982644763e-02, 4.109097646587722523e-03, 1.083197813188218062e+00, 1.128380456179720326e-01, 5.711296718879586010e-01, 7.478451379284833944e-01, 6.431435360707146165e-01
1.902000000000000000e+03, 9.564244235833206653e-02, 5.848302245246783659e-01, 5.761097907634141896e-02, 6.297103350764285748e-03, 1.095594965695116940e+00, 1.166868194606185544e-01, 5.945840011082887955e-01, 7.637892304766658036e-01, 7.038859037893815396e-01
1.903000000000000000e+03, 1.033414191804944704e-01, 5.919572831793867840e-01, 6.347247075868966970e-02, 1.125268406781741726e-02, 1.104247864647783572e+00, 1.201462181190137563e-01, 6.129317907277848088e-01, 7.798559551517597610e-01, 7.599165696368398448e-01
1.904000000000000000e+03, 1.112462927648771027e-01, 5.986317720234221040e-01, 6.815775382102565172e-02, 1.664326999195616524e-02, 1.117620103795240238e+00, 1.239910750000949857e-01, 6.276509612070008126e-01, 7.958516642569377630e-01, 8.128411203318328671e-01
1.905000000000000000e+03, 1.191790338410069205e-01, 6.053919145936623725e-01, 7.182171756958712072e-02, 2.186473335270529977e-02, 1.128210830828523026e+00, 1.270060515244007537e-01, 6.401918259505656739e-01, 8.097003854740321138e-01, 8.635256293581001774e-01
1.906000000000000000e+03, 1.271529421222144240e-01, 6.123668465782179382e-01, 7.453842054290536756e-02, 3.132199140863452247e-02, 1.138724615177695076e+00, 1.298059651723166841e-01, 6.510945773947397486e-01, 8.224188111891798103e-01, 9.185453699849480680e-01
1.907000000000000000e+03, 1.351737286599548060e-01, 6.193028415862765756e-01, 7.689954147230222692e-02, 4.317418711793011288e-02, 1.147435712978093658e+00, 1.317937501032840908e-01, 6.619126966195423289e-01, 8.336065329673939539e-01, 9.683828081846700409e-01
1.908000000000000000e+03, 1.432108825145824438e-01, 6.261716574991822437e-01, 7.881422130142909377e-02, 5.562719535031945828e-02, 1.161387196972356817e+00, 1.338027338120630350e-01, 6.730796244791346084e-01, 8.456085658025949137e-01, 1.014341699519521134e+00
1.909000000000000000e+03, 1.507540376520040137e-01, 6.328659076207840961e-01, 8.003130277514683422e-02, 6.930490361502669727e-02, 1.171068924023284330e+00, 1.351506252970884336e-01, 6.835751513502152932e-01, 8.601486265495040806e-01, 1.059297968259327094e+00
1.910000000000000000e+03, 1.584899134979652346e-01, 6.321636566686137382e-01, 8.009591081258930767e-02, 6.577313987838888376e-02, 1.161708897643465299e+00, 1.383490339049116280e-01, 6.355224995375128305e-01, 8.725843214552064797e-01, 1.103028399644387703e+00
1.911000000000000000e+03, 1.488102882930540383e-01, 6.280421241005834654e-01, 7.239426602275247924e-02, 5.312263609367818412e-02, 1.143694506400923849e+00, 1.305421596616889723e-01, 6.104038679524635969e-01, 8.654341025506705476e-01, 1.068389725133983337e+00
1.912000000000000000e+03, 1.397087189677345687e-01, 6.267901241130434675e-01, 6.511559103410292926e-02, 4.628099954218026224e-02, 1.129617613691777711e+00, 1.251114498665633901e-01, 5.909735336178930654e-01, 8.587038074554991240e-01, 1.043113058655088743e+00
1.913000000000000000e+03, 1.311539122831745230e-01, 6.250282225745605880e-01, 5.829423306203333766e-02, 4.175663316309836948e-02, 1.121164581019229445e+00, 1.198539050027382508e-01, 5.754820161789222510e-01, 8.524088861815763973e-01, 1.022881751383327043e+00
1.914000000000000000e+03, 1.231062552678267863e-01, 6.229064638604616677e-01, 5.201150520617552758e-02, 3.826485990165770512e-02, 1.123887163071236595e+00, 1.150881457396321500e-01, 5.626622845029672915e-01, 8.460916582729908209e-01, 1.005696611544292240e+00
1.915000000000000000e+03, 1.155416110082135156e-01, 6.204741678446457076e-01, 4.627859956701078220e-02, 3.530988298651455831e-02, 1.122610816468684325e+00, 1.108634746492082046e-01, 5.524243681028385700e-01, 8.409838545533808718e-01, 9.898932309706127697e-01
1.916000000000000000e+03, 1.084312672205462458e-01, 6.177252931606931341e-01, 4.111946409288459031e-02, 3.271035932506635019e-02, 1.116578420371204139e+00, 1.070299203207773081e-01, 5.436984746065403051e-01, 8.344524420194655567e-01, 9.773997065422247443e-01
1.917000000000000000e+03, 1.017507275418278873e-01, 6.145836277904391798e-01, 3.665052459081490771e-02, 3.037992757130295388e-02, 1.112701198992884333e+00, 1.041859476743551977e-01, 5.350405242380402715e-01, 8.297773467381310830e-01, 9.643792924645533393e-01
1.918000000000000000e+03, 9.547697182335433685e-02, 6.110259915754613358e-01, 3.299511975303682371e-02, 2.826300033528643049e-02, 1.107225583489252596e+00, 1.016908457590665893e-01, 5.266124908509358660e-01, 8.242820419829107736e-01, 9.513527256952506450e-01
1.919000000000000000e+03, 8.958285531949952696e-02, 6.070856586806999688e-01, 3.020657602530757435e-02, 2.634870265777261578e-02, 1.098109307256676770e+00, 9.998329927839054443e-02, 5.200369992249153084e-01, 8.171904964346200506e-01, 9.393678679226261652e-01
1.920000000000000000e+03, 8.404943596166936093e-02, 6.049530034649474031e-01, 2.937081767488021813e-02, 2.461406619650162789e-02, 1.103107780449396058e+00, 9.936059438712585568e-02, 5.359774903329753704e-01, 8.118072258853828993e-01, 9.283852730166247680e-01
1.921000000000000000e+03, 8.439110723027574978e-02, 6.048086407011122878e-01, 3.136704924457309196e-02, 2.303984188296999761e-02, 1.110855596953163715e+00, 1.013303607735414613e-01, 5.458738908667898349e-01, 8.141593826071492623e-01, 9.352110202991134047e-01
1.922000000000000000e+03, 8.485252704333262619e-02, 6.049867494209570928e-01, 3.310324373448900181e-02, 2.161068288191756240e-02, 1.106776448102230859e+00, 1.014879652620920281e-01, 5.551801998734360311e-01, 8.145808721738782010e-01, 9.404842332093933388e-01
1.923000000000000000e+03, 8.542619347285686227e-02, 6.054872945209790469e-01, 3.461922259259497120e-02, 2.031242805636059370e-02, 1.117639878652462615e+00, 1.018322758953165985e-01, 5.633347509107793361e-01, 8.154038582476227370e-01, 9.454544761262264618e-01
1.924000000000000000e+03, 8.605236975100188923e-02, 6.063169319380374844e-01, 3.591403105211177921e-02, 1.913055138650410908e-02, 1.121986450711134786e+00, 1.017164843724480683e-01, 5.699811475407344785e-01, 8.210830170639383807e-01, 9.503857962417714411e-01
1.925000000000000000e+03, 8.673692804667182399e-02, 6.074338514931137967e-01, 3.692937571454403545e-02, 1.805471235726934659e-02, 1.119168361057042205e+00, 1.017328233802420184e-01, 5.743828886034342274e-01, 8.234507352746341935e-01, 9.554806356682591373e-01
1.926000000000000000e+03, 8.478350760318230372e-02, 6.087667377634035093e-01, 3.763701303335637016e-02, 1.707387131877878203e-02, 1.117125902382396951e+00, 1.016361785626164332e-01, 5.775841054986136092e-01, 8.253289703724966397e-01, 9.605988054595180348e-01
1.927000000000000000e+03, 8.288644985589462000e-02, 6.102652695477940314e-01, 3.807411405750740080e-02, 1.617995868936553810e-02, 1.121914453424484259e+00, 1.014900155153424383e-01, 5.801947589104913261e-01, 8.298883773986863721e-01, 9.658724035497407989e-01
1.928000000000000000e+03, 8.101180935820022355e-02, 6.119139013429392149e-01, 3.822130421107507170e-02, 1.536357970860285568e-02, 1.129307517320630172e+00, 1.016606844673098309e-01, 5.825748216290222992e-01, 8.301737823530621618e-01, 9.711614670936102867e-01
1.929000000000000000e+03, 7.919068562319737936e-02, 6.136997371612272767e-01, 3.812208528220772941e-02, 1.461886533074272139e-02, 1.128377976892041890e+00, 1.018164409141881221e-01, 5.859700740710175326e-01, 8.339277582339061912e-01, 9.765528528654037199e-01
1.930000000000000000e+03, 7.740693790766568771e-02, 6.208703800943805584e-01, 3.756618913361770007e-02, 1.396793276309798992e-02, 1.138522365039408513e+00, 1.020488980540836671e-01, 6.287519458270481865e-01, 8.388583229117300144e-01, 9.821588773873444200e-01
1.931000000000000000e+03, 7.777110787489126265e-02, 6.323088261138719579e-01, 4.715354814667732652e-02, 1.339031928413854898e-02, 1.153974069126777469e+00, 1.074404426199981610e-01, 6.565955141851396171e-01, 8.628216235224438480e-01, 1.057057918391535845e+00
1.932000000000000000e+03, 7.827480782353873900e-02, 6.427047713037862264e-01, 5.572024178890554180e-02, 1.284791575985942506e-02, 1.174246281779524059e+00, 1.126928282743993176e-01, 6.810372701179031596e-01, 8.805826043011700799e-01, 1.126108126881962157e+00
1.933000000000000000e+03, 7.896459652858114908e-02, 6.524821800024206420e-01, 6.321365724068769842e-02, 1.233652649934291468e-02, 1.189766142635233281e+00, 1.174616385803867874e-01, 7.039695813497701682e-01, 8.983493412405240131e-01, 1.183979141063522977e+00
1.934000000000000000e+03, 7.987970494143450950e-02, 6.618733337643774028e-01, 6.963429100156100227e-02, 1.260515546958624993e-02, 1.206243593887210031e+00, 1.222498665701939879e-01, 7.241815483839277867e-01, 9.180810431302793839e-01, 1.242006082236216002e+00
1.935000000000000000e+03, 8.113366166775845545e-02, 6.709095655648757983e-01, 7.484749820791253283e-02, 1.457060328445397568e-02, 1.218907463543301928e+00, 1.270543119024611367e-01, 7.416187587859547348e-01, 9.347351738330478277e-01, 1.295556380648352102e+00
1.936000000000000000e+03, 8.574972279929178598e-02, 6.796751366840727560e-01, 7.899213274121022477e-02, 1.993351390176196017e-02, 1.229695367879037660e+00, 1.311275389842587458e-01, 7.582656619186700642e-01, 9.546491905693954561e-01, 1.347661640674836958e+00
1.937000000000000000e+03, 9.200903551357939025e-02, 6.881107459419564254e-01, 8.236398453707503842e-02, 2.785146144163187093e-02, 1.236692601982826822e+00, 1.346337733100696488e-01, 7.746619684069135925e-01, 9.731321276646693885e-01, 1.400638244687320011e+00
1.938000000000000000e+03, 9.911604777010785128e-02, 6.963691340837584454e-01, 8.536823845443117231e-02, 3.660814943603616506e-02, 1.247557692333322921e+00, 1.380491228277678784e-01, 7.889978324248323460e-01, 9.813260743813537745e-01, 1.449865004385452627e+00
1.939000000000000000e+03, 1.071526672041689526e-01, 7.044581527207989247e-01, 8.768917796705030798e-02, 4.660947582573619213e-02, 1.255835911759723755e+00, 1.408380753692290432e-01, 8.009248406482381011e-01, 9.931755437239492279e-01, 1.498356198156772123e+00
1.940000000000000000e+03, 1.158533916676959818e-01, 7.051627271997915614e-01, 8.836758530107045873e-02, 4.524341814250839450e-02, 1.256092126832604405e+00, 1.435973227745540870e-01, 7.505815796321854139e-01, 1.006259350324825830e+00, 1.546176637048715774e+00
1.941000000000000000e+03, 1.071919126433175662e-01, 7.000870570498070045e-01, 8.033591392389571872e-02, 3.736950829248713440e-02, 1.242550975596046214e+00, 1.371362737998568226e-01, 7.245811836326427890e-01, 9.921126521985615954e-01, 1.506707405447531789e+00
1.942000000000000000e+03, 9.917611257779092304e-02, 6.963242029180640724e-01, 7.257092333682770013e-02, 3.321609692021804117e-02, 1.231454603336050502e+00, 1.334138484481116882e-01, 7.064898377541239949e-01, 9.805577791886038730e-01, 1.480284980171966414e+00
1.943000000000000000e+03, 9.176316667998599130e-02, 6.931301978944350850e-01, 6.509188563298674846e-02, 3.050742426978001257e-02, 1.228005383322498423e+00, 1.303341902407628983e-01, 6.912829534575954948e-01, 9.686326882361798729e-01, 1.456804224859914676e+00
1.944000000000000000e+03, 8.491012894271289524e-02, 6.904632792248082129e-01, 5.806241583859547001e-02, 2.848115367626747815e-02, 1.221602231667751282e+00, 1.277585549424034017e-01, 6.791946970896383107e-01, 9.603358895229999748e-01, 1.436378939070777294e+00
1.945000000000000000e+03, 7.857998267656891855e-02, 6.881272240951084029e-01, 5.154700380664992143e-02, 2.675246781029449322e-02, 1.221391240907490960e+00, 1.255487309823826170e-01, 6.709442480766830696e-01, 9.548711338229857182e-01, 1.418537163262255874e+00
1.946000000000000000e+03, 7.275258386843989900e-02, 6.860213393027493334e-01, 4.565037741519244185e-02, 2.519123245146689602e-02, 1.214839163511383324e+00, 1.241240073079723089e-01, 6.637632092451654087e-01, 9.463801796273013656e-01, 1.407417675861465600e+00
1.947000000000000000e+03, 6.738076078607831143e-02, 6.841987673812023329e-01, 4.051101161255070415e-02, 2.380457893037144640e-02, 1.210243188379327650e+00, 1.231164926413749333e-01, 6.565014064215464185e-01, 9.426638591230769304e-01, 1.391958459501489331e+00
1.948000000000000000e+03, 6.243456002557791484e-02, 6.826052075160228272e-01, 3.627811619989411429e-02, 2.256035806281434658e-02, 1.204423849213099418e+00, 1.226446850991510934e-01, 6.481058006773320335e-01, 9.393472334795479606e-01, 1.378685604771628936e+00
1.949000000000000000e+03, 5.788325485610450183e-02, 6.812143473816489880e-01, 3.312693113864138145e-02, 2.142526836408265023e-02, 1.198640527873904515e+00, 1.236502954074415322e-01, 6.401834314402123915e-01, 9.336808513512571128e-01, 1.366523006148790076e+00
1.950000000000000000e+03, 5.369265971327014803e-02, 6.818334712127082087e-01, 3.254964915840095896e-02, 2.039375810489300195e-02, 1.199392778182029051e+00, 1.245106064055204326e-01, 6.600056715871920332e-01, 9.339251645945263469e-01, 1.354037541636778474e+00
1.951000000000000000e+03, 5.352192084645393533e-02, 6.840177049231058737e-01, 3.595464805890320054e-02, 1.945910967282698384e-02, 1.210982728235941552e+00, 1.267346296663705296e-01, 6.738218670416240563e-01, 9.421686482383276884e-01, 1.357050342694132716e+00
1.952000000000000000e+03, 5.374540411002258489e-02, 6.852900309475631335e-01, 3.849829193460269777e-02, 1.860535114434225951e-02, 1.227129631788439479e+00, 1.284215766473436604e-01, 6.860696987528985824e-01, 9.490084036620604069e-01, 1.363811148892021485e+00
1.953000000000000000e+03, 5.436508496189242784e-02, 6.861728703818230635e-01, 4.020969332666288198e-02, 1.783239773411706905e-02, 1.244480511314275839e+00, 1.303652362336267523e-01, 6.975345272900866922e-01, 9.561810107414562276e-01, 1.382573543761119295e+00
1.954000000000000000e+03, 5.533387077283976468e-02, 6.875181725775016961e-01, 4.107924023717075823e-02, 1.713690937004326911e-02, 1.252200473384640800e+00, 1.319545214936030664e-01, 7.091745639219384501e-01, 9.616834649615720876e-01, 1.384768012416382810e+00
1.955000000000000000e+03, 5.656910691855836920e-02, 6.894550206084205657e-01, 4.131696047262860272e-02, 1.649758849131540556e-02, 1.259783250404696187e+00, 1.335310575379854980e-01, 7.212272195115670970e-01, 9.674957930375405191e-01, 1.387986408937733840e+00
