year, IPSL-CM6A-LR, UKESM1-0-LL, ACCESS-ESM1-5, TaiESM1, NorESM2-MM, GFDL-ESM4, NorESM2-LM, CESM2-WACCM, INM-CM4-8, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, INM-CM5-0, CanESM5, CMCC-CM2-SR5
1.951000000000000000e+03, 2.583634762707536670e+00, 4.528252294659925070e+00, 4.153832903378444463e+00, 2.430806997933612212e+00, 3.939565523289467297e+00, 4.545766899092278379e+00, 3.748677986077801005e+00, 4.088149781547492978e+00, 4.428508406140402087e+00, 5.888277360976705843e+00, 4.833198283774826187e+00, 5.127344572018300184e+00, 2.674256007913263566e+00, 4.245576455026299101e+00, 4.700065095723984676e+00, 4.566145247476169899e+00
1.952000000000000000e+03, 2.635850740685432125e+00, 4.421830180541912014e+00, 4.204145298033535205e+00, 2.406458082359990147e+00, 3.748014692864949371e+00, 4.348341660058615332e+00, 3.711444507831075601e+00, 4.249192248357333668e+00, 4.465640724556757313e+00, 5.679144528979810147e+00, 4.766687888208442025e+00, 5.306218658000419808e+00, 2.916038468365995673e+00, 4.221074273059421955e+00, 5.266980201147786644e+00, 4.362561694394776701e+00
1.953000000000000000e+03, 2.670363459174620591e+00, 4.579017754584321587e+00, 4.163425361776466715e+00, 2.439347477231364358e+00, 3.871750856247370809e+00, 4.236316733103736354e+00, 3.838468747790115376e+00, 4.160706849059065071e+00, 4.397449010631434341e+00, 5.801260916226597786e+00, 4.681575640535467819e+00, 5.306466678829939276e+00, 3.013367002408216866e+00, 4.153904601762182125e+00, 5.012462357190770490e+00, 4.465508296622811457e+00
1.954000000000000000e+03, 2.554439757942289280e+00, 4.811482535153733586e+00, 4.101572635160125380e+00, 2.455889095854506987e+00, 3.879172134146803952e+00, 4.924996335860901908e+00, 3.551760467819767175e+00, 4.130227316480063138e+00, 4.382665013697069512e+00, 5.872786270555187649e+00, 5.003078398672268001e+00, 4.886311306371186269e+00, 2.885080702069824810e+00, 4.490879601064531990e+00, 5.078587593431871383e+00, 4.298110462022143530e+00
1.955000000000000000e+03, 2.508064381957156197e+00, 4.565791165187752298e+00, 4.225524819721448999e+00, 2.305268004622993416e+00, 3.691327399504277906e+00, 4.592988365416545982e+00, 3.340004931630963902e+00, 4.126350335260136504e+00, 4.161280841676384235e+00, 6.096075934945257124e+00, 4.816040091165612047e+00, 4.792072255459674857e+00, 3.281661507308217374e+00, 4.428157077178611623e+00, 4.960113696975072983e+00, 4.448574578823538239e+00
1.956000000000000000e+03, 2.516166216578247461e+00, 4.891061833416702420e+00, 4.248976640767132551e+00, 2.354627080155235586e+00, 3.853710208053665820e+00, 4.564858436763663541e+00, 3.783390932789147065e+00, 4.165747363805975212e+00, 4.155355396328328510e+00, 6.461078660483654090e+00, 5.187758033894491305e+00, 4.779888709762402321e+00, 3.080281531422797148e+00, 4.395674737600823612e+00, 4.920635468914388966e+00, 4.382109169730678211e+00
1.957000000000000000e+03, 2.463065665534144077e+00, 4.391477291303158559e+00, 4.134536820848051519e+00, 2.320433937595577145e+00, 3.597245262979820613e+00, 4.463905619989556151e+00, 3.863095897017582825e+00, 3.964232922556937044e+00, 4.374178343860570806e+00, 5.898836585620427009e+00, 4.926425904643556564e+00, 5.032282281598465801e+00, 2.847383655417326853e+00, 4.551870239219668157e+00, 4.533503431948938456e+00, 4.467062901007767373e+00
1.958000000000000000e+03, 2.475130885320637297e+00, 4.735539151461400031e+00, 4.227649131623381962e+00, 2.299738143385775757e+00, 3.371289955473761868e+00, 4.613651361400202155e+00, 3.358091593699681354e+00, 4.233069270339237633e+00, 4.198646466954832235e+00, 6.340422000277834869e+00, 4.955681506230557254e+00, 5.286021476911648698e+00, 2.804375817423602424e+00, 4.700120795146434993e+00, 5.219837636535674896e+00, 4.575923466459483890e+00
1.959000000000000000e+03, 2.550549789290861735e+00, 4.729829465614987072e+00, 4.147511681183202015e+00, 2.340486566439446747e+00, 3.379809331024343777e+00, 4.548444578090353296e+00, 3.776127771856938597e+00, 4.035463543920360330e+00, 4.532015576913086541e+00, 5.833884205543022006e+00, 4.689072101351932531e+00, 5.153417384582002825e+00, 2.787686584951494240e+00, 4.535197092289727117e+00, 4.968882282328591415e+00, 4.828406250098601582e+00
1.960000000000000000e+03, 2.684887349226313003e+00, 4.588151897875157204e+00, 4.190705162240409898e+00, 2.310982656699574811e+00, 3.534383589562315908e+00, 4.630927985079667408e+00, 3.606456961805571737e+00, 3.990561938360436489e+00, 4.592579842899676912e+00, 6.005975636120117755e+00, 5.185696543754084509e+00, 4.707050586292513827e+00, 2.937888445366246604e+00, 4.322930763670767007e+00, 4.858901039680056932e+00, 4.370015896040427172e+00
