year, EC-Earth3-Veg, TaiESM1, UKESM1-0-LL, IPSL-CM6A-LR, CMCC-ESM2, MPI-ESM1-2-LR, NorESM2-MM, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1
1.888000000000000000e+03, 1.356450273927315480e-10, 8.222410523932273770e-11, 7.757418760292358919e-14, 1.823452665187091971e-11, 1.114725369110986746e-10, 4.025959487378815263e-11, 1.437232653083194113e-10, 1.492511174348325049e-10, 1.838050976894511534e-10, 1.206744478457324611e-10
1.889000000000000000e+03, 1.360091501784742123e-10, 8.227365447704231648e-11, 8.018993583135320958e-14, 1.827776217376372234e-11, 1.118007889045365986e-10, 4.059665447757342598e-11, 1.496126171218987305e-10, 1.491156512923253712e-10, 1.896593676422657540e-10, 1.213935880761149212e-10
1.890000000000000000e+03, 1.366780240376907269e-10, 7.895120289146327871e-11, 8.321453704365094610e-14, 1.829766789668976730e-11, 1.089390020929458326e-10, 3.953133865027381000e-11, 1.509492131273359097e-10, 1.496626810671344373e-10, 1.976518830322370042e-10, 1.224160439281177137e-10
1.891000000000000000e+03, 1.273125905901293963e-10, 7.887709509663461246e-11, 8.405781527713947607e-14, 1.740492060585073537e-11, 1.093174897024955897e-10, 3.892706090177222926e-11, 1.518249101270765808e-10, 1.459194966494946351e-10, 1.897820868837656004e-10, 1.125148243725081748e-10
1.892000000000000000e+03, 1.260923373804599126e-10, 7.900877051482337857e-11, 9.316186456735342957e-14, 1.729731130200817468e-11, 1.096829467493959314e-10, 3.840567083090898807e-11, 1.542784617040590624e-10, 1.462669900647117450e-10, 1.852352063967004511e-10, 1.118208164217944781e-10
1.893000000000000000e+03, 1.262890074624509728e-10, 7.907261633325844388e-11, 1.010468970419487130e-13, 1.721678631805724218e-11, 1.097971995742260833e-10, 3.863414203457173577e-11, 1.593697173529292223e-10, 1.472023835123936753e-10, 1.802569813166282871e-10, 1.115640059384040339e-10
1.894000000000000000e+03, 1.279283739659798672e-10, 7.899586112412556634e-11, 3.394756483036335059e-13, 1.719081097508636413e-11, 1.105375862534017556e-10, 3.890206165375482693e-11, 1.547645648119475534e-10, 1.481324684261769058e-10, 1.833403483605163602e-10, 1.104716890983896765e-10
1.895000000000000000e+03, 1.276918932957263760e-10, 7.889171686698351644e-11, 7.900757210058043842e-13, 1.708583620598649315e-11, 1.109134356742248041e-10, 3.882109340282004538e-11, 1.547875067342737646e-10, 1.488557342683063421e-10, 1.941922829958454174e-10, 1.112033650025475597e-10
1.896000000000000000e+03, 1.292520743816241584e-10, 7.886908677909837145e-11, 9.842814847444278998e-13, 1.701394296797841941e-11, 1.101549460136976466e-10, 3.869630542047831585e-11, 1.543961418662173787e-10, 1.492691990280045373e-10, 1.932681694988026707e-10, 1.109189840769101401e-10
1.897000000000000000e+03, 1.313073941626155059e-10, 7.886777437921667615e-11, 1.092497439397763942e-12, 1.698474500765354500e-11, 1.101353139001232949e-10, 3.859155550146507482e-11, 1.511085237370467892e-10, 1.496747060405485239e-10, 1.965508433992610932e-10, 1.103176306134584183e-10
1.898000000000000000e+03, 1.306447526157720185e-10, 7.892734698564791798e-11, 1.157606470740812833e-12, 1.701315180440974012e-11, 1.107045074630208881e-10, 3.890490109165958775e-11, 1.486040978910095028e-10, 1.499044330871340560e-10, 2.016099078646329663e-10, 1.111781224180424371e-10
1.899000000000000000e+03, 1.313565029335246932e-10, 7.888961014603692075e-11, 1.250611575247709251e-12, 1.698254322201831065e-11, 1.110040511593327416e-10, 3.908145095635523005e-11, 1.486623604269559414e-10, 1.499891010586664231e-10, 1.997804206426977944e-10, 1.119627502413511448e-10
1.900000000000000000e+03, 1.327593731076562728e-10, 1.153240920276911044e-10, 1.913430022603860795e-12, 1.696385302395122787e-11, 1.488725597152791630e-10, 5.892575872597842905e-11, 1.478068689981091686e-10, 1.500813306967664567e-10, 2.012318340980834047e-10, 1.124071483676688941e-10
1.901000000000000000e+03, 2.492865337071348449e-10, 1.172695123859199535e-10, 2.843498859930826192e-12, 3.041025088576013191e-11, 1.501176127347255616e-10, 7.280644174029745042e-11, 1.987739459116882774e-10, 2.091338517389822076e-10, 2.757072428738468546e-10, 2.160030369120538139e-10
1.902000000000000000e+03, 2.355568602167961630e-10, 1.191133907965730122e-10, 4.631309374061400447e-12, 3.123375292898394653e-11, 1.504470488192102718e-10, 7.720206693899456379e-11, 2.018702885473577493e-10, 2.128066152627776293e-10, 2.832881553216425245e-10, 2.236602192460069103e-10
1.903000000000000000e+03, 2.390791502324668621e-10, 1.206662491415313861e-10, 8.969245156725737305e-12, 3.205025046532482234e-11, 1.517381241726528214e-10, 7.995951924874421031e-11, 2.061997971275091953e-10, 2.149335070161363451e-10, 2.861504560123031162e-10, 2.309178353763569809e-10
1.904000000000000000e+03, 2.440827360782457297e-10, 1.221500031193324045e-10, 1.282219592398912804e-11, 3.288943890021956296e-11, 1.536967414965324776e-10, 8.233901686765728460e-11, 2.168095033224758476e-10, 2.175265299197753948e-10, 2.936958622454054433e-10, 2.345401740393515236e-10
1.905000000000000000e+03, 2.442281470361546067e-10, 1.237257188108720671e-10, 1.588035406828181295e-11, 3.373148023340582887e-11, 1.540588824055109456e-10, 8.470664398577708064e-11, 2.234603878960595999e-10, 2.192790402078929569e-10, 2.962995603212884837e-10, 2.362881691651364653e-10
1.906000000000000000e+03, 2.449382212664522042e-10, 1.250714803888274289e-10, 2.302326095121681048e-11, 3.454680098484013282e-11, 1.544464845893919130e-10, 8.674036957979364095e-11, 2.193487339001552191e-10, 2.210146284124158687e-10, 2.884525708806545242e-10, 2.417962205688823997e-10
1.907000000000000000e+03, 2.459817613913434795e-10, 1.258745298300042948e-10, 3.124969382321183796e-11, 3.544894574697822349e-11, 1.555335803662349951e-10, 8.831831577352926604e-11, 2.266353254600325570e-10, 2.218302296282679424e-10, 2.869596698349441612e-10, 2.486286258206553722e-10
1.908000000000000000e+03, 2.467389438410535006e-10, 1.266458436119922722e-10, 3.867088360163445090e-11, 3.635041835268409120e-11, 1.565726443910754677e-10, 9.047633065042583689e-11, 2.235256686249141532e-10, 2.232921949162517297e-10, 2.840373915002586544e-10, 2.512883526876495097e-10
1.909000000000000000e+03, 2.374927488383266470e-10, 1.274960543630952557e-10, 4.624644909178358003e-11, 3.718327934723813672e-11, 1.579237147003854771e-10, 9.325766469421354423e-11, 2.163484094740767646e-10, 2.255550119992428815e-10, 2.864566161914416698e-10, 2.493406772818070302e-10
1.910000000000000000e+03, 2.423206924136052039e-10, 8.190160840069589871e-11, 3.468762815467404326e-11, 3.795000918805296671e-11, 1.175656516284916656e-10, 5.506612745075629096e-11, 2.191572225953474598e-10, 2.282469003871256262e-10, 2.910217780618783047e-10, 2.480821280469994962e-10
1.911000000000000000e+03, 4.429318149941559786e-11, 7.936066045606284240e-11, 1.715358995438400533e-11, 1.419415729497968156e-11, 1.145615644952557942e-10, 2.822047548161850588e-11, 1.620019029514219601e-10, 1.447191140770068036e-10, 2.031894227565356537e-10, 9.583098657671307027e-11
1.912000000000000000e+03, 4.350723014648309852e-11, 7.782327385087529649e-11, 1.037777949437783427e-11, 1.301077274091080117e-11, 1.134962235738450015e-10, 2.210252696315344138e-11, 1.677347294210855271e-10, 1.408738767800399663e-10, 1.988685492573234969e-10, 8.696585685952996296e-11
1.913000000000000000e+03, 4.193285373988655897e-11, 7.568961904775274153e-11, 7.545584189849061914e-12, 1.181599620559257940e-11, 1.105865468275051639e-10, 1.919219832268009967e-11, 1.667823039659346378e-10, 1.372677026812085018e-10, 1.889223690111326066e-10, 7.781019534296432354e-11
