year, MPI-ESM1-2-LR, INM-CM5-0, EC-Earth3-Veg, CanESM5, CESM2-WACCM, INM-CM4-8, UKESM1-0-LL, NorESM2-MM, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR
1.874000000000000000e+03, 1.701393810746241630e+00, 1.570280650713766990e+00, 1.359405837093720759e+00, 1.491298551973962994e+00, 1.455765075603710601e+00, 1.591105229405607835e+00, 1.581843155754498298e+00, 1.375113884775681417e+00, 1.456619502731893556e+00, 1.712531834213443460e+00, 1.620002075218172743e+00, 1.456240227074972804e+00, 1.948697646183442433e+00, 1.473885705639095489e+00, 1.709715369892986114e+00, 1.558011711377289332e+00
1.875000000000000000e+03, 1.774201637120166319e+00, 1.608656793422094111e+00, 1.281319918463743379e+00, 1.533623700939195533e+00, 1.479462225093914229e+00, 1.582134822503798555e+00, 1.564676433669499600e+00, 1.388686207484820523e+00, 1.496064572866667497e+00, 1.703151448889596686e+00, 1.504371262224705852e+00, 1.406292324870608734e+00, 1.899508096477503072e+00, 1.517622142083173475e+00, 1.739291131253329015e+00, 1.655261877639395696e+00
1.876000000000000000e+03, 1.696628735445702141e+00, 1.607260888195324311e+00, 1.243230494279061737e+00, 1.367933061979299092e+00, 1.531888736731443545e+00, 1.537912381673383511e+00, 1.659079403932342656e+00, 1.340963646552359556e+00, 1.480694897746761329e+00, 1.688034754977580931e+00, 1.532070977632619124e+00, 1.442879938296774300e+00, 1.816870413353704361e+00, 1.504258094490838360e+00, 1.739592565754555675e+00, 1.637207600183610223e+00
1.877000000000000000e+03, 1.670505867069944195e+00, 1.539331138566312207e+00, 1.286487089284948704e+00, 1.559256808569571051e+00, 1.440158085041921776e+00, 1.601519572083757392e+00, 1.576321755302464656e+00, 1.399270623834314664e+00, 1.436786851711918223e+00, 1.728480116956849999e+00, 1.516087373054117116e+00, 1.422775548178479177e+00, 1.894311914993604296e+00, 1.554198058277322048e+00, 1.722815570141687180e+00, 1.719146402069068991e+00
1.878000000000000000e+03, 1.802889028898019497e+00, 1.562151132510610108e+00, 1.281081310135032680e+00, 1.435095924418970714e+00, 1.452216856613113061e+00, 1.616047221665292577e+00, 1.510842149437215287e+00, 1.449372110483908571e+00, 1.364649653917843874e+00, 1.735475867739297851e+00, 1.569001336414057812e+00, 1.452021511360703121e+00, 1.874768895437258998e+00, 1.524281059235225166e+00, 1.701277341471030935e+00, 1.629743625926226791e+00
1.879000000000000000e+03, 1.769291722085542862e+00, 1.580666317688557809e+00, 1.311309684227937700e+00, 1.515020671151321219e+00, 1.503991291342527514e+00, 1.543418437963115508e+00, 1.369498587620728181e+00, 1.453141850236577826e+00, 1.443321206148547642e+00, 1.766002013379958324e+00, 1.503965255524413402e+00, 1.461915185865796385e+00, 1.989807387906594283e+00, 1.481949778287680930e+00, 1.760369664337734230e+00, 1.708545617126843608e+00
1.880000000000000000e+03, 1.701488942807520610e+00, 1.673997927483554582e+00, 1.419737118963021016e+00, 1.457601274567910332e+00, 1.501025941830029797e+00, 1.649562136975331050e+00, 1.543118481414339938e+00, 1.392164966033912821e+00, 1.489528869790462062e+00, 1.681098729288116989e+00, 1.663725877995898994e+00, 1.452825677464066656e+00, 1.999601486027767328e+00, 1.477106472797477199e+00, 1.658344908491134362e+00, 1.620888190312775645e+00
1.881000000000000000e+03, 1.717225381258319139e+00, 1.628826312168401680e+00, 1.257459109525270957e+00, 1.553629540302589929e+00, 1.444739927075304298e+00, 1.566258364691983207e+00, 1.540412417974116543e+00, 1.400076689334564195e+00, 1.420109685906148389e+00, 1.686843411114226310e+00, 1.537094699018732191e+00, 1.434676817429673124e+00, 1.876196710299463444e+00, 1.454523886398315868e+00, 1.663187349044365826e+00, 1.691849544413314366e+00
1.882000000000000000e+03, 1.744032252384707160e+00, 1.588138887802621912e+00, 1.286176917893533389e+00, 1.363728165590238461e+00, 1.488953017650039845e+00, 1.653025789890941510e+00, 1.472621836706815346e+00, 1.372277536206998105e+00, 1.342067661786139343e+00, 1.761761373538257347e+00, 1.498347900731447302e+00, 1.463343294771538794e+00, 1.846476386465468522e+00, 1.443621534727869138e+00, 1.725726301432132015e+00, 1.596963738925853971e+00
1.883000000000000000e+03, 1.837422011769679342e+00, 1.562592463386017316e+00, 1.281605597897013116e+00, 1.434068500108974131e+00, 1.434149641971973033e+00, 1.602639874863645675e+00, 1.535460729187352324e+00, 1.361653003174349230e+00, 1.409533371775277155e+00, 1.741982789969546586e+00, 1.641290914196532613e+00, 1.504484807778158073e+00, 1.959668764492892290e+00, 1.417700389490614610e+00, 1.709718585405294977e+00, 1.615782783271634493e+00
1.884000000000000000e+03, 1.652215376705747252e+00, 1.538840970575553468e+00, 1.272059210228173365e+00, 1.480816480433141180e+00, 1.398157806541713732e+00, 1.514028579842810807e+00, 1.587896111318680470e+00, 1.370374121819958546e+00, 1.375218186852179114e+00, 1.738306538034446458e+00, 1.436611071756206170e+00, 1.407639325715532408e+00, 1.895977940861069078e+00, 1.420527097528825333e+00, 1.715015005142097593e+00, 1.550232418476658269e+00
1.885000000000000000e+03, 1.881117673557463732e+00, 1.566134968401065253e+00, 1.389477314425824339e+00, 1.440613809650808097e+00, 1.439540698945720676e+00, 1.530565992392485031e+00, 1.550675309223140674e+00, 1.322201652635870639e+00, 1.370507232258566077e+00, 1.692589014488523613e+00, 1.591142336566301552e+00, 1.448080512592092806e+00, 1.768231033535980989e+00, 1.464781514261818129e+00, 1.673034235607863129e+00, 1.514050885332123730e+00
1.886000000000000000e+03, 1.725493581068783255e+00, 1.576883085255471384e+00, 1.338159865943848947e+00, 1.477211988451177849e+00, 1.517212407416779651e+00, 1.575785919144654601e+00, 1.483845392712525690e+00, 1.363168782603089380e+00, 1.382988389097866699e+00, 1.682384650966827655e+00, 1.545013705743578880e+00, 1.417810183732385321e+00, 1.878236049797686436e+00, 1.457973900321194005e+00, 1.716575366215010945e+00, 1.615749207237788587e+00
