year, TaiESM1, CMCC-CM2-SR5, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, NorESM2-LM, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1, CanESM5, INM-CM4-8, EC-Earth3-Veg, INM-CM5-0, CESM2-WACCM
1.875000000000000000e+03, 2.567542031654400958e+01, 3.561273265516968678e+01, 3.128286348319212351e+01, 6.503367979124718090e+01, 7.264475227982927663e+01, 1.195636755515036143e+01, 4.159020841397469326e+01, 5.241049774888914925e+01, 5.150122257226168898e+01, 4.004544356337446231e+01, 5.369611545850769119e+01, 4.715920425088630452e+01, 5.298386578530099911e+01, 2.097248648685359029e+01, 5.255474970482539732e+01, 5.810662353668982405e+01
1.876000000000000000e+03, 2.578661565432874525e+01, 3.554387804141258300e+01, 3.119863022904358019e+01, 6.484396058037299326e+01, 7.259018001999099567e+01, 1.201175245406297520e+01, 4.155306907683100803e+01, 5.246462139338964192e+01, 5.127781410858870714e+01, 4.019321024300903389e+01, 5.358008924392186145e+01, 4.718820567539195565e+01, 5.293079869823867512e+01, 2.078919818780149953e+01, 5.254200454069491855e+01, 5.800788055631792872e+01
1.877000000000000000e+03, 2.578990497502819323e+01, 3.559198528581654131e+01, 3.103658678313900410e+01, 6.474830304521219659e+01, 7.255392889379476173e+01, 1.205649700837497207e+01, 4.159210243920128391e+01, 5.237963483679547494e+01, 5.111807491541065218e+01, 4.015539578227111406e+01, 5.349892280131985700e+01, 4.720746388729367027e+01, 5.290706851057225180e+01, 2.048545816317585633e+01, 5.254988266516642170e+01, 5.790399281508621243e+01
1.878000000000000000e+03, 2.575954229693441633e+01, 3.568474961595500616e+01, 3.111065352451762323e+01, 6.474964316936649311e+01, 7.258689447903842051e+01, 1.206165235819034187e+01, 4.173595033485975137e+01, 5.213314697328904401e+01, 5.118365920414446890e+01, 4.019546783489778363e+01, 5.356692327187601421e+01, 4.727678903316424197e+01, 5.293234249201258024e+01, 2.035003576271462222e+01, 5.263654874684878848e+01, 5.785111836153549802e+01
1.879000000000000000e+03, 2.570192151464942754e+01, 3.550757783759132025e+01, 3.114765784245716063e+01, 6.473649515464420290e+01, 7.260260417134159638e+01, 1.207632032754924722e+01, 4.187459373964943410e+01, 5.188943245140926308e+01, 5.117218504412299751e+01, 3.998544064392156372e+01, 5.350697856105404782e+01, 4.724402189675828367e+01, 5.298692883808279674e+01, 2.021132333990055940e+01, 5.267366029963738328e+01, 5.776951395778676357e+01
1.880000000000000000e+03, 2.580463338378970306e+01, 3.540716703644626051e+01, 3.117964623832527238e+01, 6.472448392428066199e+01, 7.261063627728042036e+01, 1.212530928535496066e+01, 4.175607995870360156e+01, 5.169958736890170314e+01, 5.102474450464533362e+01, 3.991056550338996800e+01, 5.343769008256474962e+01, 4.735109427122558401e+01, 5.300874106320390666e+01, 2.000657912312105680e+01, 5.273572457473433417e+01, 5.754873921845373275e+01
1.881000000000000000e+03, 2.582571141593304986e+01, 3.538426588215085644e+01, 3.116670238669209780e+01, 6.452825372388409164e+01, 7.261482983899516341e+01, 1.212262495115531635e+01, 4.189603245271456444e+01, 5.152986274023918156e+01, 5.099285732953178041e+01, 3.977520145955450914e+01, 5.354628402527769282e+01, 4.748667605319841556e+01, 5.298492491490020484e+01, 1.995041446983484335e+01, 5.282675795586876433e+01, 5.757114970090011496e+01
1.882000000000000000e+03, 2.570333826176777237e+01, 3.533348245991550129e+01, 3.106703785333140644e+01, 6.438344337444559073e+01, 7.266827376450729048e+01, 1.206683367897495884e+01, 4.215431565034919004e+01, 5.133027941988338938e+01, 5.093391068179766989e+01, 3.971659521596541964e+01, 5.338898607438942179e+01, 4.756194457668038922e+01, 5.310929536424343667e+01, 1.974950227745505416e+01, 5.274438114675727007e+01, 5.766044003978842625e+01
1.883000000000000000e+03, 2.556365296575442514e+01, 3.530986511737567213e+01, 3.096837907186494832e+01, 6.442873307064421340e+01, 7.276347883060415711e+01, 1.199496778968226707e+01, 4.199869354936247845e+01, 5.129417293811139444e+01, 5.092460487553926640e+01, 3.971313765792788786e+01, 5.333765437100714735e+01, 4.749292376397588100e+01, 5.320548644558747498e+01, 1.963120820310956915e+01, 5.270022592118743177e+01, 5.751360388911890453e+01
1.884000000000000000e+03, 2.561399870763090902e+01, 3.508427290842565327e+01, 3.083853102408622249e+01, 6.441903374551652917e+01, 7.288496343384561271e+01, 1.191419617082315341e+01, 4.191084633095276502e+01, 5.127696551029481498e+01, 5.094868034458777828e+01, 3.974006381790208309e+01, 5.329767257462926011e+01, 4.743902813806646890e+01, 5.317225879697453905e+01, 1.967217256110794210e+01, 5.276055891703648371e+01, 5.749499664588785208e+01
