year, NorESM2-LM, EC-Earth3-Veg, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, MPI-ESM1-2-LR
1.913000000000000000e+03, 1.130673372128423970e-10, 2.235113920658909470e-10, 6.306040745291582542e-11, 3.969663125573640329e-10, 5.130824809079107107e-11, 1.145938317560334348e-10, 1.427391749882199513e-10, 3.086647857868840565e-10
1.914000000000000000e+03, 1.104316896663566030e-10, 2.446772001367458423e-10, 6.156260983245708679e-11, 3.713625041249630496e-10, 4.872832011107586335e-11, 1.117859274575374723e-10, 1.820156827152930712e-10, 3.228063669862197116e-10
1.915000000000000000e+03, 1.074981795236310536e-10, 2.689716084679523064e-10, 5.998973147110954858e-11, 3.665225989476805669e-10, 5.086207885230988474e-11, 1.089169101685176646e-10, 1.674346661201326835e-10, 3.286990157632878570e-10
1.916000000000000000e+03, 1.046377125801333491e-10, 2.676386650926685959e-10, 5.839673233712470986e-11, 4.030841488817161223e-10, 4.699867160787139398e-11, 1.061481747095540390e-10, 1.621884088067554000e-10, 3.250513870919416783e-10
1.917000000000000000e+03, 1.019452211956488506e-10, 2.616318072378756068e-10, 5.678753133327711900e-11, 3.727584826278970897e-10, 5.161235841487968140e-11, 1.031556497062572740e-10, 1.733695803797454955e-10, 3.256320559250925806e-10
1.918000000000000000e+03, 9.923007639023445587e-11, 2.450538903155336342e-10, 5.522811175371892975e-11, 3.523299820055042301e-10, 5.364950491285686054e-11, 1.001243172150957457e-10, 1.609915017942031043e-10, 3.232818698808234371e-10
1.919000000000000000e+03, 9.622754855227905892e-11, 2.184919390608968569e-10, 5.367291298047684629e-11, 3.736017547772917461e-10, 4.959697216519448762e-11, 9.718051997828722987e-11, 1.653974695550674508e-10, 3.141182097194572854e-10
1.920000000000000000e+03, 9.415475127855502475e-11, 2.696036286411624581e-10, 5.262895010586928092e-11, 3.633267473917825070e-10, 5.193440405470487694e-11, 9.506339041525254965e-11, 1.585057661039349878e-10, 3.194075480596928606e-10
1.921000000000000000e+03, 9.438920260844223927e-11, 2.637464535269910117e-10, 5.276471627938190209e-11, 4.024991963332767886e-10, 5.381670995729329385e-11, 9.528648004830124582e-11, 1.220962306399803393e-10, 3.259331242025864578e-10
1.922000000000000000e+03, 9.488004649512078206e-11, 2.885808622861150985e-10, 5.316777132326695413e-11, 4.238167085896453368e-10, 4.696794491630707081e-11, 9.576639268136324374e-11, 1.498005138276888580e-10, 3.132191589298716449e-10
1.923000000000000000e+03, 9.537646952300988215e-11, 2.680705860010937916e-10, 5.349694847411957579e-11, 3.277820989950611966e-10, 4.103229594589863985e-11, 9.623608803138937066e-11, 1.473087376379656268e-10, 3.301720079049657668e-10
1.924000000000000000e+03, 9.531467041268599048e-11, 2.809508631973027746e-10, 5.390810177984895042e-11, 3.598889801042757742e-10, 5.496548791161142010e-11, 9.688034068558226651e-11, 1.566657021422990802e-10, 3.349222090813008367e-10
1.925000000000000000e+03, 9.564557889658904748e-11, 2.515414146328291446e-10, 5.424331061750899965e-11, 3.526100764504093073e-10, 5.411317722681661370e-11, 9.743593800581300790e-11, 1.569843369609592721e-10, 3.261097799117415099e-10
1.926000000000000000e+03, 9.572722566781360080e-11, 2.544032771294490806e-10, 5.480537980057714382e-11, 3.485908294174088970e-10, 5.060878648778312485e-11, 9.790104852951978869e-11, 1.593333607548664493e-10, 3.189883002320283262e-10
1.927000000000000000e+03, 9.619585311903996749e-11, 2.662860684306180233e-10, 5.519698452550051286e-11, 3.743083174290967912e-10, 5.813917245846396199e-11, 9.837185405380618863e-11, 1.880868297578214843e-10, 3.251735738795427362e-10
1.928000000000000000e+03, 9.681319902617309775e-11, 2.803230576224083506e-10, 5.555705375394218809e-11, 4.047895135374523074e-10, 4.677662736779522584e-11, 9.907407724957857074e-11, 1.794662219966793660e-10, 3.364775425335922933e-10
1.929000000000000000e+03, 9.718456268075932132e-11, 2.403314811380724780e-10, 5.588246656386919749e-11, 4.236269510309914261e-10, 4.957864587228517327e-11, 9.983797296342197058e-11, 2.138363022223544781e-10, 3.315914859850134846e-10
1.930000000000000000e+03, 9.803531326450556088e-11, 2.584565925093532148e-10, 5.643531783606758799e-11, 4.153103761147120072e-10, 5.602370079863505640e-11, 1.010216170871135570e-10, 2.198860414249533495e-10, 3.299658711944076582e-10
1.931000000000000000e+03, 9.896481297188857018e-11, 2.772466500002268711e-10, 5.687865894986052767e-11, 4.481190061422049690e-10, 6.168815073181760994e-11, 1.022308463494445073e-10, 2.341266737404797111e-10, 3.338764641024694952e-10
1.932000000000000000e+03, 1.012092825503304002e-10, 2.528667040501596495e-10, 5.836795783489015993e-11, 3.567091512312439588e-10, 5.064176362053473543e-11, 1.038276252786416546e-10, 1.988733468193769776e-10, 3.531718386091767694e-10
1.933000000000000000e+03, 1.029081385649982544e-10, 2.552660812570747003e-10, 5.926598125339558064e-11, 3.851863789896095778e-10, 4.796000855381685863e-11, 1.054576054162692056e-10, 2.027742304566701703e-10, 3.649662932952707856e-10
1.934000000000000000e+03, 1.048168635312686503e-10, 2.960344805096330183e-10, 6.014721121967215112e-11, 3.632439524856335865e-10, 5.945871157425697623e-11, 1.072776443207723313e-10, 1.768761328173304463e-10, 3.789406633587460219e-10
1.935000000000000000e+03, 1.066026510078780271e-10, 3.069181054255644661e-10, 6.121873046343137616e-11, 3.525289441738411896e-10, 6.216208463739120340e-11, 1.092703676714092551e-10, 1.798797844280005242e-10, 3.853316355095580392e-10
1.936000000000000000e+03, 1.083002491925724143e-10, 2.892256216715658298e-10, 6.205229075942128422e-11, 3.699221705325376371e-10, 8.226658236077453515e-11, 1.110363188483593112e-10, 2.489917639148512119e-10, 3.891668129330873964e-10
1.937000000000000000e+03, 1.099793631220642304e-10, 2.791754732549720421e-10, 6.284967923385282255e-11, 3.556675308017412742e-10, 9.910414909093591623e-11, 1.128720925941805451e-10, 2.147768250821349277e-10, 3.856976889896521002e-10
1.938000000000000000e+03, 1.115805122823095851e-10, 3.498557405968202896e-10, 6.371000141157413060e-11, 3.924119782053590479e-10, 7.487858870398695277e-11, 1.142978239128278358e-10, 1.780255936152549624e-10, 3.892478175764979961e-10
1.939000000000000000e+03, 1.131793108025570931e-10, 3.101340570437986468e-10, 6.454246710963433746e-11, 5.065007488371305624e-10, 6.843387931315519936e-11, 1.158838769970509592e-10, 1.664731135575518138e-10, 3.887022870054411371e-10
1.940000000000000000e+03, 1.147076937715424574e-10, 2.781318931692198800e-10, 6.541151294330572376e-11, 4.299045196700379201e-10, 6.893146413315603876e-11, 1.175863661567081913e-10, 1.757297266670118538e-10, 4.080399048690713297e-10
1.941000000000000000e+03, 1.160901740228484800e-10, 3.173232389532301854e-10, 6.662314205605936412e-11, 3.947125038006130999e-10, 6.573023146459908344e-11, 1.195900010522490101e-10, 2.192211427557690183e-10, 4.093137983912030651e-10
