year, MIROC-ES2L, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, INM-CM4-8, CanESM5, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, CMCC-CM2-SR5, INM-CM5-0, TaiESM1, GFDL-ESM4, CNRM-ESM2-1
2.035000000000000000e+03, 1.056221672419581523e+02, 5.574466991872132837e+01, 6.113695859509643782e+01, 7.928346720685975413e+01, 1.331993619370679482e+02, 1.376086854106804367e+02, 1.073080617416345461e+02, 7.100279856822885449e+01, 9.749673779297445719e+01, 6.748236748719078548e+01, 5.713357870889030465e+01, 6.492906681386078560e+01, 1.377345262595788142e+02, 8.622073734422767188e+01, 4.291823109577113371e+01, 4.617729785094859807e+01
2.036000000000000000e+03, 1.058263422968374812e+02, 5.563717941790995525e+01, 6.074143311300957748e+01, 7.947858656446280179e+01, 1.345602941155422343e+02, 1.378535237010778758e+02, 1.071106723089255581e+02, 7.067542939852421569e+01, 9.720551930947506492e+01, 6.745113407132461703e+01, 5.661733505730580873e+01, 6.495263444666227315e+01, 1.384889173259177255e+02, 8.629062875673163546e+01, 4.261825908781703021e+01, 4.665147782631565576e+01
2.037000000000000000e+03, 1.057053784444736237e+02, 5.564532986737737730e+01, 6.058955840221776867e+01, 7.997475699408305161e+01, 1.358472855408909084e+02, 1.383333846123798594e+02, 1.069735218365470644e+02, 7.035936782221867247e+01, 9.690728790605692211e+01, 6.768525760732937613e+01, 5.605034779394147648e+01, 6.445241476381960410e+01, 1.393969889185088391e+02, 8.699746476098579251e+01, 4.250060006776489274e+01, 4.649189852161897818e+01
2.038000000000000000e+03, 1.058709951309304955e+02, 5.452682043821872782e+01, 5.954430503960629295e+01, 8.042356348275637856e+01, 1.366932643907738623e+02, 1.392088011437458590e+02, 1.063135345347762382e+02, 7.035759068341415912e+01, 9.664672368675122982e+01, 6.762775989666766918e+01, 5.597264844865161848e+01, 6.488654702491022874e+01, 1.396754351133789669e+02, 8.645977591921446503e+01, 4.232779028048316405e+01, 4.620319111789838473e+01
2.039000000000000000e+03, 1.060779084680939093e+02, 5.372592585695647216e+01, 5.954409780082053061e+01, 8.106623754148320415e+01, 1.373855248922831436e+02, 1.398114362340369325e+02, 1.059119750289507635e+02, 7.018025337884382964e+01, 9.623347027275730170e+01, 6.782501542143079121e+01, 5.590323422233041839e+01, 6.447358503672181484e+01, 1.398851743968168364e+02, 8.576712735953576328e+01, 4.236247414794689803e+01, 4.605175451468699777e+01
2.040000000000000000e+03, 1.065762577343181334e+02, 5.388814182280920306e+01, 5.898704969830355793e+01, 8.162070094912344587e+01, 1.375305963290217051e+02, 1.402921829249386860e+02, 1.060988400712086701e+02, 7.000971754637387789e+01, 9.613857383647319921e+01, 6.822482447272670925e+01, 5.638676423539253335e+01, 6.387579360898571679e+01, 1.407033172498341003e+02, 8.582778019510276124e+01, 4.224607968117879864e+01, 4.597364564422677091e+01
2.041000000000000000e+03, 1.070213927652500558e+02, 5.369723886164971560e+01, 5.907943277968318085e+01, 8.183039293569883910e+01, 1.373671126971179888e+02, 1.409221920664921868e+02, 1.059627536797761849e+02, 6.967645240699968667e+01, 9.576595133440677898e+01, 6.896399881450963676e+01, 5.612296498811232937e+01, 6.402929347523563308e+01, 1.413524966186986660e+02, 8.560642611803135082e+01, 4.202593411892789277e+01, 4.552612677169284439e+01
2.042000000000000000e+03, 1.070495358929005505e+02, 5.358835463057194914e+01, 5.875294874200066175e+01, 8.212015436437681615e+01, 1.378826222360161751e+02, 1.418471676060053142e+02, 1.053943438628016764e+02, 6.940072721019319602e+01, 9.551187192738508713e+01, 6.876275294289565920e+01, 5.606691755898395968e+01, 6.360029792454746200e+01, 1.420699640646259070e+02, 8.501880866281395299e+01, 4.159497219850905481e+01, 4.509866118236229937e+01
2.043000000000000000e+03, 1.071846711746094059e+02, 5.368858007206952010e+01, 5.901096909509426780e+01, 8.286424153357101829e+01, 1.382920711908026874e+02, 1.424166014918607175e+02, 1.047325474435842096e+02, 6.932321794281668303e+01, 9.521945728500723760e+01, 6.891334525144651479e+01, 5.582256342098352064e+01, 6.362895136155481168e+01, 1.421833110218269098e+02, 8.466886708680389972e+01, 4.156469961611358599e+01, 4.521615294244994487e+01
2.044000000000000000e+03, 1.077131401956963686e+02, 5.379430310004778448e+01, 5.810927729188062330e+01, 8.356333583923242259e+01, 1.392625925247139946e+02, 1.429509153460765845e+02, 1.039944424985479827e+02, 6.901972282451573903e+01, 9.488882007265770824e+01, 6.941125695817365227e+01, 5.528323900170416039e+01, 6.491689217560663394e+01, 1.424613958017542643e+02, 8.517764488073679274e+01, 4.146281881367280420e+01, 4.527966687142681224e+01
