year, ACCESS-ESM1-5, EC-Earth3-Veg, CESM2-WACCM, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, CanESM5, NorESM2-MM, MIROC-ES2L, TaiESM1, CNRM-ESM2-1, CMCC-CM2-SR5
2.027000000000000000e+03, 6.161905423382238567e+00, 6.222465878561386887e+00, 3.467986764169864067e+00, 3.176972798656374053e+01, 3.077010084100959109e+00, 1.422016565794682919e+01, 2.449788633615778366e+01, 2.214941769583267828e+01, 3.472110487885115671e+00, 3.662534877297851210e+01, 2.129714810562794991e+00, 2.640472093657416863e+01, 5.276409874872745931e+00
2.028000000000000000e+03, 6.049315052890832156e+00, 6.151946243140838710e+00, 3.474107379955638564e+00, 3.192374143628396155e+01, 3.016209224640816977e+00, 1.441108494427372122e+01, 2.459590277929104474e+01, 2.208321605448746183e+01, 3.339452683208333994e+00, 3.631459810863314885e+01, 2.327478014101803883e+00, 2.631404667561847432e+01, 5.729447808755726790e+00
2.029000000000000000e+03, 5.977332381244871762e+00, 5.976963086675132431e+00, 3.579742850903731011e+00, 3.185665538104566252e+01, 3.066308591850045673e+00, 1.440992052733534123e+01, 2.444447618138908140e+01, 2.204397225959591111e+01, 3.367843108219078729e+00, 3.623791980229387377e+01, 2.173082993218796943e+00, 2.639226656258984960e+01, 5.611103810410470238e+00
2.030000000000000000e+03, 6.098255335150273737e+00, 6.219882509787777458e+00, 3.699324950043211491e+00, 3.202700901456826443e+01, 3.135076381439118265e+00, 1.436729403518237014e+01, 2.449745437419403871e+01, 2.231374367086959865e+01, 3.444452693481939942e+00, 3.637540138775517562e+01, 1.884880133121226820e+00, 2.646045611807001663e+01, 5.685567659569247034e+00
2.031000000000000000e+03, 6.190255915155069566e+00, 6.095682210918380584e+00, 3.611356280519717910e+00, 3.223420936256302838e+01, 3.085474001400525967e+00, 1.412400472699292564e+01, 2.460349291598775423e+01, 2.284647927604465067e+01, 3.463500044417468171e+00, 3.646876698345436552e+01, 2.522014881377767193e+00, 2.629788900491756110e+01, 5.898536042910141219e+00
2.032000000000000000e+03, 6.144480381892509335e+00, 6.275827249274841257e+00, 3.641149282797530251e+00, 3.230564652635781897e+01, 3.110304156841594114e+00, 1.422479142487151549e+01, 2.467990797799021863e+01, 2.267182211058157293e+01, 3.405530813662354106e+00, 3.619411511875182441e+01, 2.360701321709290035e+00, 2.622866690084770269e+01, 5.705397082218439664e+00
2.033000000000000000e+03, 6.226889144479015314e+00, 6.373626966124059656e+00, 3.595769637112948836e+00, 3.231072988218929964e+01, 3.189879522486528618e+00, 1.400827003357917810e+01, 2.458764605979442663e+01, 2.296567337337718229e+01, 3.457449555105148509e+00, 3.603390783276346809e+01, 1.864265703499110360e+00, 2.640365578190734297e+01, 5.706275776568536351e+00
2.034000000000000000e+03, 6.259400024723579037e+00, 6.472783484464677883e+00, 3.688203158110740176e+00, 3.218828437201208459e+01, 3.071095894911078261e+00, 1.380508093234695899e+01, 2.459708033519386561e+01, 2.290794279589532323e+01, 3.428309766924886759e+00, 3.628484731765962579e+01, 2.432376460476168845e+00, 2.610842374122269760e+01, 5.595666373503548563e+00
2.035000000000000000e+03, 6.259785498517453917e+00, 6.346360554167202572e+00, 3.689760796279024202e+00, 3.219662001358655345e+01, 3.009492392251745141e+00, 1.358030795367305466e+01, 2.460068085019045014e+01, 2.299635100902654727e+01, 3.451669181021402188e+00, 3.650822345286083959e+01, 2.213298841021404062e+00, 2.611957393156584928e+01, 5.714821796937828324e+00
2.036000000000000000e+03, 6.241926992199174684e+00, 6.078101357962564677e+00, 3.667529499650593383e+00, 3.228806639833467784e+01, 3.062735587694707551e+00, 1.369505052359738251e+01, 2.484440980883093530e+01, 2.287099360421322558e+01, 3.554886443367636151e+00, 3.656130945314237124e+01, 2.198631509211014912e+00, 2.630765931580514305e+01, 5.686809292341252764e+00
2.037000000000000000e+03, 6.192565679224271591e+00, 6.110882780656951674e+00, 3.737397903069692884e+00, 3.227892516247048604e+01, 3.154116050193880749e+00, 1.357354291787915912e+01, 2.488275427640662585e+01, 2.269315296595770093e+01, 3.548214766748574611e+00, 3.638768650785146974e+01, 2.033264734365559434e+00, 2.669898872196347384e+01, 5.893586199438722417e+00
2.038000000000000000e+03, 6.085806569962660006e+00, 6.222667463180193259e+00, 3.620053176692443309e+00, 3.248440256246865232e+01, 3.299574809817356069e+00, 1.352457571424741190e+01, 2.472670471770749145e+01, 2.296670024745698413e+01, 3.409272292333572096e+00, 3.632484731593800831e+01, 2.383027661238342532e+00, 2.676036521078181707e+01, 5.579502017817946857e+00
2.039000000000000000e+03, 6.045040207461501502e+00, 6.034898030732464669e+00, 3.609041708000114479e+00, 3.253715425135006711e+01, 3.197409365713536733e+00, 1.347495434857246899e+01, 2.469604445773518364e+01, 2.314674740745362769e+01, 3.383832470015930571e+00, 3.636546873706851812e+01, 2.182276469656809770e+00, 2.663658973850820644e+01, 5.911303302036185592e+00
2.040000000000000000e+03, 6.126354835502051621e+00, 5.940628245300027643e+00, 3.687391209321415619e+00, 3.266968781129926924e+01, 3.078787002917940274e+00, 1.355633440760317221e+01, 2.465954733933304865e+01, 2.359241419662725647e+01, 3.398562069025232280e+00, 3.652353243680670403e+01, 2.211482294839389517e+00, 2.665315739748043455e+01, 5.919206814395991501e+00
2.041000000000000000e+03, 6.187543792388810360e+00, 6.263176253694745732e+00, 3.801410864611051821e+00, 3.286432242612497845e+01, 3.223303847852090342e+00, 1.368510111824848074e+01, 2.472194314500988099e+01, 2.405651948758952585e+01, 3.529125881029219869e+00, 3.670924757832187169e+01, 2.100706488390192028e+00, 2.663122253165106201e+01, 5.885634080947601099e+00
2.042000000000000000e+03, 6.149001975945740384e+00, 6.575485577030107720e+00, 3.708306335077335536e+00, 3.306607100139714106e+01, 3.162311971854304016e+00, 1.363485351031649806e+01, 2.467412121541703129e+01, 2.384989343480215496e+01, 3.536062979436625398e+00, 3.652547056861458685e+01, 2.325271967735100365e+00, 2.664306243549733466e+01, 5.975315537360218698e+00
2.043000000000000000e+03, 6.030598542054969258e+00, 6.254424184557980659e+00, 3.619541731239759308e+00, 3.308286356954552332e+01, 3.099786841424255091e+00, 1.352726659228669170e+01, 2.471205004615838519e+01, 2.429383301130175354e+01, 3.486245767325706346e+00, 3.662406702213688448e+01, 2.226934901312477066e+00, 2.662503076810333269e+01, 5.881430806941935430e+00
2.044000000000000000e+03, 5.934477200784014528e+00, 6.131939803603792427e+00, 3.625742783636683342e+00, 3.309085492156587094e+01, 3.133538433998038997e+00, 1.368839652181534916e+01, 2.480680682254540059e+01, 2.452883089045176490e+01, 3.511533596957674863e+00, 3.673867853423948304e+01, 2.007321804674051080e+00, 2.661567269851268236e+01, 5.408592577616246899e+00
2.045000000000000000e+03, 6.018843177055064331e+00, 6.200245228689637678e+00, 3.685306092893505969e+00, 3.315118375357912583e+01, 3.163085642127074770e+00, 1.380144588583994114e+01, 2.482090979770873673e+01, 2.459007716633623630e+01, 3.476338899739326305e+00, 3.676192050445147430e+01, 2.336753855206965991e+00, 2.676443089588613233e+01, 6.507347278672709123e+00
2.046000000000000000e+03, 6.196539886737514102e+00, 6.382512715236444478e+00, 3.804039207767207387e+00, 3.319723460961063921e+01, 3.136816079372769295e+00, 1.361509312743952371e+01, 2.489519104002870620e+01, 2.409509281929358693e+01, 3.515151141217284891e+00, 3.663070907009880983e+01, 2.416457872085399305e+00, 2.660238482489171830e+01, 6.110987479048112903e+00
2.047000000000000000e+03, 6.182507839573048614e+00, 6.366821815859873723e+00, 3.761742016624834761e+00, 3.318614231432573547e+01, 3.207003343326949363e+00, 1.350097523841317226e+01, 2.489105113421301851e+01, 2.427928212251991269e+01, 3.558297617024064330e+00, 3.645276671373634514e+01, 2.110881939759373882e+00, 2.666958664855723526e+01, 6.291960291199472088e+00
2.048000000000000000e+03, 6.190479135514741493e+00, 6.425054093615984563e+00, 3.774160684103791574e+00, 3.336646341599869459e+01, 3.237929729812432988e+00, 1.336233571397130504e+01, 2.502232560640776526e+01, 2.544604819913449845e+01, 3.520927724796672820e+00, 3.667400521213511411e+01, 1.705597469945190348e+00, 2.622640642534779332e+01, 6.046591951116941921e+00
2.049000000000000000e+03, 6.067101748425830721e+00, 6.611420179443851630e+00, 3.767882616651569538e+00, 3.344135980573764044e+01, 3.273502027683012017e+00, 1.333417821741363518e+01, 2.514611211922040113e+01, 2.565493645894459362e+01, 3.539045088880483192e+00, 3.691591411551619473e+01, 2.532734640491428824e+00, 2.653775081910483635e+01, 6.134210216628811274e+00
2.050000000000000000e+03, 6.014498099731991232e+00, 6.721053147394491667e+00, 3.875543810981080028e+00, 3.356369593154779096e+01, 3.070073217826184031e+00, 1.351850680229917145e+01, 2.505854851312602705e+01, 2.528460971950307368e+01, 3.580786368833217548e+00, 3.680633896750569534e+01, 2.513366405216284516e+00, 2.644461986347704396e+01, 6.274542089153268165e+00
2.051000000000000000e+03, 6.108684561024676718e+00, 6.440123277942602087e+00, 3.850989491861167568e+00, 3.387653744895356311e+01, 3.136004661982388697e+00, 1.352583788838231982e+01, 2.487049678269775299e+01, 2.485977239059937460e+01, 3.579463102715654710e+00, 3.671427398381610629e+01, 2.198775600298653377e+00, 2.632738191354215473e+01, 5.872705216611230128e+00
2.052000000000000000e+03, 6.143101239974817496e+00, 6.305711575468905039e+00, 3.684885204266932224e+00, 3.387362135492514170e+01, 3.180498145765413565e+00, 1.352398694655200018e+01, 2.483531691674212993e+01, 2.528554037348856554e+01, 3.545343227854452106e+00, 3.698508310787509856e+01, 2.071368199123541309e+00, 2.648977556517358423e+01, 6.303260911394825250e+00
2.053000000000000000e+03, 5.976454557006798396e+00, 6.860853406943507871e+00, 3.874113554455926867e+00, 3.377273345785809511e+01, 3.246949047522842857e+00, 1.340335783645547885e+01, 2.471952227506720234e+01, 2.607218864373252387e+01, 3.553808091791001988e+00, 3.717953820854535962e+01, 2.097739988398263922e+00, 2.644715645965785100e+01, 5.901213821586448027e+00
2.054000000000000000e+03, 5.935305920427017767e+00, 6.621189740306194338e+00, 4.022386309357964151e+00, 3.391434621660935278e+01, 3.204370996986820153e+00, 1.322507989645870374e+01, 2.487686845781654199e+01, 2.630941840206289228e+01, 3.491779050687766617e+00, 3.725498656516585072e+01, 2.108493949751104157e+00, 2.647746464852729886e+01, 5.899674284816920355e+00
2.055000000000000000e+03, 5.936301109399291676e+00, 6.582474265493059029e+00, 4.070637271866188733e+00, 3.413493230994338035e+01, 3.230837248392122607e+00, 1.316085890517564394e+01, 2.479655046177697386e+01, 2.590776834865337008e+01, 3.615512421237208507e+00, 3.720944831251359375e+01, 2.315255490478217215e+00, 2.656299200656211212e+01, 6.250007252882308073e+00
2.056000000000000000e+03, 5.931155588530389267e+00, 6.698888452756331269e+00, 3.880322002766541711e+00, 3.403666163215464024e+01, 3.135895051019775170e+00, 1.317648231840793471e+01, 2.490900784711414317e+01, 2.595047817450567251e+01, 3.617857867629350466e+00, 3.710322453383635377e+01, 2.311872669002823510e+00, 2.664278089117936688e+01, 6.154371263297251815e+00
2.057000000000000000e+03, 5.823527693023266671e+00, 6.542851309224902323e+00, 3.953742714180912721e+00, 3.405944410891206786e+01, 3.244622755456927354e+00, 1.308692217007364711e+01, 2.500168419057938252e+01, 2.613978140266740979e+01, 3.548865349583044893e+00, 3.710694274036966078e+01, 2.063400483206498937e+00, 2.667513112809725229e+01, 6.350145208379593953e+00
2.058000000000000000e+03, 5.608461845079281360e+00, 6.694636967176235132e+00, 3.958211329045324245e+00, 3.397216442041690243e+01, 3.193322340698916850e+00, 1.289909654894298541e+01, 2.492252106011576984e+01, 2.621166022796596096e+01, 3.606643610763709873e+00, 3.709670920573395136e+01, 2.160540276205503485e+00, 2.650387658101427846e+01, 6.081005748487195106e+00
2.059000000000000000e+03, 5.663947994403444319e+00, 6.840959485045901900e+00, 3.755091427896928735e+00, 3.390529776421642794e+01, 3.136948417139380663e+00, 1.252601849839407855e+01, 2.505702058238253471e+01, 2.604634822442811526e+01, 3.652697855895702617e+00, 3.684324020600859484e+01, 1.877546835830355088e+00, 2.645142450005579349e+01, 6.440670746833163207e+00
2.060000000000000000e+03, 5.793715315048382664e+00, 6.649675159995759977e+00, 4.025534567341432890e+00, 3.387656021368871251e+01, 3.223296183839980511e+00, 1.244394331013170074e+01, 2.521951379139981952e+01, 2.606434743464775039e+01, 3.622784385132172602e+00, 3.683940691736400908e+01, 2.593105935993852196e+00, 2.654810089012021734e+01, 6.175665853373326186e+00
2.061000000000000000e+03, 5.814280189682183853e+00, 6.409638195569481667e+00, 4.011775559551042925e+00, 3.368462964814658989e+01, 3.278282505500568877e+00, 1.222363339012800232e+01, 2.523802658895096940e+01, 2.658055869467385435e+01, 3.639909388212698715e+00, 3.699338326488654616e+01, 2.859563116915146086e+00, 2.646182895806969526e+01, 5.965635990587314197e+00
2.062000000000000000e+03, 5.784936728921751481e+00, 6.636918788670050695e+00, 3.895088989918553679e+00, 3.376853891836630339e+01, 3.196397988664450907e+00, 1.223489140722460711e+01, 2.511602144026274175e+01, 2.631057018824489901e+01, 3.504273263199171762e+00, 3.711949707509051422e+01, 2.144823154529983178e+00, 2.623860034145902631e+01, 6.212202689536535871e+00
2.063000000000000000e+03, 5.848950959503257607e+00, 6.391618601420619328e+00, 3.908692349779611774e+00, 3.359728605756384212e+01, 3.221144667953260488e+00, 1.202076100094155109e+01, 2.509441462980719706e+01, 2.631834489383139086e+01, 3.696927393238341519e+00, 3.689530845089105071e+01, 1.840562077862283319e+00, 2.597935954257432201e+01, 6.309282865319392641e+00
2.064000000000000000e+03, 5.901248737648964848e+00, 6.573915123009794748e+00, 3.973078052466363363e+00, 3.356015892672618861e+01, 3.231750845335805700e+00, 1.197418286452117719e+01, 2.514989145992992903e+01, 2.655461404572999484e+01, 3.655489592774606500e+00, 3.696113549775635931e+01, 2.543292941159987830e+00, 2.607207542576741233e+01, 6.378021643146649211e+00
2.065000000000000000e+03, 5.798961638684111186e+00, 6.777342904930644174e+00, 3.994837068122038204e+00, 3.359696445779554352e+01, 3.336722314889166263e+00, 1.193817270236449346e+01, 2.509357850000490586e+01, 2.690029996332559037e+01, 3.629456215087239812e+00, 3.705858588176767654e+01, 2.553504865658330125e+00, 2.570042756232245651e+01, 6.257455089430828288e+00
2.066000000000000000e+03, 5.688097891373516291e+00, 6.911990231842151111e+00, 4.043282583019748522e+00, 3.356481393098466981e+01, 3.267998464796823210e+00, 1.161331036047813114e+01, 2.516621201722916368e+01, 2.739244967094887429e+01, 3.569806100681304883e+00, 3.714416500031705226e+01, 2.096538235321681931e+00, 2.577820588650684641e+01, 6.569057051773994793e+00
2.067000000000000000e+03, 5.446576685528306427e+00, 6.707838853673681712e+00, 4.066743709015164576e+00, 3.363467265288397812e+01, 3.274852512240348013e+00, 1.145313251668475374e+01, 2.515069004457614810e+01, 2.710654068127557537e+01, 3.517984426804878328e+00, 3.698311115395749482e+01, 2.021262733377105825e+00, 2.576192173544364650e+01, 6.659933887061916025e+00
2.068000000000000000e+03, 5.453719802911309422e+00, 6.359881966046085466e+00, 4.157528594737037508e+00, 3.365067140014699731e+01, 3.100185534492911010e+00, 1.151287083792833954e+01, 2.518741674370353678e+01, 2.653343211789715639e+01, 3.554461444347250421e+00, 3.708906601985433582e+01, 2.775935415579001031e+00, 2.559954959017063914e+01, 6.230656293505971277e+00
2.069000000000000000e+03, 5.317592565620429035e+00, 6.412535258772884994e+00, 3.964439707148637027e+00, 3.380217352111667850e+01, 3.164038528869952405e+00, 1.145331738621896278e+01, 2.506899241628220310e+01, 2.679410022244248424e+01, 3.641325394628766698e+00, 3.747492822547970803e+01, 2.267603340909975174e+00, 2.531097989887053501e+01, 5.608663035959140508e+00
2.070000000000000000e+03, 5.341528592623408400e+00, 6.671975746534303475e+00, 3.882549786663998415e+00, 3.359807698599266246e+01, 3.171049688097132169e+00, 1.109869258682315341e+01, 2.506822576677923564e+01, 2.740688319366224590e+01, 3.646913244926988984e+00, 3.768976353974229454e+01, 2.188929700638008846e+00, 2.508867283372974200e+01, 6.376987778836284093e+00
2.071000000000000000e+03, 5.264849192235105946e+00, 7.013266229177459010e+00, 3.980066914980237236e+00, 3.344976680560151294e+01, 3.277076765466687025e+00, 1.081089056133464155e+01, 2.485321105611610548e+01, 2.775256121090459871e+01, 3.588342441551822581e+00, 3.758592017400421526e+01, 1.771748652411085700e+00, 2.499250750201627724e+01, 7.095793502185620660e+00
2.072000000000000000e+03, 5.317183837540897073e+00, 6.737259879947945507e+00, 4.229075186711688694e+00, 3.352635269713393029e+01, 3.187677723277881459e+00, 1.083852357492020424e+01, 2.478336485586640237e+01, 2.812959284308696795e+01, 3.525399664007905720e+00, 3.758851591841606421e+01, 2.750256263484174291e+00, 2.508352920797283048e+01, 7.017603978726739911e+00
2.073000000000000000e+03, 5.318130636990351157e+00, 6.573136397956680810e+00, 4.169993494768991837e+00, 3.360547172837018337e+01, 3.194009985291191622e+00, 1.071605446196342193e+01, 2.476011160999052763e+01, 2.797351057433094468e+01, 3.570862725019086525e+00, 3.788475942683206910e+01, 2.286921543489891739e+00, 2.508009282688305674e+01, 6.897783122476826456e+00
2.074000000000000000e+03, 5.201169474026798412e+00, 7.004096481665273544e+00, 4.008741895264267718e+00, 3.368593099434372817e+01, 3.265149045540214789e+00, 1.030812999380004413e+01, 2.488087857943861536e+01, 2.767599085229260325e+01, 3.590633201892320159e+00, 3.815855520679428281e+01, 2.471838751366799425e+00, 2.494709387605484352e+01, 6.548929712206980724e+00
2.075000000000000000e+03, 5.238069354332179905e+00, 6.935668324579594035e+00, 3.949140216925667968e+00, 3.366454858489937862e+01, 3.335327860908407160e+00, 9.898094683038998198e+00, 2.483707834186975560e+01, 2.769134099597220811e+01, 3.589293194290942512e+00, 3.819493905315766114e+01, 2.062427880902650834e+00, 2.500658920984719913e+01, 6.040681254553712520e+00
2.076000000000000000e+03, 5.370841538081195132e+00, 6.604124725535774232e+00, 4.081556953741199756e+00, 3.343237649216715823e+01, 3.195954572907258040e+00, 9.881938348379391002e+00, 2.477566442685109749e+01, 2.766623441572194153e+01, 3.652177491343655547e+00, 3.799211715705202863e+01, 2.273618026593686281e+00, 2.481706433115303057e+01, 6.902361535243194623e+00
2.077000000000000000e+03, 5.286363382118683063e+00, 6.391769277283265716e+00, 4.179085430575500304e+00, 3.344367953868393073e+01, 3.290816404340340728e+00, 9.801662688823144620e+00, 2.493800721080689797e+01, 2.800337875603444715e+01, 3.512391699634458853e+00, 3.807998442018804752e+01, 2.090964764505470974e+00, 2.454853500932108545e+01, 7.338797916759785878e+00
2.078000000000000000e+03, 5.047362932017781745e+00, 6.972534312466215134e+00, 4.005484677446586872e+00, 3.353228600970101780e+01, 3.101737841380610927e+00, 9.711107622015672902e+00, 2.481671664988860471e+01, 2.832298431856835919e+01, 3.602239225027276337e+00, 3.843293836953338882e+01, 2.135847747145962039e+00, 2.436902510502636687e+01, 6.598627940977396023e+00
2.079000000000000000e+03, 4.971182279595226738e+00, 7.535280621393908973e+00, 4.067582923464120093e+00, 3.347393218235736612e+01, 3.342619688916378173e+00, 9.459657570356494460e+00, 2.483986165008975178e+01, 2.805389484191861627e+01, 3.649661041284006924e+00, 3.854078457339319641e+01, 2.052760572790403693e+00, 2.434864837756999734e+01, 6.249495319931103410e+00
2.080000000000000000e+03, 5.088382143033143734e+00, 7.005177614361716820e+00, 4.246782080157776029e+00, 3.350571607544878106e+01, 3.302084669101755132e+00, 9.508460190137423496e+00, 2.472210714588905844e+01, 2.840937681567992001e+01, 3.431383529489638207e+00, 3.851011064809421214e+01, 2.395290598197608922e+00, 2.419565967311104515e+01, 6.785173960460902265e+00
2.081000000000000000e+03, 5.087477157882560164e+00, 6.708890618086934765e+00, 4.239104443638628261e+00, 3.322439426602700507e+01, 3.184235220657864129e+00, 9.388173819872035253e+00, 2.473095330973471562e+01, 2.828509923196332920e+01, 3.543517942171987567e+00, 3.830303740267886070e+01, 2.317961274591361143e+00, 2.408176761314099323e+01, 6.500047045396917689e+00
2.082000000000000000e+03, 5.190532110929766851e+00, 6.953830830781546624e+00, 4.217825268188952315e+00, 3.311145648475066849e+01, 3.261676930005691144e+00, 9.198002467728887410e+00, 2.463009759739770388e+01, 2.760544961449963708e+01, 3.571853514224682336e+00, 3.828130434454782005e+01, 2.351197265968153705e+00, 2.418803058554886221e+01, 6.624317225991137370e+00
2.083000000000000000e+03, 5.189125643478704752e+00, 6.923355605553634717e+00, 4.137989442720662936e+00, 3.290371613328014178e+01, 3.178628198659930515e+00, 9.124638638428418602e+00, 2.449604521195808005e+01, 2.845273419739379150e+01, 3.523684448468033636e+00, 3.817231453450919787e+01, 2.107701433896032039e+00, 2.395115688763874218e+01, 6.914941978965385871e+00
2.084000000000000000e+03, 5.075306916224258558e+00, 6.480519793310816290e+00, 4.092674570275200097e+00, 3.291972581787025121e+01, 3.140723492731290367e+00, 9.037745348167160131e+00, 2.450444544516490097e+01, 2.877228838157594737e+01, 3.522295756669051592e+00, 3.816632138540926178e+01, 2.619981493535015193e+00, 2.365580511599283042e+01, 6.760798322293499751e+00
2.085000000000000000e+03, 5.155381990968705530e+00, 6.587276751095007654e+00, 4.239181156568172959e+00, 3.306974345358314338e+01, 3.181889823729584066e+00, 9.026157230853483426e+00, 2.423983387996756989e+01, 2.877087351023916639e+01, 3.494648736838879444e+00, 3.817082301908884290e+01, 2.454174676654418796e+00, 2.350395176468746428e+01, 6.534122235350758423e+00
2.086000000000000000e+03, 5.115919059628851073e+00, 6.620443989735738555e+00, 4.454351785822563414e+00, 3.306492522846967574e+01, 3.329697563914935987e+00, 8.783568580076080323e+00, 2.414043675464233019e+01, 2.892567858221811150e+01, 3.514240556982501928e+00, 3.822719955113101520e+01, 1.856728076678387129e+00, 2.347887531287722140e+01, 6.071751029741646377e+00
2.087000000000000000e+03, 5.187691128633592719e+00, 7.445731592640307817e+00, 4.238304237714703326e+00, 3.289493021303882614e+01, 3.284525569841050707e+00, 8.679913476926268245e+00, 2.437393464486615358e+01, 2.840060380994120237e+01, 3.586483106899747586e+00, 3.820072505003926722e+01, 2.103121539727303091e+00, 2.330165222790949642e+01, 7.295804446871185789e+00
2.088000000000000000e+03, 5.255301647142192500e+00, 6.896848264204588297e+00, 4.154394578630657975e+00, 3.281575443054492069e+01, 3.237286864185760837e+00, 8.675531397346583518e+00, 2.444858464802646481e+01, 2.867042581285235414e+01, 3.594781905656919907e+00, 3.837720411575347867e+01, 2.567339087918872664e+00, 2.336340582176922709e+01, 7.183078062937789277e+00
2.089000000000000000e+03, 5.143077929705899720e+00, 6.590100178208960102e+00, 4.439068654471864050e+00, 3.274194553462697144e+01, 3.178198141250049069e+00, 8.570365997818651493e+00, 2.447545448330929574e+01, 2.877439195789351345e+01, 3.537689656271606253e+00, 3.844526988470601481e+01, 2.221377706502812632e+00, 2.313605847204502197e+01, 6.937205428458141476e+00
