year, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-MM, TaiESM1, INM-CM4-8, GFDL-ESM4, INM-CM5-0, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
2.035000000000000000e+03, 8.566606716179261394e-01, 1.989996715948590955e+00, 1.007419180573135620e+00, 1.882425038315384658e+00, 1.488787561921669056e+00, 1.399695398014110470e+00, 1.549256038831097415e+00, 2.263521312659324547e+00, 1.421935440769391157e+00, 1.330238120939505331e+00, 1.146715156902950783e+00, 1.096366487415086466e+00, 1.785114383835812779e+00, 1.193936331739248180e+00, 9.109331235374394931e-01, 1.445048014438732986e+00
2.036000000000000000e+03, 9.277714174173600226e-01, 1.984106847513871008e+00, 9.777482301490604266e-01, 1.850402741525391637e+00, 1.537257724183782814e+00, 1.293122152166854111e+00, 1.554243066399490836e+00, 2.198758628334999798e+00, 1.402605624517569760e+00, 1.307038471656787992e+00, 1.153348769489921821e+00, 1.178951341919517448e+00, 1.789400339375365023e+00, 1.211355278280182191e+00, 9.458079299970838516e-01, 1.388918929265316127e+00
2.037000000000000000e+03, 8.899167747099144821e-01, 1.988137815711109591e+00, 9.412753336529831039e-01, 1.946329031027021594e+00, 1.518485823640229437e+00, 1.318416394850107753e+00, 1.546422127055246953e+00, 2.226303158506989899e+00, 1.415048495951465091e+00, 1.319996190441093065e+00, 1.147511907102390261e+00, 1.178445778587329018e+00, 1.856116130835186562e+00, 1.189497909630496508e+00, 9.364921956926662849e-01, 1.379902665470029710e+00
2.038000000000000000e+03, 8.749548803266763430e-01, 1.993558797957953654e+00, 9.716891599288540737e-01, 1.955696821363990034e+00, 1.518562636685392375e+00, 1.342435574310359980e+00, 1.501987034622564332e+00, 2.088103022579709478e+00, 1.394732527241645981e+00, 1.327350092062669740e+00, 1.120595194275318507e+00, 1.194186491087987578e+00, 1.854671308620814640e+00, 1.240386986392629121e+00, 8.959341614142899424e-01, 1.403463588367162229e+00
2.039000000000000000e+03, 8.635515476749578978e-01, 1.959428688607159685e+00, 1.001858702611309715e+00, 1.900802768860750058e+00, 1.506610608264121076e+00, 1.329864504694046046e+00, 1.512062878588068537e+00, 2.203382766221154920e+00, 1.428111463525951530e+00, 1.328422575368811254e+00, 1.145173646809315660e+00, 1.223974645607519784e+00, 1.854375110185743969e+00, 1.244633426311157365e+00, 8.551680330757878146e-01, 1.386818908222033686e+00
2.040000000000000000e+03, 8.622119512651515993e-01, 1.985390675443604147e+00, 1.038149565950654551e+00, 1.909574643573465513e+00, 1.458419681955433811e+00, 1.318065945485814794e+00, 1.542190656356039025e+00, 2.262987842799091265e+00, 1.473895897704184277e+00, 1.352796138212596588e+00, 1.178507329711734108e+00, 1.151725167823078433e+00, 1.858198092919645550e+00, 1.264309811154162189e+00, 9.106610505059691274e-01, 1.398064283718448486e+00
2.041000000000000000e+03, 8.234871492132963544e-01, 1.968263987340604260e+00, 1.054446101964388927e+00, 1.877957254619295302e+00, 1.450081681967484437e+00, 1.287074043429315751e+00, 1.513517336506425170e+00, 2.271706827067318191e+00, 1.498321000031806349e+00, 1.358936085991783838e+00, 1.183837044713202502e+00, 1.165531096169417635e+00, 1.850259922968111370e+00, 1.243276077558733927e+00, 9.205511986824138626e-01, 1.368531405910715204e+00
2.042000000000000000e+03, 8.101728788359571221e-01, 1.954310126299402928e+00, 1.029159289725442905e+00, 1.833341837711328415e+00, 1.495920250840882870e+00, 1.211254057839931786e+00, 1.515882622046916151e+00, 2.186050209260773425e+00, 1.429105545567987523e+00, 1.334719881380491024e+00, 1.144226273732079191e+00, 1.207908427954907937e+00, 1.931899330339630794e+00, 1.236437997166953906e+00, 9.327298520733826592e-01, 1.364154099696130551e+00
2.043000000000000000e+03, 8.452455453341639613e-01, 1.944921065430376794e+00, 1.044359468835692306e+00, 1.825804441950472201e+00, 1.482844819814418846e+00, 1.253102483217066521e+00, 1.520612512326544596e+00, 2.347227626698541236e+00, 1.474712010212945401e+00, 1.331698542985695344e+00, 1.110806739049881253e+00, 1.205613228519945457e+00, 1.883147146623418422e+00, 1.258276220007283674e+00, 9.710634965021182063e-01, 1.400910547108153770e+00
2.044000000000000000e+03, 8.794250972275671208e-01, 1.973748110235402420e+00, 1.019980554008104168e+00, 1.966537669838859026e+00, 1.493425970902906297e+00, 1.293045694396895762e+00, 1.500286191288115578e+00, 2.179041951744089545e+00, 1.488310962540966509e+00, 1.357163482174577496e+00, 1.098939347118929710e+00, 1.243606618342788961e+00, 1.889465430630093312e+00, 1.288182929274687805e+00, 9.749277068419829329e-01, 1.385487126268600822e+00
