year, NorESM2-MM, TaiESM1, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1, MIROC-ES2L, UKESM1-0-LL, EC-Earth3-Veg, CanESM5, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, CMCC-CM2-SR5
2.039000000000000000e+03, 9.283355303830431637e+01, 8.663329414226099345e+01, 1.059825329388634998e+02, 9.516403638144608124e+01, 1.356465417865159395e+02, 1.067319522600365502e+02, 2.359907849611730057e+02, 1.556127772026119089e+02, 2.380005732810346331e+02, 9.066916686280335114e+01, 1.201019440207521427e+02, 1.202468938224238286e+02, 1.888001253224694835e+02
2.040000000000000000e+03, 9.282817140554217872e+01, 8.655146945316154472e+01, 1.060433963276573479e+02, 9.517832918624500849e+01, 1.356532416759678199e+02, 1.069056707161143152e+02, 2.360964301162185848e+02, 1.554487680083702799e+02, 2.380607284287440848e+02, 9.086749316555261657e+01, 1.201305865498567016e+02, 1.202513832092036239e+02, 1.889654982691036480e+02
2.041000000000000000e+03, 9.289125374628703469e+01, 8.657151837217131174e+01, 1.061477407531435233e+02, 9.522263944916990397e+01, 1.356460288328296429e+02, 1.071264781364433389e+02, 2.361731282684352777e+02, 1.554444022401115149e+02, 2.381978504933269676e+02, 9.112102236204405870e+01, 1.201989546694570947e+02, 1.202478276582235708e+02, 1.890302607874669718e+02
2.042000000000000000e+03, 9.295525531643947659e+01, 8.656460952611723769e+01, 1.062520607017444689e+02, 9.528678549438298262e+01, 1.356915563998895777e+02, 1.072671525593630548e+02, 2.363010271100902173e+02, 1.555280427753028221e+02, 2.383985713659790804e+02, 9.137811957655250694e+01, 1.202298188840268693e+02, 1.202220441110523836e+02, 1.891884172582157362e+02
2.043000000000000000e+03, 9.300322023087591106e+01, 8.659961927201284482e+01, 1.063058532711279156e+02, 9.531429712139852484e+01, 1.356023487317818592e+02, 1.071970181383983061e+02, 2.362239093090718427e+02, 1.555390410179850278e+02, 2.384654039974434454e+02, 9.142541282972338479e+01, 1.201604969108041132e+02, 1.202127110273852111e+02, 1.893006652704244459e+02
2.044000000000000000e+03, 9.307429872746813260e+01, 8.645886003306100065e+01, 1.063577192053876672e+02, 9.534519643549516843e+01, 1.355164569023266665e+02, 1.072917195373044734e+02, 2.361121942057487502e+02, 1.554326182120277906e+02, 2.386159931197504136e+02, 9.155859981465418684e+01, 1.200092304528554195e+02, 1.202432980072864694e+02, 1.892242799154862212e+02
2.045000000000000000e+03, 9.311005266584220408e+01, 8.642302572759929546e+01, 1.064312793137793705e+02, 9.541516079819821528e+01, 1.356626515049674140e+02, 1.075499710705694412e+02, 2.362029316933178791e+02, 1.554055596448010022e+02, 2.387524967671508023e+02, 9.169912179791150209e+01, 1.199515932498420341e+02, 1.202426955631475067e+02, 1.893248568995141738e+02
2.046000000000000000e+03, 9.315027526869783969e+01, 8.665036197840881016e+01, 1.065554691153937341e+02, 9.548233076735856173e+01, 1.355697531378903022e+02, 1.075366386865849222e+02, 2.359131617291485554e+02, 1.554359756085325159e+02, 2.388729178254111787e+02, 9.180382146955892608e+01, 1.200884897390468780e+02, 1.202767184970229977e+02, 1.895778048973034231e+02
2.047000000000000000e+03, 9.322520798816688625e+01, 8.672318118567925183e+01, 1.066618892006259642e+02, 9.554009358385482642e+01, 1.356010312411769689e+02, 1.073929355915657595e+02, 2.359443957460947274e+02, 1.554597542385172915e+02, 2.389732431179035359e+02, 9.179773862699308040e+01, 1.201832203154548040e+02, 1.202640875072384290e+02, 1.897261775033944957e+02
2.048000000000000000e+03, 9.327431321259068397e+01, 8.627588442396425705e+01, 1.067453481505449560e+02, 9.562005186170652848e+01, 1.354339665108140878e+02, 1.075247588724429022e+02, 2.359816996546821315e+02, 1.554891164687356877e+02, 2.390662674859599974e+02, 9.200764880003114854e+01, 1.202495795532154261e+02, 1.203087741869631913e+02, 1.899150155457670337e+02
