year, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, TaiESM1, NorESM2-LM, NorESM2-MM, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg
2.040000000000000000e+03, 9.138454730321839632e-10, 7.653977196641229409e-10, 3.724146611231116999e-10, 3.724146611231116999e-10, 8.530631665867256492e-10, 9.138454730321839632e-10, 6.057686884143655145e-10, 7.242239244960212046e-10, 1.083423672237540906e-09, 9.877137238766103969e-10, 7.242239244960212046e-10, 1.017657228417678188e-09
2.041000000000000000e+03, 1.097514307854653352e-09, 8.801337643884506496e-10, 3.466813034383112398e-10, 3.466813034383112398e-10, 1.062466298657658552e-09, 1.097514307854653352e-09, 8.163507393262672503e-10, 6.670407824571731637e-10, 9.358437274377669174e-10, 8.380976121303332892e-10, 6.670407824571731637e-10, 1.097814946059490732e-09
2.042000000000000000e+03, 1.048548200256021404e-09, 7.960412947057660169e-10, 5.466670778868725733e-10, 5.466670778868725733e-10, 9.765940879523667711e-10, 1.048548200256021404e-09, 6.471665390520785661e-10, 4.803331330505299332e-10, 1.046118578319451255e-09, 9.459829276610453829e-10, 4.803331330505299332e-10, 8.074283588697639927e-10
2.043000000000000000e+03, 1.256632866886640237e-09, 8.772310412473435511e-10, 3.861857863953305239e-10, 3.861857863953305239e-10, 6.583073718864290658e-10, 1.256632866886640237e-09, 6.060501578989287569e-10, 6.678288908211458920e-10, 9.885133292785740961e-10, 8.879726368558129339e-10, 6.678288908211458920e-10, 9.457323444417697225e-10
2.044000000000000000e+03, 1.147737978184542358e-09, 9.433487633229908113e-10, 3.027167550925302685e-10, 3.027167550925302685e-10, 9.453428436797024088e-10, 1.147737978184542358e-09, 5.607934535991669125e-10, 7.034079500664833201e-10, 9.424989711338755726e-10, 8.410695870946079271e-10, 7.034079500664833201e-10, 1.380627847351018976e-09
2.045000000000000000e+03, 1.004880522367293707e-09, 8.084993025072193168e-10, 4.031169254860491066e-10, 4.031169254860491066e-10, 1.021478652669163830e-09, 1.004880522367293707e-09, 5.712266715086520725e-10, 5.756262470690204854e-10, 1.181941173874263762e-09, 1.079668413636008045e-09, 5.756262470690204854e-10, 8.822064464962695158e-10
2.046000000000000000e+03, 1.174022232514847079e-09, 8.629562333946817604e-10, 3.960378480943878818e-10, 3.960378480943878818e-10, 9.651309917182369608e-10, 1.174022232514847079e-09, 8.137093433667923200e-10, 5.638438579477360719e-10, 8.386800927150070833e-10, 7.362441584870772046e-10, 5.638438579477360719e-10, 9.007358786694967181e-10
2.047000000000000000e+03, 1.125651086259153054e-09, 8.040840041295305789e-10, 3.871919211981856506e-10, 3.871919211981856506e-10, 9.936444670836202244e-10, 1.125651086259153054e-09, 7.247839674544505722e-10, 3.680674239001893511e-10, 1.174518790445418335e-09, 1.071305430052370465e-09, 3.680674239001893511e-10, 7.950218453361273851e-10
2.048000000000000000e+03, 1.452170668894710561e-09, 8.217507330745594326e-10, 2.616193637530178197e-10, 2.616193637530178197e-10, 1.137424990939968639e-09, 1.452170668894710561e-09, 6.848209930885686239e-10, 4.976822340919562900e-10, 8.371381143344821653e-10, 7.325825827367827701e-10, 4.976822340919562900e-10, 7.359985839970353861e-10
2.049000000000000000e+03, 1.459821818350326688e-09, 8.686182447354527343e-10, 3.718290824657601451e-10, 3.718290824657601451e-10, 1.360725032378890277e-09, 1.459821818350326688e-09, 7.973958668922514851e-10, 6.332957548053315072e-10, 9.141165128235551789e-10, 8.103815947668388983e-10, 6.332957548053315072e-10, 9.960159208194610133e-10
