year, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CMCC-ESM2, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1
2.060000000000000000e+03, 4.417474793048902936e-10, 1.437155293613263196e-09, 3.555519843144109736e-10, 2.493225254090748325e-10, 4.031995735643493431e-10, 1.777951531924732073e-09, 2.725962057792875784e-09, 2.207713177582799910e-10
2.061000000000000000e+03, 4.539196940960542411e-10, 1.435662351893893403e-09, 3.381027590018737682e-10, 2.559803759529323778e-10, 4.135207923757643472e-10, 1.797605480546621304e-09, 2.628566023760273528e-09, 2.283951891512166706e-10
2.062000000000000000e+03, 4.635948929798276490e-10, 1.388313957095149101e-09, 3.363019144431350501e-10, 2.616649169072288695e-10, 4.144072819578045233e-10, 1.811607037054937332e-09, 2.797442971493687186e-09, 2.312601282569834136e-10
2.063000000000000000e+03, 4.716050317285177351e-10, 1.374179510387278098e-09, 3.428400623575061415e-10, 2.662439629962964504e-10, 4.107147740660907478e-10, 1.814115741259534874e-09, 2.740556015021670505e-09, 2.327028511019128451e-10
2.064000000000000000e+03, 4.780690404767040303e-10, 1.441097376805032078e-09, 3.533240984678229570e-10, 2.700467496190674679e-10, 4.218453721298569516e-10, 1.802893569782443172e-09, 2.760665289397875430e-09, 2.336538458528436636e-10
2.065000000000000000e+03, 4.816185280543960337e-10, 1.473018643740248604e-09, 3.659087701997249114e-10, 2.754703135342996352e-10, 4.392987489850087402e-10, 1.815895679428823612e-09, 2.900034461186026843e-09, 2.340933149283778400e-10
2.066000000000000000e+03, 4.897200156278949205e-10, 1.480873431255922234e-09, 3.609055694411522410e-10, 2.814165723025901202e-10, 4.350764788670942041e-10, 1.831729192745205608e-09, 3.021488121922173745e-09, 2.330385254685972990e-10
2.067000000000000000e+03, 5.006222994295798511e-10, 1.507320148412590534e-09, 3.632593746346533508e-10, 2.855930268256376830e-10, 4.036606247235335668e-10, 1.829531611274757625e-09, 2.971019891253190280e-09, 2.288706659152028109e-10
2.068000000000000000e+03, 5.085428993864742229e-10, 1.509127483624272707e-09, 3.705681899374752222e-10, 2.889436986780910152e-10, 4.174948918325250105e-10, 1.825381770461674712e-09, 2.901972600660116661e-09, 2.247818395690147322e-10
2.069000000000000000e+03, 5.144277113263153373e-10, 1.537825469399585510e-09, 3.803571730710341435e-10, 2.921642200800443894e-10, 4.165821103880719015e-10, 1.826682755047585956e-09, 2.810282744238498008e-09, 2.205809857492145447e-10
2.070000000000000000e+03, 5.198996011967875650e-10, 1.467100827783548462e-09, 3.814738656552547707e-10, 2.969707525065162716e-10, 4.232525081375245016e-10, 1.813608811430254608e-09, 2.803053726976063038e-09, 2.159541260239820906e-10
2.071000000000000000e+03, 4.935662172459669779e-10, 1.453712773385476200e-09, 3.403325626957416341e-10, 3.020528813490265417e-10, 4.166921926662950785e-10, 1.817413710466087755e-09, 2.806137008150062784e-09, 2.147833308913671949e-10
2.072000000000000000e+03, 4.845458854691902004e-10, 1.475829309021638779e-09, 3.212993215799597280e-10, 3.051707040312909344e-10, 4.231693016586750567e-10, 1.776734283235748747e-09, 3.016345120033766760e-09, 2.085822019064005683e-10
2.073000000000000000e+03, 4.811367957935615595e-10, 1.501146336816111887e-09, 3.228320230818157587e-10, 3.075242669264113269e-10, 4.379326026947219028e-10, 1.776154048172865934e-09, 3.098030418573591669e-09, 2.021735744658571801e-10
2.074000000000000000e+03, 4.800966999421426548e-10, 1.497156531821255748e-09, 3.306965589260814765e-10, 3.098177634096149834e-10, 4.518665873788920831e-10, 1.778146577400342325e-09, 3.023258623554990058e-09, 1.957182432943732083e-10
2.075000000000000000e+03, 4.823252157997396329e-10, 1.426264176452488295e-09, 3.246023493878382362e-10, 3.132953430105334729e-10, 4.355811694210130691e-10, 1.749004883169615986e-09, 3.123795649540512922e-09, 1.899940475764234963e-10
2.076000000000000000e+03, 4.586580323862194142e-10, 1.415849625314504110e-09, 2.843337090721862725e-10, 3.170592651111364431e-10, 4.481504436502847059e-10, 1.730747535175758432e-09, 3.091331382101743783e-09, 1.879384811296601681e-10
2.077000000000000000e+03, 4.510475462972653195e-10, 1.487379840362128502e-09, 2.652143661635016648e-10, 3.197422416287308526e-10, 4.540471665946848325e-10, 1.710388673112383475e-09, 3.048828764482897021e-09, 1.817306618557892381e-10
2.078000000000000000e+03, 4.482008286756245294e-10, 1.524302182669620366e-09, 2.577608513593068407e-10, 3.215584640966662046e-10, 4.190820110326030326e-10, 1.693830491926869098e-09, 3.159474675983785228e-09, 1.750868367321542804e-10
2.079000000000000000e+03, 4.453799667231186136e-10, 1.549604054619300127e-09, 2.568962241603794680e-10, 3.230763400949773604e-10, 4.800099225986261879e-10, 1.699313301305065615e-09, 3.050944443196421661e-09, 1.688542040655281244e-10
2.080000000000000000e+03, 4.435346473249315563e-10, 1.525903435650383963e-09, 2.613473705222899052e-10, 3.233037904693534865e-10, 4.634896356840276465e-10, 1.685759682293780730e-09, 3.029461542024167037e-09, 1.629868555448869251e-10
2.081000000000000000e+03, 4.182551257822677640e-10, 1.475780926288374471e-09, 2.471537299401812341e-10, 3.223753437680004756e-10, 5.051239962530165220e-10, 1.687835152754529162e-09, 3.072615627589308102e-09, 1.619790797356963084e-10
2.082000000000000000e+03, 4.078701263373855082e-10, 1.489006250201768432e-09, 2.447808772283971970e-10, 3.213794009220055950e-10, 4.793936253031118088e-10, 1.677450617311413515e-09, 3.315317116365408171e-09, 1.583924255160128495e-10
2.083000000000000000e+03, 4.021172128318196187e-10, 1.483592055155762241e-09, 2.486670537217259970e-10, 3.202586782105478781e-10, 5.080595751384444645e-10, 1.680869290996333825e-09, 3.181082555646800488e-09, 1.547495322388092368e-10
2.084000000000000000e+03, 3.980980666909240701e-10, 1.531160048188898316e-09, 2.533557786864180699e-10, 3.189804269905859488e-10, 5.241968640762722134e-10, 1.684661988713695296e-09, 3.027340201563971553e-09, 1.504602336851258764e-10
2.085000000000000000e+03, 3.947466982774496130e-10, 1.551381219242529960e-09, 2.521724213672197907e-10, 3.158834449835809209e-10, 5.284909859120022413e-10, 1.679066112544875039e-09, 3.265124567829796413e-09, 1.455544519392112355e-10
2.086000000000000000e+03, 3.772185749241823072e-10, 1.517014056924359891e-09, 2.298930787065144776e-10, 3.112817560602733319e-10, 5.000290316853340725e-10, 1.666767075113125761e-09, 3.403275871433926551e-09, 1.442337413479902408e-10
2.087000000000000000e+03, 3.683224233734484046e-10, 1.494949458274416628e-09, 2.217607814277170489e-10, 3.065520469166827914e-10, 5.183791647180205660e-10, 1.671165916823040134e-09, 3.369270888349892885e-09, 1.402671979030778731e-10
2.088000000000000000e+03, 3.625231474605798452e-10, 1.504455863136289990e-09, 2.207067006428559898e-10, 3.015792446140395466e-10, 4.697908082060179023e-10, 1.667863748915224616e-09, 3.290275082373722503e-09, 1.358267097633446205e-10
2.089000000000000000e+03, 3.588209097283198465e-10, 1.557940036536660816e-09, 2.223704997758545345e-10, 2.973482281610435325e-10, 4.420508115516060353e-10, 1.658963347180590720e-09, 3.365034787645652430e-09, 1.308217673282475615e-10
2.090000000000000000e+03, 3.560566586871162189e-10, 1.544396232365491624e-09, 2.219727988695766271e-10, 2.926914468410182268e-10, 4.615949765352499457e-10, 1.653675834531377344e-09, 3.420532119535293560e-09, 1.260642358293231630e-10
2.091000000000000000e+03, 3.467437488209282143e-10, 1.514567671796308349e-09, 2.095448686956735000e-10, 2.877839117910788861e-10, 4.333051608595852308e-10, 1.671796095486470536e-09, 3.432783743071538669e-09, 1.237590715070260250e-10
2.092000000000000000e+03, 3.402550082285964128e-10, 1.510003805319702463e-09, 2.054275229201035875e-10, 2.834543963892054536e-10, 4.781114874649572945e-10, 1.718494992721684391e-09, 3.528668490827083078e-09, 1.199536998068911964e-10
2.093000000000000000e+03, 3.353105917530049896e-10, 1.547986329314614415e-09, 2.051200979364013688e-10, 2.792138302904983982e-10, 4.822772883934864561e-10, 1.706908162136521625e-09, 3.552436629717059427e-09, 1.162419765203172920e-10
2.094000000000000000e+03, 3.308361704078355242e-10, 1.573016196321121919e-09, 2.074170881916548192e-10, 2.753054990404345755e-10, 4.833113881242000924e-10, 1.691385364380292228e-09, 3.472829250796401697e-09, 1.119388216295148979e-10
2.095000000000000000e+03, 3.263672617683974572e-10, 1.583552930107508664e-09, 2.027180903179604934e-10, 2.687705312649682025e-10, 4.529002690777975529e-10, 1.668966617296469268e-09, 3.462509859054068580e-09, 1.070180992317167515e-10
2.096000000000000000e+03, 3.004453007942742124e-10, 1.548611495944628092e-09, 1.687787360494462510e-10, 2.603479577910681442e-10, 4.925404749199169055e-10, 1.620389915761198234e-09, 3.411925796449686350e-09, 1.044232310585947448e-10
2.097000000000000000e+03, 2.876580444417608729e-10, 1.562114233456744270e-09, 1.513429276694754565e-10, 2.534630428999032894e-10, 4.675103544960331819e-10, 1.606134749295487149e-09, 3.520722436729641287e-09, 1.002656757929563226e-10
2.098000000000000000e+03, 2.794897694034852594e-10, 1.523496495544444242e-09, 1.442980420328642243e-10, 2.478563520676077189e-10, 4.719489779843798581e-10, 1.585404525307852553e-09, 3.563150725019912996e-09, 9.623961303638962499e-11
2.099000000000000000e+03, 2.736343618630205324e-10, 1.531776687696713307e-09, 1.426892278945401530e-10, 2.432766478775898736e-10, 4.596730202845381747e-10, 1.578010863450279645e-09, 3.475606901892084247e-09, 9.174276371602250185e-11
2.100000000000000000e+03, 2.693671796153163701e-10, 1.406478994628816614e-09, 1.344853044469899683e-10, 2.159251766402511630e-10, 4.868241330134536856e-10, 1.574817670553987370e-09, 3.313990434798057112e-09, 8.764134383231229926e-11
