year, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1
2.088000000000000000e+03, -3.831785201302882443e-09, 1.647530293788080487e-09, 1.144196472694568768e-10, 2.761506396891990651e-10
2.089000000000000000e+03, -3.912595765867181379e-09, 1.441526385232276669e-09, 1.132186222504309633e-10, 2.778735414239166105e-10
2.090000000000000000e+03, -3.979370162296403896e-09, 1.509601218999547274e-09, 1.112265541222638356e-10, 2.767316405922709867e-10
2.091000000000000000e+03, -3.997594586742656655e-09, 1.663065476252531289e-09, 9.956026674953805554e-11, 2.521136717485857641e-10
2.092000000000000000e+03, -4.093079000424802104e-09, 1.649330518028211700e-09, 9.832951679468580745e-11, 2.507180383568912172e-10
2.093000000000000000e+03, -4.123164215856590106e-09, 1.324794994603806494e-09, 9.575430091059219330e-11, 2.426373367277896552e-10
2.094000000000000000e+03, -4.049809825674254815e-09, 1.407055894881813378e-09, 9.486325943941905650e-11, 2.301870348512278798e-10
2.095000000000000000e+03, -4.047870597951518012e-09, 1.530449401931557347e-09, 9.348485201848613544e-11, 2.281491373835011927e-10
2.096000000000000000e+03, -4.008790007958666739e-09, 1.662288418612291042e-09, 8.969742540829280026e-11, 1.938279534075679843e-10
2.097000000000000000e+03, -4.119515683871708654e-09, 1.536613706058360216e-09, 8.876929560562131396e-11, 1.896513659932333128e-10
2.098000000000000000e+03, -4.166705117141722219e-09, 1.654849030622833861e-09, 8.684095843323348507e-11, 1.843785412664886083e-10
2.099000000000000000e+03, -4.082703565154083517e-09, 1.681233733140613567e-09, 8.672820838084356366e-11, 1.908443418124009133e-10
2.100000000000000000e+03, -3.917120463215843918e-09, 1.540311009444292806e-09, 8.599012791723802194e-11, 1.964863965404675841e-10
