year, UKESM1-0-LL, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, CESM2-WACCM, TaiESM1, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-LM, CMCC-ESM2
2.046000000000000000e+03, 1.973930558820097776e-10, 8.035189754343642406e-10, 4.260321185446640755e-10, 6.064802492042957145e-10, 1.101067289201577100e-10, 5.332308759669263642e-10, 3.044628217118478484e-10, 3.659539499872073733e-10, 7.759319090281321150e-10, 2.752544330882677963e-10
2.047000000000000000e+03, 1.915367915066680106e-10, 8.053192643213687210e-10, 4.245350349033045235e-10, 6.159448160204636560e-10, 1.103347027871975277e-10, 5.412607762720535343e-10, 3.033687988248581471e-10, 3.737830488703706357e-10, 8.105193067050429067e-10, 2.793680010077230914e-10
2.048000000000000000e+03, 1.908811726328851364e-10, 8.267197388458130690e-10, 4.301329714095893189e-10, 6.251283701223771000e-10, 1.110317402220895672e-10, 5.512012992786152914e-10, 3.035790508587984099e-10, 3.800315132770056420e-10, 8.102408772917712565e-10, 2.840118205829660063e-10
2.049000000000000000e+03, 1.923144066960580647e-10, 8.624413536968653596e-10, 4.356876243383211568e-10, 6.312424116004741996e-10, 1.110358924165296204e-10, 5.592529335984788873e-10, 3.019969020683689843e-10, 3.890702070651482833e-10, 7.548831508044883125e-10, 2.875082853544832202e-10
2.050000000000000000e+03, 1.991018882018737326e-10, 8.662908720734552417e-10, 4.779744275611654358e-10, 6.341985672665722371e-10, 1.110989778327303421e-10, 6.489477637381160080e-10, 3.006733180569218877e-10, 3.950721802039223586e-10, 7.139392797240431546e-10, 3.677639122051817516e-10
2.051000000000000000e+03, 2.257494573538720398e-10, 9.525382076418455809e-10, 5.060932776825050226e-10, 7.535350771825554893e-10, 1.067317274599832975e-10, 6.605234910213657550e-10, 3.801155717735868931e-10, 4.625035204144697239e-10, 8.617907451886487632e-10, 3.751833434711085827e-10
2.052000000000000000e+03, 2.535095052574887657e-10, 9.245452518230108541e-10, 5.139738074643361992e-10, 7.571212623619866277e-10, 1.053439311043804053e-10, 6.712458561899185176e-10, 3.802483030251713272e-10, 4.957742659198273332e-10, 8.713450944174732145e-10, 3.791479832057054553e-10
2.053000000000000000e+03, 2.725067924548335129e-10, 9.487141998600551225e-10, 5.227142269413751648e-10, 7.615550482530587340e-10, 1.051403681485814167e-10, 6.810721190568350584e-10, 3.799320903638399465e-10, 5.240182272061956098e-10, 8.881637117031491085e-10, 3.847020576443048006e-10
2.054000000000000000e+03, 2.936650614284117714e-10, 9.759139979329457806e-10, 5.299006907913961309e-10, 7.668783172296167270e-10, 1.049819301310986387e-10, 6.876406139569860092e-10, 3.799872548281669503e-10, 5.389490795072723127e-10, 8.763681829655001950e-10, 3.854086082307035563e-10
2.055000000000000000e+03, 3.035251981713216851e-10, 9.468689240184295664e-10, 5.563602365932004650e-10, 7.629602095928280204e-10, 1.045760519295794887e-10, 8.122416967357481272e-10, 3.791173564112109509e-10, 5.580746992963248625e-10, 8.295783449797591108e-10, 4.913500384495290785e-10
2.056000000000000000e+03, 2.891471319433937592e-10, 1.022456545134361034e-09, 5.751201362954054299e-10, 8.471576872114261379e-10, 1.141721177182872406e-10, 8.338099610510237161e-10, 4.073585493497793048e-10, 5.994029826508328874e-10, 9.973090952384211044e-10, 4.963634255215148213e-10
2.057000000000000000e+03, 3.027125617464592677e-10, 9.765398654979295784e-10, 5.851663846050599098e-10, 8.386100693014330106e-10, 1.149643684027086395e-10, 8.497516451470468368e-10, 4.101099590829739462e-10, 6.142111816727733096e-10, 9.268909029458228771e-10, 4.687386358982609619e-10
2.058000000000000000e+03, 3.194972023401534269e-10, 1.029994134781854886e-09, 5.885872439840588002e-10, 8.406320187959430007e-10, 1.134180263398392113e-10, 8.662904559660583169e-10, 4.102897832329066310e-10, 6.317694439462409588e-10, 9.017292976278782669e-10, 4.623424539223669907e-10
2.059000000000000000e+03, 3.397002366402614538e-10, 1.028527427388249482e-09, 5.925626227868923107e-10, 8.555277312011735367e-10, 1.157967930121625862e-10, 8.804058938834693107e-10, 4.048888304908415247e-10, 6.566150754167496551e-10, 9.149885562916348086e-10, 4.598467163644488097e-10
2.060000000000000000e+03, 3.555519861623829718e-10, 1.026954088923907792e-09, 5.769247400815454609e-10, 8.623412506133750286e-10, 1.177636746898738301e-10, 8.811149097043899724e-10, 4.028340893816006163e-10, 6.724630419930062479e-10, 1.062693444532412295e-09, 5.011105612804452432e-10
2.061000000000000000e+03, 3.381027586100369679e-10, 1.019438670507336771e-09, 5.710958693154138783e-10, 8.623562933961098676e-10, 1.101750828135966968e-10, 8.848905522314636331e-10, 4.081856326503026953e-10, 6.181092903166880515e-10, 9.772206955406613335e-10, 5.051794627732548152e-10
2.062000000000000000e+03, 3.363019169935877019e-10, 1.053684560324054282e-09, 5.693444787490297599e-10, 8.723061882630464917e-10, 1.092373064438821883e-10, 8.936777757962861129e-10, 4.052945872614279982e-10, 6.165908046646862148e-10, 1.001424963933109614e-09, 5.076081632022285716e-10
2.063000000000000000e+03, 3.428400612856750755e-10, 1.096600568868148268e-09, 5.688207727693480859e-10, 8.875322897640389763e-10, 1.101917922484888269e-10, 9.010052208712689051e-10, 4.042735915554103209e-10, 6.181972420310895762e-10, 1.007707915088645374e-09, 5.104263223610018836e-10
2.064000000000000000e+03, 3.533240946589620862e-10, 1.042950250659113103e-09, 5.710627319129537586e-10, 8.841240413142985369e-10, 1.098959771551497833e-10, 9.036782417021228853e-10, 4.023882465536912063e-10, 6.225855998504527362e-10, 1.037665414787617802e-09, 5.132882859918757922e-10
2.065000000000000000e+03, 3.659087707162870547e-10, 1.048528115007608693e-09, 5.729367797986018031e-10, 8.724685321275151053e-10, 1.102747563510820929e-10, 9.156819838998878747e-10, 3.998899777071239104e-10, 6.195408799433397867e-10, 1.033850045465689239e-09, 5.492428034114082595e-10
2.066000000000000000e+03, 3.609055670105252312e-10, 1.043322440880899980e-09, 5.783832810724521273e-10, 8.671188777579739694e-10, 1.100927223380078529e-10, 9.218267574817681025e-10, 4.178622900362768417e-10, 5.667466680087364717e-10, 1.004733126465115191e-09, 5.443417838282190403e-10
2.067000000000000000e+03, 3.632593733225774469e-10, 1.080289352483079151e-09, 5.827947466788799477e-10, 8.984418137782632008e-10, 1.103411315551290037e-10, 9.273089331506361026e-10, 4.263133498440569455e-10, 5.715444705382532812e-10, 1.020353387702373606e-09, 5.436821131256659525e-10
2.068000000000000000e+03, 3.705681903655386042e-10, 1.111703708714327216e-09, 5.819657743194889582e-10, 9.127577320727871049e-10, 1.110212958497372974e-10, 9.306899339216397272e-10, 4.267034595552461725e-10, 5.781809326675964396e-10, 9.752466362013172165e-10, 5.461517353056556398e-10
2.069000000000000000e+03, 3.803571746473920818e-10, 1.115287948442913095e-09, 5.854399898247456093e-10, 9.160938786479195258e-10, 1.098445846074055629e-10, 9.339538526737342056e-10, 4.254860282797684099e-10, 5.714362257314440516e-10, 1.050470471720489991e-09, 5.525733880411140839e-10
2.070000000000000000e+03, 3.814738711589947062e-10, 1.170244766875533307e-09, 5.398742879979902736e-10, 9.122195170944942992e-10, 1.120068405965284794e-10, 8.966008629614232158e-10, 4.208840059779609073e-10, 5.673143665395571216e-10, 1.073515071481055504e-09, 5.801907389433991152e-10
2.071000000000000000e+03, 3.403325583132211858e-10, 1.135633503032356667e-09, 5.110106229132432092e-10, 8.221373308612026681e-10, 1.207476596034527838e-10, 8.994534245595755276e-10, 3.394087997409348898e-10, 4.701786649658281061e-10, 1.038738168957559683e-09, 5.719204907632096041e-10
