year, UKESM1-0-LL, MIROC-ES2L, TaiESM1, CNRM-ESM2-1, GFDL-ESM4, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, CMCC-CM2-SR5, CESM2-WACCM, CanESM5, IPSL-CM6A-LR, INM-CM4-8, NorESM2-MM, ACCESS-ESM1-5
2.034000000000000000e+03, 1.948822737328334886e+00, 2.736962728378018461e+00, 2.120113039850470837e+00, 1.674088838545360058e+00, 2.240875601146996576e+00, 1.831559920758514481e+00, 1.737165541070732955e+00, 2.059528662857582404e+00, 2.236850561855605157e+00, 2.271467569540077669e+00, 2.030569724201400472e+00, 2.595156925026977035e+00, 2.315626033916950099e+00, 2.222411766602521599e+00, 1.760370393471117678e+00, 2.328037534937119180e+00
2.035000000000000000e+03, 1.908120892195606544e+00, 2.913571038868968177e+00, 2.193655095361743079e+00, 1.656765156038864317e+00, 2.366673550891802424e+00, 1.810676602079910102e+00, 1.821285888272476949e+00, 1.951218273976889295e+00, 2.324637548757107819e+00, 2.298659361548025082e+00, 1.937399879880583153e+00, 2.530069249801844666e+00, 2.560217114940214866e+00, 2.222645979836090913e+00, 1.866176536062728708e+00, 2.236401101219355869e+00
2.036000000000000000e+03, 1.920989738142778069e+00, 2.645038525792200890e+00, 2.357887883747568747e+00, 1.734212616245592864e+00, 2.330174734300951123e+00, 1.776086122154512559e+00, 1.801047731761302950e+00, 1.970053486893965644e+00, 2.364241565580665672e+00, 2.253552635553105699e+00, 2.149242710615305363e+00, 2.513412751752384544e+00, 2.306712668273434463e+00, 2.374910527563023788e+00, 1.788991146319697245e+00, 2.662113590524073814e+00
2.037000000000000000e+03, 1.992653123035663665e+00, 2.672921430127683795e+00, 2.309014323407557523e+00, 1.782050698658265597e+00, 2.233586187936817957e+00, 1.836240030915434751e+00, 1.632768316221840044e+00, 1.841807833840505282e+00, 2.455506219248818844e+00, 2.304962535741662766e+00, 2.116628658270899965e+00, 2.822299898350895120e+00, 2.258488357888973841e+00, 2.264522831800316105e+00, 1.771353547687741781e+00, 2.579775560645481747e+00
2.038000000000000000e+03, 1.906154748151971390e+00, 2.724361960747239131e+00, 2.063469596824240249e+00, 1.630413559740502283e+00, 2.406555073456250415e+00, 1.709847670000780528e+00, 1.582120920678417253e+00, 1.864118068388142868e+00, 2.266772883372450309e+00, 2.378216640049497510e+00, 2.119404074405855987e+00, 2.718352323923969749e+00, 2.336861385750104603e+00, 2.336780999387689128e+00, 1.781528961700108882e+00, 2.276223345941065457e+00
2.039000000000000000e+03, 2.001160591693398771e+00, 2.739168851350342937e+00, 2.335406191607594550e+00, 1.635366065271856906e+00, 2.408650450214745220e+00, 1.785636895194246065e+00, 1.592212276994612097e+00, 1.957644516339599683e+00, 2.246508060059341449e+00, 2.222413455998627274e+00, 2.177694952565234487e+00, 2.533593966005116549e+00, 2.360110670656865306e+00, 2.257363777273627026e+00, 1.946782786888054728e+00, 2.492263929081952156e+00
2.040000000000000000e+03, 1.958552382124909119e+00, 2.892494184775380450e+00, 2.238440054650414179e+00, 1.574313928353373360e+00, 2.312532702973259635e+00, 1.904056848880884889e+00, 1.769099213129438741e+00, 1.981959013718991303e+00, 2.373458335198408875e+00, 2.395680844434046275e+00, 2.048002631750666769e+00, 2.606803269755937791e+00, 2.349931703314699583e+00, 2.102906873103243424e+00, 1.917444834589019376e+00, 2.437530057907804970e+00
2.041000000000000000e+03, 1.880176423833756161e+00, 2.817461453100261970e+00, 2.268814773064453227e+00, 1.522017355928360294e+00, 2.330182362803054019e+00, 1.832797354784050592e+00, 1.727052787197347339e+00, 1.926943923238728873e+00, 2.293061954221583321e+00, 2.451110857616904948e+00, 2.074919377212886218e+00, 2.677834176963933999e+00, 2.256597096174566275e+00, 2.127119582806251685e+00, 1.925127005605620889e+00, 2.380727165279901580e+00
2.042000000000000000e+03, 1.985012433369516049e+00, 2.805730625207293549e+00, 2.098924998660486096e+00, 1.752443303854444911e+00, 2.293600632883277424e+00, 1.846142870714841955e+00, 1.634686691082317456e+00, 2.054010099935833278e+00, 2.258127337136836665e+00, 2.357225123020399327e+00, 2.102785355269396916e+00, 2.630915952188886298e+00, 2.399606551861264592e+00, 2.241196684724368726e+00, 1.839373254901629728e+00, 2.295104405362867084e+00
2.043000000000000000e+03, 1.932680756632912722e+00, 2.636678832581788257e+00, 2.187429418001727299e+00, 1.583483646773512277e+00, 2.250124828396685484e+00, 1.978272828012416440e+00, 1.847551994505874484e+00, 1.916922710454457945e+00, 2.261342154895046086e+00, 2.545547559834854034e+00, 2.235283136598251286e+00, 2.664688872728088853e+00, 2.400516815869363718e+00, 2.185663363321972419e+00, 1.785604714140169635e+00, 2.307522341536524024e+00
2.044000000000000000e+03, 1.929896434255168325e+00, 2.944154244954736210e+00, 2.399426151915519778e+00, 1.631452086114415279e+00, 2.344082961271010568e+00, 1.786273581322564530e+00, 1.833499990210844866e+00, 1.852885739727634151e+00, 2.223914474672660901e+00, 2.664592992356316525e+00, 2.204645489822185667e+00, 2.736727373487612969e+00, 2.402184567695034190e+00, 2.273406408358753517e+00, 1.866420797479380056e+00, 2.284579556498733233e+00
2.045000000000000000e+03, 1.906106289311155555e+00, 2.704420172654288468e+00, 2.137767313139969705e+00, 1.623971265627166316e+00, 2.149847697810327141e+00, 1.827359881688167320e+00, 1.678963280254613055e+00, 2.057021816317855301e+00, 2.462171599591721272e+00, 2.403391911631172828e+00, 2.191379729746194993e+00, 2.852565149322164650e+00, 2.344038829211677388e+00, 2.184718003096123518e+00, 1.826820660056359458e+00, 2.529597253175538185e+00
2.046000000000000000e+03, 2.035013253280423928e+00, 2.531197222506729183e+00, 2.057741368021263284e+00, 1.492778767034683041e+00, 2.255592386039704689e+00, 1.608548113276177860e+00, 1.892394422350151428e+00, 2.073002193657786041e+00, 2.303829816026608857e+00, 2.432318741655502770e+00, 2.149539564093727151e+00, 3.057589670212883970e+00, 2.429289503365930081e+00, 2.332109178601691202e+00, 1.738771537741039319e+00, 2.420773339783670597e+00
2.047000000000000000e+03, 1.864815616881973392e+00, 2.929455004870217927e+00, 2.298149656890301262e+00, 1.311975419198968540e+00, 2.273441086341418949e+00, 1.797241790765939484e+00, 1.766607506567016372e+00, 1.983818914891789076e+00, 2.373970493736695442e+00, 2.249644819840244558e+00, 2.202283271135062837e+00, 2.700131502836367048e+00, 2.619469551547525921e+00, 2.205656894207326246e+00, 1.830554058227109815e+00, 2.646277679255025994e+00
2.048000000000000000e+03, 2.111165479032519166e+00, 2.877322719444302734e+00, 2.550908174882622781e+00, 1.786613793571316888e+00, 2.367859318615125552e+00, 1.838865328014720468e+00, 1.696959990718595490e+00, 2.098588479089420034e+00, 2.474194319658299612e+00, 2.429015275828152021e+00, 2.031364801848814849e+00, 2.487364528644433026e+00, 2.430437872931115351e+00, 2.418733671887307590e+00, 1.836168091356089382e+00, 2.411228377444429416e+00
