year, TaiESM1, NorESM2-LM, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1
2.039000000000000000e+03, 3.604318590904718811e-10, 1.293255741960829973e-09, 8.631027577537598602e-10, 1.155681560052614896e-09, 6.130607489040377819e-10
2.040000000000000000e+03, 3.724146611231116999e-10, 8.530631665867256492e-10, 9.138454730321839632e-10, 9.877137238766103969e-10, 7.242239244960212046e-10
2.041000000000000000e+03, 3.466813034383112398e-10, 1.062466298657658552e-09, 1.097514307854653352e-09, 8.380976121303332892e-10, 6.670407824571731637e-10
2.042000000000000000e+03, 5.466670778868725733e-10, 9.765940879523667711e-10, 1.048548200256021404e-09, 9.459829276610453829e-10, 4.803331330505299332e-10
2.043000000000000000e+03, 3.861857863953305239e-10, 6.583073718864290658e-10, 1.256632866886640237e-09, 8.879726368558129339e-10, 6.678288908211458920e-10
2.044000000000000000e+03, 3.027167550925302685e-10, 9.453428436797024088e-10, 1.147737978184542358e-09, 8.410695870946079271e-10, 7.034079500664833201e-10
2.045000000000000000e+03, 4.031169254860491066e-10, 1.021478652669163830e-09, 1.004880522367293707e-09, 1.079668413636008045e-09, 5.756262470690204854e-10
2.046000000000000000e+03, 3.960378480943878818e-10, 9.651309917182369608e-10, 1.174022232514847079e-09, 7.362441584870772046e-10, 5.638438579477360719e-10
2.047000000000000000e+03, 3.871919211981856506e-10, 9.936444670836202244e-10, 1.125651086259153054e-09, 1.071305430052370465e-09, 3.680674239001893511e-10
2.048000000000000000e+03, 2.616193637530178197e-10, 1.137424990939968639e-09, 1.452170668894710561e-09, 7.325825827367827701e-10, 4.976822340919562900e-10
2.049000000000000000e+03, 3.718290824657601451e-10, 1.360725032378890277e-09, 1.459821818350326688e-09, 8.103815947668388983e-10, 6.332957548053315072e-10
2.050000000000000000e+03, 4.763338558074413500e-10, 8.254013731290922865e-10, 9.861664538480032879e-10, 8.740382185429614115e-10, 5.164461701642368237e-10
2.051000000000000000e+03, 3.774544877209113603e-10, 1.392846296907963987e-09, 1.584448545265207003e-09, 9.724139319197185808e-10, 5.732368475446050379e-10
2.052000000000000000e+03, 3.049286328079170101e-10, 1.450242977644589751e-09, 1.684106917406961060e-09, 1.000598809430337991e-09, 5.224348828643727594e-10
2.053000000000000000e+03, 2.635139009290481173e-10, 1.554115562263697906e-09, 1.566725743950365907e-09, 1.127951420455195357e-09, 6.673296453031073910e-10
2.054000000000000000e+03, 2.495244171881604204e-10, 9.722057633260647352e-10, 1.145641326863587043e-09, 1.030789480948260699e-09, 5.716659703095543420e-10
2.055000000000000000e+03, 3.446563643396255447e-10, 1.137838663097510255e-09, 1.266740529506340053e-09, 1.119996456704713039e-09, 4.895344385234797041e-10
2.056000000000000000e+03, 3.268609021558993633e-10, 1.222102717093283468e-09, 1.849309079507902740e-09, 8.001708605218667427e-10, 5.998594689675917945e-10
2.057000000000000000e+03, 2.721546843703448656e-10, 1.552136167256646893e-09, 1.431120415560949021e-09, 8.817203729387255190e-10, 4.107415313866010637e-10
2.058000000000000000e+03, 2.517447099409608558e-10, 1.394353475157346833e-09, 1.578971195607464925e-09, 1.110715998475943124e-09, 5.440596196203448237e-10
2.059000000000000000e+03, 2.209832926013111231e-10, 1.282548589209228576e-09, 1.602109164320397368e-09, 5.821253698800113387e-10, 5.140041980886329089e-10
2.060000000000000000e+03, 4.370988478239095090e-10, 1.086743931376193252e-09, 1.363407888814845251e-09, 1.043470186172227438e-09, 4.556482609949504978e-10
2.061000000000000000e+03, 4.948577072815392826e-10, 1.500292861865850337e-09, 1.909790477184678736e-09, 8.492778299674044709e-10, 4.141544295386178838e-10
