year, CanESM5, TaiESM1, UKESM1-0-LL, INM-CM5-0, ACCESS-ESM1-5, MPI-ESM1-2-LR, NorESM2-LM, MIROC-ES2L, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1, INM-CM4-8, CESM2-WACCM, EC-Earth3-Veg, IPSL-CM6A-LR, CMCC-CM2-SR5
2.038000000000000000e+03, 2.990564804103797769e+02, 2.987210441036516499e+02, 2.999729527424255480e+02, 2.978220342019544091e+02, 2.992791562111809753e+02, 2.981820405052378646e+02, 2.985518079360689967e+02, 2.994655915479621058e+02, 2.983139980604407810e+02, 2.976879551957292165e+02, 2.986557969440032707e+02, 2.974657470118592073e+02, 2.993777390647320544e+02, 2.973355618670077547e+02, 2.976028376036367717e+02, 2.994580803652398799e+02
2.039000000000000000e+03, 2.989779245664770997e+02, 2.993016816160349549e+02, 2.997595756568899219e+02, 2.977924642618456232e+02, 2.989793823633167449e+02, 2.986048420323512005e+02, 2.985818867165122015e+02, 2.988474989639935870e+02, 2.979301086373668568e+02, 2.976402381764787037e+02, 2.988304965053582691e+02, 2.975590781679383099e+02, 2.994612471787034451e+02, 2.981441379902303197e+02, 2.975973971529083997e+02, 2.994844943990385673e+02
2.040000000000000000e+03, 2.988992068790782355e+02, 2.993253135195942036e+02, 2.997201715328666864e+02, 2.976669852096283648e+02, 2.987936035574649623e+02, 2.975339226733735245e+02, 2.987894219590852458e+02, 2.990483293514034813e+02, 2.980887806175477408e+02, 2.977380203117194810e+02, 2.986307145953728082e+02, 2.975910136790224669e+02, 2.997055734664639317e+02, 2.977674124506552289e+02, 2.975372813428004406e+02, 2.986104648214989083e+02
2.041000000000000000e+03, 2.989780070723990661e+02, 2.990161712082467602e+02, 2.995130422093208153e+02, 2.976886167701491672e+02, 2.985912330827609367e+02, 2.977443532000938831e+02, 2.987054522815108157e+02, 2.990460334098057729e+02, 2.984082775931557308e+02, 2.980971820202029789e+02, 2.988995627995752216e+02, 2.974774965837157197e+02, 3.000503603486903899e+02, 2.974443467571167616e+02, 2.973950583650399153e+02, 2.985616497308787984e+02
2.042000000000000000e+03, 2.993028116829944452e+02, 2.987359502317688680e+02, 2.996056159791205005e+02, 2.976099222044248336e+02, 2.993027025565938857e+02, 2.976660269666249405e+02, 2.993827861611351295e+02, 3.000259571898616286e+02, 2.990153240775684935e+02, 2.980131533735245171e+02, 2.988456869586378275e+02, 2.974791479234689859e+02, 2.995321952326986548e+02, 2.976879752243975190e+02, 2.976501681912509412e+02, 2.989525664214141329e+02
2.043000000000000000e+03, 2.991792859545877263e+02, 2.994279416550061228e+02, 2.998175298955569588e+02, 2.978413398677857913e+02, 2.992973726251716471e+02, 2.979195983205661946e+02, 2.995341243202994406e+02, 2.989920844370930126e+02, 2.985109261998898660e+02, 2.978050404770542059e+02, 2.991453273550154677e+02, 2.980248139995181873e+02, 2.997184653097133946e+02, 2.982471308285551004e+02, 2.973980800054588371e+02, 2.999269441933885219e+02
2.044000000000000000e+03, 2.992848104754979204e+02, 2.992947881456829009e+02, 2.995568429156122079e+02, 2.979160276343853866e+02, 2.990034121116486858e+02, 2.982722805373250594e+02, 2.988933561813547612e+02, 2.989995448066039216e+02, 2.985215710826814188e+02, 2.977216767561981783e+02, 2.987080148503815167e+02, 2.978101371102313806e+02, 2.994370819274843711e+02, 2.977212119853544436e+02, 2.974464514860478062e+02, 3.002645045062171789e+02
2.045000000000000000e+03, 2.998351651178151087e+02, 2.992335496730339059e+02, 3.000747379441086196e+02, 2.978554629904364219e+02, 2.987973527872746331e+02, 2.985418660144804335e+02, 2.984661034777947179e+02, 2.993885437284599789e+02, 2.984903625435596837e+02, 2.983517869493306875e+02, 2.988970719428999701e+02, 2.978035513608801352e+02, 2.995561935493579426e+02, 2.976126442119499984e+02, 2.974051959277556421e+02, 2.990930386459241959e+02
2.046000000000000000e+03, 2.999571648965012400e+02, 2.993084728212385812e+02, 3.002241188413551640e+02, 2.976114844476534813e+02, 2.989944843268053205e+02, 2.991283053373637699e+02, 2.986891256192333799e+02, 3.005133718459938450e+02, 2.986668050001998722e+02, 2.982315273157251454e+02, 2.997171784824536758e+02, 2.979202429307933357e+02, 2.995008905835730388e+02, 2.979497954301547793e+02, 2.978961182704857720e+02, 2.986268046486458729e+02
2.047000000000000000e+03, 2.991956541553458919e+02, 2.995953780116076359e+02, 3.000929018695254626e+02, 2.978627022367894028e+02, 2.991860045542709940e+02, 2.982952094464703805e+02, 2.986496554645670471e+02, 2.994261351010433145e+02, 2.992342361033953466e+02, 2.982552309274652771e+02, 2.998168261320762440e+02, 2.977836053491394637e+02, 2.991830098540328891e+02, 2.981106652347764907e+02, 2.976809504957615218e+02, 2.990641273283799251e+02
2.048000000000000000e+03, 2.997030331699531871e+02, 2.992988939302794620e+02, 3.003423223128339146e+02, 2.982229422038212192e+02, 2.993482917796009133e+02, 2.983978787646132105e+02, 2.992296693191232180e+02, 2.990447154019372533e+02, 2.985792646566647477e+02, 2.984776301846325737e+02, 2.990632645921507446e+02, 2.979893742389722320e+02, 2.994833078226506018e+02, 2.976702197741373652e+02, 2.975613186725204855e+02, 2.996988590059753506e+02
2.049000000000000000e+03, 2.999084424566957523e+02, 2.990840538537453313e+02, 3.000894880412328121e+02, 2.978615330403063695e+02, 2.996547275887114665e+02, 2.988698098987110825e+02, 3.001004827598523548e+02, 2.993002928722042952e+02, 2.984642983670166814e+02, 2.981151184450590677e+02, 2.992437520253806724e+02, 2.980400117034060941e+02, 3.002772333597323495e+02, 2.980844925866247763e+02, 2.979645705823828621e+02, 3.001079292837404182e+02
2.050000000000000000e+03, 3.006885362122849301e+02, 2.989783158527019964e+02, 3.001975550192193509e+02, 2.979074503496742068e+02, 2.993682432893904775e+02, 2.983055911895761483e+02, 2.998330098088490558e+02, 3.003625690821501166e+02, 2.988008252271756078e+02, 2.981107665959017368e+02, 2.994575674975188804e+02, 2.980460711421308133e+02, 2.996751287068097440e+02, 2.981512954231387198e+02, 2.979455838201923257e+02, 2.996239796215921842e+02
2.051000000000000000e+03, 3.000130401921899193e+02, 2.989930896202839108e+02, 2.997731884269893499e+02, 2.978442474739758836e+02, 2.993450127301360340e+02, 2.984251187462811572e+02, 2.989158321066365716e+02, 2.997380223081381132e+02, 2.993225457580759326e+02, 2.981711018914944589e+02, 2.992431104892613121e+02, 2.979162457742605739e+02, 2.999812424204740751e+02, 2.977341330615229822e+02, 2.981310568901806164e+02, 2.995339261272878275e+02
2.052000000000000000e+03, 2.996123152028909544e+02, 2.998873682174354940e+02, 3.003931042900148327e+02, 2.979653830278763280e+02, 2.996254430366633414e+02, 2.984455398186604498e+02, 2.989156503020370792e+02, 2.991445832600987842e+02, 2.991658215568536434e+02, 2.979780067295845356e+02, 2.989811472882141743e+02, 2.983100955709505797e+02, 3.003284656165244542e+02, 2.982953655816494347e+02, 2.985383016994002787e+02, 2.999528690561086250e+02
2.053000000000000000e+03, 2.998727189199826171e+02, 2.998425180558007241e+02, 3.006779268388370383e+02, 2.982325927842638862e+02, 2.997297286011193478e+02, 2.984480997902705894e+02, 2.992981242459533178e+02, 2.992608405238420346e+02, 2.990376338629828297e+02, 2.982678649363435284e+02, 2.993018518893092050e+02, 2.980310488845932468e+02, 2.992000292378964446e+02, 2.986415191092460191e+02, 2.981931441193767114e+02, 3.006126976250348548e+02
2.054000000000000000e+03, 3.007318775580239389e+02, 2.999638845179485998e+02, 3.002104579451896029e+02, 2.980033162174897257e+02, 2.995946404218846055e+02, 2.982486599070361422e+02, 2.997861126858055059e+02, 2.999014084032716596e+02, 2.993101972916729210e+02, 2.982098379009913742e+02, 2.990356563523987461e+02, 2.979563051406470890e+02, 2.991105025141749820e+02, 2.977025309739482850e+02, 2.978730302093220530e+02, 2.997919987234524228e+02
2.055000000000000000e+03, 2.999379489958545832e+02, 2.996188943325940386e+02, 3.004243628365644554e+02, 2.980453068008844753e+02, 2.995476812477735393e+02, 2.987741432612766062e+02, 2.992945992021920461e+02, 3.008153651847322294e+02, 2.989280785287849653e+02, 2.980577694825495882e+02, 3.000152295592662313e+02, 2.982385234276488859e+02, 3.004560433383099962e+02, 2.982281371450619645e+02, 2.982098497776852355e+02, 2.993169032624089709e+02
2.056000000000000000e+03, 3.001439397445409440e+02, 2.998679803757337368e+02, 3.001633087896371421e+02, 2.980282399447689272e+02, 2.996424321273589157e+02, 2.991298552867144167e+02, 2.995058733165737408e+02, 3.006579070361723893e+02, 2.997263477139246106e+02, 2.985292467033276012e+02, 2.991417962308238430e+02, 2.982789557168632086e+02, 3.000806314571959774e+02, 2.981681686589670903e+02, 2.983231171098768755e+02, 2.992937402425880009e+02
2.057000000000000000e+03, 3.003852054107309755e+02, 3.000472157309739600e+02, 3.007148001297384781e+02, 2.981341347347956798e+02, 3.000683120687918972e+02, 2.988931993590364300e+02, 2.997381100971452952e+02, 2.998519909888779011e+02, 3.000805966107982954e+02, 2.987252109939965976e+02, 2.994996305603769429e+02, 2.982126966867575106e+02, 2.997689245430834148e+02, 2.983630694256781339e+02, 2.980760256703091500e+02, 2.994997035119386055e+02
2.058000000000000000e+03, 3.004012467594841951e+02, 3.004013247565893607e+02, 3.009976533940441641e+02, 2.980458537050935774e+02, 3.002006600646245147e+02, 2.983056560453812835e+02, 3.005715896686816677e+02, 2.998255195323228577e+02, 2.989023624556332948e+02, 2.987159693680478085e+02, 2.999738469608873856e+02, 2.980443185922556495e+02, 3.004845850640296021e+02, 2.982965987529354948e+02, 2.983787968706691345e+02, 2.999261546386900932e+02
2.059000000000000000e+03, 3.007910191320735862e+02, 3.000291771751607257e+02, 3.007320733531878432e+02, 2.980662019588090175e+02, 2.997953458955909696e+02, 2.986456282120169590e+02, 2.994767059536513898e+02, 3.008782385445497880e+02, 2.986508485134579587e+02, 2.984607799211308361e+02, 2.994226960307792069e+02, 2.982046883610964301e+02, 3.003350065157902122e+02, 2.987017427292047955e+02, 2.980344634801885491e+02, 3.004533446247795609e+02
2.060000000000000000e+03, 3.005126603492387858e+02, 2.994514915888582323e+02, 3.008951882916153977e+02, 2.984318290056033334e+02, 2.997793028709688201e+02, 2.990712832112432125e+02, 2.993751831465792748e+02, 3.003647127908439529e+02, 2.993282335479457856e+02, 2.988650005695203049e+02, 3.003031841123085428e+02, 2.982831869839819205e+02, 3.000002858168422790e+02, 2.989659298611719578e+02, 2.981096520051927428e+02, 3.006157774752951468e+02
2.061000000000000000e+03, 3.006078957647868606e+02, 2.999231329064190277e+02, 3.010801777393603516e+02, 2.982972093110210494e+02, 2.999891266196669335e+02, 2.998716343569815308e+02, 2.996781684614538221e+02, 2.994968494174762554e+02, 2.994794915004853806e+02, 2.986008044014271263e+02, 2.997539554583873382e+02, 2.985364442629268638e+02, 3.003976415423549042e+02, 2.987071619106477556e+02, 2.983361265411844556e+02, 3.009417341621031596e+02
2.062000000000000000e+03, 3.005701741324107275e+02, 3.008246178485779865e+02, 3.007505334224351827e+02, 2.983952614571796857e+02, 3.001774053200407479e+02, 2.995663957209967521e+02, 2.998765975042709897e+02, 3.000278965921665986e+02, 2.988279033775168045e+02, 2.989550045793701543e+02, 3.003866432544789404e+02, 2.985629586384146137e+02, 3.006055315240558912e+02, 2.982546661736060969e+02, 2.985123054088554113e+02, 3.004711908869136323e+02
2.063000000000000000e+03, 3.008324172481807750e+02, 3.005896891271122513e+02, 3.006733777599399104e+02, 2.983969385441005784e+02, 2.999116659725481782e+02, 2.989964388659869314e+02, 2.993770141012564068e+02, 3.005857459937506064e+02, 2.985604029669389092e+02, 2.988331736184620695e+02, 3.000669837814988341e+02, 2.984823801845087701e+02, 3.001486842478038852e+02, 2.986829174574643844e+02, 2.988578907251350074e+02, 2.998744209830014711e+02
2.064000000000000000e+03, 3.008803162496668051e+02, 2.999279973791974498e+02, 3.011254466106034329e+02, 2.985829233357000589e+02, 3.000949041074035222e+02, 2.989461136772149530e+02, 2.990023785751615151e+02, 2.998850923793166316e+02, 2.993207647710822243e+02, 2.990892189444535347e+02, 3.004724413858048138e+02, 2.983787754438417892e+02, 3.004545361865566520e+02, 2.988477851187016086e+02, 2.983845360115254834e+02, 2.998385531893808320e+02
2.065000000000000000e+03, 3.007067286019024550e+02, 2.999608070686919064e+02, 3.009912745109076013e+02, 2.983104313731997195e+02, 3.002056858462441937e+02, 2.987019261026962909e+02, 3.000287819214589717e+02, 2.996988166633671540e+02, 3.005610822781303568e+02, 2.992324999721030281e+02, 3.000274142131729036e+02, 2.985645388263496898e+02, 3.007033093306550882e+02, 2.983225850499099465e+02, 2.984966330866946578e+02, 2.999280699666105647e+02
2.066000000000000000e+03, 3.008198287486537197e+02, 3.006098617817987133e+02, 3.009080220866423474e+02, 2.985899975307923455e+02, 3.003285193188378344e+02, 2.990950870986115433e+02, 3.001338146189175973e+02, 3.002793241038459655e+02, 2.997058545359448658e+02, 2.987934453152905121e+02, 2.999024286324919899e+02, 2.984104591455911759e+02, 3.008206273424528376e+02, 2.990529540770456265e+02, 2.988929746638218035e+02, 3.004020072377642236e+02
2.067000000000000000e+03, 3.014513491256225279e+02, 3.004907118709542146e+02, 3.011965456616682104e+02, 2.983507900373014650e+02, 3.006591497912762634e+02, 2.994758593102598638e+02, 3.003372753233828121e+02, 3.013424082031128819e+02, 2.995387762557458018e+02, 2.986530963427982783e+02, 3.004494982125754632e+02, 2.986272185255939462e+02, 3.006671226560326886e+02, 2.994516066237949872e+02, 2.989175652872256705e+02, 3.007749138863792382e+02
2.068000000000000000e+03, 3.015544581303242921e+02, 3.003957434767773407e+02, 3.013632217259923891e+02, 2.983064035749818572e+02, 3.003677145171440088e+02, 2.987055346686548205e+02, 2.998864471454999716e+02, 3.002098260026209005e+02, 3.000127557429810849e+02, 2.988912687643159529e+02, 3.004686982806588276e+02, 2.989386227753747676e+02, 3.004420834844247565e+02, 2.996888602917154003e+02, 2.990372484305780176e+02, 3.009749083147585793e+02
2.069000000000000000e+03, 3.008542645294760405e+02, 3.005689522850142339e+02, 3.015285954105294763e+02, 2.983560066373107134e+02, 3.004790949243895852e+02, 2.995561126614981049e+02, 3.003102510688402731e+02, 2.998552495346465889e+02, 2.999174734812189058e+02, 2.992179051293606449e+02, 3.008593821249202165e+02, 2.986977931372284729e+02, 3.010195729922418764e+02, 2.987305452033642723e+02, 2.988494088224723555e+02, 3.010002745666109831e+02
2.070000000000000000e+03, 3.013706068868322632e+02, 3.008239657625572931e+02, 3.013170719092656213e+02, 2.986707826413544353e+02, 3.005044180791708754e+02, 2.997304057331093077e+02, 3.002593927223393280e+02, 3.004330505698357570e+02, 2.995412831995944316e+02, 2.986816978675246332e+02, 3.004767995120763544e+02, 2.988287780832807243e+02, 3.006326971879510097e+02, 2.984976143727172939e+02, 2.987370217411273075e+02, 2.995214608283093298e+02
2.071000000000000000e+03, 3.011377290164105034e+02, 3.008077104926497327e+02, 3.012604566752190749e+02, 2.984219151909042012e+02, 3.006719434058991851e+02, 2.995293850047592059e+02, 3.000711752966318500e+02, 3.012316722892940106e+02, 2.998086309776244889e+02, 2.984801009675281307e+02, 3.003853510286178903e+02, 2.990414591481340381e+02, 3.009904087656609590e+02, 2.989745972767175317e+02, 2.989215780644170763e+02, 2.996711985985861588e+02
2.072000000000000000e+03, 3.014041108185728035e+02, 3.007134878820452286e+02, 3.022204732868327142e+02, 2.987085081986609225e+02, 3.003661489995304237e+02, 2.991624344673597307e+02, 3.006653123460308166e+02, 3.003967915526953902e+02, 3.002637152021624161e+02, 2.992362599545019179e+02, 3.001859962388355143e+02, 2.989282764876276701e+02, 3.007023885178272167e+02, 2.997557879600067849e+02, 2.993937149340033557e+02, 2.998386658186190630e+02
2.073000000000000000e+03, 3.017602026015061369e+02, 3.008887331172288100e+02, 3.019054466800648129e+02, 2.987078861387337270e+02, 3.008188225175221078e+02, 2.993198711868724331e+02, 3.002518105160004893e+02, 3.002685038699036681e+02, 2.995998695208865570e+02, 2.997224834315473458e+02, 3.003446940402268979e+02, 2.988276131912741107e+02, 3.011626578202660198e+02, 2.997581530046570606e+02, 2.989514652075351933e+02, 3.000591756319826118e+02
2.074000000000000000e+03, 3.017533378920017526e+02, 3.009127067566954565e+02, 3.015135165590806423e+02, 2.987078105105036343e+02, 3.011083615923234333e+02, 2.998074703801943883e+02, 2.999243307976306028e+02, 3.005653918375660396e+02, 2.997316420270965409e+02, 2.998922061597025390e+02, 3.006060298222419647e+02, 2.990272415762455012e+02, 3.011148078699383746e+02, 2.994231594311116282e+02, 2.991990965262044710e+02, 3.008861622259000796e+02
2.075000000000000000e+03, 3.018090100716988786e+02, 3.010986161079977137e+02, 3.015658638171231587e+02, 2.989600034389092684e+02, 3.003654021134006484e+02, 2.997298247814886167e+02, 3.004464681916263089e+02, 3.005450453078662463e+02, 3.005790641910079444e+02, 2.990823593848599558e+02, 3.014841408180425333e+02, 2.992546088709792116e+02, 3.013753381613498163e+02, 2.997922285747599744e+02, 2.995470541722286839e+02, 3.012019827051611855e+02
