year, MPI-ESM1-2-LR, CMCC-ESM2, CNRM-ESM2-1, UKESM1-0-LL, CanESM5, MIROC-ES2L, CESM2-WACCM
2.058000000000000000e+03, 2.936438701541776303e-10, 9.324847339485272649e-10, -8.655897984271901439e-10, -4.348157026363150625e-10, 7.852667072111363119e-10, 4.169109748602553951e-10, 6.465121893530024952e-10
2.059000000000000000e+03, -1.049851698753289612e-10, 2.755802675273915650e-10, -3.329572413374805490e-10, -5.088528677451483744e-10, 8.078576795796348205e-10, -8.924454837168602724e-10, 1.152564361058944608e-09
2.060000000000000000e+03, -7.877526597144863633e-10, -2.021583218424597595e-10, -1.415542522489955827e-09, -9.994666780549151466e-10, 1.147803627210131082e-09, -3.311463695424994829e-10, 6.702429687061598089e-10
2.061000000000000000e+03, -7.493397027823227274e-10, 1.002615909934642368e-09, -9.232109861880222350e-10, -1.309263941211765686e-09, 8.900699423987446254e-10, 7.748469241768164474e-10, 8.159676972399751086e-10
2.062000000000000000e+03, -1.205718724114649623e-09, 8.255610293063063085e-10, -9.787156480201952813e-10, 5.861219769018997253e-10, 6.946846710679865825e-10, 4.855815826565384097e-10, 7.962197326926658374e-10
2.063000000000000000e+03, 6.021293698948437897e-10, 2.203758573727893627e-10, -4.709274061468479374e-10, -3.269504872789791946e-10, 1.607637921017293892e-09, -2.556800472271442848e-10, 1.090534431937571367e-09
2.064000000000000000e+03, -2.595078495406760186e-10, -4.871996298466950512e-11, -1.161147079254301731e-09, -8.175155506908337581e-10, 1.150069633248937088e-09, 6.136233785005132058e-10, 1.014393280203632408e-09
2.065000000000000000e+03, 1.712164840324782554e-10, 5.838718980666196460e-10, -6.167290315194501561e-10, 8.147194080621169337e-12, 1.225137547156046363e-09, 1.127548149914222124e-09, 1.198793081186583581e-09
2.066000000000000000e+03, 1.268418515720015592e-10, 1.609214504031383680e-09, -4.684418038775454432e-10, -3.147411216420917752e-10, 7.617338166397642285e-10, 5.576920175420586253e-10, 7.530206961650120784e-10
2.067000000000000000e+03, -4.668822951199753434e-10, 4.351403021804100456e-10, -1.221575237856637852e-09, -2.805352477475290109e-10, -3.695825653115638648e-10, -5.185461819471068292e-10, 8.846697972583032885e-10
2.068000000000000000e+03, -4.199529459485475716e-11, 3.296165452420703324e-10, -1.170925237562156564e-09, -5.456327345886383147e-10, 8.498178538806018368e-10, 3.053069785006935659e-10, 5.555641198943225511e-10
2.069000000000000000e+03, -6.819996261451878278e-10, 1.281979510718770261e-10, -1.217503491297452870e-09, -6.249640675048910722e-10, 2.017848855394034085e-09, 1.223249451228148267e-09, 7.379682596616573730e-10
2.070000000000000000e+03, -6.025467667342485867e-10, 3.798082336894925860e-10, -5.896541755220586167e-10, 6.149539265751167447e-11, 6.860635167066949266e-10, 7.357503282794322618e-10, 1.236909426009332034e-09
2.071000000000000000e+03, 9.820613526466919463e-11, 2.215836596170217688e-09, -3.165794925251206689e-10, -4.397602222488566418e-10, 7.991227353194844602e-10, -1.710888734820352783e-10, 1.075532465706563645e-09
2.072000000000000000e+03, 1.351900502780807676e-10, 4.814010730258196725e-10, -4.291398520924287182e-10, -1.635197139461985783e-09, 7.904244110804581936e-10, 1.176224504485935387e-11, 4.221555603239983630e-10
2.073000000000000000e+03, -5.859612176769780904e-10, 5.413653906323512491e-10, -6.174898531833093153e-10, -5.724367519407483567e-10, 6.092243459724705040e-11, 1.345192916671514514e-09, 7.903287215160549567e-10
2.074000000000000000e+03, -1.022219864667610841e-09, -2.382679178460200657e-10, -5.913403103791230164e-10, -7.308121456529176701e-10, 3.599175638908359912e-10, 5.842432218914246886e-10, 9.128667263997351415e-10
2.075000000000000000e+03, -6.235518131621989651e-10, 7.623454698437625833e-10, -1.533383305728001731e-09, -1.036034537935700728e-10, 3.475771341489801558e-10, 4.352120418521200281e-10, 1.217913408937561649e-09
2.076000000000000000e+03, -5.123164973369525349e-11, 1.225923522905545528e-09, -6.148736436147318687e-10, 1.395383188952983305e-10, 1.461810906251171205e-09, -4.817956658194213011e-10, 9.131671402801642532e-10
2.077000000000000000e+03, 6.986209020366733408e-10, 8.918609683768328295e-10, -7.549141913375112254e-10, -1.237780851450693747e-09, 1.783728237222589119e-09, 3.319658943144913417e-10, 3.958732545971526734e-10
2.078000000000000000e+03, 1.622547979893369433e-10, 5.803280872354419057e-10, 1.337569764602764878e-11, -1.189352894688096666e-09, 4.180714164207170621e-10, 7.697978835797708586e-10, 9.716893743300808863e-10
2.079000000000000000e+03, -2.485173326247706245e-10, -1.210174367759706005e-09, -9.286486064205388589e-10, 1.852900378164151697e-10, 1.006008389869966367e-09, 1.090771600721125347e-09, 1.036463415557833823e-09
2.080000000000000000e+03, -8.100401464169734705e-10, 1.418431498621674006e-09, -6.590259533563012580e-10, -5.525126142025475907e-10, 2.906938978153790464e-10, -2.016862976269778353e-10, 6.949275043486938561e-10
2.081000000000000000e+03, -3.565228184567553680e-10, 1.356890992535658393e-09, -5.029922833324173077e-10, -1.108720759863617095e-09, -1.210964359176637196e-10, -5.112904452669879661e-10, 6.297329594464243764e-10
2.082000000000000000e+03, -7.125200702950271362e-10, 7.377759604241194929e-10, -8.266205763428229440e-10, 4.640915142497565151e-10, 1.019301758968486718e-09, 4.546122609603102982e-10, 7.231520044722271998e-10
2.083000000000000000e+03, -3.597151443445314020e-11, 2.857026780102051479e-10, -8.347130144191900610e-10, -3.255505511914828423e-10, 1.421288916575603276e-09, 7.130314714765630960e-10, 9.668454581785553907e-10
2.084000000000000000e+03, 3.892492820956906951e-10, -4.087511299825656985e-10, -5.994898992567434098e-10, -1.191229034794510524e-09, 3.171774866162082424e-10, 9.964723353181664746e-10, 1.393132884233454679e-09
2.085000000000000000e+03, -4.740005262514910543e-10, 1.641963792886370763e-09, -4.209958589104555928e-10, -7.162897565464665356e-10, 7.855992502556077274e-10, -1.094664384302829498e-10, 6.642565774843150471e-10
2.086000000000000000e+03, -1.043416658485202044e-09, 4.867342992702833484e-10, -6.389319542586262526e-10, 6.208408836069004744e-10, 2.213425915473679112e-10, -5.937878730069203276e-10, 3.469583036175263800e-10
2.087000000000000000e+03, -6.773988976985840236e-11, 2.083226776099072664e-09, -4.419716889192095401e-10, -7.813096133194009211e-10, 4.552595487198880081e-10, 1.200589088382955546e-09, 8.581643314065146666e-10
2.088000000000000000e+03, 2.769942310851079841e-11, -5.690783373477013160e-10, -1.003554085946371975e-09, 8.354262457532703717e-10, 1.134424254693199671e-09, 1.058988112251424676e-09, 9.113680503914240642e-10
2.089000000000000000e+03, -3.117255379558914358e-10, 8.922015384060718822e-10, -8.230391950914325280e-10, -1.018204508242082059e-09, 1.301251648857663510e-09, -6.760748845165779371e-10, 4.505115590838962818e-10
2.090000000000000000e+03, -7.041099092826772174e-10, 5.747176087581670430e-10, -4.108026793643996019e-10, -3.692423099711814524e-10, 8.548405153443595653e-10, 5.514343610129752128e-10, 2.994030105684674559e-10
2.091000000000000000e+03, -2.380763445402423367e-10, -5.758811611745252517e-12, -2.048167144154480504e-10, -3.084322110550387415e-10, 4.055822380520231686e-10, 1.067414967296845258e-09, 9.258890615186489538e-10
2.092000000000000000e+03, 3.895739187597606155e-11, 1.386953442146217783e-09, -6.573686765130585799e-10, -1.222715584583041215e-12, 2.432751709136893349e-10, 6.376845722493572061e-10, 8.391991589727146141e-10
2.093000000000000000e+03, 6.469284013877563281e-10, 2.266259437331015496e-10, -1.045135029484262359e-09, -1.562485351420523692e-09, 1.703029224685963385e-09, -6.165542031757451025e-10, 1.234867201198291507e-09
2.094000000000000000e+03, -2.548880602755367857e-10, -8.001632905702644457e-10, -7.436019164656107554e-11, -1.073268579668582890e-09, -8.040963190576038969e-11, 4.776617881575688139e-10, 8.312708599795091541e-10
2.095000000000000000e+03, 1.618088586382107958e-10, 5.769688917751989142e-10, -6.306271844881450779e-10, -5.402457065811161050e-10, 1.611034665724357685e-09, 1.273154322187983818e-09, 6.278271742723090746e-10
2.096000000000000000e+03, -4.615113734567707260e-11, 1.110509044958373490e-09, -4.994943800445329941e-10, -2.917530010002294080e-10, 8.068141828852337255e-10, 1.293976547385659535e-09, 1.437702843571012266e-09
2.097000000000000000e+03, -6.751040117082554041e-10, 3.704023388209281877e-10, -4.710678798282911334e-10, -9.703452956974750671e-10, 2.437868557291662170e-10, -1.334763795084865060e-10, 8.359967405646746000e-10
2.098000000000000000e+03, -3.300841042188782357e-11, 4.586794592450167304e-10, -1.295095955237072319e-10, -1.173476221172164538e-10, 7.421407818600881199e-10, -1.653886229519478086e-10, 1.099570441743134718e-09
2.099000000000000000e+03, 3.203043647772850074e-10, -3.992121682211714179e-10, -9.558011655570987672e-10, 1.078899452874048496e-10, 4.354429339691190712e-10, 1.156386935855161103e-09, 1.285606332804198378e-09
2.100000000000000000e+03, -7.661210623827494125e-11, -1.264036605779510074e-10, -7.584931601851762171e-10, -1.223759458663799730e-09, 1.418057294029195406e-09, 6.729234254773426097e-10, 8.447076264764535347e-10
