year, GFDL-ESM4, NorESM2-LM, TaiESM1, NorESM2-MM, CNRM-ESM2-1
1.899000000000000000e+03, 6.715468808267718616e-10, 4.130389281508755249e-10, 4.958928677201665638e-10, 4.286557079915288177e-10, 5.633000356390144555e-10
1.900000000000000000e+03, 5.358028804144336773e-10, 2.283234777072171968e-10, 2.831495737835288231e-10, 4.603543918861751083e-10, 1.003000908097875507e-09
1.901000000000000000e+03, 3.021434730893060230e-10, 2.697074095232602274e-10, 4.005094064384921405e-10, 3.901798803700676544e-10, 4.473616844893653848e-10
1.902000000000000000e+03, 4.040108250406839872e-10, 2.396683057403315162e-10, 1.904960903147695907e-10, 3.016127759367550168e-10, 1.372439159583772279e-09
1.903000000000000000e+03, 6.719063081295638044e-10, 3.569613690634228160e-10, 3.864535932934913783e-10, 4.068140377476638302e-10, 1.029395353094033459e-09
1.904000000000000000e+03, 7.258464216858317325e-10, 4.678886916208261655e-10, 5.542892926997660387e-10, 3.806048394311786132e-10, 1.323453479842495100e-09
1.905000000000000000e+03, 3.127660211436522112e-10, 4.834579575481473438e-10, 4.261207926220480563e-10, 2.733828449775345481e-10, 1.353119622904771217e-09
1.906000000000000000e+03, 4.382637612632626251e-10, 2.923432613339897699e-10, 3.159245816935047175e-10, 4.269429243338873014e-10, 5.996869043165077839e-10
1.907000000000000000e+03, 6.078598603645116175e-10, 2.649644823911067337e-10, 3.097417651861884418e-10, 4.148845910473595930e-10, 6.010593928654140907e-10
1.908000000000000000e+03, 6.025481482775449383e-10, 2.744229287448757840e-10, 3.477184991953393820e-10, 5.032088987126992652e-10, 1.011094960033442332e-09
1.909000000000000000e+03, 5.228119727628555873e-10, 3.925803078172938454e-10, 2.347853883094366070e-10, 3.133377514672924497e-10, 5.712977897230706436e-10
1.910000000000000000e+03, 7.811349064920559837e-10, 3.349291249100725744e-10, 4.908665260341445212e-10, 3.811285511799666392e-10, 9.539080427090390705e-10
1.911000000000000000e+03, 3.824156712878525957e-10, 1.720363613181601019e-10, 5.068398330309212312e-10, 5.296510513394797770e-10, 8.062397698706009402e-10
1.912000000000000000e+03, 5.071847671952130920e-10, 3.557385839310750342e-10, 2.570761693947714927e-10, 5.621710335381422039e-10, 4.190601695147963056e-10
1.913000000000000000e+03, 4.316864092644401542e-10, 3.640021582157669625e-10, 2.297728176981639239e-10, 5.088258151644096528e-10, 6.199476701895838781e-10
1.914000000000000000e+03, 7.194224248271698454e-10, 2.302780484697697408e-10, 2.729684478359451894e-10, 5.003761487640000479e-10, 8.270549920637383399e-10
1.915000000000000000e+03, 4.176407334587720954e-10, 3.299446249692149494e-10, 3.129332107861829084e-10, 3.602136421077561058e-10, 4.759825891703220287e-10
1.916000000000000000e+03, 2.995736905886997147e-10, 3.527535899229437457e-10, 3.754454987741801058e-10, 2.942492890979639192e-10, 9.942279389710296215e-10
1.917000000000000000e+03, 3.586848963258533572e-10, 2.019321020842743040e-10, 4.859504360160923650e-10, 3.238106140006804045e-10, 5.961411173806797504e-10
1.918000000000000000e+03, 5.435773113655509170e-10, 2.771339953314624540e-10, 1.654931975201165570e-10, 4.768363366206690106e-10, 7.750991600980484295e-10
1.919000000000000000e+03, 3.606774169029064094e-10, 2.620762455810280105e-10, 3.608526782990835984e-10, 5.051387351648145221e-10, 8.757009601608993691e-10
1.920000000000000000e+03, 1.995410067437321402e-10, 4.064720643273811249e-10, 3.511831587137628252e-10, 5.458653598384417079e-10, 6.089124631167561823e-10
1.921000000000000000e+03, 5.532261224039592705e-10, 3.861250805464645080e-10, 1.218225641654728603e-10, 4.211179879647131898e-10, 6.305742982735354579e-10
1.922000000000000000e+03, 5.486684258198824425e-10, 3.532312501510083500e-10, 2.348720224690049739e-10, 1.760540437658880186e-10, 8.468487412949618971e-10
1.923000000000000000e+03, 4.465898277629577826e-10, 3.425747568537990956e-10, 5.654628248030803498e-10, 2.323022190192320881e-10, 5.571550131113678772e-10
1.924000000000000000e+03, 2.272940305946040857e-10, 2.158688589992570825e-10, 2.591204553196635247e-10, 2.695717407960712050e-10, 9.603972444698768438e-10
1.925000000000000000e+03, 3.767656537507136839e-10, 2.639455203363891802e-10, 1.570256565659054824e-10, 2.863771352283243425e-10, 6.502879208243320858e-10
1.926000000000000000e+03, 6.545469123691171008e-10, 2.406930337311477457e-10, 1.288483231821124142e-10, 5.086984649552918162e-10, 1.056180921483004072e-09
1.927000000000000000e+03, 6.573502393572159822e-10, 3.467186614244114719e-10, 2.406328939460203683e-10, 3.604849909822058693e-10, 7.687374795679218117e-10
1.928000000000000000e+03, 4.868174046562705766e-10, 2.516736529537076422e-10, 3.435779599863866002e-10, 3.291757914231720573e-10, 4.687990920021280693e-10
1.929000000000000000e+03, 2.786989559038739835e-10, 2.914403522222479987e-10, 1.461928938255719765e-10, 3.420854835777251847e-10, 7.661594268571491968e-10
1.930000000000000000e+03, 3.455591980087944381e-10, 3.161088537148255857e-10, 2.535845547917984241e-10, 6.187381359822601656e-10, 1.110710168128692168e-09
1.931000000000000000e+03, 4.837558340553263930e-10, 2.127726029619001798e-10, 4.146908762484355866e-10, 6.701146413078033252e-10, 6.059425728722190865e-10
1.932000000000000000e+03, 3.519815475473668698e-10, 2.487218128006303193e-10, 9.035467785017582842e-11, 3.026430436976598775e-10, 5.211703044573203882e-10
1.933000000000000000e+03, 1.827386471299410348e-10, 1.879615810105167915e-10, 1.976335520370443553e-10, 3.480295459247825237e-10, 1.134664855300551015e-09
1.934000000000000000e+03, 3.335929696190297458e-10, 1.786225981367051800e-10, 2.753409993707867251e-10, 4.140702765480270880e-10, 5.812610533133387802e-10
1.935000000000000000e+03, 2.733542434670167566e-10, 3.906582872609489857e-10, 1.229557017899687563e-10, 3.541699318239313653e-10, 7.410706673128127826e-10
1.936000000000000000e+03, 3.033188931837222876e-10, 3.771405343616312281e-10, 3.625885056553580303e-10, 4.230631326429788211e-10, 5.571586936536258739e-10
1.937000000000000000e+03, 3.502837469891664955e-10, 3.666892752180960728e-10, 3.655918489140558331e-10, 3.308144002068287312e-10, 8.851928118947724059e-10
1.938000000000000000e+03, 4.042784407386243135e-10, 3.849810244549255244e-10, 2.058324437679098871e-10, 3.260249707100846556e-10, 7.748613886261106350e-10
1.939000000000000000e+03, 2.800514683660376825e-10, 3.006085123375814328e-10, 3.096487841278626136e-10, 3.187779326006370184e-10, 1.272612990012349284e-09
1.940000000000000000e+03, 1.984282746201829089e-10, 3.886580701252633877e-10, 3.463372956839716720e-10, 5.851352653095358532e-10, 7.611321407045432872e-10
1.941000000000000000e+03, 2.006977480007521992e-10, 2.069035725506687627e-10, 2.009790479314560986e-10, 5.332843726060834641e-10, 3.065904650088226323e-10
1.942000000000000000e+03, 4.007359076696285033e-10, 1.871566000990536942e-10, 2.567569750750555955e-10, 4.632628363339154623e-10, 7.320641824121755693e-10
